בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
עורך דין המתמחה בתחום הרשלנות הרפואית יבחן האם נפלו פגמים בהתנהלות הצוות הרפואי בשלבי הלידה השונים אשר גרמו לנזק וככל שימצא לנכון יפנה להיוועץ במומחה רפואי בתחום הרלונטי.	A lawyer specializing in medical negligence will examine whether there were failures in the conduct of the medical team during the various stages of childbirth that led to harm. If necessary, they will seek consultation from a relevant medical expert in the field.	yes
יש להדגיש, כי לא כל טעות בטיפול מצד הצוות הרפואי עולה כדי רשלנות (במובן המשפטי של מונח זה) וכי סיבוכים שונים במהלך הלידה אינם מלמדים בהכרח שניהולה היה רשלני.	It is important to emphasize that not every error in medical treatment by the medical team constitutes medical negligence (in the legal sense of the term), and various complications during childbirth do not necessarily indicate that the management was negligent.	yes
מתי אם כן מדובר ברשלנות?	So when is it considered negligence?	yes
כאשר טעותו של הרופא נבעה מחוסר מיומנות או סטתה מרמת הזהירות הסבירה, וחוסר המיומנות והסטייה מרמת הזהירות המקובלת גרמו נזק למטופל שלא היה נגרם אלמלא נהג כך הרופא.	When a doctor's mistake arises from a lack of skill or falls below the reasonable standard of care, and this lack of skill and deviation from the accepted standard of care result in harm to the patient that wouldn't have occurred if the doctor had acted differently.	yes
בכתבה זו נבחן את שלבי הלידה השונים, נסביר מהם הסיבוכים העלולים להתרחש בכל אחד מהשלבים ומתי הם עולים כדי רשלנות רפואית.	In this article, we will examine the different stages of childbirth, explaining the complexities that can arise in each stage, and when they might constitute medical negligence.	yes
שלב הצירים	The contractions stage	no
שלב הצירים נמשך בממוצע בין 8 ל-14 שעות.	The contractions stage lasts on average between 8 to 14 hours.	no
בשלב זה נפתח צוואר הרחם בהדרגה (על מנת לאפשר את מעבר העובר בעת הלידה) ובסוף התהליך אמור להגיע לקוטר של כעשרה סנטימטרים.	During this stage, the cervix gradually opens (to allow the baby to pass during delivery) and by the end of the process, it is expected to reach a diameter of about ten centimeters.	no
מרבית מקרי הרשלנות הרפואית בשלב הצירים עוסקים באי זיהוי מצוקה עוברית לקראת הלידה, אשר גרמה נזק ליילוד המתבטא לעתים אף בשיתוק מוחין.	The majority of cases of medical negligence during the contractions stage focus on failure to identify fetal distress prior to delivery, which can result in harm to the newborn, sometimes even leading to cerebral palsy.	no
שיתוק מוחין (CP):	Cerebral Palsy (CP):	no
שיתוק מוחין עלול להיגרם כתוצאה מאי זיהוי או איחור בזיהוי תשניק סב-לידתי, אשר בא לידי ביטוי בכשל באספקת חמצן לרקמת מוחו של העובר.	Cerebral Palsy may result from failure to identify or delayed recognition of the umbilical cord entanglement, which manifests as a deficiency in supplying oxygen to the fetal brain tissue during the second stage of labor.	no
ככלל, מעקב אחר מצבה של היולדת ופיענוח נכון של המוניטור העוקב אחר פעילות לב העובר אמורים להוביל לזיהוי מוקדם של התפתחות מצוקה עוברית, המאפשר לצוות הרפואי לפעול במהירות ולחלץ את היילוד לפני שנפגע באופן בלתי הפיך.	In general, closely monitoring the condition of the laboring mother and accurately interpreting the monitor that tracks the fetal heart activity should lead to early detection of fetal distress, enabling the medical team to quickly intervene and deliver the baby before irreversible harm occurs.	no
מקרים שבהם מתעלם הצוות הרפואי מסימנים המעידים על כך שהעובר סובל ממחסור בחמצן או שהצוות אינו מפרש נכון את נתונים שבפניו ובפרט המוניטור העוברי או מגיב באיחור למצוקה המתבטאת במוניטור – עלולים להוות התרשלות.	Cases in which the medical team ignores signs indicating that the fetus is experiencing oxygen deficiency or misinterprets the data available to them, especially from fetal monitors, or responds with delay to distress evident in the monitor - may constitute negligence.	no
שיתוק מוחין עלול להיגרם גם כתוצאה מצניחת חבל הטבור וכן כתוצאה מקרע ברחם שלא זוהה במועד.	Brain damage can also be caused as a result of a umbilical cord prolapse and also as a result of an undetected uterine rupture.	no
גם באירועים קשים אלו ראוי לברר האם הצוות הרפואי פעל כראוי.	Even in such difficult events, it is appropriate to investigate whether the medical team acted properly.	no
כך למשל, מספרת עו"ד אנה רייף ליגנזה, ממשרד כספי סרור ושות' המתמחה בייצוג נפגעי רשלנות רפואית, כי משרדה טיפל בתביעה של ילד שנפגע במהלך לידתו לאחר שהמיילדת פקעה את שק מי השפיר כאשר ראש העובר היה גבוה מדי, ובכך הביאה לצניחת חבל הטבור (כאשר חבל הטבור מקדים את ראש העובר) ולפגיעה באספקת החמצן למוח העובר (כתוצאה מלחץ של ראש העובר על חבל הטבור) ולהיוולדו עם פגיעה נוירולוגית חמורה.	For example, attorney Anna Reif Lignza from the law firm "Kaspi Sror & Co." specializes in representing victims of medical negligence, explains that her firm handled a case of a child who was injured during his birth when the midwife ruptured the amniotic sac while the baby's head was too high. This led to umbilical cord prolapse (where the umbilical cord precedes the baby's head during birth), resulting in compromised oxygen supply to the baby's brain (due to pressure on the cord), and as a result, the child was born with severe neurological damage.	no
במקרה אחר סיפרה עוה"ד, כי משרדה הגיש תובענה בשל רשלנות רפואית חמורה של צוות מחלקת יולדות בבי"ח גדול אשר במהלך הלידה לא זיהה במועד סימנים ברורים שחייבו חשד ממשי שהיולדת סובלת מקרע של הרחם באזור הצלקת הניתוחית של הריונה הקודם.	In another case, the attorney shared that her firm filed a lawsuit due to severe medical negligence against the team in the maternity department of a major hospital, when during childbirth, the medical team failed to timely recognize clear signs that should have raised strong suspicion that the mother was suffering from a rupture of the uterus in the area of the previous cesarean section scar.	no
העובר אשר נפלט דרך הקרע ברחם אמו לחלל הבטן סבל ממצוקה עוברית קשה עד לחילוצו בשלב מאוחר כשהוא על סף המוות.	The fetus that was expelled through a tear in its mother's uterus into the abdominal cavity may experience severe fetal distress until its delivery at a later stage, when it is on the brink of death.	no
בשל הסבל העוברי הקשה במהלך לידתו נגרמה לילד נכות נוירולוגית מורכבת.	Due to the severe fetal distress during the course of his birth, the child suffered complex neurological disability.	no
נדגיש, כי על מנת לזכות בפיצויים, על התובעים להוכיח, בנוסף להתרשלות, כי מתקיים קשר סיבתי בין התרשלות הצוות הרפואי שהביאה לאי זיהוי התשניק לבין הנזק שנגרם ליילוד, כלומר שהנזק נגרם עקב הרשלנות כאמור ולא מאף סיבה או גורם אחרים.	It should be emphasized that in order to be eligible for compensation, the plaintiffs must prove, in addition to the negligence, that there is a causal relationship between the medical staff's negligence that led to the failure to identify the fetal distress and the harm caused to the newborn, so that the harm was caused due to the negligence as mentioned, and not due to any other reason or cause.	no
בחינת הקשר הסיבתי תתבצע באמצעות בחינת מדדים רפואיים שעל פי הספרות הרפואית רק בהתקיימותם מתקיים קשר סיבתי בין התשניק לבין הפגיעה המוחית.	The examination of the causal relationship will be conducted by assessing medical measurements that, according to medical literature, only when they are met, a causal link exists between the failure to identify the fetal distress and the occurrence of brain injury.	no
בין היתר נבחנים המדדים של רמת החומציות בדמו של העובר, ציוני האפגר שלו, קיומה של פגיעה נוירולוגית ומערכתית ועוד.	Among other factors, measurements of fetal blood acidity levels, Apgar scores, the presence of neurological and systemic damage, and more are examined.	no
פטירת העובר	Fetal demise	no
שלב הלידה האקטיבית	The Active Labor Stage	no
שלב הלידה האקטיבית מתחיל כשפתיחת צוואר הרחם מגיעה לקוטר של 10 סנטימטר ומסתיים בלידתו של התינוק.	The active stage of labor begins when the cervix dilation reaches a diameter of 10 centimeters and concludes with the birth of the baby.	no
למרבה הצער, מרבית הסיבוכים הרפואיים מתרחשים במהלך שלב קריטי זה.	Unfortunately, most medical complications occur during this critical stage.	no
שיהוי בלידה והימנעות מביצוע ניתוח קיסרי	Delay in childbirth and avoiding the performance of a cesarean section.	no
במקרים מסוימים, מתפתחת לידה דיספונקציונלית, קרי, חוסר התקדמות של תהליך הלידה האקטיבית.	In certain cases, dysfunctional labor, meaning lack of progress in the active labor process.	no
במצבים כאלה נהוג לבצע ניתוח קיסרי, על מנת למנוע נזקים שונים העלולים להיגרם לעובר עקב העיכוב בלידה.	In such situations, a cesarean section is commonly performed to prevent various potential harms that may arise for the fetus due to the delay in childbirth.	no
"ישנם מקרים בהם אי ביצוע ניתוח קיסרי במועד עלול לגרום נזק בלתי הפיך לעובר", הסבירה לנו עו"ד רייף-ליגנזה.	"There are cases where failure to perform a timely cesarean section could result in irreversible harm to the fetus," explained attorney Reif-Lignza.	no
"לדוגמה, ניהלנו תביעת רשלנות רפואית של מות ילודה שנגרם בשל איחור משמעותי בביצוע ניתוח קיסרי.	"For example, we handled a medical negligence lawsuit involving the wrongful death of a newborn due to significant delay in performing a cesarean section," she added.	no
בניגוד לכל פרקטיקה רפואית מוכרת, לא השכילו אנשי הצוות הרפואי לזהות את המצוקה העוברית ולבצע ניתוח קיסרי למרות התקדמות איטית במיוחד של הלידה.	Contrary to established medical practice, the medical team failed to identify the fetal distress and perform a cesarean section despite the particularly slow progress of the labor.	no
האיחור בביצוע הניתוח גרם לנזק רב מערכתי לילודה אשר הוביל לבסוף למותה בסמוך לאחר לידתה".	"The delay in performing the procedure resulted in extensive systemic damage to the newborn, ultimately leading to her death shortly after birth".	no
רשלנות בלידת ואקום	Negligence in childbirth with vacuum extraction.	no
במצבים בהם נשקפת לאם או לעובר סכנה משמעותית המחייבת סיום מהיר במיוחד של הלידה, מתבצעת לעתים לידת ואקום (שולפן ריק).	In situations where there is a significant and immediate danger posed to the mother or fetus, necessitating an expedited conclusion of the birth, sometimes a vacuum-assisted delivery (vacuum extraction) is performed.	no
בתהליך זה מצמידים באמצעות ואקום "כיפה" לראשו של העובר ומושכים החוצה בכח את העובר.	In this process, a vacuum 'cap' is attached to the baby's head using suction and pulled outward with force.	no
מטבע הדברים פעולה זו כרוכה בסכנות ועלולה לגרום לנזקים הן לעובר והן ליולדת ועל כן מחייבת זהירות, דיוק ומיומנות רבה.	Consequently, this procedure entails risks and could potentially cause harm to both the fetus and the mother. Therefore, it requires caution, precision, and a high level of skill.	no
באירועים אלו רשלנות רפואית עלולה להתבטא בכך שהרופא אינו מקפיד על ההנחיות המחייבות ומבצע את הפעולה למרות קיומה של התוויית נגד, כגון כאשר ראש העובר גבוה מדי באגן, או מבצע אותה במשך זמן ארוך מהמותר או כאשר למרות כישלון מספר ניסיונות רב ממשיך הרופא וחוזר על הפעולה יותר ממספר הניסיונות המותר.	In such cases, medical negligence might manifest when the doctor fails to adhere to necessary guidelines and performs the procedure despite contraindications, e.g. where the fetus's head is positioned too high in the pelvis, performing the procedure for an extended period beyond what's permissible, or when the doctor continues attempting the procedure beyond the allowed number of attempts despite repeated failures.	no
במקרים אלו אם פעולת הוואקום הרשלנית גרמה ליילוד נזק – בין היתר היא עלולה לגרום לנזק גולגלתי ודימומים העלולים לגרום להתפתחות נזק מוחי – יש מקום להגשת תביעה נזיקית.	In such cases, if the vacuum extraction procedure resulted in harm to the newborn – among other things, it could potentially cause skull damage and bleeding that may lead to the development of brain injury – there may be grounds for filing a lawsuit for damages.	no
שיתוק על שם ERB	Erb's Palsy	no
שיתוק על שם ארב, הנה פגיעה עצבית מולדת במקלעת הברכיאלית (צומת עצבים המחבר את עמוד השדרה לחלק העליון של הכתף) וכאשר היא מתרחשת במהלך הלידה ראוי לבדוק האם הנזק ארע כתוצאה מרשלנות הצוות המיילד.	Erb's palsy refers to nerve damage occurring in the brachial plexus (a network of nerves that connect the spinal cord to the upper shoulder), and when this injury occurs during childbirth, it's important to investigate whether the damage was a result of medical negligence by the delivering team.	no
הפגיעה מתבטאת בחולשת שרירי היד ויכולה להגיע עד שיתוק מלא של כל הזרוע.	The injury presents itself as weakness in the muscles of the arm and can even lead to complete paralysis of the entire arm.	no
שיתוק זה נגרם לא פעם בשל קושי בהוצאתו של היילוד בשל התרחשות 'פרע כתפיים' - מצב חירום מיילדותי המרחש כאשר כתפיו של העובר נכלאות בפנים תעלת הלידה לאחר שראשו יצא.	This paralysis sometimes occurs due to difficulties in delivering the baby, often associated with a condition called "shoulder dystocia." - an emergency situation during childbirth where the baby's shoulders become lodged behind the mother's pelvic bone after the head has already emerged.	no
מתי עליכם לחשוד שהשיתוק נגרם כתוצאה מרשלנות רפואית?	When should you suspect that the paralysis was caused as a result of medical negligence?	no
במקרים שבהם הערכת משקלו של העובר הצביעה על כך שמדובר בעובר מקרוסומי, כלומר שהוא צפוי להיוולד במשקל העולה על 4.5 קילוגרם ובהתאם להנחיות עדיף ליילד את האם בניתוח קיסרי.	In cases where the estimated weight of the fetus indicates that it is macrosomic, meaning that it is expected to be born with a weight exceeding 4.5 kilograms, it is preferable to deliver the mother through a cesarean section according to the guidelines.	no
כאשר המשקל של היילוד הינו מעל 4 קילוגרם יש לשקול ניתוח קיסרי לאור גורמי הסיכון ובהם סכרת הריון והתארכות השלב השני של הלידה.	When the baby's weight exceeds 4 kilograms, it's important to consider a cesarean section due to risk factors such as gestational diabetes and prolonged second stage of labor.	no
במקרה שהצוות הרפואי מתעלם מהערכת משקל חריגה של העובר או מגורמי סיכון נוספים ובוחר להמשיך בלידה וגינלית ומתממש הסיכון לפרע כתפיים ושיתוק ע"ש ERB, קיימת אפשרות סבירה כי מדובר ברשלנות רפואית.	In cases where the medical team disregards the abnormal estimated weight of the fetus or other additional risk factors and chooses to proceed with vaginal delivery despite the risk of shoulder dystocia and Erb's palsy, there is a reasonable possibility that medical negligence is involved.	no
ואכן, ב-ע"א 2694/90, קבע בית המשפט העליון כי "הסיכון שבמהלך לידה תתרחש היצרות כתפיים ניתן לחיזוי מראש במידה כזו או אחרת של דיוק, והדרך למניעתה של היצרות כתפיים, מקום בו קיים חשש להתרחשותה היא עריכת ניתוח קיסרי".	Indeed, in case 2694/90 in Israel, the Supreme Court ruled that "the risk of shoulder dystocia during childbirth can be predicted in advance with a certain degree of accuracy, and the way to prevent its occurrence when there is a concern about it is by performing a cesarean section".	no
שלב יציאת השליה	The placental delivery stage	no
הפרדת השלייה מהרחם ויציאתה מתרחשת בשל התכווצות הרחם לאחר יציאת היילוד והיא מלווה בדימום.	The separation of the placenta from the uterus and its expulsion occurs due to uterine contractions after the birth, and it is accompanied by bleeding.	no
התהליך נמשך במרבית המקרים עד חצי שעה מרגע יציאתו של התינוק ועל פי רב מתרחש באופן ספונטני, ללא מעורבות הצוות הרפואי.	In most cases, the process continues for up to half an hour after the baby's delivery, and according to many instances, it occurs spontaneously without medical intervention.	no
לאחר יציאת השלייה, יבדוק הצוות הרפואי האם היא יצאה בשלמותה או שמא נותרו חלקי שליה ברחם.	After the placenta is expelled, the medical team will examine whether it came out intact or if any fragments remain in the uterus.	no
במסגרת שלב זה, עשויים להתרחש סיבוכים שעלולים לגרום נזקים חמורים ליולדת.	During this stage, complications can occur that may lead to severe harm for the mother.	no
אחד הסיבוכים המוכרים כתוצאה מהיוותרות שאריות שלייה ברחם קרוי "תסמונת אשרמן", הצטלקות דופן הרחם תוצאת דלקת הנגרמת בשל היוותרות שאריות שלייה ברחם, תופעה הפוגעת ברירית הרחם באופן שלא מאפשר השרשת היריון.	One of the well-known complications arising from retained placental fragments in the uterus is called "Asherman's syndrome" meaning the adhesion of the uterine walls due to inflammation caused by the presence of placental fragments, such condition can negatively affect the uterine lining, making it difficult for pregnancy to establish.	no
לכן במקרים בהם לא זיהה הצוות הרפואי כי נותרו שאריות שליה או לא נקט בכל האמצעים למנוע פגיעה ברירית הרחם למרות החשד לשאריות שליה ברחם יתכן ומדובר ברשלנות רפואית והמקרה ראוי לבדיקה מעמיקה ע"י עורך דין מנוסה בתחום.	Therefore, in cases where the medical team did not identify retained placental fragments or did not take all necessary measures to prevent harm to the uterine lining despite suspicion of placental remnants, medical negligence might be involved. Such a case should be thoroughly investigated by an experienced attorney in the field.	no
פטירת היולדת	Maternal mortality	no
פטירת יולדת במהלך הלידה הינו אירו נדיר למדי.	Maternal death during childbirth is a relatively rare occurrence.	no
במקרים אלו, האירוע שהיה אמור להביא אושר ושמחת חיים לכל המשפחה הופך, למרבה הצער, לאירוע הטראגי ביותר עבורה.	In such cases, the event that was supposed to bring happiness and joy to the entire family turns, unfortunately, into the most tragic event for her.	no
במקרים מסוימים לא מאתר הצוות הרפואי דימום אצל היולדת במועד או מגיב באיחור לדימום כאמור.	In certain cases, the medical team may not detect timely bleeding in the mother or may respond with delay to the bleeding as mentioned.	no
"לדוגמה...", מסרה לנו עו"ד רייף-ליגנזה, "משרדנו הגיש תביעה שעניינה מות יולדת, כאשר באותו מקרה הצוות הרפואי התעלם ולא הגיב לסימניה החיוניים המדאיגים של היולדת, משך שעות ארוכות, ואיחר באבחון דימום מאסיבי ובלתי נשלט שהתרחש כסיבוך ידוע של מחלת הרקע שממנה סבלה".	"For example," attorney Reif-Lignza shared with us, "our firm filed a lawsuit concerning a maternal death case, where in the same incident, the medical team ignored and did not respond for many hours to the vital concerning signs of the mother, they also delayed diagnosing a massive and uncontrollable hemorrhage, which occurred as a known complication of the underlying condition she was suffering from".	no
"במקרה אחר...", מסרה עו"ד רייף-ליגנזה, "ייצג משרדנו את קרוביה של יולדת שנפטרה לאחר לידת תאומים עקב דימום שמקורו היה בחתך הניתוח הקיסרי שלא נתפר כראוי.	"In another case", attorney Reif-Lignza conveyed, "our firm represented a close relative of a mother who passed away following the birth of twins due to hemorrhage originating from the cesarean section incision that wasn't sutured properly.	no
באותו מקרה היולדת התלוננה על כאבים קשים וחולשה לאחר הניתוח אולם הצוות הרפואי לא התייחס כיאות לתלונותיה ומצבה הקליני, הגיב באיחור רק לאחר שמערכות גופה החלו לקרוס, דבר שהביא לפטירתה".	In the same case, the mother complained of severe pain and weakness after the surgery, yet the medical team did not adequately address her complaints and clinical condition, they only responded with a delay after her body systems began to fail, ultimately leading to her passing.	no
אובדן רחם	Uterine loss	no
במקרים חמורים עלולה רשלנות רפואית בלידה להוביל לכריתת רחם מספרת עו"ד רייף לינגזה: "משרדנו ניהל תביעה כנגד בית חולים שבבסיסה כריתת רחם עקב רשלנות רפואית לאחר הלידה.	In severe cases, medical negligence during childbirth can lead to uterine rupture. Attorney Reif Lignza states: "Our firm handled a lawsuit against a hospital where the basis of the case was a uterine removal due to medical negligence following childbirth.	no
באותו מקרה היולדת, צעירה בת 31, איבדה את רחמה בשל חוסר טיפול נאות בדימום מסיבי שנצפה על ידי הצוות הרפואי לאחר הלידה ולמרות זאת לא ננקטו בזמן הפעולות שיכלו למנוע את הנזק".	In the same case, the young 31-year-old mother lost her uterus due to inadequate treatment of significant postpartum hemorrhage, which was observed by the medical team after childbirth. Despite this, timely actions that could have prevented the harm were not taken”.	no
מהם הפיצויים הנפסקים בתביעות בגין רשלנות רפואית בלידה?	What are the compensation amounts awarded in medical negligence lawsuits related to childbirth?	no
פיצוי יילוד בגין פגיעה עקב רשלנות רפואית בלידה כולל רכיבי נזק רבים, כאשר הסכומים המשמעותיים ביותר ניתנים עבור כאב וסבל, סיעוד וטיפול בשכר, הפסדי שכר ופנסיה לנפגע ואף להוריו ורכיבי נזק נוספים.	Compensation for birth-related injuries due to medical negligence includes various components of damages, with the most significant amounts often awarded for pain and suffering, medical expenses, rehabilitation and treatment costs, loss of income, and disability benefits for the victim and potentially even for their parents, and as well additional components of damages may also be considered.	no
הפיצוי שנפסק לקטין פגוע עבור הפסדי שכר ופנסיה מחושב במרבית המקרים על בסיס השכר הממוצע במשק.	Compensation awarded to an injured child for loss of income and disability benefits is often calculated based on the average income in the economy in most cases.	no
כמו כן, כולל הפיצוי גם הוצאות רפואיות, עלות אביזרים רפואיים ושיקומיים, עלות התאמת דיור לצרכי התינוק, ניידות ועוד.	Additionally, compensation also includes medical expenses, costs of medical equipment and rehabilitation, adapting housing for the child's needs, mobility aids, and more.	no
"סכום הפיצוי נקבע בכל מקרה לגופו ועל פי נסיבותיו" מספרת עו"ד רייף-ליגנזה והיא מוסיפה ומציינת כי "כיום מרבית התביעות בעילה של רשלנות רפואית מסתימות בפשרה המשקללת את הסיכוי והסיכון שיש לכל צד בניהול ההליך", ואולם הוסיפה עוה"ד וסיפרה כי "ישנם מקרים בהם מסתיים ההליך רק בפסק דין, שאז אם התביעה לא נדחית יקבלו התובעים פיצוי מלא על כל נזקיהם ולדוגמה, במסגרת תביעה שניהל משרדנו, פסק בית המשפט המחוזי לקטין שנגרם לו שיתוק מוחין עקב איחור בזיהוי מצוקה עוברית פיצוי העולה על עשרה מיליון שקלים".	"The amount of compensation is determined in each case according to its circumstances," attorney Reif-Lignza explains, and she adds, "Today, most medical negligence claims are settled through a mediation process that reduces the likelihood and risk for both parties in managing the proceeding", but she also mentioned that there are cases that only conclude with a court verdict. In such instances, if the lawsuit is not rejected, the plaintiffs can receive full compensation for all their damages, for example, in a case our firm handled, a district court ruling awarded over ten million shekels in compensation to a child who suffered brain damage due to delayed recognition of fetal distress”.	no
לסיכום	In summary	no
רשלנות רפואית בלידה היא ללא ספק חלום הבלהות של כל משפחה.	Medical negligence during childbirth is undoubtedly the nightmare scenario for every family.	no
במקרים אלו בחינה משפטית נכונה של השתלשלות האירועים שגרמו לתוצאה הטראגית, ע"י עו"ד מיומן בניהול תביעות בעילה של רשלנות רפואית, יוכלה לסייע לכם לזכות בפיצויים שאתם ראויים להם.	In such cases, a proper legal examination of the sequence of events that led to the tragic outcome, carried out by a skilled attorney experienced in handling medical negligence claims, can help you secure the compensation you rightfully deserve.	no
זאת הסיבה לשכיחות של מחלת העיניים קרטוקונוס בדרום	This is the reason for the prevalence of the eye condition keratoconus in the south	yes
מחקר העלה כי קיים קשר בין התפתחות המחלה לנישואי קרובים •	Research has shown that there is a connection between the development of the disease and close relatives' marriages	yes
השכיחות הגבוהה ביותר נמצאה במגזר הבדואי •	The highest prevalence was found in the Bedouin sector	yes
מומחה: "ייתכן שבכל מגזר עם הרבה חתונות בין בני דודים, נמצא שכיחות גבוהה למחלה".	Expert: "It's possible that in any community where there are frequent marriages between cousins, a high prevalence of the disease can be found".	yes
קרטוקונוס היא מחלת עיניים תורשתית שגורמת לכמה ליקויי ראייה.	Keratoconus is an inherited eye disease that causes several visual impairments.	yes
חשוב מאוד לאבחן אותה בהקדם, ולמצוא פתרונות נכונים למניעת החמרת המצב.	It is very important to diagnose it early and find appropriate solutions to prevent the worsening of the condition.	yes
בשנים האחרונות, נערכו כמה מחקרים שעוזרים להבין כיצד מתפתחת המחלה, ופותחו טיפולים חדשניים.	In recent years, several studies have been conducted to help understand the development of the disease, and innovative treatments have been developed.	yes
המחקרים החדשים נותנים ביסוס מחקרי לחשד בדבר היותה של מחלת העיניים קרטוקונוס מחלה גנטית.	The new research provides a scientific basis for suspecting that keratoconus is a genetic disease.	yes
מחקר מהתקופה האחרונה, שעסק בהפיכת צורת הקרנית מכיפה לחרוט, גילה שהסיבה למחלה ולחולשה של הקרנית ולהתעוותות הצורה שלה קשורה לחוסר איזון אנזימי, שבעקבותיו הרדיקלים החופשיים עלולים לפגוע בחלבונים שבקרנית - והמבנה שלה ישתנה.	A recent study that focused on the transformation of the corneal shape from convex to concave, revealed that the underlying cause of the disease and the weakening of the cornea's structure, leading to its distortion, is linked to an enzymatic imbalance, leading to a situation that the free radicals might potentially damage the proteins within the cornea, causing changes in its structure.	yes
המקור לאותו חוסר באנזימים הוא גנטי, עובדה המחזקת את ההשערה שקרטוקנוס היא מחלה תורשתית.	The source of that enzymatic deficiency is genetic, a fact that strengthens the hypothesis that keratoconus is an inherited disease.	yes
לדברי פרופ' אריאלה גורדון-שאג, ראש החוג למדעי האופטומטריה במכללה האקדמית הדסה, "במחקר שפורסם בתחום בקרב סטודנטים ערבים בחיפה, נמצאה שכיחות של קרטוקונוס של 3.2%.	According to Prof. Ariela Gordon-Shaag, Head of the Optometry Sciences Department at Hadassah Academic College, "In a study published among Arab students in Haifa, a prevalence of 3.2% of keratoconus was found.	no
השכיחות הכי גבוהה הייתה אצל סטודנטים מהמגזר הבדואי - 20% היו עם קרטוקונוס, אבל היה מדגם יחסי קטן".	The highest prevalence was among Bedouin students, with 20% having keratoconus, although the sample size was relatively small”.	no
החוקרת הוסיפה שמדובר בממצא לא מפתיע: "יש שכיחות גדולה של קרטוקונוס במגזר הבדואי.	The researcher added that this is not a surprising finding: "There is a high prevalence of keratoconus in the Bedouin sector.	no
במחקרים שלנו מצאנו שנישואי קרובים הם גורם סיכון למחלת קרטוקונוס.	In our studies, we found that close marriages are a risk factor for keratoconus.	no
כך בכל מגזר עם הרבה חתונות בין בני דודים, ייתכן שנמצא שכיחות גבוהה".	This way, in any community where there are frequent marriages between cousins, a high prevalence of the disease can be found".	no
בהקשר זה יש לציין כי מדובר בממצא חשוב לאור המסקנה החד-משמעית: במקרים שבהם מופיע סיפור משפחתי של מחלת קרטוקונוס, על כל בני המשפחה לגשת לבדיקת עיניים מתאימה בהקדם.	In this context, it should be noted that this finding is significant in light of the strongly implied conclusion: In cases where there is a family history of keratoconus, all family members are advised to undergo appropriate eye examinations promptly.	no
לדברי ארזה פרוכטר, אופטומטריסטית קלינית B.Sc, "יש פנייה של פי עשרה לקליניקה מאזורי פריפריה מרוחקים, בעיקר מאזור הדרום, לעומת המרכז".	According to Arza Fruchter, Clinical Optometrist B.Sc., "We receive about ten times more referrals to the clinic from remote peripheral areas, mainly from the southern regions, compared to the central area".	no
פרוכטר מוסיפה כי "בעשור האחרון שמתי לב שרוב המטופלים פונים מהפריפריה, במיוחד מאזור באר שבע.	Fruchter adds that "in the last decade, I've noticed that the majority of patients come from the periphery, especially from the Be'er Sheva area.	no
הדבר נובע בעיקר משכיחות גבוהה של נישואים בתוך המשפחה (בעיקר במגזר הבדואי) ומאלרגיות שונות, וחוסר מודעות לטיפול נכון בבעיה".	This is mainly due to the high prevalence of consanguineous marriages within families (especially in the Bedouin sector), various allergies, and a lack of awareness for proper treatment of the issue”.	no
אז איך מאבחנים המחלה?	So, how is the disease diagnosed?	no
פרוכטר מסבירה שקרטוקונוס מתפתחת בדרך כלל בגיל ההתבגרות או בשנות העשרה המאוחרות (בגילים 16-15 או 20).	Fruchter explains that keratoconus typically develops during adolescence or late teenage years (around ages 15-16 or 20).	no
המחלה כוללת ירידה בראייה, במקביל לעלייה בצילינדר.	The disease involves a decrease in vision, accompanied by an increase in astigmatism.	no
חולי קרטוקונוס מעידים על ראייה מעוותת ו/או מטושטשת של דמויות ועצמים.	Patients with keratoconus report distorted and/or blurred vision of shapes and objects.	no
סימנים אלה מחמירים עם ההתפתחות במחלה, שלרוב מתפתחת באופן איטי והדרגתי לאורך שנים.	These symptoms worsen as the disease progresses, which usually develops slowly and gradually over the years.	no
עם זאת, המחלה עשויה גם להתפתח בקצב מהיר ולהגיע לשיאה בתוך חודשים ספורים בלבד.	However, the disease can also develop rapidly and reach its peak within just a few months.	no
רבים מהחולים אף מעידים על רגישות מוגברת לאור.	Many patients also report increased sensitivity to light.	no
כשלוש שנים לאחר הפעולה בעזה - צה"ל חשף את שמו של סא"ל מ'; בנט: "כעת, העם מכיר את פניו של גיבור ישראל"	About three years after the operation in Gaza, the IDF has today revealed the name of Lieutenant Colonel M.; Bennett: "Now, the people recognize the face of an Israeli hero".	yes
מחמוד ח'יר א-דין מהכפר חורפיש הוא סגן אלוף שנהרג במבצע בחאן יונס •	Mahmoud Khair al-Din from the village of Hurfeish is the Lieutenant Colonel who fell in the operation in Khan Yunis.	yes
ראש אמ"ן: "הפרסום מגיע לו, למשפחתו ולילדיו" •	Head of Military Intelligence: "The disclosure is deserved for him, his family, and his children".	yes
בהמשך תיבחן האפשרות לפרסם את תמונתו של סא"ל עמנואל מורנו מסיירת מטכ"ל	In the future, the possibility of publishing a photo of Lieutenant Colonel Emanuel Moreno from the Sayeret Matkal unit will be examined.	yes
