בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under the threat of extinction: three cheetah cubs were born in Iran	yes
מטרת הפעולה טרם הותרה לפרסום, ובצה"ל הדגישו כי מדובר בפעולה שערכה המודיעיני לא יסולא בפז.	The purpose of the operation has not yet been released, and the IDF stressed that it was an operation whose intelligence value was invaluable.	no
אך בתקשורת הערבית הוצג בדיעבד ציוד קשר שלדברי הפלשתינים הושאר על ידי הכוחות מאחור.	But the Arab media retrospectively presented communication equipment that the Palestinians say was left behind by the forces.	no
לטענת חמאס, המבצע נועד להטמנת מכשירי האזנה.	According to Hamas, the operation was aimed at burying listening devices.	no
על פי פרסומים, ביום האירוע נסע הכוח בשני כלי רכב.	According to publications, on the day of the incident, the force traveled in two vehicles.	no
הלוחמים נעצרו במחסום שנפרס על ידי אנשי חמאס, ומשהו בהתנהגותם עורר את חשדם של פעילי חמאס.	The fighters were stopped at a checkpoint set up by Hamas personnel, and something in their behavior aroused the suspicion of Hamas operatives.	no
הפעילים הקיפו את הרכב והחלו לתשאל את נוסעיו.	The activists surrounded the vehicle and began questioning its passengers.	no
החקירה בשטח ארכה כ-45 דקות, שבמהלכן הפכה אגרסיבית יותר ויותר.	The investigation in the field lasted about 45 minutes, during which it became more and more aggressive.	no
כשהכוח הבין שהוא נמצא במצב בעייתי, הצליח סא"ל ח'יר א-דין להסיח את דעתם של אנשי חמאס, ובשבריר שנייה זה הצליח מפקד הכוח, סא"ל א', לפתוח באש.	When the force realized that it was in a problematic situation, Lt. Col. Khair al-Din managed to distract the Hamas men, and in that split second, the commander of the force, Lt. Col. A, was able to open fire.	no
מהאש נהרגו שלושה אנשי חמאס, ולמרבה הצער גם סא"ל ח'יר א-דין.	Three Hamas members were killed by the fire, and unfortunately also Lt. Col. Khair al-Din.	no
עשרה חודשים לאחר האירוע הקשה החליט הרמטכ"ל, רא"ל אביב כוכבי, לקבל את המלצת ועדת הצל"שים ולהעניק צל"ש רמטכ"ל לשלושה מהלוחמים בתקרית בעומק הרצועה - ביניהם גם סא"ל ח'יר א-דין ז"ל.	Ten months after the difficult incident, the Chief of Staff, Lt. Col. Aviv Kochavi, decided to accept the recommendation of the Salvage Committee and award the Chief of Staff’s Salvage to three of the fighters in the incident deep in the Gaza Strip – among them the late Lt. Col. Khair al-Din.	no
מפקד כוח הלוחמים ולוחם נוסף בצוות קיבלו אף הם צל"ש.	The commander of the fighting force and another fighter in the team also received a Valor.	no
בהודעת הצבא נמסר אז כי סא"ל מ' קיבל את הצל"ש על "פעילותו במבצע עם צוותו, בשטח אויב, בנחישות, קור רוח ואומץ, להגנה על חבריו.	In the army’s statement at the time it was stated that Lt. Col. M received the valor for “his activity in the operation with his team, in enemy territory, with determination, composure and courage, in defense of his comrades”.	no
בהמשך פעל מתוך יוזמה וחתירה למגע, נטל תפקיד קדמי בהשתלטות על האויב ופעל בתושייה לקידום ההשתלטות.	Later he acted out of initiative and striving for contact, took a front role in taking over the enemy and worked resourcefully to promote the takeover.	no
לשקול מעבר ממבצעי פינצטה למבצע נרחב	Consider switching from tweezers operations to an extensive operation	no
ישראל צריכה לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין •	Israel should ask itself, once again, if it’s wrong to change policy regarding the Jenin zone •	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing this, fearing that Jenin would ignite and set fire to the West Bank in its wake, but Jenin’s militants may not leave it a choice.	no
סוף השבוע הסוער שעברנו מלמד שאף על פי שחודש הרמדאן מאחורינו, השטח עדיין נפיץ מתמיד.	The unsettling weekend we’ve just had, shows that even though the month of Ramadan passed, the area is still more explosive than ever.	no
יידרשו מאמצים רבים ושכל ישר כדי לחצות בשלום את שני מועדי האזכור הקרובים: יום ה"נכבה" שחל היום (ראשון), ויום ירושלים שיצוין בעוד שבועיים.	It will take a lot of effort and common sense to safely cross the two upcoming commemoration dates: the “Nakba” day that is celebrated today (Sunday), and Jerusalem Day that will be celebrated in two weeks.	no
לא מעט גורמים יתייצבו מנגד בניסיון לטרפד חזרה לשפיות.	Quite a few parties will come forward in an attempt to jeopardize returning back to sanity.	no
בראשם, כתמיד, גורמי הטרור, שמרכזים מאמץ מיוחד בניסיון לשמר את האווירה האלימה של השבועות האחרונים.	Lead by, as always, elements of terrorism, concentrating on special efforts to try and maintain the violent atmosphere of the last few weeks.	no
עדות לכך ניתנה במהלך מבצע המעצרים שבו נהרג שלשום לוחם הימ"מ, רס"ב נעם רז ז"ל.	Evidence of this has been given during the arrests operation in which the late YAMAM fighter, Sergeant Major Noam Raz was killed the other day.	no
לוחמים שהשתתפו בקרב בג'נין העידו כי הם אינם זוכרים היקף כזה של ירי ואלימות - עדות לא רק לכמות האדירה של אמל"ח שיש בשטח, אלא גם לנכונות להשתמש בו.	Fighters who fought the battle in Jenin testified that they do not recall such a scope of shooting and violence—evidently not only there is an enormous amount of weapons in that region, but people are also willing to use them.	no
זה מחייב את ישראל לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין, ולעבור ממבצעי פינצטה קטנים ומבוססי מודיעין למבצע נרחב ומבוסס מסה.	This situation forces Israel to ask once again, if it is not correct to change its policy towards the Jenin zone, thus to revert from small, intelligence-based tweezers operations to an extensive, mass-based operation.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה ואת הזירה כולה; גם כעת, מעדיפה מערכת הביטחון לפעול סלקטיבית, כשנדרש, כדי להימנע מתבערה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite, set fire to the West Bank and the entire arena on its wake; Even now, the security system prefers to act selectively, when necessary, to avoid blow ups, but the Jenin militants may leave no choice.	no
להפיק את הלקחים לאירועי העתיד.	Draw lessons for future events.	no
מותו של רז בקרב הוא התשובה הטובה ביותר שיכולה ישראל לתת לכל מי שטוען כי הרגה במתכוון את עיתונאית אל־ג'זירה, שירין אבו עאקלה.	Raz’s death in combat is the best answer Israel could have given to those who claim to have intentionally killed Al Jazeera journalist, Shireen Abu Aquala.	no
פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.	Combat activity is dangerous for those who participate in it, and for those present in the area.	no
צה"ל לוקח סיכונים אדירים לכוחותיו כדי להימנע ככל הניתן מפגיעה בחפים מפשע, ולעיתים משלם על כך בחיי לוחמים.	The IDF takes enormous risks for its forces in order to avoid harming innocents as much as possible, and sometimes pays for it with casualties among its fighters.	no
זה מעיד על מוסריות גבוהה, אבל יש בכך גם ערך מבצעי־מודיעיני: מחבל שנתפס חי - כפי שקרה שלשום בג'נין - הוא מקור מצוין למידע על אמל"ח, פיגועים ומחבלים נוספים; זה מידע שלרוב לא ניתן להשיגו בדרך אחרת, ובאמצעותו אפשר לסכל את הפיגועים הבאים.	This indicates high morality, but it also has a combat-intelligence value: a terrorist captured alive—as happened the other day in Jenin—is an excellent source of information about weapons, terror attacks and other terrorists; this is information that usually cannot be obtained by any other means, and by obtaining it, it is possible to thwart the next attacks.	no
צה"ל נהג נכון כאשר פרסם שלשום את תחקיר הביניים שערך בפרשת מותה של אבו עאקלה, והבהיר כי לא ניתן לקבוע בשלב הזה מי גרם למותה.	The IDF did the right thing when it released yesterday the interim investigation results of the case of Abu Aquala’s death, and made it clear that it is not possible to determine at this stage who caused her death.	no
בהיעדר שיתוף פעולה פלשתיני, ספק אם ניתן יהיה להגיע לשורה תחתונה חד־משמעית בפרשה.	In the absence of Palestinian cooperation, it is doubtful whether it will be possible to reach an unequivocal bottom line in the case.	no
ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה"ל פועל ללא הרף בג'נין.	In any case, it seems that nothing will convince the ones already convinced: the world has already rushed to condemn Israel without considering to balance it with a word of empathy for the victims of Palestinian terrorism—the original reason the IDF continues to operate within Jenin.	no
כתמיד, טבעם של סיפורים כאלה לגווע.	As always, such stories tend to die out.	no
דעת הקהל העולמית עסוקה בשלה וממשיכה הלאה, ודאי כשבאוקראינה ממשיכה להשתולל מלחמה אינטנסיבית פי כמה.	World public opinion is busy and moving on, obviously when a more intense war continues to rage in Ukraine.	no
לכן, חבל שישראל התעקשה לתת לפרשת מותה של אבו עאקלה עוד רגעים מיותרים של חשיפה, עם הטיפול הלא מוצלח של המשטרה בהלווייתה.	Therefore, it is a shame that Israel insisted on giving the case of Abu Aquala’s death more unnecessary exposure, by showing the police’s unsuccessful handling of her funeral.	no
גם אם משפחתה של אבו־עאקלה לא עמדה בסיכומים המוקדמים, צריך היה לצפות לקצת יותר יכולת הבלגה מהשוטרים שליוו את מסע ההלוויה, ובוודאי להתרגש פחות מדגלי פלשתין שהונפו בה.	Even if Abu-Aquala’s family couldn’t withhold the early agreements, one would have expected the policemen to be slightly more restrained while accompanying the funeral procession, and certainly be less distraught by the Palestinian flags that were flown on it.	no
האחריות מחייבת: לפעול להרגעת המצב.	The responsibility is demanding: act to appease the situation.	no
טוב עשו השר לביטחון הפנים ומפכ"ל המשטרה שהורו על חקירת האירוע.	The Minister of Internal Security and the Commissioner of Police acted well by initiating the investigation of the incident.	no
דומה שחסרו בו הכנה מספקת והנחיות ברורות, אבל מטרידה העובדה שזאת הפעם השנייה שזה קורה למשטרה בתוך זמן קצר, ובשני מחוזות שונים.	It seems it lacked adequate preparation and clear instructions, but the fact that this is the second time it has happened to the police in a short period, and in two different districts, is troubling.	no
גם בפיגוע בדיזנגוף כשלה המשטרה בניהול האירוע, בבידוד הזירה ובטיפול בתקשורת.	Even in the Dizengoff terrorist attack, the police failed to manage the incident, isolate the scene and handle the media.	no
טוב תעשה ועדת החקירה אם לא תסתפק רק בניתוח התנהלות השוטרים בהלוויה עצמה, אלא גם בהפקת לקחים ומסקנות שיאפשרו טיפול מוצלח יותר באירועים דומים בעתיד.	The investigative committee would do well if it will not settle for analyzing the police officers’ conduct at the funeral itself, but also draw lessons and conclusions that would enable a more successful handling of similar incidents in the future.	no
לצד הטיפול הפנימי במשטרה, מתחייב גם לתת את הדעת על התנהלותם של נבחרי ציבור שאיבדו דרך וכיוון.	Along with the internal dealing with police issues, it is also required to consider the elected officials that have lost their just way of conduct.	no
בכנסת ישראל מכהנים כיום כמה וכמה חברים שמסתמנים כסכנה לדמוקרטיה.	The Israeli Knesset consists of a few Knesset members which are considered a danger to democracy.	no
הם מצויים משמאל ומימין, ומנצלים את חסינותם לא כדי לאתגר את המדינה, אלא כדי לפגוע בה.	They are found on the left and right wing, and exploit their Parliament immunity not for challenging the state, but rather to harm it.	no
ח"כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.	Knesset member, Ofer Kassif, is the most recent example of this; if no action is taken against him—including prosecution for assaulting a police officer—the state will encourage the next elected official to extreme his actions even more.	no
מהלכים כאלה, שהם בבחינת דמוקרטיה מתגוננת, חיוניים בנפיצות של התקופה הזו, כשברקע גורמים שמבקשים לנצל את המצב לצרכים פוליטיים.	Such moves, which are considered moves of defensive democracy, are essential in the explosiveness of this period, with factors in the background seeking to exploit the situation for political needs.	no
מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.	Anyone with common sense is expected to rise above all of these, and act to appease the situation; Otherwise, Israel could quickly be withdrawn into an escalation facing outer country enemies, and worse—against domestic ones.	no
בכיר במשטרה: "נדרשות פה מדיניות ממשלתית והצבת מטרות"	A senior police officer: “Government policy and setting goals are required here”	yes
משטרת ישראל אמנם פתחה במבצע למיגור תופעת השוהים הבלתי חוקיים, אך הדרך עוד ארוכה •	The Israel Police has indeed initiated an operation to eradicate the phenomenon of illegal residents, but the road ahead is still long •	yes
אין היום במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה"."	In the State of Israel, there is currently no single agency that encompasses this whole issue”.	yes
"אם רוצים לטפל בתופעת השוהים הבלתי חוקיים, נדרשת מדיניות ממשלתית, וממנה יש לגזור מטרות, משימות ואחריות.	“If you want to deal with the phenomenon of illegal residents, a government policy is required, from which goals, tasks and responsibilities must be derived.	yes
כיום אין במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה", כך אומר ל"ישראל היום" בכיר במשטרה.	A senior police officer told Israel Hayom, “in the State of Israel, there is currently no single agency that encompasses this whole issue”.	yes
עד לפני חודש וחצי, טרם ההסלמה במצב הביטחוני, התופעה התבטאה בכ-20 עד 30 אלף שב"חים שנכנסים מדי יום דרך הפרצות בגדר.	Up until a month and a half ago, before the escalation of the security situation severity, the phenomenon manifested itself in about 20 to 30 thousand Illegal residents who infiltrate daily through the loopholes in the fence.	yes
נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.	Furthermore, 100 to 110 thousand Palestinians holding work permits enter Israel for work every day, passing through 34 controlled passages.	yes
יצוין כי פלשתינים מועסקים בישראל מאז תום מלחמת ששת הימים, ומספר ההיתרים בכל ענף מוגבל במכסה שקובע הדרג המדיני בהתאם למצב הביטחוני, הכלכלי והמדיני במדינת ישראל.	It should be noted that Palestinians have been employed in Israel since the end of The 1967 Six-Day War, and the number of permits in each sector is limited by the quota set by the political rank according to the security, economic and political situation in Israel.	yes
ההיתרים מונפקים על ידי צה"ל באמצעות מינהלת התיאום והקישור.	The permits are issued by the IDF via the Coordination and Liaison Administration.	yes
לאור זאת, שב"ח אינו בהכרח פלשתיני שכניסתו אסורה בעקבות מעורבות פלילית או קשר לפיגועים, אלא במקרים רבים מדובר בפלשתינים שכניסתם נאסרה משום שאינם עומדים במכסת ההיתרים המותרת.	In light of this, an illegal resident is not necessarily a Palestinian whose entry is prohibited due to criminal involvement or relation to terrorist attacks, but in many cases it is Palestinians whose entry is prohibited because they do not meet the permitted permit quota.	yes
יודגש כי מי שביצעו את הפיגועים באריאל, בדיזנגוף ובאלעד נחשבו אמנם לשב"חים, אך לא היו מפוקחים, משום שלא עברו קודם לכן עבירה פלילית כלשהי שחייבה את גורמי הביטחון לפקח על תנועותיהם.	It should be emphasized that those who carried out the attacks in Ariel, Dizengoff and Elad were indeed considered illegal residents, but were not monitored, because they had not previously committed any criminal offense requiring security forces to monitor their movements.	no
"לכן אין משמעות לכניסה שלהם דרך הפרצות בגדר", אומר גורם ביטחוני בכיר, "מי שרוצה לעשות פיגוע יכול להיכנס לארץ גם דרך המעברים המפוקחים, והיו כבר מקרים כאלה בעבר.	“Therefore, their entry through the loopholes in the fence is meaningless”, says a senior security official, “those who want to carry out an attack can also enter the country through the controlled passages, and there have already been such cases in the past.	no
אלפי מעצרים	Thousands of arrests	no
בעקבות הפיגוע באלעד ולאור ריבוי התרעות לפיגועים, פתחה המשטרה במבצע רחב היקף לאיתור שוהים בלתי חוקיים.	Following the attack in Elad and considering the numerous warnings of attacks, the police launched a large-scale operation to locate illegal residents.	no
עד סוף השבוע נעצרו כ-16,000 שב"חים.	By the end of the week, about 16,000 illegal residents have been arrested.	no
מתוכם כ-600 נחקרו ונפתחו להם תיקים פליליים, ונכלאו כ-200.	Of these, about 600 were investigated and criminal records were opened against them, and about 200 were imprisoned.	no
על פי מדיניות התביעה המשטרתית, הליכים נגד שוהה בלתי חוקי מתבצעים רק כלפי פושעים מועדים או אנשים החוזרים על המעשה שוב ושוב (רצידיביסטים).	According to the police prosecution policy, proceedings against illegal residents are carried out only against habitual criminals or people who repeat the act over and over again (recidivists).	no
שוהה בלתי חוקי שנעצר בפעם הראשונה נחקר, מתועד ומוחזר לשטחים.	An illegal resident arrested for the first time is interrogated, documented and sent back to the occupied territories.	no
לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.	Sometimes this reoccurs, however the individual will only be arrested if this is the third incident. The resident is imprisoned and charged with illegal stay.	no
על פי החוק, אם שוהה בלתי חוקי נתפס בטווח של כ-50 עד 100 מטר מכל צד מגדר ההפרדה, הטיפול בו מתבצע על ידי התביעה הצבאית.	According to the law, if an illegal resident is caught within a range of about 50 to 100 meters from each side of the separation fence, military prosecution will take care of him.	no
מנתונים שהגיעו ל"ישראל היום" עולה כי בשנת 2021 טופלו על ידי המשטרה 40,010 שוהים בלתי חוקיים, מסיעים ומלינים.	Data received by Israel Hayom news shows that in 2021, the police handled 40,010 illegal residents, drivers and lodgers.	no
7,405 שוהים בלתי חוקיים נעצרו ול-19,533 נפתח תיק פלילי.	7,405 illegal residents were arrested and 19,533 got a criminal record opened against them.	no
מספר המעסיקים, מסיעים ומלינים שטופלו על ידי המשטרה בשנת 2021 היה 6,537.	In 2021 the police handled 6,537 employers, transporters and lodgers.	no
469 נעצרו, ול-5,640 נפתחו תיקים פליליים.	469 were arrested, and criminal records were opened against 5,640 of them.	no
"היסודות של תופעת השב"חים לא תלויים במשטרה, לא בצה"ל, לא בחברה הישראלית ולא בחברה הפלשתינית.	“The foundations of the illegal resident phenomenon do not depend on the police, not on the IDF, not on the Israeli or Palestinian society.	no
הם תלויים בגורמים אחרים", אומר בכיר במערכת אכיפת החוק.	That depend on other factors”, says a senior member of the law enforcement system.	no
"כדי לטפל בתופעה יש לעקר את המוטיבציה שלהם לצאת לעבוד בישראל, ובצד הישראלי צריך לגבות מהם מחיר שימנע מהם לחצות את הגדר.	“In order to address this phenomenon, their motivation to go to work in Israel must be sterilized, and on the Israeli side, they have to be charged highly to prevent them from passing the fence.	no
גורמים המעורבים בנושא טוענים כי אי גביית המחיר נובעת בין היתר מחוסר במקומות כליאה ובעובדה שהמעצרים מתבצעים רק כשיש עבירות נלוות או שמדובר ברצידיביסט.	Sources involved claim that the failure to charge the right price is due to, among other things, a lack of prison space and the fact that arrests are only made when there are related offenses or when a recidivist is concerned.	no
גורמים משפטיים טוענים כי ההחלטה לגבות מחיר משב"ח רק החל ממעצרו השלישי התקבלה בין היתר גם משום שבתי המשפט אינם יכולים להתמודד עם מספר המעצרים המתבצעים מדי יום.	Legal sources claim that deciding to collect a price off illegal residents starting from his third arrest, was made because the courts are unable to cope with the high number of arrests carried out every day.	no
מי שיבדוק גם את הענישה, יגלה שהיא לא מרתיעה"."	Whoever examines the punishment as well, will find that it is not a deterrent”.	no
ישנה מורכבות גדולה	This is highly complex	no
שב"ח", אומר גורם משטרתי, "הוא אדם מורכב".	A police official states that an illegal resident is typically a complex person”.	no
הוא יכול להיות אב למשפחה שנכנס לארץ לעבוד כדי להרוויח כמה שקלים ולחזור.	He can be a family father entering Israel to work and earn a few NIS and get back home.	no
זו הפלטפורמה הבסיסית, ועליה מתלבשים המון סוגים של שב"חים שנכנסים לתוך הארץ כדי לבצע עבירות פליליות או פיגועים".	This is the basic platform, and it is used by many types of illegal residents who enter the country to commit criminal offenses or terrorist attacks”.	no
שב"ח יכול להיות בגיר או קטין.	An illegal resident may be an adult or a minor.	no
בעבר נתפסו על ידי המשטרה שוהים בלתי חוקיים בני 16 ואפילו ילדים בני 8 ו-10 נשלחים על ידי הוריהם לצמתים בכבישים, כדי להרוויח כמה שקלים מדי יום מנהגים.	In the past, 16-year-old illegal residents were caught by the police, and even 8- and 10-year-old children were sent by their parents to road junctions, to earn a few NIS a day from drivers.	no
"זה גם הופך את העניין למורכב, כי במקרים כאלה אנחנו צריכים להביא את ההורים ולהגיש נגדם כתב אישום על הזנחה", אומר קצין משטרה בכיר.	“It makes the matter even more complex, since in such cases we need to bring in the parents and charge them for child neglect”, says a senior police officer.	no
מרבית הפלשתינים מועסקים בישראל בעבודות כפיים.	Most Palestinians are employed in Israel as manual laborer.	no
החריג ביותר אלו עבודות חשמל או עבודות בניין מתקדמות.	The most unusual are electrical workers or advanced construction workers.	no
בעבר היו גם רשויות מקומיות שהעסיקו שב"חים בפינוי אשפה, בעיקר בצפון.	In the past, there were also local authorities that employed illegal residents in garbage disposal, mainly in the north.	no
מתוך 34 מעברים, ישנם כ-18 מעברים מרכזיים.	Out of 34 passes, there are about 18 major passes.	no
ישנם מעברים של כלי רכב וסחורות, יש מעברים שעוברים דרכם רק אנשים ויש מעברים שהם גם וגם.	There are passages for vehicles and goods, there are passages through which only people pass, and there are passages which are both.	no
כל המעברים מפוקחים על ידי צה"ל ורשות המעברים.	All crossings are supervised by the IDF and the Crossings Authority.	no
את השב"חים מסיעים לתוך הארץ בדרך כלל נהגים פרטיים, שכן מדובר בכסף קל.	The illegal resident are usually driven into the country by private drivers, as this is easy money earned.	no
"יש כאלה שעושים זאת לפרנסתם ויש כנופיות שהעיסוק המרכזי שלהן זה הסעת שב"חים" אומר בכיר במשטרה, "בדרך כלל מרביתם הם ערבים ישראלים, שמדברים את אותה שפה ומתכתבים איתם.	“There are those who do this for a living, and there are gangs whose main business is transporting illegal residents” says a senior police official, “usually most of them are Israeli Arabs, who speak the same language and correspond with them.	no
זה יכול להגיע ל-100 שקלים עד 300 שקלים לאדם.	The price for transporting can reach as high as 100 NIS to 300 NIS per person.	no
חברות רשומות לא עוסקות בזה, מכיוון שאם החברה תיתפס, דינה להיסגר".	Registered companies do not engage in this, because if the company is caught, it will be closed by law”.	no
במשטרה מדגישים שבתנאים מסוימים, הסעת שב"ח יכולה להיחשב לעבירה.	The police emphasize that on certain conditions, driving an illegal resident might be a criminal act.	no
"נהג מונית שעובד עם רישיונות בהתאם לרישוי וביטוחים, שאוסף פלשתינים בנקודות מסודרות ובשעות קבועות, כולל הזמנה מסודרת, לא עובר על החוק" אומר בכיר במשטרה, "מי שיודע שהוא מסיע שב"ח, בדרך כלל אוסף אותם באישון לילה בנקודות מסתור, כולל הורדה בנקודות נסתרות.	“A taxi driver who works with licenses in accordance with licensing and insurance, who picks up Palestinians at regular points and at regular times, including a regular order, is not breaking the law”, says a senior police officer, “whoever knows he is an illegal resident transporter, usually picks them up in the dead of night at hiding spots, including dropping them off in hidden spots.	no
לרוב החבר'ה האלה מסיעים עם רכב מצ'וקמק כי הם יודעים שנחרים להם את הרכב אז הם מעדיפים לנסוע ברכב ישן".	Generally these guys drive an old car because they know that the car will be confiscated, therefore they prefer to use an old one”.	no
תיעוד: הצתת שדות במושב ציפורי	Documentation: setting fire to fields in Tzipori’s village	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים •	The areas suffer from many arsons, with the damage amounting to tens of thousands of shekels •	yes
במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה	In this focus, the “New Guard” was established in an attempt to eradicate this difficult phenomenon	yes
.	.	no
בתיעוד שהגיע לידי "ישראל היום" ניתן לראות שטחי מרעה במושב ציפורי העולים באש.	In the documentation received today by “Israel Hayom” it is possible to see pasture lands on fire in the village of Tzipori.	yes
שטחי המרעה הם של חיים זילברמן.	The pasture lands belong to Haim Zilberman.	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים.	The areas suffer from many arsons, with the damage amounting to tens of thousands of shekels.	yes
נציין כי במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה.	It should be noted that at this center the “New Guard” was established in an attempt to eradicate this difficult phenomenon.	yes
תרגיל פיקוד העורף: אלו הזמנים בהם תופעל התרעה ביישוב שלכם	Home Front’s Command drill: These are the times when an alarm will sound in your settlement	yes
במסגרת התרגיל המטכ"לי "מרכבות אש", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •	As part of the General Staff’s drill, named “Chariots of Fire”, horn alerts will sound on Sunday, Monday and Wednesday in some key areas across Israel •	yes
במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In the case of a true scenario, an additional alert will be activated and a true event will be reported in the home command application.	yes
פיקוד העורף יקיים היום (ראשון) ובהמשך השבוע תרגילים לתרחישים שונים, ביניהם ירי רקטות ודליפת חומרים מסוכנים.	The Home Front Command will hold drills today (Sunday) and later on this week for various scenarios, including rocket firing and leakage of dangerous substances.	yes
ההיערכות מתבצעת במסגרת התרגיל המטכ"לי "מרכבות אש".	The preparation is being carried out as part of the “Chariots of Fire” general drill.	yes
אלו המועדים בהם תופעל התרעה בצופרים וביישומון פיקוד העורף:	These are the dates when horn alerta will be activated in the Home Front Command’s application:	yes
יום ראשון (15/05):	Sunday (15/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.	• At 10:05 an alert will be activated about the firing of rockets and missiles in the settlement of Ganei Tikva.	yes
יום שני (16/05):	Sunday (16/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים בתל אביב - מרכז העיר.	• At 10:05 an alert will be activated about rocket and missile fire in Tel Aviv – the city center.	yes
יום רביעי (18/05):	Sunday (18/05):	no
• בשעה 10:05 תופעל התרעה על "אירוע חומרים מסוכנים" בטירת הכרמל.	• At 10:05 a warning will be activated about a “hazardous materials incident” in the Tirat Hacarmel.	no
כמו כן, במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	Also, in the case of a true scenario, an additional alert will be activated and a true event will be reported in the home command application.	no
מחבלים יידו מטענים לעבר חיילי צה"ל, שהשיבו באש והרגו אחד מהם	Terrorists threw explosives at IDF soldiers, who fired back and killed one of them	yes
כוחות הביטחון עצרו הלילה 13 מבוקשים ברחבי יהודה ושומרון •	The security forces arrested 13 wanted persons throughout Judea and Samaria tonight •	yes
במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, זוהתה פגיעה •	During the operation, IDF soldiers fired at a number of suspects who threw explosives at them, a hit was detected •	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 מג'נין, מדווח כי נורה מאש צה"ל.	The hospital director in Jenin to which the terrorist was rushed for treatment, Maher Marai, 25 years old from Jenin, reports that the patient was shot by IDF fire.	yes
כוחות צה"ל, שב"כ ומג"ב עצרו הלילה (רביעי) 13 מבוקשים ברחבי יהודה ושומרון.	The forces of the IDF, the ISA and the Border Police arrested 13 wanted persons throughout Judea and Samaria tonight (Wednesday).	yes
הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.	The forces focused in several regions throughout the Judea and Samaria Division to arrest wanted persons, including the village of Rashida and the city of Nablus.	yes
בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.	During the combat activity in Jenin, that is located within the Menashe regional division, two wanted persons suspected of terrorist activity were arrested.	yes
בנוסף, במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, נשמעו קולות ירי במרחב.	In addition, during the operation, the IDF fired at a number of suspects who threw explosives at them, gunshots were heard in the area.	yes
זוהתה פגיעה.	A hit has been detected.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 ממחנה הפליטים ג'נין, מדווח כי נורה מאש צה"ל, מה שהוביל למותו.	The hospital director in Jenin to which the terrorist was rushed for treatment, Maher Marai, 25 years old from Jenin refugee camp, reports that the patient has sustained fatal gunshot wounds by IDF fire.	yes
