בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
והוא הוסיף: "לא הכרתי אותו באופן אישי, אבל הוא היה איש חינוך, מחנך ומנהיג יוצא דופן - לא רק בצד המבצעי, אלא גם בערכי".	And he added: "I didn't know him personally, but he was an extraordinary educator, educator and leader - not just on the operational side, but also in my values".	no
אלוף חליוה ציין כי בהמשך יבחן גם אם לפרסם את תמונתו של גיבור נוסף, סא"ל עמנואל מורנו מסיירת מטכ"ל, שנפל במהלך מלחמת לבנון השנייה, ותמונתו לא הותרה לפרסום.	The colonel mentioned that he would also consider later whether to publish the picture of another hero, Col. Emanuel Moreno from the General Staff, who fell during the Second Lebanon War, and whose picture was not allowed to be published.	no
הפעולה בחאן יונס התרחשה ב-11 בנובמבר 2018.	The operation in Khan Yunis took place on November 11, 2018.	no
המבצע היה שיאם של חודשים ארוכים של הכנות מדוקדקות שבהן לקחה חלק קהילת המודיעין.	The operation was the culmination of months of meticulous preparation involving the intelligence community.	no
בחוליית הפיקוד של המבצע ישבו הרמטכ"ל דאז, רא"ל גדי איזנקוט, ראש אמ"ן דאז, אלוף תמיר היימן וראש השב"כ דאז, נדב ארגמן.	The command group for this operation was the then Chief of Staff, Colonel Gaddi Aysencot, the head of the Army Intelligence Service then, General Tamir Heyman and the then Chief of the General Staff, Nadav Argaman.	no
מטרת הפעולה טרם הותרה לפרסום, ובצה"ל הדגישו כי מדובר בפעולה שערכה המודיעיני לא יסולא בפז.	The purpose of the operation has not been made public, and the IDF has stressed that this is an unprecedented intelligence operation.	no
אך בתקשורת הערבית הוצג בדיעבד ציוד קשר שלדברי הפלשתינים הושאר על ידי הכוחות מאחור.	But the Arab media featured the discovery of communications equipment the Palestinians say was left behind by the forces behind.	no
לטענת חמאס, המבצע נועד להטמנת מכשירי האזנה.	According to Hamas, the operation was to jam the wiretaps.	no
על פי פרסומים, ביום האירוע נסע הכוח בשני כלי רכב.	According to public records, on the day of the incident, the force was traveling in two vehicles.	no
הלוחמים נעצרו במחסום שנפרס על ידי אנשי חמאס, ומשהו בהתנהגותם עורר את חשדם של פעילי חמאס.	The fighters were stopped at a checkpoint set up by Hamas men, and something about their behavior aroused the suspicion of Hamas operatives.	no
הפעילים הקיפו את הרכב והחלו לתשאל את נוסעיו.	The activists surrounded the vehicle and began questioning its passengers.	no
החקירה בשטח ארכה כ-45 דקות, שבמהלכן הפכה אגרסיבית יותר ויותר.	The field interrogation lasted about 45 minutes, during which time she became more and more aggressive.	no
כשהכוח הבין שהוא נמצא במצב בעייתי, הצליח סא"ל ח'יר א-דין להסיח את דעתם של אנשי חמאס, ובשבריר שנייה זה הצליח מפקד הכוח, סא"ל א', לפתוח באש.	When the force realized he was in trouble, Colonel Khair a-Din managed to distract the Hamas men, and in a split second the commander of the force, Colonel A, opened fire.	no
מהאש נהרגו שלושה אנשי חמאס, ולמרבה הצער גם סא"ל ח'יר א-דין.	The fire killed three Hamas members, and sadly, also Lt. Col.	no
עשרה חודשים לאחר האירוע הקשה החליט הרמטכ"ל, רא"ל אביב כוכבי, לקבל את המלצת ועדת הצל"שים ולהעניק צל"ש רמטכ"ל לשלושה מהלוחמים בתקרית בעומק הרצועה - ביניהם גם סא"ל ח'יר א-דין ז"ל.	Ten months after the hard event, the Chief of Staff, Aviem Chouhebi, decided to accept the recommendation of the CSC and to award the CSC to three of the fighters involved in the incident deep in the Gaza Strip - including General Khair E. Deen Jr.	no
מפקד כוח הלוחמים ולוחם נוסף בצוות קיבלו אף הם צל"ש.	The commander of the fighting force and another member of the team were also awarded the Medal of Honor.	no
בהודעת הצבא נמסר אז כי סא"ל מ' קיבל את הצל"ש על "פעילותו במבצע עם צוותו, בשטח אויב, בנחישות, קור רוח ואומץ, להגנה על חבריו.	The Army said then that Sgt. M received the medal "for his participation in the operation with his squad, in enemy territory, with determination, courage and courage, to protect his comrades".	no
בהמשך פעל מתוך יוזמה וחתירה למגע, נטל תפקיד קדמי בהשתלטות על האויב ופעל בתושייה לקידום ההשתלטות.	He subsequently acted with initiative and undermined contact, taking a leading role in the take-over of the enemy and worked diligently to promote the conquest.	no
לשקול מעבר ממבצעי פינצטה למבצע נרחב	Consider moving from a small operation to a large operation.	no
ישראל צריכה לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין •	Israel should ask itself, again, whether it is right to change policy in the face of Jenin's cut	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and burn up the West Bank in its wake, but the Jenin gunmen may not have left her any choice.	no
סוף השבוע הסוער שעברנו מלמד שאף על פי שחודש הרמדאן מאחורינו, השטח עדיין נפיץ מתמיד.	This stormy weekend has taught us that even though the month of Ramadan is behind us, the ground is still constantly boiling.	no
יידרשו מאמצים רבים ושכל ישר כדי לחצות בשלום את שני מועדי האזכור הקרובים: יום ה"נכבה" שחל היום (ראשון), ויום ירושלים שיצוין בעוד שבועיים.	Many efforts and good sense will be needed to get through the next two commemorations - Nakba Day today and Jerusalem Day two weeks from today - safely.	no
לא מעט גורמים יתייצבו מנגד בניסיון לטרפד חזרה לשפיות.	Quite a few elements will stand in the way of attempting to bring her back to sanity.	no
בראשם, כתמיד, גורמי הטרור, שמרכזים מאמץ מיוחד בניסיון לשמר את האווירה האלימה של השבועות האחרונים.	In the lead, as always, are the terrorist elements, who are making a special effort to maintain the violent atmosphere of recent weeks.	no
עדות לכך ניתנה במהלך מבצע המעצרים שבו נהרג שלשום לוחם הימ"מ, רס"ב נעם רז ז"ל.	Evidence of this was given during the arrest operation in which a MFA fighter, R.S.B. Naim Rizz Zl., was killed the day before.	no
לוחמים שהשתתפו בקרב בג'נין העידו כי הם אינם זוכרים היקף כזה של ירי ואלימות - עדות לא רק לכמות האדירה של אמל"ח שיש בשטח, אלא גם לנכונות להשתמש בו.	Fighters who fought at the battle of Jenin testified that they could not recall such a scale of gunfire and violence - testimony not only to the enormous amount of ammunition in the area, but to the willingness to use it.	no
זה מחייב את ישראל לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין, ולעבור ממבצעי פינצטה קטנים ומבוססי מודיעין למבצע נרחב ומבוסס מסה.	This forces Israel to ask itself, again, whether it is wrong to change policy in the face of the Genin Strip, and move from small, intelligence-based Finzeta operations to a large, mass-based operation.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה ואת הזירה כולה; גם כעת, מעדיפה מערכת הביטחון לפעול סלקטיבית, כשנדרש, כדי להימנע מתבערה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and then set on fire the entire West Bank and the whole arena; even now, the security system prefers to act selectively, when necessary, to avoid arson, but the Jenin gunmen may leave it with no choice.	no
להפיק את הלקחים לאירועי העתיד.	Draw lessons for future events.	no
מותו של רז בקרב הוא התשובה הטובה ביותר שיכולה ישראל לתת לכל מי שטוען כי הרגה במתכוון את עיתונאית אל־ג'זירה, שירין אבו עאקלה.	Riz's death in battle is the best answer Israel can give to anyone who claims that it intentionally killed Al-Jazeera journalist Shirin Abu Akhla.	no
פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.	An operational activity is a dangerous thing for those who participate in it and those on the scene.	no
צה"ל לוקח סיכונים אדירים לכוחותיו כדי להימנע ככל הניתן מפגיעה בחפים מפשע, ולעיתים משלם על כך בחיי לוחמים.	The military takes enormous risks for its forces to avoid harm to innocents as much as possible, and sometimes pays for it with the lives of fighters.	no
זה מעיד על מוסריות גבוהה, אבל יש בכך גם ערך מבצעי־מודיעיני: מחבל שנתפס חי - כפי שקרה שלשום בג'נין - הוא מקור מצוין למידע על אמל"ח, פיגועים ומחבלים נוספים; זה מידע שלרוב לא ניתן להשיגו בדרך אחרת, ובאמצעותו אפשר לסכל את הפיגועים הבאים.	It's about high ethics, but it also has operational intelligence value: a terrorist captured alive - as happened yesterday in Jenin - is an excellent source of intel on plots, attacks, and other terrorists; it is information that rarely can be obtained in any other way, and it can be used to thwart future attacks.	no
צה"ל נהג נכון כאשר פרסם שלשום את תחקיר הביניים שערך בפרשת מותה של אבו עאקלה, והבהיר כי לא ניתן לקבוע בשלב הזה מי גרם למותה.	The IDF was right when it published yesterday an interim report into the death of Abu Aqaba, and made it clear that it's impossible to determine at this point who caused her death.	no
בהיעדר שיתוף פעולה פלשתיני, ספק אם ניתן יהיה להגיע לשורה תחתונה חד־משמעית בפרשה.	In the absence of Palestinian cooperation, it is doubtful that a definite bottom line can be reached in the matter.	no
ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה"ל פועל ללא הרף בג'נין.	Still, it seems nothing will convince the convinced: the world has already rushed to condemn Israel without having to balance this by a word of empathy for the victims of Palestinian terror - the original reason why the IDF is working tirelessly in Jenin.	no
כתמיד, טבעם של סיפורים כאלה לגווע.	As always, the nature of such stories is to perish.	no
דעת הקהל העולמית עסוקה בשלה וממשיכה הלאה, ודאי כשבאוקראינה ממשיכה להשתולל מלחמה אינטנסיבית פי כמה.	World public opinion is preoccupied with her and going on, certainly as the war in Ukraine continues to rage on an even more intense scale.	no
לכן, חבל שישראל התעקשה לתת לפרשת מותה של אבו עאקלה עוד רגעים מיותרים של חשיפה, עם הטיפול הלא מוצלח של המשטרה בהלווייתה.	Therefore, it's a shame that Israel insisted on giving the Abu Aqal death case further unnecessary moments of exposure, with the police's unsuccessful handling of her funeral.	no
גם אם משפחתה של אבו־עאקלה לא עמדה בסיכומים המוקדמים, צריך היה לצפות לקצת יותר יכולת הבלגה מהשוטרים שליוו את מסע ההלוויה, ובוודאי להתרגש פחות מדגלי פלשתין שהונפו בה.	Even if the family did not agree with the preliminary conclusions, one should have expected a little more eloquence from the police accompanying the funeral procession, and certainly less to be overcome by the Palestinian flags flying there.	no
האחריות מחייבת: לפעול להרגעת המצב.	Responsibility: to act to calm the situation.	no
טוב עשו השר לביטחון הפנים ומפכ"ל המשטרה שהורו על חקירת האירוע.	Well done to the Minister of Homeland Security and the Commissioner of Police for ordering an investigation into this incident.	no
דומה שחסרו בו הכנה מספקת והנחיות ברורות, אבל מטרידה העובדה שזאת הפעם השנייה שזה קורה למשטרה בתוך זמן קצר, ובשני מחוזות שונים.	He appears to have lacked adequate preparation and clear instructions, but it's troubling the fact that this is the second time this has happened to the police in a short time, and in two different counties.	no
גם בפיגוע בדיזנגוף כשלה המשטרה בניהול האירוע, בבידוד הזירה ובטיפול בתקשורת.	Also in the Dizengoff attack, the police failed to manage the event, isolate the scene, and handle the media.	no
טוב תעשה ועדת החקירה אם לא תסתפק רק בניתוח התנהלות השוטרים בהלוויה עצמה, אלא גם בהפקת לקחים ומסקנות שיאפשרו טיפול מוצלח יותר באירועים דומים בעתיד.	The board of inquiry would do well not only to analyze the conduct of the officers at the funeral itself, but also to draw lessons and conclusions that could make more successful handling of similar incidents in the future.	no
לצד הטיפול הפנימי במשטרה, מתחייב גם לתת את הדעת על התנהלותם של נבחרי ציבור שאיבדו דרך וכיוון.	Besides internal police care, he also undertakes to give an opinion on the conduct of elected public officials who have lost their way.	no
בכנסת ישראל מכהנים כיום כמה וכמה חברים שמסתמנים כסכנה לדמוקרטיה.	There are currently several members in the Knesset who pose a threat to democracy.	no
הם מצויים משמאל ומימין, ומנצלים את חסינותם לא כדי לאתגר את המדינה, אלא כדי לפגוע בה.	They're on the left and the right, and they use their immunity not to challenge the state, but to harm it.	no
ח"כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.	AKOF Kaseif is the latest example of this; if no action is taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next elected official to further police his actions.	no
מהלכים כאלה, שהם בבחינת דמוקרטיה מתגוננת, חיוניים בנפיצות של התקופה הזו, כשברקע גורמים שמבקשים לנצל את המצב לצרכים פוליטיים.	Such actions, which are part of defensive democracy, are vital in the explosions of this period, when in the background there are elements who want to exploit the situation for political interests.	no
מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.	Anyone with any sense is expected to rise above it all and work to calm the situation; otherwise, Israel could quickly slip into an escalation in the face of enemies from beyond, and worse, enemies at home.	no
בכיר במשטרה: "נדרשות פה מדיניות ממשלתית והצבת מטרות"	Senior police officer: "This requires government policy and targeting"	yes
משטרת ישראל אמנם פתחה במבצע למיגור תופעת השוהים הבלתי חוקיים, אך הדרך עוד ארוכה •	Israeli police have launched an operation to eliminate the phenomenon of illegal immigrants, but there is still a long way to go.	yes
אין היום במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה"."	"There is no single factor in the State of Israel today that encompasses all of that.	yes
"אם רוצים לטפל בתופעת השוהים הבלתי חוקיים, נדרשת מדיניות ממשלתית, וממנה יש לגזור מטרות, משימות ואחריות.	"If we want to address the phenomenon of illegal residents, we need government policy, and we need to weed out goals and tasks and responsibilities.	yes
כיום אין במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה", כך אומר ל"ישראל היום" בכיר במשטרה.	"There is no single factor in the State of Israel that covers this whole issue", a senior police official told Israel Today.	yes
עד לפני חודש וחצי, טרם ההסלמה במצב הביטחוני, התופעה התבטאה בכ-20 עד 30 אלף שב"חים שנכנסים מדי יום דרך הפרצות בגדר.	Until a month and a half ago, before the escalation of the security situation, the phenomenon was manifested in the 20 to 30 thousand people who entered daily through the breaches in the fence.	yes
נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.	In addition, between 100,000 and 110,000 Palestinians with work permits enter Israel daily to work through 34 controlled crossings.	yes
יצוין כי פלשתינים מועסקים בישראל מאז תום מלחמת ששת הימים, ומספר ההיתרים בכל ענף מוגבל במכסה שקובע הדרג המדיני בהתאם למצב הביטחוני, הכלכלי והמדיני במדינת ישראל.	It should be noted that Palestinians have been employed in Israel since the end of the Six Day War, and the number of permits in each branch is limited to the amount determined by the diplomatic rank depending on the security, economic and political situation in the State of Israel.	yes
ההיתרים מונפקים על ידי צה"ל באמצעות מינהלת התיאום והקישור.	The permits are issued by the IDF through the Coordination and Liaison Department.	yes
לאור זאת, שב"ח אינו בהכרח פלשתיני שכניסתו אסורה בעקבות מעורבות פלילית או קשר לפיגועים, אלא במקרים רבים מדובר בפלשתינים שכניסתם נאסרה משום שאינם עומדים במכסת ההיתרים המותרת.	In light of this, the hospital is not necessarily a Palestinian barred from entering for criminal involvement or connection with terrorism, but in many cases they are Palestinians banned from entering because they do not meet the permit amount.	yes
יודגש כי מי שביצעו את הפיגועים באריאל, בדיזנגוף ובאלעד נחשבו אמנם לשב"חים, אך לא היו מפוקחים, משום שלא עברו קודם לכן עבירה פלילית כלשהי שחייבה את גורמי הביטחון לפקח על תנועותיהם.	It should be stressed that those who carried out the attacks on Ariel, Dizengoff and Balad were considered to be SDF, but they were not supervised, because they had not previously committed any criminal offence that required the security forces to monitor their movements.	no
"לכן אין משמעות לכניסה שלהם דרך הפרצות בגדר", אומר גורם ביטחוני בכיר, "מי שרוצה לעשות פיגוע יכול להיכנס לארץ גם דרך המעברים המפוקחים, והיו כבר מקרים כאלה בעבר.	"So there is no meaning to their entry through breaches in the fence", says a senior security official. "Those who want to carry out an attack can also enter the country through the controlled crossings, and there have been such cases before.	no
אלפי מעצרים	Thousands Arrested	no
בעקבות הפיגוע באלעד ולאור ריבוי התרעות לפיגועים, פתחה המשטרה במבצע רחב היקף לאיתור שוהים בלתי חוקיים.	Following the attack in Aledo and in light of the multiple threat alerts, the police have launched a massive operation to find illegal aliens.	no
עד סוף השבוע נעצרו כ-16,000 שב"חים.	By the end of the week, 16,000 workers had been arrested.	no
מתוכם כ-600 נחקרו ונפתחו להם תיקים פליליים, ונכלאו כ-200.	Of these, about 600 were investigated and prosecuted, and about 200 were imprisoned.	no
על פי מדיניות התביעה המשטרתית, הליכים נגד שוהה בלתי חוקי מתבצעים רק כלפי פושעים מועדים או אנשים החוזרים על המעשה שוב ושוב (רצידיביסטים).	According to police prosecution policy, unlawful detention proceedings are only conducted against would-be criminals or repeat offenders (recidivists).	no
שוהה בלתי חוקי שנעצר בפעם הראשונה נחקר, מתועד ומוחזר לשטחים.	An illegal stay arrested for the first time is interrogated, documented and returned to the territories.	no
לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.	Sometimes it happened a second time, but it was not until the third time that he was arrested, imprisoned, and charged with being illegal.	no
על פי החוק, אם שוהה בלתי חוקי נתפס בטווח של כ-50 עד 100 מטר מכל צד מגדר ההפרדה, הטיפול בו מתבצע על ידי התביעה הצבאית.	According to the law, if an illegal stay is apprehended within 50 to 100 yards of either side of the separation wall, it is dealt with by military prosecution.	no
מנתונים שהגיעו ל"ישראל היום" עולה כי בשנת 2021 טופלו על ידי המשטרה 40,010 שוהים בלתי חוקיים, מסיעים ומלינים.	Data obtained by Israel Today shows that in 2021, 40,010 illegal residents, drivers, and migrants were dealt with by the police.	no
7,405 שוהים בלתי חוקיים נעצרו ול-19,533 נפתח תיק פלילי.	7,405 illegal residents were arrested and 19,533 criminal cases were opened.	no
מספר המעסיקים, מסיעים ומלינים שטופלו על ידי המשטרה בשנת 2021 היה 6,537.	The number of employers, drivers, and sailors treated by the police in 2021 was 6,537.	no
469 נעצרו, ול-5,640 נפתחו תיקים פליליים.	469 were arrested, and 5,640 criminal cases were opened.	no
"היסודות של תופעת השב"חים לא תלויים במשטרה, לא בצה"ל, לא בחברה הישראלית ולא בחברה הפלשתינית.	'The foundations of the SHAP phenomenon do not depend on the police, the IDF, nor the Israeli society or the Palestinian society.	no
הם תלויים בגורמים אחרים", אומר בכיר במערכת אכיפת החוק.	They depend on other factors", says a senior law enforcement official.	no
"כדי לטפל בתופעה יש לעקר את המוטיבציה שלהם לצאת לעבוד בישראל, ובצד הישראלי צריך לגבות מהם מחיר שימנע מהם לחצות את הגדר.	To address the phenomenon, we have to stifle their motivation to work in Israel, and the Israeli side must charge them a price that prevents them from crossing the fence.	no
גורמים המעורבים בנושא טוענים כי אי גביית המחיר נובעת בין היתר מחוסר במקומות כליאה ובעובדה שהמעצרים מתבצעים רק כשיש עבירות נלוות או שמדובר ברצידיביסט.	Sources involved in the matter claim that the non-payment of the price stems, among other things, from the lack of facilities and the fact that arrests are only made for accompanying offenses or when there is a serial rapist.	no
גורמים משפטיים טוענים כי ההחלטה לגבות מחיר משב"ח רק החל ממעצרו השלישי התקבלה בין היתר גם משום שבתי המשפט אינם יכולים להתמודד עם מספר המעצרים המתבצעים מדי יום.	Legal sources claim the decision to charge a price for his third arrest was made partly because the courts cannot cope with the number of arrests being made every day.	no
מי שיבדוק גם את הענישה, יגלה שהיא לא מרתיעה"."	"Whoever examines the punishment also, will find that it is not deterrent".	no
ישנה מורכבות גדולה	There's a great complexity.	no
שב"ח", אומר גורם משטרתי, "הוא אדם מורכב".	"The suspect", says a police source, "is a complicated man".	no
הוא יכול להיות אב למשפחה שנכנס לארץ לעבוד כדי להרוויח כמה שקלים ולחזור.	He could be a family man who went to the country to work to earn a few shekels and come back.	no
זו הפלטפורמה הבסיסית, ועליה מתלבשים המון סוגים של שב"חים שנכנסים לתוך הארץ כדי לבצע עבירות פליליות או פיגועים".	It's the basic platform, and on this platform you dress up a lot of types of terrorists who are coming into the country to commit crimes or attacks".	no
שב"ח יכול להיות בגיר או קטין.	A stroke can be major or minor.	no
בעבר נתפסו על ידי המשטרה שוהים בלתי חוקיים בני 16 ואפילו ילדים בני 8 ו-10 נשלחים על ידי הוריהם לצמתים בכבישים, כדי להרוויח כמה שקלים מדי יום מנהגים.	In the past, 16-year-old illegal immigrants have been caught by the police, and even children aged 8 and 10 are sent by their parents to crossroads to earn a few shekels a day.	no
"זה גם הופך את העניין למורכב, כי במקרים כאלה אנחנו צריכים להביא את ההורים ולהגיש נגדם כתב אישום על הזנחה", אומר קצין משטרה בכיר.	"It also makes things difficult, because in these cases we have to bring in the parents and charge them with neglect", says a senior police officer.	no
מרבית הפלשתינים מועסקים בישראל בעבודות כפיים.	Most Palestinians are employed in Israel in manual labor.	no
החריג ביותר אלו עבודות חשמל או עבודות בניין מתקדמות.	The most unusual are electrical jobs or advanced construction work.	no
בעבר היו גם רשויות מקומיות שהעסיקו שב"חים בפינוי אשפה, בעיקר בצפון.	In the past, there were also local authorities who employed garbage collectors, mainly in the north.	no
מתוך 34 מעברים, ישנם כ-18 מעברים מרכזיים.	Of the 34 crossings, there are about 18 major crossings.	no
ישנם מעברים של כלי רכב וסחורות, יש מעברים שעוברים דרכם רק אנשים ויש מעברים שהם גם וגם.	There are crossings for vehicles and goods, there are crossings that only people pass, and there are crossings that are both.	no
כל המעברים מפוקחים על ידי צה"ל ורשות המעברים.	All the crossings are controlled by the IDF and the transit authority.	no
את השב"חים מסיעים לתוך הארץ בדרך כלל נהגים פרטיים, שכן מדובר בכסף קל.	The aliens are usually driven into the country by private drivers, so it's easy money.	no
"יש כאלה שעושים זאת לפרנסתם ויש כנופיות שהעיסוק המרכזי שלהן זה הסעת שב"חים" אומר בכיר במשטרה, "בדרך כלל מרביתם הם ערבים ישראלים, שמדברים את אותה שפה ומתכתבים איתם.	"There are those who do this for a living, and there are gangs whose main business is the transportation of Jews", says a senior police officer, "usually mostly Arab Israelis, who speak the same language and correspond with them.	no
זה יכול להגיע ל-100 שקלים עד 300 שקלים לאדם.	It can go up to 100 shekels to 300 shekels per person.	no
חברות רשומות לא עוסקות בזה, מכיוון שאם החברה תיתפס, דינה להיסגר".	Registered companies don't do that, because if the company is caught, it's doomed".	no
במשטרה מדגישים שבתנאים מסוימים, הסעת שב"ח יכולה להיחשב לעבירה.	Police emphasise that under certain circumstances, transporting a patient to a hospital can be a criminal offence.	no
"נהג מונית שעובד עם רישיונות בהתאם לרישוי וביטוחים, שאוסף פלשתינים בנקודות מסודרות ובשעות קבועות, כולל הזמנה מסודרת, לא עובר על החוק" אומר בכיר במשטרה, "מי שיודע שהוא מסיע שב"ח, בדרך כלל אוסף אותם באישון לילה בנקודות מסתור, כולל הורדה בנקודות נסתרות.	"A taxi driver, working with licenses in accordance with the license and insurance, who collects Palestinians at regular points and at regular hours, including regular reservations, does not break the law", says a senior police officer, "who knows he is travelling to the hospital, usually collects them at night in hidden places, including unloading at hidden points".	no
לרוב החבר'ה האלה מסיעים עם רכב מצ'וקמק כי הם יודעים שנחרים להם את הרכב אז הם מעדיפים לנסוע ברכב ישן".	Most of these guys drive in a Chewbacca because they know they're going to be impounded, so they'd rather drive the old car".	no
תיעוד: הצתת שדות במושב ציפורי	Documentary: Field fires in a bird's seat	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים •	The area is suffering from numerous fires, with damage amounting to tens of thousands of shekels.	yes
במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה	It was at this point that the New Guard was established in an attempt to stamp out the hard-won phenomenon of the dark ages.	yes
.	I know.	no
בתיעוד שהגיע לידי "ישראל היום" ניתן לראות שטחי מרעה במושב ציפורי העולים באש.	Documentation obtained by Israel Today shows grazing areas in the seat of the burning birds.	yes
שטחי המרעה הם של חיים זילברמן.	The pasture lands are owned by the Zilbermans.	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים.	The area has suffered many fires, with damage amounting to tens of thousands of shekels.	yes
נציין כי במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה.	It should be noted that it was at this juncture that the New Guard was formed in an attempt to stamp out the evil.	yes
תרגיל פיקוד העורף: אלו הזמנים בהם תופעל התרעה ביישוב שלכם	Back-up Exercise: These are the times when the alert is triggered in your community.	yes
במסגרת התרגיל המטכ"לי "מרכבות אש", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •	As part of the "Chariots of Fire" major exercise, sirens will be heard on Sunday, Monday, and Wednesday in several locations in Israel.	yes
במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In the event of a true scenario, an additional alert will be activated and a true event will be reported to the forward command.	yes
פיקוד העורף יקיים היום (ראשון) ובהמשך השבוע תרגילים לתרחישים שונים, ביניהם ירי רקטות ודליפת חומרים מסוכנים.	The HQ will have exercises today and throughout the week for various scenarios, including the firing of rockets and leakage of hazardous materials.	yes
ההיערכות מתבצעת במסגרת התרגיל המטכ"לי "מרכבות אש".	The staging is part of the "Chariots of Fire" exercise.	yes
אלו המועדים בהם תופעל התרעה בצופרים וביישומון פיקוד העורף:	These are the times when sirens are sounded and the rear command is applied:	yes
יום ראשון (15/05):	Sunday the 15th of May:	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.	• At 10:05 a.m., a rocket and missile alert is activated in the community of Garden of Hope.	yes
יום שני (16/05):	Monday, May 16th:	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים בתל אביב - מרכז העיר.	• At 10:05 a.m., a missile warning will be activated in downtown Tel Aviv.	yes
יום רביעי (18/05):	Wednesday the 18th of May.	no
• בשעה 10:05 תופעל התרעה על "אירוע חומרים מסוכנים" בטירת הכרמל.	• At 10:05 a.m., the Carmel Castle Hazardous Materials Event Alert is activated.	no
כמו כן, במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	Also, in the event of a true scenario, an additional alert will be activated and a true event will be reported to the aft command implementation.	no
מחבלים יידו מטענים לעבר חיילי צה"ל, שהשיבו באש והרגו אחד מהם	Terrorists unleashed charges at IDF soldiers, who returned fire, killing one of their own.	yes
כוחות הביטחון עצרו הלילה 13 מבוקשים ברחבי יהודה ושומרון •	Security forces arrested 13 wanted men across Judea and Samaria tonight.	yes
במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, זוהתה פגיעה •	During the operation, the IDF fired at several suspects who threw rounds at them. A casualty was identified.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 מג'נין, מדווח כי נורה מאש צה"ל.	The director of the Jenin hospital that the terrorist was addressing, Maher Merai, 25, from Jenin, reports that he was shot by IDF fire.	yes
כוחות צה"ל, שב"כ ומג"ב עצרו הלילה (רביעי) 13 מבוקשים ברחבי יהודה ושומרון.	IDF, RC and FEMA forces arrested 13 wanted men throughout Judea and Samaria.	yes
הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.	The forces operated in several locations throughout the Judea and Samaria governorate to arrest wanted persons, including in the village of Rashida and the town of Shkem.	yes
בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.	In the activity of the fighters in the city of Jenin, in the area of the Manisha Air Brigade, two wanted suspects were arrested on suspicion of terrorist activity.	yes
