בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
בהקשר זה יש לציין כי מדובר בממצא חשוב לאור המסקנה החד-משמעית: במקרים שבהם מופיע סיפור משפחתי של מחלת קרטוקונוס, על כל בני המשפחה לגשת לבדיקת עיניים מתאימה בהקדם.	In this context, it should be noted that this is an important finding given the unequivocal conclusion: in cases where there is a family history of keratoconus disease, all family members should undergo appropriate eye examination as soon as possible.	no
לדברי ארזה פרוכטר, אופטומטריסטית קלינית B.Sc, "יש פנייה של פי עשרה לקליניקה מאזורי פריפריה מרוחקים, בעיקר מאזור הדרום, לעומת המרכז".	According to Erezah Fruchter, a clinical optometrist B.Sc, "There is a tenfold increase in referrals to the clinic from remote peripheral areas, mainly from the south, compared to the center."	no
פרוכטר מוסיפה כי "בעשור האחרון שמתי לב שרוב המטופלים פונים מהפריפריה, במיוחד מאזור באר שבע.	Proctor adds that "In the last decade, I noticed that most of the patients come from the periphery, especially from the Be'er Sheva area."	no
הדבר נובע בעיקר משכיחות גבוהה של נישואים בתוך המשפחה (בעיקר במגזר הבדואי) ומאלרגיות שונות, וחוסר מודעות לטיפול נכון בבעיה".	This is mainly due to the high prevalence of marriages within the family (especially in the Bedouin sector) and various allergies, and a lack of awareness of the proper treatment of the problem.	no
אז איך מאבחנים המחלה?	So how is the disease diagnosed?	no
פרוכטר מסבירה שקרטוקונוס מתפתחת בדרך כלל בגיל ההתבגרות או בשנות העשרה המאוחרות (בגילים 16-15 או 20).	Proctor explains that keratoconus usually develops during adolescence or in the late teens (ages 15-16 or 20).	no
המחלה כוללת ירידה בראייה, במקביל לעלייה בצילינדר.	The disease involves a decrease in vision, along with an increase in cylinder.	no
חולי קרטוקונוס מעידים על ראייה מעוותת ו/או מטושטשת של דמויות ועצמים.	People with keratoconus report distorted and/or blurred vision of figures and objects.	no
סימנים אלה מחמירים עם ההתפתחות במחלה, שלרוב מתפתחת באופן איטי והדרגתי לאורך שנים.	These symptoms worsen with the progression of the disease, which usually develops slowly and gradually over the years.	no
עם זאת, המחלה עשויה גם להתפתח בקצב מהיר ולהגיע לשיאה בתוך חודשים ספורים בלבד.	However, the disease can also progress rapidly and reach its peak within just a few months.	no
רבים מהחולים אף מעידים על רגישות מוגברת לאור.	Many of the patients even report increased sensitivity to light.	no
כשלוש שנים לאחר הפעולה בעזה - צה"ל חשף את שמו של סא"ל מ'; בנט: "כעת, העם מכיר את פניו של גיבור ישראל"	Three years after the operation in Gaza - the IDF revealed the name of Sgt. M'; Bennett: "Now, the people know the face of an Israeli hero."	yes
מחמוד ח'יר א-דין מהכפר חורפיש הוא סגן אלוף שנהרג במבצע בחאן יונס •	Mahmoud Khair al-Din from the village of Hurfeish is a deputy general who was killed in the operation in Khan Yunis.	yes
ראש אמ"ן: "הפרסום מגיע לו, למשפחתו ולילדיו" •	The head of AMAN: "The publicity is deserved, for him, his family and his children".	yes
בהמשך תיבחן האפשרות לפרסם את תמונתו של סא"ל עמנואל מורנו מסיירת מטכ"ל	Later on, the possibility of publishing the picture of Staff Sergeant Emanuel Moreno from the Sayeret Matkal will be examined.	yes
כשלוש שנים וחצי לאחר הפעולה שהסתבכה בחאן יונס, צה"ל מתיר היום לפרסם כי ההרוג בפעולה, סא"ל מ', הוא סא"ל מחמוד ח'יר א-דין ז"ל מהכפר חורפיש שבצפון.	Three and a half years after the operation that went wrong in Khan Yunis, the IDF today allows the publication that the one killed in the operation, Sgt. M', is Sgt. Mahmoud Khair al-Din of blessed memory from the village of Hurfeish in the north.	yes
בן 41 היה בנופלו.	He was 41 at the time of his death.	yes
רה"מ בנט אמר לאחר הפרסום: "עברו שלוש וחצי שנים מאז שסגן אלוף מחמוד חיר אל-דין ז"ל נפל בקרב במבצע סודי בחאן יוניס, ורק עכשיו מותר לנו לגלות את שמו ולהודות לו על תרומתו ומסירותו לביטחון המדינה.	Prime Minister Bennett said after the publication: "Three and a half years have passed since Brigadier General Mahmoud Hir Al-Din fell in battle during a secret operation in Khan Yunis, and only now are we allowed to reveal his name and thank him for his contribution and dedication to the security of the state."	yes
‏"מחמוד ז"ל היה לוחם בסיירת צנחנים ואחר כך צמח בשורות הצבא להיות סגן אלוף במערך המבצעים המיוחדים של צה"ל.	"Mahmoud, may his memory be a blessing, was a fighter in the Paratroopers Brigade and later rose through the ranks of the army to become a Major General in the IDF's special operations division.	yes
גיבור ישראל שעוטר לאחר מותו בצל"ש הרמטכ"ל".	An Israeli hero who was posthumously awarded the Chief of Staff's citation.	yes
עוד אמר: "‏ספדתי לו בהלוויתו וכעת יש זכות לעם ישראל להכיר אותו, את שמו ואת פניו של גיבור ישראל, סגן אלוף מחמוד חיר אל-דין, בגלוי.	He also said: "I eulogized him at his funeral and now the people of Israel have the right to know him, his name and the face of an Israeli hero, Major General Mahmoud Hir Al-Din, openly.	yes
הסביבה נשאה אליו את עיניה.	The environment turned its eyes towards him.	no
מאז המבצע אסר צה"ל את פרסום שמו משיקולים ביטחוניים, והיום, לאחר דיון שערך ראש אגף המודיעין, אלוף אהרון חליוה, עם נציגי הצנזורה הצבאית, ובהסכמת בני משפחתו, הוחלט לפרסם את שמו ותמונתו.	Since the operation, the IDF has banned the publication of his name for security reasons, and today, after a discussion held by the head of the Intelligence Division, Major General Aharon Haliva, with representatives of the military censorship, and with the consent of his family, it was decided to publish his name and picture.	no
מחמוד ח'יר א-דין, גיבור ישראל, נולד ב-28 בדצמבר 1977 בכפר חורפיש שבגליל העליון, בן בכור להוריו אחמד ונזירה, ולו שבעה אחים ואחיות.	Mahmoud Khair Eddin, an Israeli hero, was born on December 28, 1977 in the village of Hurfeish in the Upper Galilee, the eldest son of his parents Ahmad and Nazira, and he has seven brothers and sisters.	no
הוא בן העדה הדרוזית.	He is a member of the Druze community.	no
היה נשוי לנאהד ואב לשני בנים.	He was married to Nahed and a father of two sons.	no
הוא שירת כקצין, לוחם ומפקד במערך המבצעים המיוחדים באגף המודיעין.	He served as an officer, fighter and commander in the special operations system in the intelligence wing.	no
לאורך כל חייו היה ח'יר א-דין מוביל חברתי, והסביבה נשאה אליו את עיניה.	Throughout his life, Ch'ir a-Din was a social leader, and the community looked up to him.	no
עד כיתה ט' למד בבית הספר בכפר חורפיש, ולאחר מכן עבר לפנימייה הצבאית שבבית הספר הריאלי בחיפה.	Until ninth grade, he studied at the school in Kfar Horefish, and then moved to the military boarding school at the Reali School in Haifa.	no
באוקטובר 1997 התגייס לסיירת צנחנים, ובשנת 2000 סיים את בית הספר לקצינים.	In October 1997, he enlisted in the Paratroopers Brigade, and in 2000, he graduated from the Officers' School.	no
בשנת 2002 אותר על ידי מערך המבצעים המיוחדים באמ"ן ועבר לשרת בו.	In 2002, he was located by the Special Operations Division in the Israeli Police and began to serve in it.	no
תוך כדי שירותו השלים תואר ראשון במשפטים במכללה למנהל ותואר שני בחינוך ובמנהל עסקים באוניברסיטת חיפה.	During his service, he completed a bachelor's degree in law at the College of Management and a master's degree in education and business administration at the University of Haifa.	no
בשנת 2002 הכיר את אשתו, נאהד, ובשנת 2004 נישאו.	In 2002, he met his wife, Nahed, and they got married in 2004.	no
בנם הראשון נולד ב־2009, שנה שבמהלכה הקים עם חבריו עמותה שפועלת לקידום מעמד העדה הדרוזית בישראל.	Their first son was born in 2009, a year in which he and his friends established an association to promote the status of the Druze community in Israel.	no
בשנת 2010 חבר לעמותת "אחריי" והתחיל להדריך קבוצה בכפר חורפיש, לאחר שדאג שהעמותה תחל לפעול בכפרים הדרוזיים כדי לעודד את בני הנוער להתגייס.	In 2010, he joined the "Acharai" association and started leading a group in Kfar Horefish, after ensuring that the association would start operating in Druze villages to encourage the youth to enlist.	no
בשנת 2013 נולד בנו השני.	In 2013, our second son was born.	no
ראש אמ"ן, אלוף אהרון חליוה, הסביר את הסיבות להחלטה על חשיפת שמו: "זה זמן אנו הופכים בסוגיית חשיפת שמו של מחמוד ח'יר א-דין, גיבור ישראל.	The head of AMAN, Major General Aharon Haliva, explained the reasons for the decision to reveal his name: "It's time we turn in the issue of revealing the name of Mahmoud Khair al-Din, an Israeli hero.	no
סיימנו עבודה והגענו למסקנה שאין מניעה ביטחונית לפרסם את שמו ותמונתו.	We finished our work and came to the conclusion that there is no security obstacle to publishing his name and picture.	no
זה גם מגיע לו, למשפחתו ולילדיו", ציין.	"He, his family, and his children also deserve it," he noted.	no
"מחנך ומנהיג יוצא דופן"	"An exceptional educator and leader."	no
"בזכות מבצעים רבים הוא לא פחות מגיבור בעיניי", אמר אלוף חליוה.	"Thanks to many operations, he is nothing less than a hero in my eyes," said General Haliwa.	no
"יש לו תרומה משמעותית, שיש בה אומץ וקור רוח, למדינת ישראל.	"He has made a significant contribution, which shows courage and spirit, to the State of Israel."	no
ראוי שהוא יקבל את המקום המתאים לו".	He should receive the appropriate place for him.	no
והוא הוסיף: "לא הכרתי אותו באופן אישי, אבל הוא היה איש חינוך, מחנך ומנהיג יוצא דופן - לא רק בצד המבצעי, אלא גם בערכי".	And he added: "I didn't know him personally, but he was an educator, a mentor and an extraordinary leader - not only in the operational aspect, but also in values."	no
אלוף חליוה ציין כי בהמשך יבחן גם אם לפרסם את תמונתו של גיבור נוסף, סא"ל עמנואל מורנו מסיירת מטכ"ל, שנפל במהלך מלחמת לבנון השנייה, ותמונתו לא הותרה לפרסום.	General Haliva stated that he will also consider whether to publish the picture of another hero, Staff Sergeant Emanuel Moreno from the Sayeret Matkal, who fell during the Second Lebanon War, and his picture was not allowed to be published.	no
הפעולה בחאן יונס התרחשה ב-11 בנובמבר 2018.	The operation in Khan Yunis took place on November 11, 2018.	no
המבצע היה שיאם של חודשים ארוכים של הכנות מדוקדקות שבהן לקחה חלק קהילת המודיעין.	The operation was the culmination of long months of meticulous preparations in which the intelligence community took part.	no
בחוליית הפיקוד של המבצע ישבו הרמטכ"ל דאז, רא"ל גדי איזנקוט, ראש אמ"ן דאז, אלוף תמיר היימן וראש השב"כ דאז, נדב ארגמן.	In the command chain of the operation sat the then Chief of Staff, Lt. Gen. Gadi Eizenkot, the then head of Military Intelligence, Maj. Gen. Tamir Heiman, and the then head of the Shin Bet, Nadav Argaman.	no
מטרת הפעולה טרם הותרה לפרסום, ובצה"ל הדגישו כי מדובר בפעולה שערכה המודיעיני לא יסולא בפז.	The purpose of the operation has not yet been cleared for publication, and the IDF emphasized that it was an operation conducted by the intelligence not on a whim.	no
אך בתקשורת הערבית הוצג בדיעבד ציוד קשר שלדברי הפלשתינים הושאר על ידי הכוחות מאחור.	But in the Arab media, communication equipment was later shown, which according to the Palestinians was left behind by the forces.	no
לטענת חמאס, המבצע נועד להטמנת מכשירי האזנה.	According to Hamas, the operation was intended to bury listening devices.	no
על פי פרסומים, ביום האירוע נסע הכוח בשני כלי רכב.	According to reports, on the day of the event, the force traveled in two vehicles.	no
הלוחמים נעצרו במחסום שנפרס על ידי אנשי חמאס, ומשהו בהתנהגותם עורר את חשדם של פעילי חמאס.	The fighters were stopped at a checkpoint set up by Hamas, and something in their behavior aroused the suspicion of the Hamas activists.	no
הפעילים הקיפו את הרכב והחלו לתשאל את נוסעיו.	The activists surrounded the vehicle and began questioning its passengers.	no
החקירה בשטח ארכה כ-45 דקות, שבמהלכן הפכה אגרסיבית יותר ויותר.	The on-site investigation lasted about 45 minutes, during which it became increasingly aggressive.	no
כשהכוח הבין שהוא נמצא במצב בעייתי, הצליח סא"ל ח'יר א-דין להסיח את דעתם של אנשי חמאס, ובשבריר שנייה זה הצליח מפקד הכוח, סא"ל א', לפתוח באש.	When the force realized they were in a problematic situation, Sergeant H'ir a-Din managed to distract the Hamas men, and in a split second, the force commander, Sergeant A', managed to open fire.	no
מהאש נהרגו שלושה אנשי חמאס, ולמרבה הצער גם סא"ל ח'יר א-דין.	Three Hamas members were killed in the fire, and sadly, also Sergeant Khair al-Din.	no
עשרה חודשים לאחר האירוע הקשה החליט הרמטכ"ל, רא"ל אביב כוכבי, לקבל את המלצת ועדת הצל"שים ולהעניק צל"ש רמטכ"ל לשלושה מהלוחמים בתקרית בעומק הרצועה - ביניהם גם סא"ל ח'יר א-דין ז"ל.	Ten months after the severe event, the Chief of Staff, Lt. Gen. Aviv Kochavi, decided to accept the recommendation of the medal committee and award the Chief of Staff's medal to three of the fighters involved in the incident deep in the strip - including Staff Sgt. H'ir Al-Din, may his memory be a blessing.	no
מפקד כוח הלוחמים ולוחם נוסף בצוות קיבלו אף הם צל"ש.	The commander of the combat force and another fighter in the team also received a citation.	no
בהודעת הצבא נמסר אז כי סא"ל מ' קיבל את הצל"ש על "פעילותו במבצע עם צוותו, בשטח אויב, בנחישות, קור רוח ואומץ, להגנה על חבריו.	In the military announcement, it was then stated that Sgt. M received the citation for "his activity in the operation with his team, in enemy territory, with determination, composure and courage, to protect his comrades.	no
בהמשך פעל מתוך יוזמה וחתירה למגע, נטל תפקיד קדמי בהשתלטות על האויב ופעל בתושייה לקידום ההשתלטות.	Later on, he acted out of initiative and strived for contact, took a leading role in overcoming the enemy and worked diligently to advance the takeover.	no
לשקול מעבר ממבצעי פינצטה למבצע נרחב	Consider transitioning from pinpoint operations to a broad operation.	no
ישראל צריכה לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין •	Israel needs to ask itself, again, if it's not right to change its policy towards the Jenin sector.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and set the West Bank on fire, but the armed men of Jenin might leave her no choice.	no
סוף השבוע הסוער שעברנו מלמד שאף על פי שחודש הרמדאן מאחורינו, השטח עדיין נפיץ מתמיד.	The stormy weekend we just had teaches us that even though Ramadan is behind us, the area is still more volatile than ever.	no
יידרשו מאמצים רבים ושכל ישר כדי לחצות בשלום את שני מועדי האזכור הקרובים: יום ה"נכבה" שחל היום (ראשון), ויום ירושלים שיצוין בעוד שבועיים.	Many efforts and wise judgment will be required to peacefully pass the two upcoming memorial dates: Nakba Day, which is today (Sunday), and Jerusalem Day, which will be marked in two weeks.	no
לא מעט גורמים יתייצבו מנגד בניסיון לטרפד חזרה לשפיות.	Many factors will stand against the attempt to return to normalcy.	no
בראשם, כתמיד, גורמי הטרור, שמרכזים מאמץ מיוחד בניסיון לשמר את האווירה האלימה של השבועות האחרונים.	At the forefront, as always, are the terror groups, who are making a special effort to maintain the violent atmosphere of the recent weeks.	no
עדות לכך ניתנה במהלך מבצע המעצרים שבו נהרג שלשום לוחם הימ"מ, רס"ב נעם רז ז"ל.	Evidence of this was given during the arrest operation in which the Yamam fighter, Major Noam Raz, was killed the day before yesterday.	no
לוחמים שהשתתפו בקרב בג'נין העידו כי הם אינם זוכרים היקף כזה של ירי ואלימות - עדות לא רק לכמות האדירה של אמל"ח שיש בשטח, אלא גם לנכונות להשתמש בו.	Soldiers who participated in the battle in Jenin testified that they do not remember such a level of shooting and violence - a testimony not only to the enormous amount of weapons in the area, but also to the willingness to use them.	no
זה מחייב את ישראל לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין, ולעבור ממבצעי פינצטה קטנים ומבוססי מודיעין למבצע נרחב ומבוסס מסה.	This requires Israel to ask itself, again, whether it is right to change its policy towards the Jenin sector, and to move from small, intelligence-based pinprick operations to a broad, mass-based operation.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה ואת הזירה כולה; גם כעת, מעדיפה מערכת הביטחון לפעול סלקטיבית, כשנדרש, כדי להימנע מתבערה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and set the entire West Bank and the entire arena on fire; even now, the security system prefers to act selectively, when necessary, to avoid a blaze, but the armed men of Jenin may leave it no choice.	no
להפיק את הלקחים לאירועי העתיד.	To draw lessons for future events.	no
מותו של רז בקרב הוא התשובה הטובה ביותר שיכולה ישראל לתת לכל מי שטוען כי הרגה במתכוון את עיתונאית אל־ג'זירה, שירין אבו עאקלה.	The death of Raz in combat is the best answer Israel can give to anyone who claims that it intentionally killed Al-Jazeera journalist, Shireen Abu Aqla.	no
פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.	Operational activity is a dangerous matter for those who participate in it, and for those who are present at the scene.	no
צה"ל לוקח סיכונים אדירים לכוחותיו כדי להימנע ככל הניתן מפגיעה בחפים מפשע, ולעיתים משלם על כך בחיי לוחמים.	The IDF takes enormous risks to its forces in order to avoid harming innocent people as much as possible, and sometimes pays for it with the lives of its soldiers.	no
זה מעיד על מוסריות גבוהה, אבל יש בכך גם ערך מבצעי־מודיעיני: מחבל שנתפס חי - כפי שקרה שלשום בג'נין - הוא מקור מצוין למידע על אמל"ח, פיגועים ומחבלים נוספים; זה מידע שלרוב לא ניתן להשיגו בדרך אחרת, ובאמצעותו אפשר לסכל את הפיגועים הבאים.	This demonstrates high morality, but it also has operational-intelligence value: a terrorist who is captured alive - as recently happened in Jenin - is an excellent source of information about weapons, attacks, and other terrorists; this is information that is usually not obtainable in any other way, and it can be used to thwart future attacks.	no
צה"ל נהג נכון כאשר פרסם שלשום את תחקיר הביניים שערך בפרשת מותה של אבו עאקלה, והבהיר כי לא ניתן לקבוע בשלב הזה מי גרם למותה.	The IDF acted correctly when it published the interim investigation into the death of Abu Akla yesterday, and clarified that at this stage it is not possible to determine who caused his death.	no
בהיעדר שיתוף פעולה פלשתיני, ספק אם ניתן יהיה להגיע לשורה תחתונה חד־משמעית בפרשה.	Without Palestinian cooperation, it is doubtful whether a definitive conclusion can be reached in the matter.	no
ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה"ל פועל ללא הרף בג'נין.	It seems that nothing will convince the convinced: the world has already rushed to condemn Israel without bothering to balance it with a word of empathy for the victims of Palestinian terror - the original cause for which the IDF is tirelessly operating in Jenin.	no
כתמיד, טבעם של סיפורים כאלה לגווע.	As always, such stories are heartbreaking.	no
דעת הקהל העולמית עסוקה בשלה וממשיכה הלאה, ודאי כשבאוקראינה ממשיכה להשתולל מלחמה אינטנסיבית פי כמה.	The global public opinion is busy with its own and continues, especially when an intense war continues to rage in Ukraine.	no
לכן, חבל שישראל התעקשה לתת לפרשת מותה של אבו עאקלה עוד רגעים מיותרים של חשיפה, עם הטיפול הלא מוצלח של המשטרה בהלווייתה.	Therefore, it's a shame that Israel insisted on giving Abu Akla's death more unnecessary moments of exposure, with the police's unsuccessful handling of her funeral.	no
גם אם משפחתה של אבו־עאקלה לא עמדה בסיכומים המוקדמים, צריך היה לצפות לקצת יותר יכולת הבלגה מהשוטרים שליוו את מסע ההלוויה, ובוודאי להתרגש פחות מדגלי פלשתין שהונפו בה.	Even if Abu-Akla's family did not meet the early agreements, one would expect a bit more restraint from the police officers who accompanied the funeral procession, and certainly to be less agitated by the Palestinian flags that were flown there.	no
האחריות מחייבת: לפעול להרגעת המצב.	The responsibility requires: to act to calm the situation.	no
טוב עשו השר לביטחון הפנים ומפכ"ל המשטרה שהורו על חקירת האירוע.	The Minister of Internal Security and the Police Commissioner did well by ordering an investigation into the incident.	no
דומה שחסרו בו הכנה מספקת והנחיות ברורות, אבל מטרידה העובדה שזאת הפעם השנייה שזה קורה למשטרה בתוך זמן קצר, ובשני מחוזות שונים.	It seems that there was a lack of adequate preparation and clear instructions, but it is disturbing that this is the second time this has happened to the police in a short period of time, and in two different districts.	no
גם בפיגוע בדיזנגוף כשלה המשטרה בניהול האירוע, בבידוד הזירה ובטיפול בתקשורת.	The police also failed in managing the event, isolating the scene and handling the communication during the Dizengoff attack.	no
טוב תעשה ועדת החקירה אם לא תסתפק רק בניתוח התנהלות השוטרים בהלוויה עצמה, אלא גם בהפקת לקחים ומסקנות שיאפשרו טיפול מוצלח יותר באירועים דומים בעתיד.	The investigation committee would do well not to limit itself to analyzing the behavior of the police during the funeral itself, but also to draw lessons and conclusions that will enable more successful handling of similar events in the future.	no
לצד הטיפול הפנימי במשטרה, מתחייב גם לתת את הדעת על התנהלותם של נבחרי ציבור שאיבדו דרך וכיוון.	Alongside the internal handling within the police, he is also committed to giving his opinion on the conduct of public officials who have lost their way and direction.	no
בכנסת ישראל מכהנים כיום כמה וכמה חברים שמסתמנים כסכנה לדמוקרטיה.	In the Israeli Knesset, there are currently several members who appear to be a threat to democracy.	no
הם מצויים משמאל ומימין, ומנצלים את חסינותם לא כדי לאתגר את המדינה, אלא כדי לפגוע בה.	They are found on both the left and the right, and they exploit their immunity not to challenge the state, but to harm it.	no
ח"כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.	MK Ofer Cassif is the latest example of this; if no actions are taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next public representative to further escalate his actions.	no
מהלכים כאלה, שהם בבחינת דמוקרטיה מתגוננת, חיוניים בנפיצות של התקופה הזו, כשברקע גורמים שמבקשים לנצל את המצב לצרכים פוליטיים.	Such actions, which are a form of defensive democracy, are vital in the volatility of this era, with factors in the background seeking to exploit the situation for political purposes.	no
מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.	Anyone with a clear mind is expected to rise above all of this, and act to calm the situation; otherwise, Israel may quickly slide into escalation against external enemies, and worse - against internal rivals.	no
בכיר במשטרה: "נדרשות פה מדיניות ממשלתית והצבת מטרות"	A senior police officer: "There is a need for government policy and setting goals."	yes
משטרת ישראל אמנם פתחה במבצע למיגור תופעת השוהים הבלתי חוקיים, אך הדרך עוד ארוכה •	Israel Police has indeed launched an operation to mitigate the phenomenon of illegal squatters, but the road is still long.	yes
אין היום במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה"."	Today in Israel, there is not a single entity that encompasses this entire issue.	yes
"אם רוצים לטפל בתופעת השוהים הבלתי חוקיים, נדרשת מדיניות ממשלתית, וממנה יש לגזור מטרות, משימות ואחריות.	"If we want to address the issue of illegal immigrants, a government policy is required, from which goals, tasks and responsibilities should be derived.	yes
כיום אין במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה", כך אומר ל"ישראל היום" בכיר במשטרה.	"Today in Israel, there is not a single entity that encompasses this entire issue," a senior police officer tells "Israel Today".	yes
עד לפני חודש וחצי, טרם ההסלמה במצב הביטחוני, התופעה התבטאה בכ-20 עד 30 אלף שב"חים שנכנסים מדי יום דרך הפרצות בגדר.	Until a month and a half ago, before the escalation in the security situation, the phenomenon was manifested in about 20 to 30 thousand Palestinians entering every day through breaches in the fence.	yes
נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.	In addition, between 100 to 110 thousand Palestinians with work permits enter Israel every day through 34 supervised crossings.	yes
יצוין כי פלשתינים מועסקים בישראל מאז תום מלחמת ששת הימים, ומספר ההיתרים בכל ענף מוגבל במכסה שקובע הדרג המדיני בהתאם למצב הביטחוני, הכלכלי והמדיני במדינת ישראל.	It should be noted that Palestinians have been employed in Israel since the end of the Six-Day War, and the number of permits in each sector is limited by a quota set by the state according to the security, economic, and political situation in Israel.	yes
ההיתרים מונפקים על ידי צה"ל באמצעות מינהלת התיאום והקישור.	The permits are issued by the IDF through the Coordination and Liaison Administration.	yes
לאור זאת, שב"ח אינו בהכרח פלשתיני שכניסתו אסורה בעקבות מעורבות פלילית או קשר לפיגועים, אלא במקרים רבים מדובר בפלשתינים שכניסתם נאסרה משום שאינם עומדים במכסת ההיתרים המותרת.	In light of this, an illegal worker is not necessarily a Palestinian whose entry is forbidden due to criminal involvement or connection to attacks, but often they are Palestinians whose entry is denied because they do not meet the permitted quota.	yes
יודגש כי מי שביצעו את הפיגועים באריאל, בדיזנגוף ובאלעד נחשבו אמנם לשב"חים, אך לא היו מפוקחים, משום שלא עברו קודם לכן עבירה פלילית כלשהי שחייבה את גורמי הביטחון לפקח על תנועותיהם.	It should be emphasized that those who carried out the attacks in Ariel, Dizengoff and Elad were indeed considered terrorists, but they were not under surveillance, as they had not previously committed any criminal offense that required security forces to monitor their movements.	no
"לכן אין משמעות לכניסה שלהם דרך הפרצות בגדר", אומר גורם ביטחוני בכיר, "מי שרוצה לעשות פיגוע יכול להיכנס לארץ גם דרך המעברים המפוקחים, והיו כבר מקרים כאלה בעבר.	"Therefore, their entry through the breaches in the fence is meaningless," says a senior security official, "anyone who wants to carry out an attack can enter the country through the supervised crossings, and there have been such cases in the past."	no
אלפי מעצרים	Thousands of arrests.	no
בעקבות הפיגוע באלעד ולאור ריבוי התרעות לפיגועים, פתחה המשטרה במבצע רחב היקף לאיתור שוהים בלתי חוקיים.	Following the attack in Elad and due to the increase in attack warnings, the police launched a large-scale operation to locate illegal residents.	no
עד סוף השבוע נעצרו כ-16,000 שב"חים.	By the end of the week, about 16,000 Sabbath observers were arrested.	no
מתוכם כ-600 נחקרו ונפתחו להם תיקים פליליים, ונכלאו כ-200.	Out of them, about 600 were investigated and criminal cases were opened against them, and about 200 were imprisoned.	no
על פי מדיניות התביעה המשטרתית, הליכים נגד שוהה בלתי חוקי מתבצעים רק כלפי פושעים מועדים או אנשים החוזרים על המעשה שוב ושוב (רצידיביסטים).	According to the police prosecution policy, proceedings against illegal residents are only carried out against repeat offenders or people who repeatedly commit the same act (recidivists).	no
שוהה בלתי חוקי שנעצר בפעם הראשונה נחקר, מתועד ומוחזר לשטחים.	An illegal resident who is arrested for the first time is investigated, documented and returned to the territories.	no
לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.	Sometimes this repeats itself even for the second time, but only on the third time he is arrested, imprisoned and an indictment is filed against him for illegal stay.	no
על פי החוק, אם שוהה בלתי חוקי נתפס בטווח של כ-50 עד 100 מטר מכל צד מגדר ההפרדה, הטיפול בו מתבצע על ידי התביעה הצבאית.	According to the law, if an illegal resident is caught within a range of about 50 to 100 meters from either side of the separation fence, he is dealt with by the military prosecution.	no
מנתונים שהגיעו ל"ישראל היום" עולה כי בשנת 2021 טופלו על ידי המשטרה 40,010 שוהים בלתי חוקיים, מסיעים ומלינים.	According to data obtained by "Israel Today", it appears that in 2021, the police handled 40,010 illegal residents, infiltrators, and asylum seekers.	no
7,405 שוהים בלתי חוקיים נעצרו ול-19,533 נפתח תיק פלילי.	7,405 illegal residents were arrested and criminal cases were opened against 19,533.	no
מספר המעסיקים, מסיעים ומלינים שטופלו על ידי המשטרה בשנת 2021 היה 6,537.	The number of employers, drivers and complainants handled by the police in 2021 was 6,537.	no
469 נעצרו, ול-5,640 נפתחו תיקים פליליים.	469 were arrested, and criminal cases were opened against 5,640.	no
"היסודות של תופעת השב"חים לא תלויים במשטרה, לא בצה"ל, לא בחברה הישראלית ולא בחברה הפלשתינית.	"The fundamentals of the phenomenon of 'terror attacks' do not depend on the police, not on the IDF, not on Israeli society, and not on Palestinian society.	no
הם תלויים בגורמים אחרים", אומר בכיר במערכת אכיפת החוק.	"They are dependent on other factors," says a senior official in the law enforcement system.	no
