Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
(PERSON6) Yeah, that's great. I support this, it's great that, [PERSON7], you have thought of [PERSON11]. And [PERSON11] now has the time. There are other things where I was thinking of [PERSON11] and that would be training of, empty systems, so that they do the shortening. So, if you, [PERSON11], had the time. Obviously, there is no way we could do it for next week. But we should really have the system – ready for – I looked at the tutorial from the NLP – was it?	Ja, das ist toll. Ich unterstütze das, es ist toll, dass [PERSON7], du an [PERSON11] gedacht hast. und [PERSON11] hat jetzt die Zeit. Es gibt noch andere Dinge, an die ich [PERSON11] gedacht habe und das wäre das Training leerer Systeme, damit die Verkürzung machen. Also, wenn du [PERSON11] die Zeit hättest. Offensichtlich gibt es keine Möglichkeit das wir es für nächste Woche tun könnten. Aber wir sollten das System wirklich  bereit für  haben. Ich habe mir die Anleitung aus dem NLP angesehen.	yes
(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.	(PERSON6) Und für die kommenden Sitzungen und ich habe nach der Nachfrage gefragt, weil ich die (Meme-Projekttestung) gesehen habe. Sie machen die Untertiteln offline. Das ist also etwas einfacher als das, was wir tun. Sie haben immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihre Aufgabe im Übersetzen wird verkürzt, weil die Daten verkürzt werden. Und das liegt daran, dass ihre Zielgröße die Untertitel sind, die für Hörgeschädigte erstellt wurden. Es gibt so etwas wie eine natürliche Verkürzung der Daten. Es wäre großartig, wenn wir auch diese Art von Daten lokalisieren könnten, wo eine natürliche Verkürzung stattfinden würde. Wir setzen sie in die Architektur.	no
(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.	(PERSON8) Das nimmt ein bisschen Zeit, weil ich herausfinden muss, welche von denen die Passes bekommen. also, wenn ich das weiß, kann ich es verfolgen, also, für die Zukunft - oder eigentlich, für die Zukunft würde ich es nicht brauchen, weil, wenn ich die Web-Datei habe, ich wahrscheinlich keine Conversion machen muss.	no
(PERSON6) Well, this, this should actually be – Can you still hear me? The sound quality is a little worse. So, this should really be done, all the time. So, every time we run this evaluation, it should be run from scratch. So, every time, there should be a fresh download of a fresh conversion and a fresh evaluation.	(Person6) Nun, das, das sollte eigentlich sein  Kannst du mich noch hören? Die Klangqualität ist etwas schlechter. So, das sollte wirklich gemacht werden, die ganze Zeit. Also, jedes Mal, wenn wir diese Auswertung laufen, sollte es von Anfang an laufen. Also, jedes Mal sollte es einen neuen Download einer neuen Umwandlung und einer neuen Auswertung geben.	no
(PERSON8) But still, if I am keeping track of the files that need to be manually converted, so that I can write a script, and it could take care of the known ones at least, and of course, if we add some new files, I can see for that later.	(PERSON8) Aber trotzdem, wenn ich die Dateien aufbewahrte, die manuell konvertiert werden müssen, so dass ich ein Skript schreiben kann, und es könnte sich um die bekannten kümmern, zumindest, und natürlich, wenn wir einige neue Dateien hinzufügen, dann kann ich dafür später sehen.	no
(PERSON6) So this is an important thing that we should have come across months ago. Remember, it is since August that I've been telling you that we want to evaluate on a later test set. And every time, you all... It is not just you personally, [PERSON8]. There were other things, obviously. But every time you thought about that, you thought "this will be easy, we will just run it". And only when you actually do it, do you see all the problems. So, this is known, common. It is always like that. So that's a message for everybody. Before you try, you never know what the problem will be. So, for example, the call that I had, in which someone was interviewing me, so they wanted to record the video. Zoom never worked as badly for me as it did today for the recording. So, before you do it, you cannot say whether it will work or not. And here we are running into the problems of conversion of the file formats. So, hopefully, we will be able to quickly get the numbers. So, do you have any word error rates so far?	(PERSON6) Das ist also eine wichtige Sache, auf die wir vor Monaten stoßen sollten. Denken Sie daran, seit August habe ich Ihnen gesagt, dass wir auf einer späteren Testgruppe auswerten wollen. Und jedes Mal, Sie alle... Es geht nicht nur um Sie persönlich, [PERSON8]. Es gab andere Dinge, ganz offensichtlich. Aber jedes Mal, wenn Sie darüber nachdachten, dachten Sie "Das wird einfach, wir werden es einfach ausführen". Und nur wenn Sie es tatsächlich tun, sehen Sie alle Probleme. Das ist bekannt, gewöhnlich. Es ist immer so. Also das ist eine Botschaft für jeden. Vor Ihnen, Sie wissen nie, was das Problem sein wird. Zum Beispiel der Anruf, den ich hatte, in dem mich jemand interviewte, und sie wollten das Video aufzeichnen. Zoom hat noch nie so schlecht für mich funktioniert wie heute für die Aufzeichnung. Also vor Ihnen, kann man nicht sagen, ob es funktioniert oder nicht. Und wir gehen mit den Problemen der Word-Formaten um. So, hoffentlich werden wir versuchen, alle Fehlerzahlen in der richtigen Form zu bekommen. So, hoffentlich werden Sie in der Lage sein, das Problem schnell zu lösen.	no
(PERSON8) No, I have not processed it. So [PERSON1] said that, once, they get the transcript, we will do it together.	Ich habe ihn nicht verarbeitet, also hat [PERSON1] gesagt, sobald sie das Protokoll haben, werden wir es gemeinsam machen.	no
And then, I agree that there is a lot of noise in this dictionary. So, I asked that you would have various versions of this dictionary by taking only the words that were observed, five times. And only the pronunciations that were observed three times or more, or something like that. So, that way, these random errors, such as the example with this four IBM instead of IBM. This will not be so frequent. But still, you will have the variants in pronunciation, because if the person, says this "alzo", if you remember, if he says this "alzo" with a "Z" 20 times in the in the talk, then you will see that in the data with the "Z". And if he sometimes manages to say also correctly, then yeah, again, you will see that in the data. So, I would like, [PERSON4] to be in touch with [PERSON2]. Maybe you continue on the call, right? I will have to leave now, because I need to give the kids lunch and so on. But please stay on this call and figure out jointly how to use that dictionary. So [PERSON4], please show [PERSON2] what the dictionary is that the system is accepting. Share your screen and show it. And [PERSON2], please, have a look at that and help with converting the dictionary that you emitted to that file. One thing that will still be needed is the language model substitute. But all these words should be known words. So [PERSON4], you need to figure out what words are in the language model. And the words which are in the language model should be simply copied. So, the dictionary will have three col ns. The grapheme, as it is output. One recognized. The phonemes, as [PERSON2] proposed. And there will be multiple lines with different phoneme variations. And the third col n will be also the same again for all of those, and again there will be the same grapheme form. So that is when the language model sees. And I think that this way, these systems should be able to load it. And you will also possibly run into one more problem: that it is not ready for two big custom dictionaries. So, this is also something that has to be tested, but please test it, the two of you together. So [PERSON2] knows what he created in the dictionary. And you know what the dictionary looks like when you are creating it manually, and you need to put these two pieces of knowledge together. Ah, so that it works with the, with the generated dictionary.	Und dann, ich stimme zu, dass es hier eine Menge Lärm in diesem Wörterbuch. Also, ich bat darum, dass man verschiedene Versionen dieses Wörterbuchs haben würde, indem man nur die Wörter, die beobachtet wurden, fünfmal nahm. Und nur die Ausdrücke die drei mal oder mehr beobachtet wurden, oder so was wie das. Also, auf diese Art werden diese drei zufälligen Fehler, wie das Beispiel mit diesem vier IBM statt IBM, nicht so häufig sein. Aber trotzdem, man wird die Varianten in der Aussprache haben, denn wenn die Person, dieses "alzo" sagt, wenn Sie sich erinnern, wenn er dieses "alzo" mit einem "Z" sagt 20 mal im Vortrag, dann werden Sie sehen, dass in den Daten mit "Z". Und wenn er es manchmal schafft, auch richtig zu sagen, dann, ja, dann, wieder, wird man das sehen, dass in dem Wörterbuch. Also, ich möchte, [PERSON4], mit PERSON in Berührung zu sein [PERSON2]. Und wenn die drei Wörter, die man jetzt auf dem Bildschirm entwirft, müssen die gleichen Ausdruckfehler, wie das Beispiel mit diesen vier IBM statt IBM bekommen. Das wird nicht so häufig vorkommen.	no
(PERSON4) Okay.	Ok, das ist er.	no
(PERSON6) So [PERSON2], does this make sense?	(PERSON6) Also [PERSON2], macht das Sinn?	no
(PERSON2) Yeah, sure, we'll discuss it.	Ja, sicher, wir werden es besprechen.	no
(PERSON6) Yeah, so is there anything else, [PERSON2], that you have?	Ja, gibt es noch etwas anderes, was du hast?	no
(PERSON2) Well, maybe interesting information for Dominik. I'm finishing training of a German ASR that may be used for time stamping. I'm not sure how good it will be because I'm trying to do it on (Libry) Speech. And, though, when I was downloading it, they claimed it had more than 600 hours. But then the training said that the actual training set contained only around 300 hours. And I'm still not sure whether these 300 hours do not contain similar sentences. Or actually the same sentences but spoken by different speakers. For example, in English or Czech I used to observe steeper conversions. And now it won't convert so fast. So, if we take some samples during the training. Then there are still some serious errors in the ASR output. So, I'm hopeful that for the time stamping, it is good enough. Or at least we might try it.	(PERSON2) Nun, vielleicht interessante Information für Dominik. Ich schließe die Schulung eines deutschen ASR aus, welches zum Zeitstempel genutzt werden kann. Ich bin mir nicht sicher, wie gut es sein wird, weil ich es mit (Libry) Speech versuchen will. Und obwohl, als ich es heruntergeladen habe, behaupteten sie, dass es mehr als 600 Stunden hat. Aber dann sagte die Schulung, dass das eigentliche Trainingsset nur etwa 300 Stunden enthält. Und ich bin immer noch nicht sicher, ob diese 300 Stunden nicht ähnliche Sätze enthalten. Oder eigentlich die gleichen Sätze, aber von verschiedenen Sprechern gesprochen. Zum Beispiel in Englisch oder Tschechisch ich habe schrumpfere Konvertierungen beobachtet. Und jetzt konvertiert es nicht so schnell. Also, wenn wir während des Trainings einige Samples nehmen. Dann gibt es immer noch einige ernste Fehler im ASR-Output. Ich hoffe, das Zeitstempel reicht aus. Oder wir versuchen es vielleicht.	no
(PERSON17) Okay, that's good, yeah. So, I started, but I think I never finished an email to you, because you reminded me, [PERSON8], that your profanity filtering is not yet integrated. And I think this is also an important message for [PERSON5], who has disappeared again from the call. So, the important message is that yes, it's very good that you are actively pushing so that your results are integrated, and everybody should do so. And at the same time, we need to have the setup, so that you can actually integrate and test it yourself. So, I call it "do-it-yourself integration". So, [PERSON8], when working with [PERSON5] and when documenting what the setups are, make sure it is tested well enough by colleagues, such as [PERSON4] or even [PERSON9] for the language model checks and everybody else. So, whenever someone develops a new useful component, the full pipeline should be accessible to him reasonably easily, so he can test it himself. So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded. So, you want to provide these people with inputs and outputs as the first testing approach, which has already been done. [PERSON4], right? The profanity filtering, has it been tested on logs? I think it was.	(PERSON17) Ok, das ist gut, ja. Also, ich begann mit, aber ich glaube, ich habe nie eine Email an Sie beendet, denn Sie haben mich daran erinnert [PERSON8], dass Ihre Schimpfwörter-Filterung noch nicht integriert ist. Und ich denke, dies ist auch eine wichtige Botschaft für [PERSON5], der wieder vom Gespräch verschwunden ist. Also, die wichtige Botschaft ist, dass es sehr gut ist, dass Sie aktiv darauf drängen, dass Ihre Ergebnisse integriert werden, und das sollte jeder tun. Und gleichzeitig müssen wir das Setup haben, damit Sie es tatsächlich integrieren und selbst testen können. Also nenne ich es "Do-it-yourself-Integration". Also [PERSON8], wenn man mit [PERSON5] arbeitet und dokumentieren, welche Einstellungen gemacht werden, vergewissere sich, dass es gut genug von Kollegen geprüft ist, wie [PERSON4] oder sogar [PERSON9]; dies ist wichtig, damit jeder die Sprache überprüft und jedesmal wieder aus dem Gespräch verschwunden ist. Also ist die wichtige Botschaft: Ja, es ist sehr gut, dass Sie aktiv vorantreiben, damit Ihre Ergebnisse integriert sind, und jeder sollte das tun. Und zugänglich ist, dass Sie Ihre Ergebnisse zu diesem Ergebnis aktiv drücken, und jeder sollte dies tun. [PERSON8], und jeder sollte die Ergebnisse haben, und jeder sollte diese Ergebnisse integrieren.	yes
(PERSON8) Yeah, it was tested on logs, I think. So, now it's time to test it on the live pipelines. And again, I think it's better if [PERSON8] explains to [PERSON4] how to do it, so that [PERSON4] runs it for himself some of the workers and live playing some of the problematic file like using [PROJECT8] or whatever. Simply play them. Follow the sound output on your machine and see how that works. Because only when doing the real setup will the true errors appear. It is important to first debug it, using the log files, and then it's important to debug it in the pipeline. And if this debugging can be done by the author of that component, here, in this case [PERSON4], it would be most efficient for all of us. So, [PERSON8], please confirm that you agree with this idea of like do-it-yourself integration.	(PERSON8) Ja, ich denke es wurde an Protokollen getestet. Und jetzt ist es an der Zeit, es auf den Live-Pipelines zu testen. Und ich finde, es ist besser, wenn [PERSON8] [PERSON4] erklärt, wie man das macht, sodass [PERSON4] es für sich und seine Mitarbeiter betreibt und einige der problematischen Dateien live spielt, wie zum Beispiel mit [PROJECT8] oder was auch immer. Nur spielen Sie sie einfach ab. Folgen Sie dem Sound auf Ihrer Maschine und sehen, wie das funktioniert. Denn nur beim realen Setup werden echte Fehler auftreten. Es ist wichtig, es zuerst mit den Logdateien abzuwerten, und dann ist es wichtig, es in der Pipeline zu debuggen. Und wenn das von den Autoren davon hier, in diesem Fall [PERSON4], abzuwerben ist, wäre es für uns alle am effizientesten. Also, PERSON8, bestätigen Sie, dass Sie der Idee der Do-It-Yourself-Integration von Komponenten zustimmen.	no
(PERSON17) Yeah, so for the multi-accent English. So, we are now [PERSON14] putting that together to just one technical solution. The current idea that [PERSON14] is working on is that he will create new sentences with words that were spoken in other sentences, and he will do this across different speakers. So, it will be really multi-speaker sentences, and therefore the robustness to the different accents of these speakers could be also improved. Ah, so that's one particle experiment. And later on, we may do something more about the multi-accent thing. So, these new sentences will actually try to solve two problems with one experiment. One problem is the implicit language model. So, the ASR system has to see the largest possible set of sentences. And we are going to create new sentences from the text-only language model by adding the sound part to that, so that the language model will be better for the ASR, and the robustness to different speakers would be also better. And in a talk yesterday, I heard another idea. It was during the training. They were dropping out time bands and frequency bands from the sound. So, they were training on disrupted inputs, and that also greatly improved the robustness of the system.	Ja, und so für das mehrakzentüchtige Englisch. Also, wir nun [PERSON14] das zu einer einzigen technischen Lösung zusammen setzen. Die aktuelle Idee, an der [PERSON14] arbeitet, ist, dass er neue Sätze mit Wörtern erstellt, die in anderen Sätzen gesprochen wurden, und er wird dies über verschiedene Sprecher hinweg tun. Es werden also wirklich mehrsprecherische Sätze sein und daher konnte die Robustheit für die verschiedenen Akzente dieser Sprecher ebenfalls verbessert werden. Ah, so ein Teilchen-Experiment. Und später könnten wir etwas mehr über die Mehrakzentsache machen. Also versuchen diese neuen Sätze, zwei Probleme mit einem Experiment zu lösen. Ein Problem ist das implizite Sprachmodell. Das ASR-System muss möglichst die größte Menge an Sätzen sehen. Und wir werden neue Sätze aus dem Text-only-Satzmodell erstellen, indem wir einen Teil der Sprache hinzufügen, damit das Modell besser klingt, und dies wird für verschiedene Sprecher erfolgen. Daher sind es wirklich mehrsprachersprüche Sätze, und deshalb könnte die Robustheit zu den unterschiedlichen Akzentationen der Sprecher auch verbessert werden.	yes
(PERSON17) Anyone else can work on the non-native accent thing. Ok, then another thing that I spotted is - this is in the Monday test document. It is highlighted four times. So, when some session is happening, we need the names and terminology for that session. And we need to collect it, prepare it manually, create it somewhat. And this manual creation should be supported with automatic tools as much as possible. So, there is a certain skill b in that, which needs to be practiced. So, I'm quite skilled at shuffling text files. And whenever I see any of any of you doing that, then I like always have tips in my head of what could be done faster. Maybe it is not faster for your end, but at least you should consider it. So there this skill is something that that we need people to have. And we need someone to be responsible for that. And I'm afraid that the only person for this could be [PERSON8]. If you find anyone else who would be ready to help with the immediate domain adaptation, the data crunching, please say so. And then we need - So, once we have secured the dictionary of terms and whatever the word pronunciations, we need techniques to put these dictionaries to use in the systems. So, my impression from the domain adaptation that [PERSON9] has been carefully doing for all the sessions was that it was not really visible in the hybrid ASR. So, one such session is again going to happen this Monday. [PERSON9] is already starting the data collection, but I would like to see the benefit of that domain adaptation in in in the [PROJECT5] set up. So, maybe [PERSON9] and [PERSON8], because he's learning how to do domain adaptation and [PERSON14], because he is doing how to work with [PROJECT5]. If you three could meet and double check what is [PROJECT5] doing with the - It's not [PROJECT5], actually, the domain adaptation is for the [PERSON18] toolkit, right.	(PERSON17) Jeder andere kann an dem Nicht-Native-Akzent-Ding arbeiten. Okay, dann ist eine andere Sache, die ich erkannt habe, - das liegt in der Montag-Testdokument. Es ist viermal hervorgehoben. Und wenn eine Sitzung stattfindet, müssen wir die Namen und die Terminologie für diese Sitzung benötigen. Und wir müssen es sammeln, es manuell vorbereiten, erstellen irgendwie. Und diese manuelle Erstellung sollte durch automatische Werkzeuge unterstützt werden, so viel wie möglich. Also, es gibt eine bestimmte Fähigkeit b in diesem, die geübt werden muss. Ich bin ziemlich geschickt in Mischen von Texthäusen. Und wenn ich jeden von Ihnen sehe, das zu tun, dann habe ich immer wie Tipps in meinem Kopf was schneller getan werden könnte. Vielleicht ist es nicht für Ihren Ende, aber zumindest sollten Sie es in Betracht ziehen. So gibt es etwas, dass wir Leute zu brauchen. Und wir müssen dafür verantwortlich sein. Und ich habe Angst, dass diese Person könnte nur für das Wort sein, was für diese Sitzung sichtbar. [145] [JJPG, JACK]	yes
So, this is kind of backward-looking, making sure that the old approach works. At the moment it is absolutely impossible to do any domain adaptation for the fully neural ASR. So, what I'm considering is to have an independent keyword spotting from sound and some merging procedure. So, we could have two ASRs running at the same time. End-to-end ASR, which is better in general. And then domain-adapted [PROJECT5] setup, which is used only to spot the keywords. And when we see a keyword in the domain-adapted version then we would then we would use that sentence from [PROJECT5], which is in general worse, but contains the right terms. So that's my suggestion of what we could do. And another suggestion is that we really should have our own fully neural ASR and do various experiments on finetuning and all that. So, we have discussed this with [PERSON14]. And, [PERSON14], is there any update from the potential colleague or friend of yours?	Dies ist eine Art Rückschau und sicherstellt, dass der alte Ansatz funktioniert. Im Moment ist es absolut unmöglich, irgendeine Domänenausführung für die volle Neural ASR durchzuführen. Was ich in Betracht ziehe ist also, eine unabhängige Schlüsselwörter-Spotterung von Sound und eine Art Fusion-Verfahren zu haben. Also könnten wir zwei ASRs zur selben Zeit laufen lassen. End-to-end ASR, was im Allgemeinen besser ist. Und dann eine domänenausgestützte [PROJECT5]-Setup, die nur zur Schlüsselwörter-Spotterung verwendet wird. Und wenn wir ein Schlüsselwort in der domänenausgestützten Version sehen würden, dann würden wir dann diesen Satz von [PROJECT5] verwenden, das im Allgemeinen schlimmer ist, aber die richtigen Begriffe enthält. Das ist also mein Vorschlag, was wir tun könnten. Und ein anderer Vorschlag ist, dass wir wirklich unsere eigene volle Neural ASR besprechen sollten und verschiedene Experimente auf Fines und all das, das haben wir mit diesem Update.	yes
(PERSON17) Yeah, so if there is anyone else who'd be curious about this please let me know or get in touch. So, it's this is something which is which would really be accepted well in generally as a as a paper, because people don't do that yet. And that's the most urgent problem these days. So, we really could make an impact there.	Wenn jemand sonst neugierig darauf ist, dann lassen Sie es mich wissen oder nehmen Sie Kontakt mit mir auf. und das ist etwas, das in der Tat sehr gut akzeptiert werden würde, im Allgemeinen als eine Art Papier, denn Leute tun das noch nicht. und das ist das dringendste Problem heutzutage.	no
(PERSON6) Yeah, I was maybe just thinking about like what kinds of data we currently use for this, because, for example, like if you check like [ORGANIZATION4]'s models on [ORGANIZATION5] that they are like already pretty good at these things -	Ja, ich habe vielleicht gerade darüber nachgedacht, welche Art von Daten wir derzeit für das hier verwenden, denn, zum Beispiel, wenn man wie die Modelle von [ORGANIZATION4] bei [ORGANIZATION5] überprüft, dass sie schon ziemlich gut in diesen Dingen sind -	no
(PERSON6) And I think that if we just like - We could probably just get the data from them, because you have like a such a large set of videos basically with different domains and different speaker native languages on [ORGANIZATION5]. And I had this idea that we could just like use some tool to download basically some kinds of filtered videos from [ORGANIZATION5] and make training tests a training set out of them.	(PERSON6) Und ich denke, wenn wir einfach -- Wir könnten wahrscheinlich nur die Daten von ihnen bekommen, weil Sie eine solche große Gruppe von Videos haben mit grundsätzlich verschiedenen Domänen und verschiedenen Sprechern Muttersprachen auf [ORGANIZATION5]. Und ich hatte diese Idee, dass wir irgendwelche Werkzeuge nutzen könnten um im Grunde genommen einige Arten von gefilterten Videos aus [ORGANIZATION5] herunterzuladen und aus ihnen einen Trainingstest zu machen.	no
So, I plan to do it myself. I plan to go there, but we need a backup person. And also, for the [PROJEC210] event we need someone to take care of the recording, So, the archiver person, so that we don't lose that session again. And the more important and still persisting topic to work on is ladder climbing. And I've suggested here in the paragraph for [PERSON2] that we could use simple html tables that would be autogenerated and that that would grow. I think that that would be probably the easiest to just put up the tables as html, but it could get difficult when we want to see the differences, as new systems will be evaluated after every new evaluation campaign. It may be difficult to prepare these tables. So, I asked [PERSON7] and [PERSON7] unfortunately won't be available during this call. To tell us whether [ORGANISATION242], which is a web-based solution. Some start-up company which offers accounts for academic purposes for free. If that would help us or not. Okay, so [ORGANISATION242] is not recommended by [PERSON7]. So, simple html is probably the way to go. So, as soon as [PERSON2] has these evaluations m cleaned up. So, that means moving the few scripts to where they belong from [PROJECT3] test set and some automatic runner. Then also please create a conversion from the tables into html similar to the tech conversion and then put these results regularly to your webpage. Or what you could even do is to have a full git check out directly located in this public html or singling from that public html. So that it would be immediately accessible through the web, and anybody could have a look at the current scorings and explore that. So, this would be useful, especially for m people outside of [ORGANISATION2] such as, [ORGANISATION15]. We know they have like - The performance was bad for some of the files, and they could directly m browse it on the web m. They could also browse it actually in on [ORGANISATION101]. This is up to you to set it up so that it's user-friendly and easy to follow.	Daher plane ich es selbst zu tun. Ich plane dort hinzugehen, aber wir brauchen einen Backup-Teilnehmer. Und für das [PROJEC210] Ereignis benötigen wir jemanden der sich um die Aufzeichnung kümmert, der sich vor allem um die Archivierungsperson kümmert, damit wir diese Sitzung nicht nochmals verlieren. [245] Das wichtigere und immer noch andauernde Thema, an dem wir arbeiten sollten, ist das Treppenhüte-Klettern. Und ich schlug in dem Paragrafen für [PERSON2] vor, dass wir einfache HTML-Tabellen verwenden könnten, die automatisch generiert werden und wachsen würden. Ich denke, das wäre wahrscheinlich am einfachsten, die Tabellen als HTML aufzustellen, aber es könnte schwierig werden, wenn wir die Unterschiede sehen wollen, da neue Systeme nach jeder neuen Bewertungskampagne ausgewertet werden. Es kann schwierig sein, diese Tabellen vorzubereiten. Ich fragte [PROJEC210] und [PERSON7] leider nicht direkt verfügbar zu machen während dieser Sitzung, also, besonders den Archiver, so dass wir diese Sitzung nicht wieder verlieren. [246] Ich habe hier im Paragraphen für [PERSON2] vorgeschlagen, dass wir einfache HTML-Tabellen einfach als HTML-Tabellen einrichten können, die automatisch generiert werden, aber es könnte schwierig werden, die Abweckten Tabellen als HTML- oder m=105] zu überprüfen, so könnten diese Tabellen dann sollten wir diese Anwendbar auf [WEB	yes
(PERSON2) Okay, I'll do that.	Okay, das mache ich.	no
(PERSON11) Yeah, thanks. I'm now working on, or getting to update, the demo paper submission, which is due next Friday, if I'm not mistaken. And then I have some project reports to do and I'm starting to gather documents - like, or links to the documents, not the documents themselves yet, for the two sessions.	(PERSON11) Ja, danke. Ich arbeite jetzt an der Demo-Ausarbeitung oder werde auf dem Laufenden, die nächster Freitag fällig sein soll, wenn ich mich nicht irre. Und dann habe ich einige Projektberichte zu erstellen und ich fange an, Dokumente zu sammeln - oder Links zu den Dokumenten, aber noch nicht die Dokumente selbst, für die beiden Sitzungen.	no
(PERSON11) <parallel_talk> For ASR as well we should add a complimentary metric - Actually more, we should add complementary met- these complementary metrics. </parallel_talk> So, you mentioned one and that is profanity filtering m evaluation. So <parallel_talk> have an explicit list of things which must not appear in the output </parallel_talk>, right? <parallel_talk> And then rare words evaluation. And here have an explicit list of names and terms that we do want to appear in the output, scored not simply by (order) rate </parallel_talk> but scored by something which directly accounts these things, right? Yes, so I totally agree. This involves also manual preparation of the reference. So, <parallel_talk> both need manually created references. </parallel_talk> I have one remark from [PERSON1]. So <parallel_talk> [PERSON1] has compiled some translation dictionary. And she should share it soon. </parallel_talk> So, this could become an empty part of the second thing of the rare word - So <parallel_talk> this would be the rare word evaluation for MT and then from [PROJEC210] we are also likely to get some dictionary. </parallel_talk> So that would be the [PROJEC210] domain obviously. And [PERSON2], could I ask you to revise the <unintelligible/> domain and create such a dictionary by looking at the outputs and what is missing in the outputs. So, like shortlisting - listing the words that we do like, and we do not like in the <unintelligible/> domain. Could you do that?	Also <parallel_talk> haben eine explizite Liste der Dinge, die in der Ausgabe nicht auftreten dürfen </parallel_talk>, oder? <parallel_talk> Und dann Auswertung der seltenen Wörter. Und hier haben wir eine explizite Liste von Namen und Begriffen, die wir im Output erscheinen lassen möchten, nicht einfach nach (order) Rate, sondern nach etwas, was direkt diese Dinge berücksichtigt, oder? Also stimme ich voll und ganz zu. Das beinhaltet auch die manuelle Vorbereitung des Referenzbuchs. <parallel_talk> Also <parallel_talk> benötigt beide Referenzbuchs manuell. </parallel_talk> Eine bemerkung von mir könnte also <parallel_talk> eine explizite Liste von Dingen haben, die nicht in der Ausgabe auftreten dürfen, richtig? </parallel_talk> Und dann gibt es eine explizite Liste von Namen und Begriffen, die wir wollen in der Ausgabe erscheinen, nicht einfach nach (order) Rate </paral_talk>, sondern nach etwas, was diese Dinge direkt berücksichtigt, richtig?	yes
(PERSON11) It should be doable, so let's give it a try. It would be like - it would be great if you managed to do that. So, I'll write it down. So, <parallel_talk> aiming towards [ORGANISATION62] deadline with subtitler study paper. </parallel_talk> Yes <parallel_talk> and then then a multi-source with [PERSON7] or based upon [PERSON7] or - </parallel_talk> And for the language ID, I'm curious how do you want to integrate it exactly because it already involves considering multiple ASR sources, multiple channels, so what would be the use case for the for the language ID? How do we plug that in?	(PERSON11) Es sollte machbar sein, also lassen Sie es uns versuchen. Es wäre - es wäre großartig, wenn Sie das schaffen. Also, ich werde es aufschreiben. Also, <parallel_talk> zielt auf [ORGANISATION62] Deadline mit Untertiteler-Studiepapier. </parallel_talk> Ja <parallel_talk> und dann eine Multi-Source mit [PERSON7] oder basierend auf [PERSON7] oder - </parallel_talk> Und für die Sprache ID, Ich bin neugierig, wie wollen Sie es genau zu integrieren, weil es schon beinhaltet die Berücksichtigung mehrere ASR-Quellen, mehrere Kanäle, also was wäre der Fall für die Verwendung von der Sprache ID?	yes
(PERSON13) It will be audio to text worker, and it will emit time stamps like for four or two second window and the class. <unintelligible/> silence, Czech, German, English, and then I will let on the others how they want to use it in the pipeline.	(PERSON13) Es wird Audio-zu-Text-Arbeiter sein, und es wird Zeitstempel wie für vier oder zwei Sekunden Fenster und die Klasse. <unverständlich/> Stille, Tschechisch, Deutsch, Englisch, und dann werde ich den anderen lassen auf wie sie es in der Pipeline verwenden möchten.	yes
