Police arrest 15 after violent protest outside UK refugee hotel	﻿Polizeiverhaftung 15 nach gewaltsamen Protesten außerhalb des britischen Flüchtlingshotels	yes
Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn. He helped make Chris Licht a national problem.	Alle mit ihren Haaren über CNN können Stephen Colbert für die harte rechte Kurve danken und Chris Licht zu einem nationalen Problem machen.	yes
Much as we might like some folks, if they are just providing a minor league career to fascists, they probably should wear it.	Ähnlich wie wir einige Leute mögen, wenn sie Faschisten nur eine kleinere Ligakarriere bieten, sollten sie wahrscheinlich tragen.	yes
This was the first time (but won't be the last) that Kaveesha Dilhari has both scored 20+ runs & taken 2+ wickets in the same T20I. She joins a select group of Sri Lankan women to have achieved the all-round feat in the format.	Kaveesha Dilhari hat sowohl 20+ Runs als auch 2+ Wickets im gleichen T20I erzielt.	yes
(PERSON11) But for some folders, for some reason, the audio format is wrong, so, something is wrongly – Basically, the big trade, or something is wrong. So, some files are still – still have weird output. But – but for most folders, it should be already fine.	(PERSON11) Aber für einige Ordner ist das Audioformat aus irgendeinem Grund falsch, also ist etwas falsch - im Grunde genommen ist der große Handel oder etwas falsch. Einige Dateien haben immer noch eine seltsame Ausgabe. Aber für die meisten Ordner sollte es schon in Ordnung sein.	yes
(PERSON1) Okay, thanks.	(PERSON1) Okay, danke.	yes
(PERSON6) Yeah, that's great. I support this, it's great that, [PERSON7], you have thought of [PERSON11]. And [PERSON11] now has the time. There are other things where I was thinking of [PERSON11] and that would be training of, empty systems, so that they do the shortening. So, if you, [PERSON11], had the time. Obviously, there is no way we could do it for next week. But we should really have the system – ready for – I looked at the tutorial from the NLP – was it?	(PERSON6) Ja, das ist großartig. Es ist großartig, dass, [PERSON7], du an [PERSON11] gedacht hast. Und [PERSON11] hat jetzt die Zeit. Und es gibt andere Dinge, an die ich gedacht habe [PERSON11] und das wäre die Ausbildung von leeren Systemen, so dass sie die Verkürzung tun. Also, wenn du, [PERSON11], die Zeit hattest, gibt es natürlich keinen Weg, den wir für die nächste Woche tun könnten. Aber wir sollten das System wirklich haben - bereit für - habe ich mir das Tutorial der NLP angesehen.	yes
(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.	(PERSON6) Für die kommenden Sessions und ich habe nach der Nachfrage gefragt, weil ich die (meme) Projekt-Demo gesehen habe, weil ich die (meme) Projekt-Demo gesehen habe. Das ist etwas einfacher als das, was wir tun. Sie haben aber immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihre Übersetzungsaufgabe verkürzt sich einfach, weil die Daten verkürzt werden. Und das liegt daran, dass ihre Zielgröße die Untertitel ist, die für die Hörbehinderten erstellt werden. Es ist wie eine natürliche Verkürzung der Daten. Es wäre toll, wenn wir auch eine solche Art von Daten finden könnten, wo es eine natürliche Verkürzung gibt. Wir würden es in die Architektur setzen.	no
(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.	(PERSON8) Das braucht etwas Zeit, denn ich muss herausfinden, welches derjenige ist, der vergeht. Also, sobald ich das weiß, kann ich einen Überblick darüber behalten, also für die Zukunft - oder eigentlich für die Zukunft würde ich es nicht brauchen, denn wenn ich die Webdatei habe, muss ich wahrscheinlich keine Konvertierung durchführen.	no
(PERSON6) Well, this, this should actually be – Can you still hear me? The sound quality is a little worse. So, this should really be done, all the time. So, every time we run this evaluation, it should be run from scratch. So, every time, there should be a fresh download of a fresh conversion and a fresh evaluation.	(PERSON6) Nun, das sollte eigentlich sein - Kannst du mich immer noch hören? Die Klangqualität ist etwas schlimmer, also sollte dies wirklich getan werden, die ganze Zeit. Jedes Mal, wenn wir diese Bewertung durchführen, sollte sie von Grund auf laufen, also sollte jedes Mal ein frischer Download einer frischen Konvertierung und eine frische Bewertung stattfinden.	no
(PERSON8) But still, if I am keeping track of the files that need to be manually converted, so that I can write a script, and it could take care of the known ones at least, and of course, if we add some new files, I can see for that later.	(PERSON8) Aber wenn ich die Dateien, die manuell konvertiert werden müssen, nachverfolgt, so dass ich ein Skript schreiben kann, und es könnte sich zumindest um die bekannten kümmern, und natürlich, wenn wir einige neue Dateien hinzufügen, kann ich das später sehen.	no
(PERSON6) So this is an important thing that we should have come across months ago. Remember, it is since August that I've been telling you that we want to evaluate on a later test set. And every time, you all... It is not just you personally, [PERSON8]. There were other things, obviously. But every time you thought about that, you thought "this will be easy, we will just run it". And only when you actually do it, do you see all the problems. So, this is known, common. It is always like that. So that's a message for everybody. Before you try, you never know what the problem will be. So, for example, the call that I had, in which someone was interviewing me, so they wanted to record the video. Zoom never worked as badly for me as it did today for the recording. So, before you do it, you cannot say whether it will work or not. And here we are running into the problems of conversion of the file formats. So, hopefully, we will be able to quickly get the numbers. So, do you have any word error rates so far?	(PERSON6) Dies ist also eine wichtige Sache, die wir vor Monaten haben sollten. Denken Sie daran, dass ich Ihnen seit August gesagt habe, dass wir auf einem späteren Testset bewerten wollen. Und jedes Mal, wenn Sie darüber nachdenken, dachten Sie, dass das einfach sein wird, wir werden es nur ausführen. Und nur, wenn Sie es wirklich tun, sehen Sie alle Probleme. So ist es immer so, dass Sie es sehen, in dem Sie mich interviewen, also wollten sie das Video aufzeichnen. Also, bevor Sie es tun, können Sie nicht sagen, ob es funktionieren wird oder nicht. Und hier laufen wir in die Probleme der Konvertierung der Dateiformate. Also hoffentlich werden wir in der Lage sein, schnell die Zahlen zu bekommen. Also, haben Sie bisher irgendwelche Wortfehlerraten?	no
(PERSON8) No, I have not processed it. So [PERSON1] said that, once, they get the transcript, we will do it together.	(PERSON8) Nein, ich habe es nicht verarbeitet; so sagte [PERSON1], dass sie einmal die Transkription erhalten, wir werden es zusammen tun.	no
And then, I agree that there is a lot of noise in this dictionary. So, I asked that you would have various versions of this dictionary by taking only the words that were observed, five times. And only the pronunciations that were observed three times or more, or something like that. So, that way, these random errors, such as the example with this four IBM instead of IBM. This will not be so frequent. But still, you will have the variants in pronunciation, because if the person, says this "alzo", if you remember, if he says this "alzo" with a "Z" 20 times in the in the talk, then you will see that in the data with the "Z". And if he sometimes manages to say also correctly, then yeah, again, you will see that in the data. So, I would like, [PERSON4] to be in touch with [PERSON2]. Maybe you continue on the call, right? I will have to leave now, because I need to give the kids lunch and so on. But please stay on this call and figure out jointly how to use that dictionary. So [PERSON4], please show [PERSON2] what the dictionary is that the system is accepting. Share your screen and show it. And [PERSON2], please, have a look at that and help with converting the dictionary that you emitted to that file. One thing that will still be needed is the language model substitute. But all these words should be known words. So [PERSON4], you need to figure out what words are in the language model. And the words which are in the language model should be simply copied. So, the dictionary will have three col ns. The grapheme, as it is output. One recognized. The phonemes, as [PERSON2] proposed. And there will be multiple lines with different phoneme variations. And the third col n will be also the same again for all of those, and again there will be the same grapheme form. So that is when the language model sees. And I think that this way, these systems should be able to load it. And you will also possibly run into one more problem: that it is not ready for two big custom dictionaries. So, this is also something that has to be tested, but please test it, the two of you together. So [PERSON2] knows what he created in the dictionary. And you know what the dictionary looks like when you are creating it manually, and you need to put these two pieces of knowledge together. Ah, so that it works with the, with the generated dictionary.	Und dann stimme ich zu, dass es eine Menge Lärm in diesem Wörterbuch gibt. Also, ich fragte, dass Sie verschiedene Versionen dieses Wörterbuch haben würden, indem Sie nur die Worte, die beobachtet wurden, fünf Mal. Und nur die Aussprachen, die drei Mal oder mehr beobachtet wurden, oder etwas wie das. So, so, diese zufälligen Fehler, wie das Beispiel mit diesem vier IBM statt IBM. Dies wird nicht so häufig sein. Aber trotzdem werden Sie die Varianten in der Aussprache sehen, wenn die Person, wenn er sagt, dieses "alzo" mit einem "Z" 20 mal im Gespräch, dann werden Sie sehen, wenn er sagt, dass dieses "alzo" mit einem "Z" sagt, dann werden Sie sehen, wenn er sagt, dass das System in der Sprache einfach kopiert werden soll. Und wenn er manchmal sagt, dass es in den Daten ist, dann werden Sie sehen, wie es in der Sprache ist, und wieder gibt es die gleichen Grapheme.	no
(PERSON4) Okay.	(PERSON4) Okay.	no
(PERSON6) So [PERSON2], does this make sense?	(PERSON6) Also [PERSON2], macht das Sinn?	no
(PERSON2) Yeah, sure, we'll discuss it.	(PERSON2) Ja, wir werden es besprechen.	no
(PERSON6) Yeah, so is there anything else, [PERSON2], that you have?	(PERSON6) Ja, also gibt es etwas anderes, [PERSON2], das du hast?	no
(PERSON2) Well, maybe interesting information for Dominik. I'm finishing training of a German ASR that may be used for time stamping. I'm not sure how good it will be because I'm trying to do it on (Libry) Speech. And, though, when I was downloading it, they claimed it had more than 600 hours. But then the training said that the actual training set contained only around 300 hours. And I'm still not sure whether these 300 hours do not contain similar sentences. Or actually the same sentences but spoken by different speakers. For example, in English or Czech I used to observe steeper conversions. And now it won't convert so fast. So, if we take some samples during the training. Then there are still some serious errors in the ASR output. So, I'm hopeful that for the time stamping, it is good enough. Or at least we might try it.	(PERSON2) Nun, vielleicht interessante Informationen für Dominik. Ich bin nicht sicher, wie gut es sein wird, weil ich es auf (Libry) Speech machen werde. Und dann sagte das Training, dass das eigentliche Trainingsset nur etwa 300 Stunden enthält. Und ich bin immer noch nicht sicher, ob diese 300 Stunden nicht ähnliche Sätze enthalten, oder eigentlich die gleichen Sätze, aber von verschiedenen Sprechern gesprochen wurden. Und jetzt wird es nicht so schnell konvertieren. Also, wenn wir einige Proben während des Trainings nehmen, dann gibt es noch einige schwerwiegende Fehler in der ASR-Ausgabe. Also, ich hoffe, dass für die Zeitstempelung, es ist gut genug, oder zumindest wir versuchen es.	no
(PERSON17) Okay, that's good, yeah. So, I started, but I think I never finished an email to you, because you reminded me, [PERSON8], that your profanity filtering is not yet integrated. And I think this is also an important message for [PERSON5], who has disappeared again from the call. So, the important message is that yes, it's very good that you are actively pushing so that your results are integrated, and everybody should do so. And at the same time, we need to have the setup, so that you can actually integrate and test it yourself. So, I call it "do-it-yourself integration". So, [PERSON8], when working with [PERSON5] and when documenting what the setups are, make sure it is tested well enough by colleagues, such as [PERSON4] or even [PERSON9] for the language model checks and everybody else. So, whenever someone develops a new useful component, the full pipeline should be accessible to him reasonably easily, so he can test it himself. So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded. So, you want to provide these people with inputs and outputs as the first testing approach, which has already been done. [PERSON4], right? The profanity filtering, has it been tested on logs? I think it was.	(PERSON17) Okay, das ist gut, ja. Also, ich glaube, ich habe nie eine E-Mail an Sie beendet, weil Sie mich erinnert haben, weil Sie mich erinnert haben, [PERSON8], dass Ihre Profanitätsfilterung noch nicht integriert ist. Und ich denke, dies ist auch eine wichtige Nachricht für [PERSON5], die wieder vom Anruf verschwunden ist. Und ich denke, dies ist auch eine wichtige Nachricht für [PERSON5], die sehr gut ist, dass Sie aktiv drängen, so dass Ihre Ergebnisse integriert sind, und alle anderen. Also, wenn jemand eine neue nützliche Komponente entwickelt, so dass Sie es selbst integrieren können, und alle anderen. Also, wenn jemand eine neue nützliche Komponente entwickelt, so dass Sie es selbst integrieren können, und alle anderen. Also, wenn jemand eine neue nützliche Komponente entwickelt, so dass Sie es selbst testen können. Also, wenn jemand eine neue nützliche Komponente entwickelt,	yes
(PERSON8) Yeah, it was tested on logs, I think. So, now it's time to test it on the live pipelines. And again, I think it's better if [PERSON8] explains to [PERSON4] how to do it, so that [PERSON4] runs it for himself some of the workers and live playing some of the problematic file like using [PROJECT8] or whatever. Simply play them. Follow the sound output on your machine and see how that works. Because only when doing the real setup will the true errors appear. It is important to first debug it, using the log files, and then it's important to debug it in the pipeline. And if this debugging can be done by the author of that component, here, in this case [PERSON4], it would be most efficient for all of us. So, [PERSON8], please confirm that you agree with this idea of like do-it-yourself integration.	(PERSON8) Ja, es wurde auf Logs getestet, denke ich, es ist also an der Zeit, es auf den Live-Pipelines zu testen, und ich denke, es ist besser, wenn [PERSON8] es für sich selbst erklärt, wie es zu tun ist, so dass [PERSON4] es für sich selbst ausführt und einige der problematischen Dateien wie [PROJECT8] oder was auch immer spielt. Folgen Sie der Soundausgabe auf Ihrer Maschine und sehen Sie, wie das funktioniert. Es ist wichtig, es zuerst zu debugen, mit den Logdateien, und dann ist es wichtig, es in der Pipeline zu debuggen. Und wenn dieses Debugging vom Autor dieser Komponente durchgeführt werden kann, hier, in diesem Fall [PERSON4], wäre es für alle von uns am effizientesten. Also, [PERSON8], bestätige bitte, dass Sie mit dieser Idee von	no
(PERSON17) Yeah, so for the multi-accent English. So, we are now [PERSON14] putting that together to just one technical solution. The current idea that [PERSON14] is working on is that he will create new sentences with words that were spoken in other sentences, and he will do this across different speakers. So, it will be really multi-speaker sentences, and therefore the robustness to the different accents of these speakers could be also improved. Ah, so that's one particle experiment. And later on, we may do something more about the multi-accent thing. So, these new sentences will actually try to solve two problems with one experiment. One problem is the implicit language model. So, the ASR system has to see the largest possible set of sentences. And we are going to create new sentences from the text-only language model by adding the sound part to that, so that the language model will be better for the ASR, and the robustness to different speakers would be also better. And in a talk yesterday, I heard another idea. It was during the training. They were dropping out time bands and frequency bands from the sound. So, they were training on disrupted inputs, and that also greatly improved the robustness of the system.	(PERSON17) Ja, also für das mehrdeutige Englisch. Wir sind jetzt [PERSON14], das zusammen mit nur einer technischen Lösung zu schaffen. Die aktuelle Idee, dass [PERSON14] daran arbeitet, dass er neue Sätze mit Wörtern, die in anderen Sätzen gesprochen wurden, erstellen wird, und er wird dies auch über verschiedene Lautsprecher tun. Also wird es wirklich mehrsprachige Sätze geben, und daher könnte die Robustheit zu den verschiedenen Akzenten dieser Lautsprecher verbessert werden. Ah, so dass wir etwas mehr über die Multi-Akzent-Dinge tun können. Und später werden wir etwas mehr über die Multi-Akzent-Dinge tun, also werden wir wirklich versuchen, zwei Probleme mit einem Experiment zu lösen. Ein Problem ist das implizite Sprachmodell zu sehen, so dass das Sprachmodell besser für die ASR sein wird, und die Robustheit zu verschiedenen Lautsprechern wäre auch besser. Und in einem	yes
(PERSON17) Anyone else can work on the non-native accent thing. Ok, then another thing that I spotted is - this is in the Monday test document. It is highlighted four times. So, when some session is happening, we need the names and terminology for that session. And we need to collect it, prepare it manually, create it somewhat. And this manual creation should be supported with automatic tools as much as possible. So, there is a certain skill b in that, which needs to be practiced. So, I'm quite skilled at shuffling text files. And whenever I see any of any of you doing that, then I like always have tips in my head of what could be done faster. Maybe it is not faster for your end, but at least you should consider it. So there this skill is something that that we need people to have. And we need someone to be responsible for that. And I'm afraid that the only person for this could be [PERSON8]. If you find anyone else who would be ready to help with the immediate domain adaptation, the data crunching, please say so. And then we need - So, once we have secured the dictionary of terms and whatever the word pronunciations, we need techniques to put these dictionaries to use in the systems. So, my impression from the domain adaptation that [PERSON9] has been carefully doing for all the sessions was that it was not really visible in the hybrid ASR. So, one such session is again going to happen this Monday. [PERSON9] is already starting the data collection, but I would like to see the benefit of that domain adaptation in in in the [PROJECT5] set up. So, maybe [PERSON9] and [PERSON8], because he's learning how to do domain adaptation and [PERSON14], because he is doing how to work with [PROJECT5]. If you three could meet and double check what is [PROJECT5] doing with the - It's not [PROJECT5], actually, the domain adaptation is for the [PERSON18] toolkit, right.	(PERSON9) Jeder andere kann an der nicht-nativen Akzentsache arbeiten. Ok, dann eine andere Sache, die ich entdeckt habe - das ist im Montag-Test-Dokument. Es ist viermal hervorgehoben. Also, wenn einige Sessions passieren, brauchen wir die Namen und Terminologie für diese Sitzung. Und wir müssen sie sammeln, um sie manuell zu erstellen. Und diese manuelle Schöpfung sollte mit automatischen Werkzeugen so viel wie möglich erstellt werden. Und dann ist es eine gewisse Fähigkeit b, die bereit ist, mit der sofortigen Domänenanpassung zu arbeiten. Und dann muss ich sagen, dass jemand, der bereit ist, mit der sofortigen Domänenanpassung fertig zu werden, dies tun. Und dann muss ich sagen, dass jemand, der bereit ist, mit der sofortigen Domänenanpassung fertig zu werden, dies tun. Und wenn ich irgendjemand, der bereit ist, mit automatischen Werkzeugen so viel wie möglich zu tun	yes
So, this is kind of backward-looking, making sure that the old approach works. At the moment it is absolutely impossible to do any domain adaptation for the fully neural ASR. So, what I'm considering is to have an independent keyword spotting from sound and some merging procedure. So, we could have two ASRs running at the same time. End-to-end ASR, which is better in general. And then domain-adapted [PROJECT5] setup, which is used only to spot the keywords. And when we see a keyword in the domain-adapted version then we would then we would use that sentence from [PROJECT5], which is in general worse, but contains the right terms. So that's my suggestion of what we could do. And another suggestion is that we really should have our own fully neural ASR and do various experiments on finetuning and all that. So, we have discussed this with [PERSON14]. And, [PERSON14], is there any update from the potential colleague or friend of yours?	Und wenn wir ein Keyword in der Domain-adaptierten Version sehen, dann würden wir diesen Satz von [PROJECT5] verwenden, der im Allgemeinen schlimmer ist, aber die richtigen Begriffe enthält. Und ein weiterer Vorschlag ist, dass wir wirklich unsere eigene völlig neurale ASR haben und verschiedene Experimente zur Feinabstimmung und all das machen sollten. Also haben wir dies mit [PERSON14] diskutiert. Und, [PERSON14], gibt es ein Update vom potenziellen Kollegen oder Freund von Ihnen?	yes
(PERSON17) Yeah, so if there is anyone else who'd be curious about this please let me know or get in touch. So, it's this is something which is which would really be accepted well in generally as a as a paper, because people don't do that yet. And that's the most urgent problem these days. So, we really could make an impact there.	(PERSON17) Ja, wenn es jemanden gibt, der daran interessiert ist, lasse mich bitte wissen oder kontaktieren. Es ist also etwas, das im Allgemeinen als Papier wirklich gut akzeptiert werden würde, weil die Menschen das noch nicht tun, und das ist das dringendste Problem in diesen Tagen, also könnten wir dort wirklich etwas bewirken.	no
(PERSON6) Yeah, I was maybe just thinking about like what kinds of data we currently use for this, because, for example, like if you check like [ORGANIZATION4]'s models on [ORGANIZATION5] that they are like already pretty good at these things -	(PERSON6) Ja, ich dachte vielleicht nur darüber nach, welche Arten von Daten wir derzeit dafür verwenden, denn zum Beispiel, wenn Sie wie [ORGANIZATION4]'s Modelle auf [ORGANIZATION5] überprüfen, dass sie in diesen Dingen schon ziemlich gut sind -	no
(PERSON6) And I think that if we just like - We could probably just get the data from them, because you have like a such a large set of videos basically with different domains and different speaker native languages on [ORGANIZATION5]. And I had this idea that we could just like use some tool to download basically some kinds of filtered videos from [ORGANIZATION5] and make training tests a training set out of them.	(PERSON6) Und ich glaube, dass wir, wenn wir es mögen - wir könnten wahrscheinlich nur die Daten von ihnen bekommen, denn Sie haben eine so große Menge von Videos im Grunde mit verschiedenen Domänen und verschiedenen Sprechern Muttersprachen auf [ORGANIZATION5]. Und ich hatte diese Idee, dass wir einfach nur ein Tool verwenden könnten, um im Grunde einige Arten von gefilterten Videos von [ORGANIZATION5] herunterzuladen und Schulungstests ein Trainingsset aus ihnen zu machen.	no
So, I plan to do it myself. I plan to go there, but we need a backup person. And also, for the [PROJEC210] event we need someone to take care of the recording, So, the archiver person, so that we don't lose that session again. And the more important and still persisting topic to work on is ladder climbing. And I've suggested here in the paragraph for [PERSON2] that we could use simple html tables that would be autogenerated and that that would grow. I think that that would be probably the easiest to just put up the tables as html, but it could get difficult when we want to see the differences, as new systems will be evaluated after every new evaluation campaign. It may be difficult to prepare these tables. So, I asked [PERSON7] and [PERSON7] unfortunately won't be available during this call. To tell us whether [ORGANISATION242], which is a web-based solution. Some start-up company which offers accounts for academic purposes for free. If that would help us or not. Okay, so [ORGANISATION242] is not recommended by [PERSON7]. So, simple html is probably the way to go. So, as soon as [PERSON2] has these evaluations m cleaned up. So, that means moving the few scripts to where they belong from [PROJECT3] test set and some automatic runner. Then also please create a conversion from the tables into html similar to the tech conversion and then put these results regularly to your webpage. Or what you could even do is to have a full git check out directly located in this public html or singling from that public html. So that it would be immediately accessible through the web, and anybody could have a look at the current scorings and explore that. So, this would be useful, especially for m people outside of [ORGANISATION2] such as, [ORGANISATION15]. We know they have like - The performance was bad for some of the files, and they could directly m browse it on the web m. They could also browse it actually in on [ORGANISATION101]. This is up to you to set it up so that it's user-friendly and easy to follow.	Also, ich plane, es selbst zu machen, aber wir brauchen eine Sicherungsperson. Und auch für die [PROJEC210] Veranstaltung brauchen wir jemanden, der sich um die Aufnahme kümmern muss, also die Archiver Person, so dass wir diese Sitzung nicht wieder verlieren. Und dies ist das Archiver-Person, so dass wir diese Sitzung nicht wieder verlieren. Und die wichtigere und immer noch anhaltende Thematik, um auf der Arbeit zu arbeiten, ist ladder Klettern. Und ich habe hier im Absatz für [PERSON2], dass wir einfach HTML-Tabellen verwenden können, die für die tech-Konvertierung und einige automatische Läufer arbeiten. Und ich habe hier im Absatz für [PERSON2], dass wir einfach HTML-Tabellen verwenden können, die für die tech-Konversion und dann für das Wachstum geeignet sind. Also, so schnell wie [PERSON2], dass sie für html	yes
(PERSON2) Okay, I'll do that.	(PERSON2) Okay, das werde ich tun.	no
(PERSON11) Yeah, thanks. I'm now working on, or getting to update, the demo paper submission, which is due next Friday, if I'm not mistaken. And then I have some project reports to do and I'm starting to gather documents - like, or links to the documents, not the documents themselves yet, for the two sessions.	(PERSON11) Ja, ich arbeite jetzt an dem Demo-Papier, das am nächsten Freitag fällig ist, wenn ich mich nicht irre. Und dann habe ich einige Projektberichte zu tun und ich beginne Dokumente zu sammeln - wie, oder Links zu den Dokumenten, nicht die Dokumente selbst, für die beiden Sitzungen.	no
(PERSON11) <parallel_talk> For ASR as well we should add a complimentary metric - Actually more, we should add complementary met- these complementary metrics. </parallel_talk> So, you mentioned one and that is profanity filtering m evaluation. So <parallel_talk> have an explicit list of things which must not appear in the output </parallel_talk>, right? <parallel_talk> And then rare words evaluation. And here have an explicit list of names and terms that we do want to appear in the output, scored not simply by (order) rate </parallel_talk> but scored by something which directly accounts these things, right? Yes, so I totally agree. This involves also manual preparation of the reference. So, <parallel_talk> both need manually created references. </parallel_talk> I have one remark from [PERSON1]. So <parallel_talk> [PERSON1] has compiled some translation dictionary. And she should share it soon. </parallel_talk> So, this could become an empty part of the second thing of the rare word - So <parallel_talk> this would be the rare word evaluation for MT and then from [PROJEC210] we are also likely to get some dictionary. </parallel_talk> So that would be the [PROJEC210] domain obviously. And [PERSON2], could I ask you to revise the <unintelligible/> domain and create such a dictionary by looking at the outputs and what is missing in the outputs. So, like shortlisting - listing the words that we do like, and we do not like in the <unintelligible/> domain. Could you do that?	(PERSON11) <parallel_talk> So sollten wir eine zusätzliche Metrik hinzufügen - tatsächlich mehr, wir sollten diese ergänzenden Metriken hinzufügen. </parallel_talk> Also, Sie haben eine explizite Liste von Dingen, die nicht in der Ausgabe erscheinen müssen </parallel_talk>, richtig? <parallel_talk> aber durch etwas, das diese Dinge direkt erstellt hat, richtig? Ja, so ich bin total einverstanden. <parallel_talk> Ich habe eine seltene Wortbewertung für MT und dann von [PROJEC210] wir sind auch wahrscheinlich ein Wörterbuch zu bekommen. </parallel_talk> Das wäre wahrscheinlich die [PROJEC210] Domäne offensichtlich. Und [PERSON2], könnte ich Sie bitten, das <unintelligible/> Domäne zu überprüfen und ein solches Wörterbuch zu erstellen, indem	yes
(PERSON11) It should be doable, so let's give it a try. It would be like - it would be great if you managed to do that. So, I'll write it down. So, <parallel_talk> aiming towards [ORGANISATION62] deadline with subtitler study paper. </parallel_talk> Yes <parallel_talk> and then then a multi-source with [PERSON7] or based upon [PERSON7] or - </parallel_talk> And for the language ID, I'm curious how do you want to integrate it exactly because it already involves considering multiple ASR sources, multiple channels, so what would be the use case for the for the language ID? How do we plug that in?	(PERSON11) Es sollte möglich sein, es zu versuchen. Es wäre toll, wenn Sie es geschafft haben. Also, ich werde es aufschreiben. <parallel_talk> mit Untertitel-Studienpapier. </parallel_talk> Ja <parallel_talk> und dann eine Multi-Quelle mit [PERSON7] oder - </parallel_talk> Und für die Sprach-ID, ich bin neugierig, wie Sie es genau integrieren möchten, weil es bereits mehrere ASR-Quellen, mehrere Kanäle betrifft, also was wäre der Anwendungsfall für die Sprach-ID?	yes
(PERSON13) It will be audio to text worker, and it will emit time stamps like for four or two second window and the class. <unintelligible/> silence, Czech, German, English, and then I will let on the others how they want to use it in the pipeline.	(PERSON13) Es wird Audio an Textarbeiter sein, und es wird Zeitstempel wie für vier oder zwei zweite Fenster und die Klasse emittieren. <unverständlich/> Schweigen, Tschechisch, Deutsch, Englisch, und dann werde ich die anderen darüber informieren, wie sie es in der Pipeline verwenden möchten.	yes
(PERSON11) That is important. Please write this down here into the documenter this <unintelligible/> summary, because that is for [PERSON2]. And also [PERSON2], when you talk to [PERSON10], well and also possibly [PERSON5]. If we have this tool, we need to (ship) the audio to multiple ASR or multiple workers <unintelligible/> We will separately need to (ship) the audio to the English ASR, separately to the German ASR and the Czech ASR, for example depending on the <other_noise/> And also, to this language ID worker and then we need to merge these outputs, and this is tool which we do not have yet. That's the multi-source tool, which will be observing the text outputs and also following the time stamps and it would emit the - it would probably like produce the output into three separate language channels for using either silence or the correct ASR. So, we need a filter for the ASRs, so that the ASR is silent if it's the wrong language and it is the recognized text if it's the correct language. I just made it up this type of setup. Another of setup would be that same sound is shipped to ASR and this language checker. This language checker is essentially a part of the ASR, silencing the ASR if it's the wrong language. That's also an option. So, we need to figure out which way of integrating the language ID is the best for our purposes. So, please keep thinking about this like what are our pipelines. Ideally, I think that the least like management confusion and so on would arise if our MT models were multilingual. If they supported different source languages and they were translating from any of these languages into English. Possibly doing just a copy, if the English was given as the input, so we would have multi-lingual multiple ASRs at the beginning. All going into English, and then from the English will go into all of the languages. And later when [PERSON12] would have multi-lingual model of ASR, that language ID would not even be needed.	(PERSON11) Das ist wichtig. Dies ist auch eine Option. Dies ist ein Filter für die ASR, die im Grunde genommen ein Teil der ASR ist, wenn sie die falsche Sprache und auch die richtige Sprache ist. Das ist auch eine Option. Dies ist ein Filter für die ASR, der im Grunde genommen ein Teil der ASR ist, wenn sie die falsche Sprache und auch die korrekte ASR ist. Dies ist auch eine Option. Dies ist ein Filter für die ASR, der im Grunde genommen ein Teil der ASR ist, wenn es die falsche Sprache ist und auch die richtige Sprache ist. Dies ist auch eine Option. Dies ist ein Filter für die ASR, der im Grunde genommen ein Teil der ASR ist, wenn es die falsche Sprache ist und dies ist auch die richtige Sprache. Dies ist auch eine Option. Also, wir brauchen einen Filter für die ASR, wenn sie die falsche Sprache und auch die richtige Sprache ist.	no
(PERSON3) The thing is, as long as we do the analysis more properly, one thing is the possible adversarial evaluation, just to indicate that that the constraints are actually having an impact on the actual output. That that would be nice and yeah possibly the attention analysis. But I'm not sure it might give us the same answers, basically, if the if the model attends or does not attend to the constraint.	(PERSON3) Die Sache ist, solange wir die Analyse richtiger machen, eine Sache ist die mögliche widersprüchliche Evaluierung, nur um darauf hinzuweisen, dass die Zwänge tatsächlich Auswirkungen auf die tatsächliche Ausgabe haben. Das wäre schön und ja möglicherweise die Aufmerksamkeitsanalyse. Aber ich bin nicht sicher, dass es uns die gleichen Antworten geben könnte, im Grunde, wenn das Modell an der Einschränkung teilnimmt oder nicht.	yes
