Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigen Protesten vor einem Flüchtlingshotel in Großbritannien	yes
I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.	Ich frage mich oft, wie es möglich ist, so auf sich selbst zu verzichten, während man von so vielen Beweisen überschwemmt wird, wie wahre Grausamkeit aussieht.	yes
To agonize over personal failure & guilt in a world where "success" is so often bestowed on people responsible for the most reprehensible acts...	In einer Welt, in der "Erfolg" so oft Menschen verliehen wird, die für die verwerflichsten Taten verantwortlich sind...	yes
We're all such messy critters.	Wir sind alle so unordentliche Kreaturen.	yes
But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.	Aber die milde Verzweiflung über unser Chaos ist entscheidend - weil es uns mehr Raum gibt, die Ruinen um uns herum anzugehen.	yes
So try not to forget, eh?	Versuchen Sie es nicht zu vergessen.	yes
Kindness with ourselves is activism, too.	Freundlichkeit mit uns selbst ist auch Aktivismus.	yes
Some programmers: "Typing speed does not matter!" or "Modal editors are useless today" :morty:	Einige Programmierer: "Schreibgeschwindigkeit spielt keine Rolle!" oder "Modal-Editoren sind heute nutzlos"	yes
Me extracting functionality of my #Axum projects into shared libraries: "Hold my keyboard" :partyparrot: :helix: :ferrisdance:	Ich extrahiere die Funktionalität meiner #Axum-Projekte in geteilten Bibliotheken: "Hold my keyboard"	yes
Not sure if this is the best approach for sharing, but I like it for now: <URL>	Ich bin mir nicht sicher, ob das die beste Art ist, etwas zu teilen, aber mir gefällt es fürs erste: <URL>	yes
Note: You can take inspiration, but the libraries are not intended for public usage.	Hinweis: Sie können sich inspirieren lassen, aber die Bibliotheken sind nicht für den öffentlichen Gebrauch bestimmt.	yes
How would you share personal libraries?	Wie würden Sie persönliche Bibliotheken teilen?	yes
The prompt this week on Revelations is Stay up all night. I have been toying with this little piece on my head for a few days now. It is definitely more romance than filth. Maybe I have been reading to many romances with impossible 'meet cutes' and this is the result, but I like it. Also one day I am totally gonna do the mile high orgasm, maybe not with a str	Ich habe mit diesem kleinen Stück auf meinem Kopf seit ein paar Tagen gespielt. Es ist definitiv mehr Romantik als Schmutz. Vielleicht habe ich viele Romanzen mit unmöglichen "Meet Cuts" gelesen und das ist das Ergebnis, aber ich mag es. Auch eines Tages werde ich total den Meilen-hohen Orgasmus machen, vielleicht nicht mit einem Str	yes
I don't agree that #Mastodon is difficult to setup. Common, it's really not that hard. But it's more difficult to find people to follow and build up your timeline. I wish there was a "who to follow" recommendation somehow.	Ich stimme nicht zu, dass #Mastodon schwer zu erstellen ist. Allgemein, es ist wirklich nicht so schwer. Aber es ist schwieriger, Leute zu finden, denen man folgen kann und seine Zeitleiste aufzubauen. Ich wünschte, es gäbe irgendwie eine Empfehlung, wem man folgen sollte.	yes
But apart from this, it is not difficult - if you use a 3rd party app like Elk and/or Ivory. If you stick to the default web interface it doesn't look and feel good (imho).	Aber abgesehen davon ist es nicht schwierig - wenn Sie eine App von Drittanbietern wie Elk und/oder Ivory verwenden.	yes
So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.	Es erfordert also ein bisschen mehr Aufwand, um hineinzukommen, und Sie brauchen wahrscheinlich eine gute App, um #UX zu verbessern.	yes
I don't know if prevention is possible, but it's worth trying. The four steps I outline are up for debate, with some progress in each:	Ich weiß nicht, ob Prävention möglich ist, aber es lohnt sich, es zu versuchen.	yes
Description: names for incidents of human-algorithm behavior that account for algorithms & humans. Explanation: account for both sides of mutual influence	Beschreibung: Namen für Vorfälle von menschlichem Algorithmusverhalten, die Algorithmen und Menschen berücksichtigen.	yes
Forecasting: anticipating harms before they happen (even if by minutes) Interventions: knowledge about things we can do to create change, within some confidence bounds	Prognose: Schäden vorhersehen (auch wenn sie nur Minuten vor sich gehen) Interventionen: Wissen über Dinge, die wir tun können, um innerhalb gewisser Zuversichtsgrenzen Veränderungen herbeizuführen	yes
I didn't watch the CNN town hall, but it seems as if Trump said exactly the same things he says every time he opens his mouth or presses Send on his phone. Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.	Ich habe das CNN-Rathaus nicht gesehen, aber es scheint, als ob Trump genau die gleichen Dinge gesagt hat, die er jedes Mal sagt, wenn er den Mund aufmacht oder auf Send drückt. Selbst wenn er sie nicht während des Rathauses sagen konnte, wird jeder in Amerika sie sowieso hören, wiederholt, zwischen jetzt und November 2024.	yes
That's still no reason to give him another venue, but the harm is being exaggerated. He'll win the primaries. We can't will him away. He's here and he's going to say this stuff no matter what.	Das ist kein Grund, ihm einen anderen Ort zu geben, aber der Schaden wird übertrieben. Er wird die Vorwahlen gewinnen. Wir können ihn nicht wegwerfen. Er ist hier und er wird diese Dinge sagen, egal was passiert.	yes
Signed up for Google's "AI Test Kitchen" waitlist and got in same day. It's very underwhelming at the moment.	Ich habe mich für Googles "AI Test Kitchen" angemeldet und bin am selben Tag eingeschrieben.	yes
The "MusicLM Demo" is mildly interesting. You can ask for a specific piece of music like "jazz with a trumpet solo in 5/4 tempo" and it will generate two tracks for you after a few seconds. It seems to understand tempo, but... the music's just... not good.	Die "MusicLM Demo" ist leicht interessant. Sie können nach einem bestimmten Musikstück wie "Jazz mit einem Trompetensolo im 5/4 Tempo" fragen und es wird nach ein paar Sekunden zwei Tracks für Sie generieren. Es scheint Tempo zu verstehen, aber... die Musik ist einfach... nicht gut.	yes
Throwing everything you've got over the fence in response to GPT is not it. Try harder Google.	Alles, was du hast, über den Zaun zu werfen, als Reaktion auf GPT, ist es nicht.	yes
It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress. I work out alone in my bedroom without a spotter or even a weight rack. Just me and a barbell with a bunch of weights. I bench press on my bed. If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me. Anyway, load is going up today. Still feels good.	Es ist seltsam, Gewichtheben zu machen, aber auch keine Ahnung zu haben, was dein One-Rep-Max ist, denn das ist eine der wichtigsten Möglichkeiten, wie Menschen ihren Fortschritt verfolgen. Ich trainiere allein in meinem Schlafzimmer ohne einen Beobachter oder sogar ein Gewichtsträger. Nur ich und eine Hantel mit einem Haufen Gewichten. Ich arbeite auf dem Bett. Wenn ich versuche, herauszufinden, ob mein One-Rep-Max genug Gewichte hat, um maximal auszutreten, könnte ich nicht genug Gewichte besitzen, oder umgekehrt könnte es mich ernsthaft verletzen/töten. Jedenfalls, die Last steigt heute. Es fühlt sich immer noch gut an.	yes
I swear burrata didn't exist five years ago	Ich schwöre, vor fünf Jahren gab es keine Burrata.	yes
This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days	Das ist mein persönlicher Mandela-Effekt. Ich hatte ihn noch nie in einem Kochbuch gesehen. Ich hatte ihn noch nie in einem schicken Lebensmittelgeschäft oder einem italienischen Laden gesehen. Ich hatte noch nie gesehen, wie jemandes Mutter ihn zubereitet hat oder auf einer Party auf mich geschoben hat oder ihn in Verbindung mit jemandes Saucen-Eskapaden oder Backtagen erscheinen sehen.	yes
It just appeared one day and suddenly it was available everywhere. I've entered the burrata dimension.	Es erschien eines Tages und plötzlich war es überall verfügbar.	yes
drake's aging iPad is giving out, so she's in the market for a new tablet. Having been radicalized here, we're reluctant to buy a new FAANG machine*. Does anyone have a Linux tablet they love?	Ich habe mir vorgestellt, dass ich eine neue Maschine kaufen würde, aber ich habe keine Ahnung, ob ich sie kaufen kann.	yes
This would be mainly for web browsing, occasional email, and some games.	Das wäre hauptsächlich für das Surfen im Internet, gelegentliche E-Mails und einige Spiele.	yes
In 1998-06 Gamefan, in relation to the long development of the first Unreal game, Jason Schrieber commented,	In 1998-06 Gamefan, in Bezug auf die lange Entwicklung des ersten Unreal-Spiel, Jason Schrieber kommentiert,	yes
"A good game is only late until it ships. A bad game is bad forever."	"Ein gutes Spiel ist erst spät, wenn es versendet wird, ein schlechtes Spiel ist für immer schlecht".	yes
So was it Epic that originated this? We can keep going.	War es Epic, der das angerichtet hat?	yes
An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,	In einer früheren Ausgabe von GamePro 1997-11 steht ein Zitat mit viel mehr Zweideutigkeit:	yes
"Or, as an industry catch phrase goes: A late game is only late until it ships. A bad game is bad for the rest of your life."	"Ein verspätetes Spiel ist erst dann verspätet, wenn es versendet wird, ein schlechtes Spiel ist schlecht für den Rest deines Lebens".	yes
Is it so ephemeral then? Merely a "catchphrase" with no clear originator?	Ist es also so kurzlebig, nur ein "Slogan", der keinen eindeutigen Urheber hat?	yes
Smoky, my 10 month old male Domestic Blue kitten, playing with a red rubber Apple Pencil comfort device bought from Amazon he absconded months ago. He carries it in his mouth proudly all over the house, and I just have to laugh inwardly. Every time I see him do it.	Smoky, mein 10 Monate alter männlicher Domestic Blue Kätzchen, spielt mit einem roten Gummi Apple Pencil Komfortgerät, das er vor Monaten von Amazon gekauft hat. Er trägt es stolz im Mund durch das ganze Haus, und ich muss nur innerlich lachen. Jedes Mal, wenn ich ihn das tun sehe.	yes
Have now done a full round trip on the new ICNG train. I really like it. Esp the carriages with the bigger windows. There's areas that could use some polish. Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.	Ich habe jetzt eine volle Hin- und Rückfahrt mit dem neuen ICNG-Zug gemacht. Ich mag ihn wirklich. Besonders die Waggons mit den größeren Fenstern. Es gibt Bereiche, die etwas poliert werden könnten. Nämlich der Mangel an genügend Behältern und der Mangel an Schildern, um die Bedeutung der Lichtfarben zu erklären.	yes
Fix those minor issues, and then can we have more of these please? I won't be sad to see the end of the ICM or DDZ stock.	Ich werde nicht traurig sein, wenn die ICM- oder DDZ-Aktien ausfallen.	yes
One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board. You can buy ONE of the boards listed above, not one of each. There are no buying restrictions on Picos or other merchandise.	Die Regeln "Ein Board pro Kunde" bleiben bestehen, da wir sicherstellen wollen, dass jeder, der in der Schlange steht, ein Board in die Hand bekommen kann.	yes
Yesterday I had the best time with my friend and former rabbi colleague. We visited for a couple hours on my porch. Such friendships transcend differences. We all have stories to tell. The Lord bless you and keep you! And the marsh is greening up.	Gestern hatte ich die beste Zeit mit meinem Freund und ehemaligen Rabbi-Kollegen. Wir waren ein paar Stunden auf meiner Veranda. Solche Freundschaften überwinden Unterschiede. Wir alle haben Geschichten zu erzählen. Der Herr segne dich und behüte dich! Und der Sumpf wird grüner.	yes
I quite like akkoma the software and the domain name I got for my instance. But I feel somehow I started this instance on the wrong foot, so to speak. And I never got comfy there. Will still linger a bit longer on here and think about whether I should migrate at all.	Ich bin ein sehr guter User, und ich habe die Software und den Domain-Namen für meine Instanz gemocht. Aber ich habe das Gefühl, dass ich diese Instanz irgendwie mit dem falschen Fuß gestartet habe. Und ich habe mich dort nie wohl gefühlt. Ich werde noch ein bisschen länger hier verweilen und darüber nachdenken, ob ich überhaupt migrieren sollte.	yes
#FalconGameBooks	#FalconGameBooks	yes
The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them. The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected. The rock beneath you gives way suddenly. Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below. The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs. Nobody will ever know that you were the first human future traveller.	Die achtäugigen Repniden scheinen zu beobachten, wie du den Flyer auf den roten Boden setzt, aber sie machen keine Bewegung zu dir, in der Tat sind sie unbeweglich, wenn du aus dem Flyer klettern und langsam auf sie zu gehen. Der Boden unter deinen Füßen beginnt zu zittern und dann zu schütteln, als ob in einem Erdbeben und du verlierst deine Fußfeste, obwohl die Repniden unberührt zu sein scheinen. Der Felsen unter dir gibt plötzlich nach. Repniden haben unter der Oberfläche Tunnel gebaut und du fällst in eine kochende Masse von Hunderten von Repnid-Körpern in einer Höhle darunter. Das Ende ist schnell, da mehrere Zähnepaare in ihr tödliches Gift injizieren und die Luft von Dyskra deine Lungen kontaminiert. Niemand wird wissen, dass du der erste zukünftige menschliche Reisende warst.	yes
You land the flyer nose upward on the side of the slag heap and climb out. The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them. You halt while still on the mound of crumbled rock and soil and speak to them, saying, 'I come in peace, as a friend.' It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer. You decide to use your Psychic Awareness to contact them mentally. It is difficult to make sense of their thoughts; they are terrifyingly alien and your mind recoils from the contact. You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future. Once back in Falcon's Wing you find it quite easy to plot a course for Earth in 3034 AD. Note that you have used up another polybdenum rod as you jump.	Du landest mit der Flieger Nase auf der Seite des Schlackenhaufens und kletterst heraus. Die achtäugigen Repniden scheinen zu beobachten, aber sie machen keine Bewegung in deine Richtung, in der Tat sind sie unbeweglich, während du langsam auf sie zu gehst. Du hältst inne, während du noch auf dem Hügel von zerbröckeltem Felsen und Boden stehst und sprichst zu ihnen und sagst: "Ich komme in Frieden, als ein Freund". Es scheint, dass sie dich nicht hören können, geschweige denn verstehen, da dein Universalübersetzer keine Antwort aufnimmt. Du beschließt, dein psychisches Bewusstsein zu benutzen, um sie mental zu kontaktieren. Es ist schwierig, ihren Gedanken Sinn zu geben; sie sind furchtbar fremd und dein Verstand weicht vom Kontakt ab. Du beschließt, dass es gefährlich wäre, erneut Kontakt aufzunehmen und zu deinem Flieger zurückzukehren, aber die Erfahrung hat deinen Verstand, der seitdem du in die Zukunft gesprungen bist, leicht verwirrt. Sobald du in Falkens Flügel bist, findest du es ziemlich natürlich, eine Verschwörung für die Erde im Jahre 3034 n.	yes
[cont'd]	[Fahrt fort]	no
#today I have coffee, sunshine and quiet time! I started a new shawl. I am unsure of it at this time. I found a unevenly spun silver gray yarn that is mostly finely spun with lumps. I plan on mixing it with a fine purple/lilac variegated cotton. But am not sure I have enough of the purple. I am using a H hook with a similar double crochet pattern as I have done before. I made the first join last night so we shall see. Wishing everyone a happy Thursday!	Ich habe einen neuen Schal gebaut. Ich bin mir nicht sicher, ob ich ihn jetzt noch anziehen kann. Ich habe ein uneben gesponnenes silbergraues Garn gefunden, das meistens fein mit Klumpen gesponnen ist. Ich plane, es mit einer feinen lila/lila-farbigen Baumwolle zu mischen. Aber ich bin mir nicht sicher, ob ich genug von dem lila habe. Ich benutze einen H-Haken mit einem ähnlichen Doppelhakenmuster wie zuvor. Ich habe gestern Abend den ersten Schal geputzt, also werden wir sehen. Ich wünsche allen einen guten Donnerstag!	yes
However, I hate classes on fine arts and literature, and my school history bears it out.	Ich hasse Kunst und Literatur, und meine Schulgeschichte bestätigt das.	yes
I have literally tried and dropped EVERY SINGLE ONE. And up until like two years ago, I had no idea until I checked my transcripts.	Ich habe buchstäblich versucht, und alle fallen gelassen, und bis vor zwei Jahren hatte ich keine Ahnung, bis ich meine Abschriften überprüfte.	yes
The literature class hatred is even worse: I love to read. I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.	Der Literaturklassenhass ist noch schlimmer: Ich liebe es zu lesen. Ich habe die meisten Klassiker vor 18 Jahren gelesen - obwohl das eher ein Spiegelbild des Lebens im scheiß Nirgendwo ist, ich las auch die Encyclopedia Brittanica von 1979 verzweifelt.	yes
My home is comfortable and wonderful and I am happy there, but I have to be somewhere else in order to chill enough to read fiction during the day without feeling guilty. It's like I'm on holidays and therefore am doing what one does on holidays.	Mein Zuhause ist komfortabel und wunderbar und ich bin dort glücklich, aber ich muss woanders sein, um mich so zu entspannen, dass ich tagsüber ohne Schuldgefühle Fiktion lesen kann.	yes
And that's also even though I haven't slept as well here for the last two nights as I do at home, and get a little #MECFS ed out from simply being in a strange environment where I'm less able to pace myself and have to remember where things are.	Und das obwohl ich die letzten zwei Nächte hier nicht so gut geschlafen habe wie zu Hause, und ein wenig #MECFS bekommen habe, weil ich einfach in einer fremden Umgebung bin, in der ich weniger in der Lage bin, mich selbst zu bewegen und mich daran erinnern muss, wo die Dinge sind.	yes
And that's also even though I do still have my to-do list and am organising my life as well.	Und das obwohl ich immer noch meine To-Do-Liste habe und mein Leben organisiere.	yes
Humanity is out in 5 days. It's exciting, nerve-wracking, stressful, and all the good things that I love about working in games. What will people think of it? I like it but will it be able to attract an audience of the right players? Will a community blossom around the user-generated content piece of the game? (I am really hoping so.) The game's story, ideas and questions it inspires feel timely. Hoping things go well.	Humanity erscheint in 5 Tagen. Es ist aufregend, nervenaufreibend, stressig und all die guten Dinge, die ich an der Arbeit in Spielen liebe. Was werden die Leute davon denken? Ich mag es, aber wird es in der Lage sein, ein Publikum der richtigen Spieler anzuziehen? Wird eine Community um das benutzergenerierte Inhaltsstück des Spiels herum aufblühen? (Ich hoffe wirklich so.) Die Geschichte des Spiels, die Ideen und Fragen, die es inspiriert, fühlen sich zeitgemäß an. Hoffentlich läuft alles gut.	yes
It's ThinkPad day!! Came home on my lunch break to see this sitting outside uwu. Wish I could take it back to work with me to setup more. But that will have to wait till tonight.	Es ist ThinkPad-Tag!! kam in meiner Mittagspause nach Hause und sah das hier draußen vor uwu. Ich wünschte, ich könnte es mit mir zur Arbeit nehmen, um mehr zu installieren. Aber das muss bis heute Abend warten.	yes
So I finally watched #Heartstopper	Also habe ich endlich #Heartstopper gesehen	yes
Was it overly cute to the point of being twee? Most definitely	War es zu süß, um zu twittern?	yes
Do any of these characters talk human beings? Not even remotely	Spricht einer dieser Charaktere mit Menschen?	yes
But did I love it? Absolutely!	Aber hat es mir gefallen?	yes
what was Olivia Coleman doing here? Did she owe someone money?	Was hat Olivia Coleman hier gemacht?	yes
Had a recent graduate artist take some critique badly tonight. In part, because they'd be taught badly. But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes. Especially with the competition.	Ein frisch ausgebildeter Künstler hat heute Abend eine Kritik schlecht aufgenommen, teilweise, weil sie schlecht unterrichtet wurden, aber es ist wichtig, keine Ausreden für Probleme zu finden und sie einfach zu beheben, besonders in der Produktion, wenn deine Leitung Änderungen braucht, besonders mit der Konkurrenz.	yes
Every artist has been there, made the same mistakes. Good critique is there to correct the problem quickly, and isn't directed at your ability. It's assuming you have the ability to fix the problem, or find a solution.	Jeder Künstler hat es so erlebt, hat die gleichen Fehler gemacht. Gute Kritik ist da, um das Problem schnell zu korrigieren, und richtet sich nicht an deine Fähigkeiten. Sie geht davon aus, dass du die Fähigkeit hast, das Problem zu beheben oder eine Lösung zu finden.	yes
So while composting and bloom scrolling are a wonderful reminder to look up, and be aware of life beyond the screen. It is as important to explore servers and IP addresses. Watch seeds being sown & cultivated (and not randomly scattered) by good peeps. These roots are hidden. Work is not visible. But for strong and firm future growth.	So, während Kompostierung und Blüten Scrolling eine wunderbare Erinnerung sind, nach oben zu schauen, und sich des Lebens jenseits des Bildschirms bewusst zu sein. Es ist ebenso wichtig, Server und IP-Adressen zu erkunden.	yes
Jami slipped the note to him when they passed each other on the path, just before the dog watch. She was on her way to the wall, he was coming off duty. He glanced behind him to watch her go, and to make sure they hadn't been seen. She did not look back. He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains. One block-printed word. He spent a long time staring at it, trying to stay calm:	Jami schob ihm die Notiz zu, als sie sich auf dem Weg kurz vor der Hundewache begegneten. Sie war auf dem Weg zur Wand, er kam aus dem Dienst. Er schaute hinter sich, um sie zu sehen, und um sicherzustellen, dass sie nicht gesehen worden waren. Sie schaute nicht zurück. Er wartete, bis er in der Dunkelheit des Schlafzimmers war, bevor er die Notiz herauszog und sie in einem Lichtstrahl las, der durch die Verdunkelungsgürtel kam. Ein blockgedrucktes Wort. Er verbrachte eine lange Zeit damit, es anzusehen, und versuchte, ruhig zu bleiben:	yes
I've met some marvelous new #Mastodon mates lately and want to maintain the trend. Calling into the #Fediverse makes me feel like a whale singing through the vast ocean! Want to join my "pod"? I'd particularly like to connect with more.	Ich habe in letzter Zeit einige wunderbare neue #Mastodon-Kumpel kennengelernt und möchte den Trend aufrechterhalten. Wenn ich in das #Fediverse eintauche, fühle ich mich wie ein Wal, der durch den weiten Ozean singt! Möchtest du zu meinem "Pod" kommen? Ich möchte besonders mit mehr Menschen in Verbindung treten.	yes
Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn. He helped make Chris Licht a national problem.	Jeder, der sich wegen CNN in den Haaren brennt, kann Stephen Colbert für die harte Rechtsdrehung danken.	yes
Much as we might like some folks, if they are just providing a minor league career to fascists, they probably should wear it.	So sehr wir einige Leute mögen, wenn sie Faschisten nur eine Karriere in der Nebenliga bieten, sollten sie es wahrscheinlich tragen.	yes
This was the first time (but won't be the last) that Kaveesha Dilhari has both scored 20+ runs & taken 2+ wickets in the same T20I. She joins a select group of Sri Lankan women to have achieved the all-round feat in the format.	Dies war das erste Mal (aber nicht das letzte), dass Kaveesha Dilhari sowohl 20+ Runs erzielte als auch 2+ Wickets in demselben T20I gewann. Sie schließt sich einer ausgewählten Gruppe von Sri-Lankanischen Frauen an, die die Allround-Leistung im Format erreicht haben.	yes
(PERSON11) But for some folders, for some reason, the audio format is wrong, so, something is wrongly – Basically, the big trade, or something is wrong. So, some files are still – still have weird output. But – but for most folders, it should be already fine.	(PERSON11) Aber für einige Ordner, aus irgendeinem Grund, ist das Audio-Format falsch, so, etwas ist falsch  im Grunde, der große Handel, oder etwas ist falsch.	yes
(PERSON1) Okay, thanks.	Okay, danke. Ich bin ein guter Mensch.	yes
(PERSON6) Yeah, that's great. I support this, it's great that, [PERSON7], you have thought of [PERSON11]. And [PERSON11] now has the time. There are other things where I was thinking of [PERSON11] and that would be training of, empty systems, so that they do the shortening. So, if you, [PERSON11], had the time. Obviously, there is no way we could do it for next week. But we should really have the system – ready for – I looked at the tutorial from the NLP – was it?	(PERSON6) Ja, das ist großartig. Ich unterstütze das, es ist großartig, dass [PERSON7], Sie an [PERSON11] gedacht haben. Und [PERSON11] hat jetzt die Zeit. Es gibt andere Dinge, an die ich dachte [PERSON11] und das wäre das Training von leeren Systemen, so dass sie die Verkürzung machen. Also, wenn Sie [PERSON11] die Zeit hatten. Offensichtlich gibt es keine Möglichkeit, dass wir es für nächste Woche tun könnten. Aber wir sollten das System wirklich für  bereit haben  Ich habe mir das Tutorial aus dem NLP angesehen  war es?	yes
(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.	(PERSON6) Für die kommenden Sitzungen und ich habe nach der Nachfrage gefragt, weil ich die (Meme) Projektdemo gesehen habe. Sie machen Offline-Untertitelung. Das ist also etwas einfacher als das, was wir tun. Sie haben immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihre Mission in der Übersetzung wird kürzer, einfach weil die Daten kürzer werden. Und das liegt daran, dass ihre Zielgröße die Untertitel sind, die für Hörgeschädigte erstellt werden. Also gibt es eine natürliche Verkürzung der Daten. Es wäre großartig, wenn wir auch eine solche Art von Daten finden könnten, wo eine natürliche Verkürzung stattfindet. Wir würden es in die Architektur einbauen.	no
(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.	(PERSON8) Das dauert ein bisschen, weil ich herausfinden muss, welcher derjenige ist, der Pässe bekommt. also, sobald ich das weiß, kann ich es verfolgen, also, für die Zukunft  Oder eigentlich, für die Zukunft würde ich es nicht brauchen, weil, sobald ich die Web-Datei habe, ich wahrscheinlich keine Konvertierung machen muss.	no
(PERSON6) Well, this, this should actually be – Can you still hear me? The sound quality is a little worse. So, this should really be done, all the time. So, every time we run this evaluation, it should be run from scratch. So, every time, there should be a fresh download of a fresh conversion and a fresh evaluation.	(PERSON6) Nun, das sollte eigentlich sein  Kannst du mich noch hören? Die Klangqualität ist etwas schlechter. Also sollte das wirklich gemacht werden, die ganze Zeit. Also, jedes Mal, wenn wir diese Auswertung ausführen, sollte sie von Grund auf laufen. Also sollte es jedes Mal einen neuen Download einer neuen Konvertierung und einer neuen Auswertung geben.	no
(PERSON8) But still, if I am keeping track of the files that need to be manually converted, so that I can write a script, and it could take care of the known ones at least, and of course, if we add some new files, I can see for that later.	(PERSON8) Aber trotzdem, wenn ich die Dateien verfolge, die manuell konvertiert werden müssen, damit ich ein Skript schreiben kann, und es könnte sich um die bekannten kümmern, und natürlich, wenn wir einige neue Dateien hinzufügen, kann ich das später sehen.	no
(PERSON6) So this is an important thing that we should have come across months ago. Remember, it is since August that I've been telling you that we want to evaluate on a later test set. And every time, you all... It is not just you personally, [PERSON8]. There were other things, obviously. But every time you thought about that, you thought "this will be easy, we will just run it". And only when you actually do it, do you see all the problems. So, this is known, common. It is always like that. So that's a message for everybody. Before you try, you never know what the problem will be. So, for example, the call that I had, in which someone was interviewing me, so they wanted to record the video. Zoom never worked as badly for me as it did today for the recording. So, before you do it, you cannot say whether it will work or not. And here we are running into the problems of conversion of the file formats. So, hopefully, we will be able to quickly get the numbers. So, do you have any word error rates so far?	(PERSON6) Das ist also eine wichtige Sache, die wir schon vor Monaten hätten sehen müssen. Denken Sie daran, dass ich Ihnen seit August gesagt habe, dass wir sie auf einem späteren Testset auswerten wollen. Und jedes Mal, wenn Sie alle... Es geht nicht nur um Sie persönlich, [PERSON8]. Es gab natürlich andere Dinge. Aber jedes Mal, wenn Sie darüber nachdachten, dachten Sie: "Das wird einfach, wir werden es einfach ausführen". Und erst wenn Sie es tatsächlich tun, sehen Sie alle Probleme. Also, das ist bekannt, üblich. Es ist immer so. Das ist also eine Botschaft für alle. Bevor Sie, Sie wissen nie, was das Problem sein wird. Zum Beispiel, der Anruf, den ich hatte, in dem mich jemand interviewt, also wollten sie das Video aufnehmen. Zoom hat nie so schlecht für mich funktioniert wie heute für die Aufnahme. Bevor Sie es tun, können Sie also nicht sagen, ob es funktioniert oder nicht. Und wir haben hier die Probleme mit den Word-Dateien.	no
(PERSON8) No, I have not processed it. So [PERSON1] said that, once, they get the transcript, we will do it together.	Nein, ich habe es nicht verarbeitet, also sagte er, sobald sie das Protokoll haben, werden wir es zusammen machen.	no
