בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three Cheetah cubs born in Iran	yes
פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.	Operational activity is a dangerous matter for those who participate in it, and those who attend the scene.	no
צה"ל לוקח סיכונים אדירים לכוחותיו כדי להימנע ככל הניתן מפגיעה בחפים מפשע, ולעיתים משלם על כך בחיי לוחמים.	The IDF takes tremendous risks to its forces in order to avoid harming innocents as much as possible, and sometimes pays for it with the lives of combatants.	no
זה מעיד על מוסריות גבוהה, אבל יש בכך גם ערך מבצעי־מודיעיני: מחבל שנתפס חי - כפי שקרה שלשום בג'נין - הוא מקור מצוין למידע על אמל"ח, פיגועים ומחבלים נוספים; זה מידע שלרוב לא ניתן להשיגו בדרך אחרת, ובאמצעותו אפשר לסכל את הפיגועים הבאים.	This indicates high morality, but it also has operational and intelligence value: a terrorist captured alive־as happened the day before yesterday in Jenin - is an excellent source of information about weapons, attacks, and other terrorists; it is information that is often not obtained in any other way, and through which it is possible to thwart the following attacks.	no
צה"ל נהג נכון כאשר פרסם שלשום את תחקיר הביניים שערך בפרשת מותה של אבו עאקלה, והבהיר כי לא ניתן לקבוע בשלב הזה מי גרם למותה.	The IDF acted correctly when it published the interim investigation it conducted in the case of Abu Aqla's death, clarifying that it is not possible to determine at this stage who caused her death.	no
בהיעדר שיתוף פעולה פלשתיני, ספק אם ניתן יהיה להגיע לשורה תחתונה חד־משמעית בפרשה.	In the absence of Palestinian cooperation, it is doubtful that it will be possible to reach an unequivocal bottom line in the case.	no
ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה"ל פועל ללא הרף בג'נין.	In any case, it seems that nothing will convince the convinced: the world has already rushed to condemn Israel without bothering to balance it with empathy for the victims of Palestinian terror - the original grounds for which the IDF is constantly operating in Jenin.	no
כתמיד, טבעם של סיפורים כאלה לגווע.	As ever, the nature of such stories perish.	no
דעת הקהל העולמית עסוקה בשלה וממשיכה הלאה, ודאי כשבאוקראינה ממשיכה להשתולל מלחמה אינטנסיבית פי כמה.	World public opinion is preoccupied with hers and moving on, certainly as Ukraine continues to rage a war many times more intense.	no
לכן, חבל שישראל התעקשה לתת לפרשת מותה של אבו עאקלה עוד רגעים מיותרים של חשיפה, עם הטיפול הלא מוצלח של המשטרה בהלווייתה.	Therefore, it is a shame that Israel insisted on giving the affair of Abu Aqla's death another unnecessary moment of exposure, with the police's mishandling of her funeral.	no
גם אם משפחתה של אבו־עאקלה לא עמדה בסיכומים המוקדמים, צריך היה לצפות לקצת יותר יכולת הבלגה מהשוטרים שליוו את מסע ההלוויה, ובוודאי להתרגש פחות מדגלי פלשתין שהונפו בה.	Even if Abu־Aqla's family did not live up to the earlier summaries, a little more forbearance should have been expected from the police officers who accompanied the funeral procession, and certainly less excited by the Palestinian flags that flew there.	no
האחריות מחייבת: לפעול להרגעת המצב.	The responsibility is to act to calm the situation.	no
טוב עשו השר לביטחון הפנים ומפכ"ל המשטרה שהורו על חקירת האירוע.	The Public security minister and the police commissioner ordered an investigation into the incident.	no
דומה שחסרו בו הכנה מספקת והנחיות ברורות, אבל מטרידה העובדה שזאת הפעם השנייה שזה קורה למשטרה בתוך זמן קצר, ובשני מחוזות שונים.	It seems to lack sufficient preparation and clear guidelines, but it is disturbing that this is the second time this has happened to the police in a short time, and in two different districts.	no
גם בפיגוע בדיזנגוף כשלה המשטרה בניהול האירוע, בבידוד הזירה ובטיפול בתקשורת.	In the Dizengoff attack, police also failed to manage the event, isolate the scene and handle the media.	no
טוב תעשה ועדת החקירה אם לא תסתפק רק בניתוח התנהלות השוטרים בהלוויה עצמה, אלא גם בהפקת לקחים ומסקנות שיאפשרו טיפול מוצלח יותר באירועים דומים בעתיד.	The Commission of inquiry will do well if it is not only satisfied with analyzing the conduct of the police officers at the funeral itself, but also producing lessons and conclusions that will enable a more successful handling of similar incidents in the future.	no
לצד הטיפול הפנימי במשטרה, מתחייב גם לתת את הדעת על התנהלותם של נבחרי ציבור שאיבדו דרך וכיוון.	Along with the internal handling of the police, he also pledges to address the conduct of elected officials who have lost way and direction.	no
בכנסת ישראל מכהנים כיום כמה וכמה חברים שמסתמנים כסכנה לדמוקרטיה.	The Israeli Knesset currently has several members who are seen as a danger to democracy.	no
הם מצויים משמאל ומימין, ומנצלים את חסינותם לא כדי לאתגר את המדינה, אלא כדי לפגוע בה.	They are on the left and the right, using their immunity not to challenge the state, but to harm it.	no
ח"כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.	MK Ofer Kasif is the latest example of this; if no action is taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next elected official to further radicalize his actions.	no
מהלכים כאלה, שהם בבחינת דמוקרטיה מתגוננת, חיוניים בנפיצות של התקופה הזו, כשברקע גורמים שמבקשים לנצל את המצב לצרכים פוליטיים.	Such moves, which are tantamount to defensive democracy, are essential in the explosive nature of this period, when in the background elements seek to exploit the situation for political purposes.	no
מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.	Anyone with common sense in his head is expected to rise above all these things and act to calm the situation; otherwise, Israel may quickly slide into escalation against enemies from outside, and worse, against opponents from home.	no
בכיר במשטרה: "נדרשות פה מדיניות ממשלתית והצבת מטרות"	Senior Police Official: "Government policies and goals are required here"	yes
משטרת ישראל אמנם פתחה במבצע למיגור תופעת השוהים הבלתי חוקיים, אך הדרך עוד ארוכה •	The Israeli police have launched an operation to eradicate the phenomenon of illegal aliens, but the road is still a long one •	yes
אין היום במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה"."	There is not a single element in the State of Israel today that includes this whole issue.""	yes
"אם רוצים לטפל בתופעת השוהים הבלתי חוקיים, נדרשת מדיניות ממשלתית, וממנה יש לגזור מטרות, משימות ואחריות.	"If the phenomenon of illegal aliens is to be addressed, government policy is required, from which goals, tasks and responsibilities must be derived.	yes
כיום אין במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה", כך אומר ל"ישראל היום" בכיר במשטרה.	Today, there is not a single element in the State of Israel that includes this whole issue," a senior police official told Israel Hayom.	yes
עד לפני חודש וחצי, טרם ההסלמה במצב הביטחוני, התופעה התבטאה בכ-20 עד 30 אלף שב"חים שנכנסים מדי יום דרך הפרצות בגדר.	Until a month and a half ago, before the escalation of the security situation, the phenomenon was expressed in about 20 to 30 thousand IPS who enter every day through the gaps in the fence.	yes
נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.	In addition, between 100 and 110,000 Palestinians with work permits enter Israel every day through 34 supervised crossings.	yes
יצוין כי פלשתינים מועסקים בישראל מאז תום מלחמת ששת הימים, ומספר ההיתרים בכל ענף מוגבל במכסה שקובע הדרג המדיני בהתאם למצב הביטחוני, הכלכלי והמדיני במדינת ישראל.	It should be noted that Palestinians have been employed in Israel since the end of the Six-Day War, and the number of permits in each industry is limited by a quota set by the political echelons in accordance with the security, economic and political situation in the State of Israel.	yes
ההיתרים מונפקים על ידי צה"ל באמצעות מינהלת התיאום והקישור.	The permits are issued by the IDF through the Coordination and Liaison Administration.	yes
לאור זאת, שב"ח אינו בהכרח פלשתיני שכניסתו אסורה בעקבות מעורבות פלילית או קשר לפיגועים, אלא במקרים רבים מדובר בפלשתינים שכניסתם נאסרה משום שאינם עומדים במכסת ההיתרים המותרת.	In light of this, the Shin Bet is not necessarily a Palestinian whose entry is prohibited due to criminal involvement or connection to the attacks, but in many cases it is Palestinians whose entry has been banned because they do not meet the permitted quota of permits.	yes
יודגש כי מי שביצעו את הפיגועים באריאל, בדיזנגוף ובאלעד נחשבו אמנם לשב"חים, אך לא היו מפוקחים, משום שלא עברו קודם לכן עבירה פלילית כלשהי שחייבה את גורמי הביטחון לפקח על תנועותיהם.	It should be emphasized that those who carried out the attacks in Ariel, Dizengoff and Elad were considered to be Shin Bet prisoners, but were not supervised, because they had not previously committed any criminal offense that required the security forces to monitor their movements.	no
"לכן אין משמעות לכניסה שלהם דרך הפרצות בגדר", אומר גורם ביטחוני בכיר, "מי שרוצה לעשות פיגוע יכול להיכנס לארץ גם דרך המעברים המפוקחים, והיו כבר מקרים כאלה בעבר.	"Therefore, there is no significance to their entry through the loopholes in the fence, "says a senior security official," Anyone who wants to carry out an attack can enter Israel even through the supervised crossings, and there have been cases like this before.	no
אלפי מעצרים	Thousands of arrests	no
בעקבות הפיגוע באלעד ולאור ריבוי התרעות לפיגועים, פתחה המשטרה במבצע רחב היקף לאיתור שוהים בלתי חוקיים.	Following the attack in Elad and in light of the multiplicity of terror attacks, the police launched a large-scale operation to locate illegal aliens.	no
עד סוף השבוע נעצרו כ-16,000 שב"חים.	By the end of the week, about 16,000 people had been arrested.	no
מתוכם כ-600 נחקרו ונפתחו להם תיקים פליליים, ונכלאו כ-200.	Of those, about 600 were investigated and criminal cases opened, and about 200 were jailed.	no
על פי מדיניות התביעה המשטרתית, הליכים נגד שוהה בלתי חוקי מתבצעים רק כלפי פושעים מועדים או אנשים החוזרים על המעשה שוב ושוב (רצידיביסטים).	Under the Police prosecution policy, proceedings against illegal aliens are only carried out against prone criminals or people who repeatedly repeat the act (recidivists).	no
שוהה בלתי חוקי שנעצר בפעם הראשונה נחקר, מתועד ומוחזר לשטחים.	An illegal immigrant arrested for the first time is interrogated, documented and returned to the territories.	no
לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.	Sometimes this is repeated a second time, but only for the third time has he been arrested, imprisoned and charged with unlawful residence.	no
על פי החוק, אם שוהה בלתי חוקי נתפס בטווח של כ-50 עד 100 מטר מכל צד מגדר ההפרדה, הטיפול בו מתבצע על ידי התביעה הצבאית.	According to the law, if an illegal immigrant is caught within 50 to 100 meters of each side of the separation fence, his treatment is carried out by the military prosecution.	no
מנתונים שהגיעו ל"ישראל היום" עולה כי בשנת 2021 טופלו על ידי המשטרה 40,010 שוהים בלתי חוקיים, מסיעים ומלינים.	According to data obtained by Israel Hayom, in 2021, 40,010 illegal aliens, shippers and informants were dealt with by the police.	no
7,405 שוהים בלתי חוקיים נעצרו ול-19,533 נפתח תיק פלילי.	7,405 illegals were arrested and 19,533 had criminal records opened.	no
מספר המעסיקים, מסיעים ומלינים שטופלו על ידי המשטרה בשנת 2021 היה 6,537.	The number of employers, movers and shakers dealt with by the police in 2021 was 6,537.	no
469 נעצרו, ול-5,640 נפתחו תיקים פליליים.	469 were arrested, and 5,640 had criminal cases opened.	no
"היסודות של תופעת השב"חים לא תלויים במשטרה, לא בצה"ל, לא בחברה הישראלית ולא בחברה הפלשתינית.	"The foundations of the Shin Bet phenomenon do not depend on the police, not the IDF, not on Israeli society and not on Palestinian society.	no
הם תלויים בגורמים אחרים", אומר בכיר במערכת אכיפת החוק.	They depend on other factors, " says a senior law enforcement official.	no
"כדי לטפל בתופעה יש לעקר את המוטיבציה שלהם לצאת לעבוד בישראל, ובצד הישראלי צריך לגבות מהם מחיר שימנע מהם לחצות את הגדר.	"In order to address this phenomenon, their motivation to go to work in Israel must be sterilized, and the Israeli side must charge them a price that will prevent them from crossing the fence.	no
גורמים המעורבים בנושא טוענים כי אי גביית המחיר נובעת בין היתר מחוסר במקומות כליאה ובעובדה שהמעצרים מתבצעים רק כשיש עבירות נלוות או שמדובר ברצידיביסט.	Officials involved in the case argue that the failure to collect the toll is due, among other things, to the lack of places of detention and the fact that arrests are made only when there are related offenses or it is a serious crime.	no
גורמים משפטיים טוענים כי ההחלטה לגבות מחיר משב"ח רק החל ממעצרו השלישי התקבלה בין היתר גם משום שבתי המשפט אינם יכולים להתמודד עם מספר המעצרים המתבצעים מדי יום.	Legal sources say that the decision to charge the Shin Bet only from his third arrest was made in part because the courts cannot deal with the number of arrests made every day.	no
מי שיבדוק גם את הענישה, יגלה שהיא לא מרתיעה"."	Anyone who examines the punishment will find that it is not a deterrent.""	no
ישנה מורכבות גדולה	There is a great complexity	no
שב"ח", אומר גורם משטרתי, "הוא אדם מורכב".	"He is a complex man, "a police official said.	no
הוא יכול להיות אב למשפחה שנכנס לארץ לעבוד כדי להרוויח כמה שקלים ולחזור.	He could be a father of a family who entered the country to work in order to earn a few shekels and come back.	no
זו הפלטפורמה הבסיסית, ועליה מתלבשים המון סוגים של שב"חים שנכנסים לתוך הארץ כדי לבצע עבירות פליליות או פיגועים".	This is the basic platform, and on it are dressed many types of prisoners who enter the country to commit criminal offenses or terrorist attacks."	no
שב"ח יכול להיות בגיר או קטין.	It can be an adult or a minor.	no
בעבר נתפסו על ידי המשטרה שוהים בלתי חוקיים בני 16 ואפילו ילדים בני 8 ו-10 נשלחים על ידי הוריהם לצמתים בכבישים, כדי להרוויח כמה שקלים מדי יום מנהגים.	In the past, 16-year-old illegals have been caught by the police, and even 8-and 10-year-olds are sent by their parents to intersections on the roads, in order to earn a few shekels a day from drivers.	no
"זה גם הופך את העניין למורכב, כי במקרים כאלה אנחנו צריכים להביא את ההורים ולהגיש נגדם כתב אישום על הזנחה", אומר קצין משטרה בכיר.	"It also makes the matter complex, because in cases like this we have to bring the parents and charge them with neglect," says a senior police officer.	no
מרבית הפלשתינים מועסקים בישראל בעבודות כפיים.	Most Palestinians are employed in Israel in manual labor.	no
החריג ביותר אלו עבודות חשמל או עבודות בניין מתקדמות.	The most unusual are electrical or advanced construction jobs.	no
בעבר היו גם רשויות מקומיות שהעסיקו שב"חים בפינוי אשפה, בעיקר בצפון.	In the past, there were also local authorities that employed waste disposal experts, especially in the north.	no
מתוך 34 מעברים, ישנם כ-18 מעברים מרכזיים.	Of the 34 crossings, there are about 18 major ones.	no
ישנם מעברים של כלי רכב וסחורות, יש מעברים שעוברים דרכם רק אנשים ויש מעברים שהם גם וגם.	There are crossings of vehicles and goods, there are crossings that pass through only people and there are crossings that are both.	no
כל המעברים מפוקחים על ידי צה"ל ורשות המעברים.	All crossings are monitored by the IDF and the Crossing Authority.	no
את השב"חים מסיעים לתוך הארץ בדרך כלל נהגים פרטיים, שכן מדובר בכסף קל.	The IPS are usually driven into the country by private drivers, since it is easy money.	no
"יש כאלה שעושים זאת לפרנסתם ויש כנופיות שהעיסוק המרכזי שלהן זה הסעת שב"חים" אומר בכיר במשטרה, "בדרך כלל מרביתם הם ערבים ישראלים, שמדברים את אותה שפה ומתכתבים איתם.	"There are some who do this for a living and there are gangs whose main business is transporting prisoners,"says a senior police official," usually most of them are Israeli Arabs, who speak the same language and correspond with them.	no
זה יכול להגיע ל-100 שקלים עד 300 שקלים לאדם.	It can reach 100 to 300 shekels per person.	no
חברות רשומות לא עוסקות בזה, מכיוון שאם החברה תיתפס, דינה להיסגר".	Listed companies do not deal with this, because if the company is caught, it will be closed."	no
במשטרה מדגישים שבתנאים מסוימים, הסעת שב"ח יכולה להיחשב לעבירה.	The police emphasize that under certain conditions, driving an IPS can be considered an offense.	no
"נהג מונית שעובד עם רישיונות בהתאם לרישוי וביטוחים, שאוסף פלשתינים בנקודות מסודרות ובשעות קבועות, כולל הזמנה מסודרת, לא עובר על החוק" אומר בכיר במשטרה, "מי שיודע שהוא מסיע שב"ח, בדרך כלל אוסף אותם באישון לילה בנקודות מסתור, כולל הורדה בנקודות נסתרות.	"A taxi driver who works with licenses in accordance with licenses and insurance, who collects Palestinians at orderly points and at regular hours, including an arranged order, does not break the law," says a senior police official, "Someone who knows he is driving a Shabbat, usually picks them up in the dead of night at hiding points, including dropping them off at hidden points.	no
לרוב החבר'ה האלה מסיעים עם רכב מצ'וקמק כי הם יודעים שנחרים להם את הרכב אז הם מעדיפים לנסוע ברכב ישן".	Most of these guys drive with a clunky car because they know they're going to be impounded, so they prefer to drive in an old car."	no
תיעוד: הצתת שדות במושב ציפורי	Record: Setting fire to fields in Moshav Tzipori	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים •	The territories suffer from many arson attacks, with the damage running to tens of thousands of shekels •	yes
במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה	The"New Guard" was established in an attempt to eradicate the difficult phenomenon	yes
.	.	no
בתיעוד שהגיע לידי "ישראל היום" ניתן לראות שטחי מרעה במושב ציפורי העולים באש.	In the documentation obtained by Israel Hayom, grazing areas in Moshav Zippori can be seen on fire.	yes
שטחי המרעה הם של חיים זילברמן.	The pasture is by Haim Zilberman.	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים.	The territories suffer from many arson attacks, with the damage running to tens of thousands of shekels.	yes
נציין כי במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה.	We will note that in this center the"new Guard" was established in an attempt to eradicate the difficult phenomenon.	yes
תרגיל פיקוד העורף: אלו הזמנים בהם תופעל התרעה ביישוב שלכם	Home Front Command Exercise: These are the times when an alert will be activated in your locality	yes
במסגרת התרגיל המטכ"לי "מרכבות אש", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •	As part of the"Chariots of Fire "General Staff exercise, sirens will be heard on Sunday, Monday and Wednesday in several locations in Israel •	yes
במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In the event of a true scenario, an additional alert will be triggered and a true event will be reported in the Home Front Command app.	yes
פיקוד העורף יקיים היום (ראשון) ובהמשך השבוע תרגילים לתרחישים שונים, ביניהם ירי רקטות ודליפת חומרים מסוכנים.	The Home Front Command will hold drills today (Sunday) and later this week for various scenarios, including rocket fire and hazardous materials leakage.	yes
ההיערכות מתבצעת במסגרת התרגיל המטכ"לי "מרכבות אש".	The deployment is being carried out as part of the Joint Chiefs of Staff"Chariots of Fire "exercise.	yes
אלו המועדים בהם תופעל התרעה בצופרים וביישומון פיקוד העורף:	These are the times when sirens and the Home Front Command app will be activated:	yes
יום ראשון (15/05):	Sunday (15/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.	• At 10: 05 a.m., an alert will be issued for the firing of rockets and missiles in the settlement of Ganei Tikva.	yes
יום שני (16/05):	Monday (16/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים בתל אביב - מרכז העיר.	• At 10: 05 a.m., an alert will be issued for rocket and missile fire in Tel Aviv - the city center.	yes
יום רביעי (18/05):	Wednesday (18/05):	no
• בשעה 10:05 תופעל התרעה על "אירוע חומרים מסוכנים" בטירת הכרמל.	• At 10: 05 a.m., an alert will be issued for a "hazardous materials incident" at Castle Carmel.	no
כמו כן, במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	Also, in the event of a true scenario, an additional alert will be activated and a true event will be reported in the Home Front Command app.	no
מחבלים יידו מטענים לעבר חיילי צה"ל, שהשיבו באש והרגו אחד מהם	Terrorists threw IEDs at IDF soldiers, who returned fire and killed one of them	yes
כוחות הביטחון עצרו הלילה 13 מבוקשים ברחבי יהודה ושומרון •	Security forces arrested 13 wanted men across Judea and Samaria •	yes
במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, זוהתה פגיעה •	During the operation, IDF forces fired at a number of suspects who threw IEDs at them, an injury was identified •	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 מג'נין, מדווח כי נורה מאש צה"ל.	The director of the hospital in Jenin to which the bomber was evacuated, Maher Marai, 25, from Jenin, reports that he was shot by IDF fire.	yes
כוחות צה"ל, שב"כ ומג"ב עצרו הלילה (רביעי) 13 מבוקשים ברחבי יהודה ושומרון.	IDF, Shin Bet and Border Protection forces arrested 13 wanted men across Judea and Samaria on Wednesday night.	yes
הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.	The forces operated in a number of locations throughout the Judea and Samaria Division for the arrest of wanted men, including in the village of Rashida and the city of Nablus.	yes
בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.	In the activity of the fighters in the city of Jenin in the area of the Menashe Regional Brigade, two wanted men suspected of terrorist activity were arrested.	yes
בנוסף, במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, נשמעו קולות ירי במרחב.	In addition, during the operation, the IDF fired at a number of suspects who threw IEDs at them, and the sounds of gunfire were heard in the area.	yes
זוהתה פגיעה.	Hit identified.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 ממחנה הפליטים ג'נין, מדווח כי נורה מאש צה"ל, מה שהוביל למותו.	The director of the hospital in Jenin where the bomber was evacuated, Maher Marai, 25, from the Jenin refugee camp, reports that he was shot by IDF fire, leading to his death.	yes
במהלך פעילות לוחמי צה"ל במחנה הפליטים אלעזה שבמרחב החטיבה המרחבית עציון למעצר מבוקש החשוד בפעילות טרור ותפיסת אמצעי לחימה, זוהו מספר חשודים שיידו אבנים לעבר הכוח, שהגיב באמצעים לפיזור הפגנות וירי רוגר.	During the activity of IDF fighters in the Al-Gaza refugee camp in the Etzion Regional Brigade for the arrest of a wanted man suspected of terrorist activity and the seizure of weapons, a number of suspects were identified who threw stones at the force, which responded by means of riot dispersal means and firing Ruger.	no
זוהתה פגיעה.	Hit identified.	no
בנוסף, בוצעו מעצרים גם בכפר סילוואד ממזרח לרמאללה, וכן נעצרו בבתיהם שלושה סטודנטים מ"הכותלה אלאסלאמיה", הרשימה שמזוהה עם חמאס באוניברסיטת אנג'אח בשכם, ושבאחרונה נרשמו בה עימותים אלימים עם סטודנטים של פת"ח ואנשי כוחות הביטחון בקמפוס.	In addition, arrests were also made in Silwad Village east of Ramallah, and three students from the"Kotla al-Islamiya", the Hamas-affiliated list at Anjah University in Nablus, were arrested in recent days in violent clashes with Fatah students and security forces on campus.	no
"צריך לפתוח בחקירה פלילית נגדה": מבקר העיר חיפה בהאשמות חמורות נגד עינת קליש רותם	"A criminal investigation should be opened against her": Haifa City Comptroller on serious charges against Einat Kalish Rotem	yes
דו"ח מבקר העיר מציג חשש לכאורה להתנהלות פלילית של ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה ויריבים פוליטים: מעקבים אחרי עובדים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות •	The City Comptroller's report presents a concern about alleged criminal conduct by Dr. Einat Kalish Rotem against former municipal officials and political rivals: surveillance of employees and inflated payments to an accountant's office for carrying out the investigations •	yes
"הממצאים הקשים העולים מן הדו"ח מחייבים פתיחת חקירה פלילית" •	"The harsh findings of the report require the opening of a criminal investigation." •	yes
מעיריית חיפה לא נמסרה תגובה.	The City of Haifa had no comment.	yes
מעקבים אחרי עובדי עירייה ויריבים פוליטים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות, "על חשבון הקופה הציבורית".	Surveillance of municipal employees and political rivals and inflated payments to an accountant's office for carrying out investigations, "at the expense of the public coffers."	yes
דו"ח מבקר עיריית חיפה עופר טל שפורסם אתמול (שלישי), מציג חשש לכאורה לעבירות פליליות של ראש העיר ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה, עובדי עירייה, ויריבים פוליטים.	The report of Haifa Municipal Comptroller Ofer Tal, published yesterday (Tuesday), presents a concern about alleged criminal offenses by Mayor Dr. Einat Kalish Rotem against former municipal officials, municipal employees, and political opponents.	yes
על פי החשד, קליש נפגשה עם משרד רואה החשבון ברלב ושות׳ וביקשה לבצע ביקורת חקירתית.	According to the suspicion, Kalish met with the accountant's office at Barlev & Co.and asked to carry out an investigative audit.	yes
החקירות התנהלו תחת שמות וקודים שניתנו לגזבר העירייה לשעבר, ושם קוד שניתן לחברת המועצה סופי נקש, ונבדק האם המכרזים שיש בין העירייה ולבין חברה שבבעלות משפחתה של נקש, הם כשרים למהדרין.	The investigations were conducted under names and codes given to the former municipal treasurer, and a code name given to councilwoman Sophie Nekesh, and it was examined whether the tenders held between the municipality and a company owned by Nekesh's family were kosher.	yes
עוד עולה מדו"ח המבקר כי קיים אי סדר וחוסר בקרה מוחלט אחר עבודתו של רואה החשבון עימו נפגשה קליש.	The auditor's report also shows that there is a complete lack of control over the work of the accountant with whom Kalish met.	yes
גזבר העירייה הוא הגורם העירוני שתפקידו לרכז ולסנכרן בין עבודותיו של רואה החשבון ואגפי העירייה והנתונים שאסף רואה החשבון לא הועברו אליו.	The municipal treasurer is the municipal official whose job it is to concentrate and synchronize the work of the accountant and the municipal departments and the data collected by the accountant was not transferred to him.	yes
הדבר גרם לכך שאיש בעירייה אינו מודע בדבר כל הפרויקטים המבוצעים על ידי רואה החשבון, ומהו היקף העבודה הנדרש בכל אחד מהם.	This has resulted in no one in the municipality being aware of all the projects carried out by the accountant, and the extent of the work required in each of them.	no
יתרה מכך, דיווחי השעות שהגיש רואה החשבון לא אושרו במקרים רבים כנדרש.	Moreover, the hours reports submitted by the accountant were not approved in many cases as required.	no
נוצר מצב שבו היקף הנושאים שבהם רואה החשבון היה מעורב הלך וגדל באופן לא מידתי, תוך התערבות רבה בהתנהלות השגרתית של העירייה, ללא כל פיקוח ומעקב מצד העירייה.	A situation was created in which the scope of the issues in which the accountant was involved increased disproportionately, with a great deal of interference in the routine conduct of the municipality, without any supervision and surveillance on the part of the municipality.	no
לסיכומו של הדו"ח, הביקורת המליצה לעצור את התשלומים שטרם שולמו לרואה החשבון, עד אשר יתקבל חומר המפרט את עבודתו בכל אחד מהנושאים שבדק.	In summing up the report, the audit recommended halting the unpaid payments to the accountant until material detailing his work on each of the issues he examined was received.	no
נוסף על כך, חשבוניות שהוגשו לעיריית חיפה היו תחת קודים כמו "שומרי הסף", חנות מידע, חנות דגים, ביקורת חקירתית לראש העיר ודו"ח ביקורת חקירתית רכש.	In addition, invoices submitted to the Haifa municipality were under codes such as "gatekeepers", an information store, a fish shop, an investigative audit for the mayor and an investigative procurement audit report.	no
זמן קצר לאחר מכן, היועמ"שית של העירייה, עורכת הדין ימית קליין, ציינה כי ראש העיר חתמה בעצמה על אישור התשלום במקומה.	Shortly after, the city's attorney, attorney Marine Klein, noted that the mayor had signed the payment herself instead.	no
"לא הוזמן על ידי דו"ח ביקורת כלשהו ולא ידוע לי על מה מדובר", כתבה.	"I have not been commissioned by any audit report and I do not know what this is about,"she wrote.	no
עוד נודע כי עלות הביקורת החקירתית הינה כשני מיליון שקלים אשר שולמו מהם מיליון וחצי שקלים ונותרו כחצי מיליון שקלים לתשלום, מכספי המיסים של הציבור החיפאי.	It was also reported that the cost of the investigative audit was about two million shekels, of which one and a half million shekels were paid, with half a million shekels left to be paid, from the tax money of the Haifa public.	no
גזבר העירייה לשעבר, ג׳קי ואקים, הגיב: "פעולות נבזיות אלו שנעשו לצורך הכתמת שמי ושמם של נבחרי ציבור על חשבון הקופה הציבורית ומשלם המיסים החיפאי והינה עבירה פלילית."	Former city Treasurer Jackie Wakim responded: "These despicable actions taken to smear the name and reputation of elected officials at the expense of the public coffers and the taxpayer are a criminal offence."	no
סופי נקש חברת מועצת העיר בתגובתה: "דו"ח המבקר והמלצות הוועדה מדברים בעד עצמם."	City Council member Sophie Knecht said: "The auditor's report and the committee's recommendations speak for themselves."	no
