בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
התהליכים המניעתיים בטיפול בילדים קיימים בכל מקום, וכמובן גם בטיפול נמרץ.	The preventive processes in the treatment of children exist everywhere, and of course also in intensive care.	no
הקשבה ושיח מעוררים הבנה מעמיקה יותר, הן מצד הצוות המטפל והן מצד המטופלים ומשפחותיהם.	Listening and dialogue stimulate deeper understanding, both on the part of the treating staff and on the part of patients and their families.	no
ההבנה שלי היום כמנהלת היא שהתובנות הללו נכונות גם בהסתכלות על מערכת שלמה.	My understanding today as a manager is that these insights are also true when looking at an entire system.	no
ככל שמתקיימת הבנה מעמיקה יותר וקפדנית יותר, המשלבת בשיח את כלל הגורמים המטפלים, כך תהליך קבלת ההחלטות יהיה מדויק יותר, מותאם לסיטואציה, ובעיקר - מוקדם דיו על מנת למנוע נזקים עתידיים, מיידיים או רחוקים.	The deeper and more rigorous understanding there is, which integrates all the caregivers into the discourse, the more precise the decision-making process will be, adapted to the situation, and most importantly - early enough to prevent future, immediate or distant damage.	no
זו הסיבה שד״ר טומי שינפלד מהווה עבורי הרבה יותר מדמות מעוררת השראה.	That's why Dr. Tommy Sheinfeld is so much more than an inspirational figure to me.	no
הוא אדם שלימד אותי המון רפואה, אבל בעיקר לימד אותי לחשוב מהר ומדויק, להקשיב - ואז ליישם.	He is a man who taught me a lot of medicine, but mostly taught me to think fast and precisely, to listen - and then to apply.	no
הביא לאור: ירון דורון	Brought to light: Yaron Doron	no
הגל מתקרב לשיא: כ-38 אלף מאומתים אתמול, עוד עלייה במספר החולים במצב קשה	The wave is nearing a peak: about 38,000 confirmed yesterday, another increase in the number of patients in serious condition	yes
נתון גבוה במיוחד של נדבקים •	Particularly high figure of cases •	yes
שיעור החיוביים - 11.3% •	Positivity rate - 11.3% •	yes
מקדם ההדבקה גבוה מ-2 •	The coefficient of infection is higher than 2 •	yes
בעקבות ריבוי המאושפזים: בהדסה נערכים לפתיחת מחלקת קורונה שלישית	Due to the large number of hospitalized patients: Hadassah is preparing to open a third coronavirus ward	yes
מגפת האומיקרון משתוללת והעומס כבר מורגש בבתי החולים: 37,847 אלף נדבקים אובחנו אתמול (שני) עם קורונה.	The Omicron pandemic is raging and hospitals are already overwhelmed: 37,847,000 cases were diagnosed with COVID-19 on Monday.	yes
כך עולה מנתונים שפורסמו הבוקר באתר משרד הבריאות, הנכונים לשעה 10:00 בבוקר.	This is according to data published this morning on the Ministry of Health's website, as of 10:00 a.m.	yes
מדובר בשיא מאז פרוץ המגפה.	This is the highest since the outbreak of the pandemic.	yes
מקדם ההדבקה עומד כעת על 2.05.	The infection coefficient now stands at 2.05.	yes
מתוך 359,628 בדיקות אתמול - 11.38 אחוז נמצאו חיוביים.	Of yesterday's 359,628 tests, 11.38 percent tested positive.	yes
כיום יש בישראל 185,753 נשאים פעילים.	There are currently 185,753 active carriers in Israel.	no
מבחינת נתוני האשפוז, 247 חולים נמצאים במצב קשה ו-59 מהם מונשמים.	In terms of hospitalization data, 247 patients are in serious condition and 59 of them are on ventilators.	no
סך הכול מאושפזים בישראל 1,445 בני אדם.	A total of 1,445 people are hospitalized in Israel.	no
כזכור, אתמול שונתה הצגת הנתונים, והמאומתים כוללים את אלו שעברו בדיקות PCR בתוספת הנדבקים שעברו בדיקת אנטיגן מוסדית.	Yesterday, the presentation of the data was changed, and the confirmed cases include those who have undergone PCR tests plus those who have undergone institutional antigen testing.	no
מהמרכז הרפואי הדסה נמסר הבוקר כי 63 חולים מאושפזים בשתי מחלקות הקורונה בהדסה עין כרם.	Hadassah Medical Center said this morning that 63 patients are hospitalized in two coronavirus wards at Hadassah Ein Kerem.	no
בין החולים שישה במצב קריטי (מונשמים) ו-18 במצב קשה.	Among the patients, six are in critical condition (on ventilators) and 18 are in serious condition.	no
בהדסה ציינו כי "שתי מחלקות הקורונה בהדסה מלאות, והצוותים שלנו כבר עוסקים בהכנתה של מחלקת קורונה שלישית".	Hadassah noted that "Hadassah's two coronavirus departments are full, and our teams are already preparing a third corona department."	no
148,503	148,503	no
איש נמצאים בבידוד (36,817 נוספו אתמול). 3,743	People are in quarantine (36,817 were added yesterday). 3,743	no
אנשי צוות רפואי מבודדים, מתוכם 542 רופאים.	Medical staff are isolated, including 542 doctors.	no
עוד 1,008 מבודדים הם אחים ואחיות, ו-2,193 ממקצועות אחרים.	Another 1,008 isolated are brothers and sisters, and 2,193 are from other professions.	no
השתתף בהכנת הידיעה: יורי ילון	Participated in the preparation of the article: Yuri Yalon	no
רשלנות רפואית בשלבי הלידה השונים	Medical Malpractice at Various Stages of Birth	yes
על מנת לזכות בפיצויים,על התובעים להוכיח, נוסף על ההתרשלות, כי הנזק נגרם עקב אותה התרשלות	In order to receive compensation, the plaintiffs must prove, in addition to the negligence, that the damage was caused by that negligence	yes
לידה היא אחד מהאירועים המשמחים והמרגשים ביותר בחייה של משפחה.	Childbirth is one of the happiest and most exciting events in the life of a family.	yes
ואולם, למרבה הצער, לעתים מסתיימות לידות בנזקים חמורים הנגרמים ליולדת או ליילוד כתוצאה מהתרשלות הצוות הרפואי.	Unfortunately, however, sometimes births end in serious damage caused to the mother or newborn as a result of the negligence of the medical staff.	yes
במקרים שבהם הסתיימה הלידה בפגיעה גופנית, ליילוד או לאם, יש מקום לבחון את השתלשלות האירועים אשר הובילו לפגיעה ואף לשקול פנייה לקבלת ייעוץ משפטי.	In cases where the birth ended in physical injury, either to the newborn or to the mother, it is appropriate to examine the sequence of events that led to the injury and even consider seeking legal advice.	yes
עורך דין המתמחה בתחום הרשלנות הרפואית יבחן האם נפלו פגמים בהתנהלות הצוות הרפואי בשלבי הלידה השונים אשר גרמו לנזק וככל שימצא לנכון יפנה להיוועץ במומחה רפואי בתחום הרלונטי.	A lawyer specializing in medical malpractice will examine whether there were defects in the conduct of the medical staff during the various stages of birth that caused the damage and, if he sees fit, will consult with a medical expert in the relevant field.	yes
יש להדגיש, כי לא כל טעות בטיפול מצד הצוות הרפואי עולה כדי רשלנות (במובן המשפטי של מונח זה) וכי סיבוכים שונים במהלך הלידה אינם מלמדים בהכרח שניהולה היה רשלני.	It should be emphasized that not every mistake in treatment on the part of the medical staff amounts to negligence (in the legal sense of this term) and that various complications during labor do not necessarily indicate that its management was negligent.	yes
מתי אם כן מדובר ברשלנות?	When, then, is it negligence?	yes
כאשר טעותו של הרופא נבעה מחוסר מיומנות או סטתה מרמת הזהירות הסבירה, וחוסר המיומנות והסטייה מרמת הזהירות המקובלת גרמו נזק למטופל שלא היה נגרם אלמלא נהג כך הרופא.	When the doctor's error was due to incompetence or deviation from the reasonable level of care, and the incompetence and deviation from the acceptable level of caution caused harm to the patient that would not have been caused had the doctor not acted in this way.	yes
בכתבה זו נבחן את שלבי הלידה השונים, נסביר מהם הסיבוכים העלולים להתרחש בכל אחד מהשלבים ומתי הם עולים כדי רשלנות רפואית.	In this article we will examine the different stages of birth, explain the complications that may occur at each stage and when they amount to medical malpractice.	yes
שלב הצירים	Phase of contractions	no
שלב הצירים נמשך בממוצע בין 8 ל-14 שעות.	The contraction phase lasts an average of 8 to 14 hours.	no
בשלב זה נפתח צוואר הרחם בהדרגה (על מנת לאפשר את מעבר העובר בעת הלידה) ובסוף התהליך אמור להגיע לקוטר של כעשרה סנטימטרים.	At this stage, the cervix gradually opens (in order to allow the passage of the fetus at birth) and at the end of the process should reach a diameter of about ten centimeters.	no
מרבית מקרי הרשלנות הרפואית בשלב הצירים עוסקים באי זיהוי מצוקה עוברית לקראת הלידה, אשר גרמה נזק ליילוד המתבטא לעתים אף בשיתוק מוחין.	Most cases of medical malpractice during labor involve failure to identify fetal distress prior to birth, which caused damage to the newborn, sometimes even expressed in cerebral palsy.	no
שיתוק מוחין (CP):	Cerebral palsy (CP):	no
שיתוק מוחין עלול להיגרם כתוצאה מאי זיהוי או איחור בזיהוי תשניק סב-לידתי, אשר בא לידי ביטוי בכשל באספקת חמצן לרקמת מוחו של העובר.	Cerebral palsy may be caused by failure to recognize or delay in identifying perinatal asphyxia, which manifests itself in a failure to supply oxygen to the fetus' brain tissue.	no
ככלל, מעקב אחר מצבה של היולדת ופיענוח נכון של המוניטור העוקב אחר פעילות לב העובר אמורים להוביל לזיהוי מוקדם של התפתחות מצוקה עוברית, המאפשר לצוות הרפואי לפעול במהירות ולחלץ את היילוד לפני שנפגע באופן בלתי הפיך.	In general, monitoring the mother's condition and correctly interpreting the monitor that monitors fetal heart activity should lead to early identification of the development of fetal distress, which allows the medical staff to act quickly and rescue the newborn before he is irreversibly injured.	no
מקרים שבהם מתעלם הצוות הרפואי מסימנים המעידים על כך שהעובר סובל ממחסור בחמצן או שהצוות אינו מפרש נכון את נתונים שבפניו ובפרט המוניטור העוברי או מגיב באיחור למצוקה המתבטאת במוניטור – עלולים להוות התרשלות.	Cases in which the medical staff ignores signs indicating that the fetus suffers from a lack of oxygen or that the staff does not correctly interpret the data before it, especially the fetal monitor, or reacts late to the distress expressed in the monitor – may constitute negligence.	no
שיתוק מוחין עלול להיגרם גם כתוצאה מצניחת חבל הטבור וכן כתוצאה מקרע ברחם שלא זוהה במועד.	Cerebral palsy may also be caused by umbilical cord prolapse and uterine rupture that was not detected in time.	no
גם באירועים קשים אלו ראוי לברר האם הצוות הרפואי פעל כראוי.	Even in these difficult events, it is worth clarifying whether the medical staff acted properly.	no
כך למשל, מספרת עו"ד אנה רייף ליגנזה, ממשרד כספי סרור ושות' המתמחה בייצוג נפגעי רשלנות רפואית, כי משרדה טיפל בתביעה של ילד שנפגע במהלך לידתו לאחר שהמיילדת פקעה את שק מי השפיר כאשר ראש העובר היה גבוה מדי, ובכך הביאה לצניחת חבל הטבור (כאשר חבל הטבור מקדים את ראש העובר) ולפגיעה באספקת החמצן למוח העובר (כתוצאה מלחץ של ראש העובר על חבל הטבור) ולהיוולדו עם פגיעה נוירולוגית חמורה.	For example, Adv. Anna Reif Ligenza, of Caspi Srour & Co., a law firm specializing in representing victims of medical malpractice, says that her firm handled a claim of a child who was injured during birth after the midwife ruptured the amniotic sac when the fetus' head was too high, thereby leading to umbilical cord prolapse (when the umbilical cord precedes the fetus' head) and impaired oxygen supply to the fetal brain (as a result of pressure from the fetal head on the umbilical cord) and to his being born with severe neurological damage.	no
במקרה אחר סיפרה עוה"ד, כי משרדה הגיש תובענה בשל רשלנות רפואית חמורה של צוות מחלקת יולדות בבי"ח גדול אשר במהלך הלידה לא זיהה במועד סימנים ברורים שחייבו חשד ממשי שהיולדת סובלת מקרע של הרחם באזור הצלקת הניתוחית של הריונה הקודם.	In another case, the lawyer said that her office filed a lawsuit due to gross medical negligence on the part of the staff of the maternity ward at a large hospital, which during the birth did not identify clear signs in time that required a real suspicion that the mother was suffering from a rupture of the uterus in the area of the surgical scar of her previous pregnancy.	no
העובר אשר נפלט דרך הקרע ברחם אמו לחלל הבטן סבל ממצוקה עוברית קשה עד לחילוצו בשלב מאוחר כשהוא על סף המוות.	The fetus, which was ejected through the rupture in its mother's uterus into the abdominal cavity, suffered severe fetal distress until it was rescued at a late stage, on the verge of death.	no
בשל הסבל העוברי הקשה במהלך לידתו נגרמה לילד נכות נוירולוגית מורכבת.	Due to the severe fetal suffering during childbirth, the child suffered a complex neurological disability.	no
נדגיש, כי על מנת לזכות בפיצויים, על התובעים להוכיח, בנוסף להתרשלות, כי מתקיים קשר סיבתי בין התרשלות הצוות הרפואי שהביאה לאי זיהוי התשניק לבין הנזק שנגרם ליילוד, כלומר שהנזק נגרם עקב הרשלנות כאמור ולא מאף סיבה או גורם אחרים.	We emphasize that in order to receive compensation, the plaintiffs must prove, in addition to negligence, that there is a causal connection between the negligence of the medical staff that led to the failure to identify the asphyxiation and the damage caused to the newborn, meaning that the damage was caused as a result of such negligence and not due to any other reason or cause.	no
בחינת הקשר הסיבתי תתבצע באמצעות בחינת מדדים רפואיים שעל פי הספרות הרפואית רק בהתקיימותם מתקיים קשר סיבתי בין התשניק לבין הפגיעה המוחית.	The causal relationship will be examined by examining medical indices that, according to the medical literature, only when there is a causal relationship between the asphyxiation and the brain injury.	no
בין היתר נבחנים המדדים של רמת החומציות בדמו של העובר, ציוני האפגר שלו, קיומה של פגיעה נוירולוגית ומערכתית ועוד.	Among other things, the indicators of the pH level in the fetus' blood, its Apgar scores, the existence of neurological and systemic damage, and more are examined.	no
פטירת העובר	Death of the fetus	no
שלב הלידה האקטיבית	Active birth phase	no
שלב הלידה האקטיבית מתחיל כשפתיחת צוואר הרחם מגיעה לקוטר של 10 סנטימטר ומסתיים בלידתו של התינוק.	The stage of active birth begins when the opening of the cervix reaches a diameter of 10 centimeters and ends with the birth of the baby.	no
למרבה הצער, מרבית הסיבוכים הרפואיים מתרחשים במהלך שלב קריטי זה.	Unfortunately, most medical complications occur during this critical phase.	no
שיהוי בלידה והימנעות מביצוע ניתוח קיסרי	Delay in childbirth and avoidance of performing a cesarean section	no
במקרים מסוימים, מתפתחת לידה דיספונקציונלית, קרי, חוסר התקדמות של תהליך הלידה האקטיבית.	In some cases, dysfunctional birth develops, that is, lack of progression of the process of active birth.	no
במצבים כאלה נהוג לבצע ניתוח קיסרי, על מנת למנוע נזקים שונים העלולים להיגרם לעובר עקב העיכוב בלידה.	In such situations, it is customary to perform a cesarean section, in order to prevent various damages that may be caused to the fetus due to the delay in birth.	no
"ישנם מקרים בהם אי ביצוע ניתוח קיסרי במועד עלול לגרום נזק בלתי הפיך לעובר", הסבירה לנו עו"ד רייף-ליגנזה.	"There are cases in which failure to perform a cesarean section on time may cause irreversible damage to the fetus," Attorney Reif-Ligenza explained to us.	no
"לדוגמה, ניהלנו תביעת רשלנות רפואית של מות ילודה שנגרם בשל איחור משמעותי בביצוע ניתוח קיסרי.	"For example, we conducted a medical malpractice lawsuit for maternal death caused by a significant delay in performing a cesarean section.	no
בניגוד לכל פרקטיקה רפואית מוכרת, לא השכילו אנשי הצוות הרפואי לזהות את המצוקה העוברית ולבצע ניתוח קיסרי למרות התקדמות איטית במיוחד של הלידה.	Contrary to any known medical practice, the medical staff failed to identify the fetal distress and perform a cesarean section despite the particularly slow progression of the birth.	no
האיחור בביצוע הניתוח גרם לנזק רב מערכתי לילודה אשר הוביל לבסוף למותה בסמוך לאחר לידתה".	The delay in performing the surgery caused systemic damage to the birth rate, which eventually led to her death shortly after birth."	no
רשלנות בלידת ואקום	Negligence in vacuum birth	no
במצבים בהם נשקפת לאם או לעובר סכנה משמעותית המחייבת סיום מהיר במיוחד של הלידה, מתבצעת לעתים לידת ואקום (שולפן ריק).	In situations where the mother or fetus faces significant danger that requires a particularly rapid termination of the birth, a vacuum birth is sometimes performed.	no
בתהליך זה מצמידים באמצעות ואקום "כיפה" לראשו של העובר ומושכים החוצה בכח את העובר.	In this process, a "dome" is vacuumed to the fetus' head and the fetus is forcefully pulled out.	no
מטבע הדברים פעולה זו כרוכה בסכנות ועלולה לגרום לנזקים הן לעובר והן ליולדת ועל כן מחייבת זהירות, דיוק ומיומנות רבה.	Naturally, this operation involves dangers and may cause damage to both the fetus and the mother, and therefore requires great care, precision and skill.	no
באירועים אלו רשלנות רפואית עלולה להתבטא בכך שהרופא אינו מקפיד על ההנחיות המחייבות ומבצע את הפעולה למרות קיומה של התוויית נגד, כגון כאשר ראש העובר גבוה מדי באגן, או מבצע אותה במשך זמן ארוך מהמותר או כאשר למרות כישלון מספר ניסיונות רב ממשיך הרופא וחוזר על הפעולה יותר ממספר הניסיונות המותר.	In these cases, medical malpractice may manifest itself in the fact that the doctor does not adhere to the mandatory guidelines and performs the operation despite the existence of a contraindication, such as when the fetal head is too high in the pelvis, or performs it for longer than permitted or when despite the failure of a large number of attempts, the doctor continues and repeats the operation more than the permitted number of attempts.	no
במקרים אלו אם פעולת הוואקום הרשלנית גרמה ליילוד נזק – בין היתר היא עלולה לגרום לנזק גולגלתי ודימומים העלולים לגרום להתפתחות נזק מוחי – יש מקום להגשת תביעה נזיקית.	In these cases, if the negligent vacuum operation caused damage to the newborn – among other things, it may cause cranial damage and hemorrhages that may cause the development of brain damage – there is room to file a tort claim.	no
שיתוק על שם ERB	ERB palsy	no
שיתוק על שם ארב, הנה פגיעה עצבית מולדת במקלעת הברכיאלית (צומת עצבים המחבר את עמוד השדרה לחלק העליון של הכתף) וכאשר היא מתרחשת במהלך הלידה ראוי לבדוק האם הנזק ארע כתוצאה מרשלנות הצוות המיילד.	Erb's palsy is a congenital nerve injury to the brachial plexus (a nerve junction that connects the spine to the upper part of the shoulder) and when it occurs during childbirth it is worth checking whether the damage occurred as a result of the negligence of the obstetric staff.	no
הפגיעה מתבטאת בחולשת שרירי היד ויכולה להגיע עד שיתוק מלא של כל הזרוע.	The injury is manifested by weakness of the hand muscles and can reach complete paralysis of the entire arm.	no
שיתוק זה נגרם לא פעם בשל קושי בהוצאתו של היילוד בשל התרחשות 'פרע כתפיים' - מצב חירום מיילדותי המרחש כאשר כתפיו של העובר נכלאות בפנים תעלת הלידה לאחר שראשו יצא.	This paralysis is often caused by difficulty in removing the newborn due to the occurrence of a "shoulder dislocation" - an obstetric emergency that occurs when the fetus' shoulders are trapped inside the birth canal after the head has come out.	no
מתי עליכם לחשוד שהשיתוק נגרם כתוצאה מרשלנות רפואית?	When should you suspect that paralysis is caused by medical malpractice?	no
במקרים שבהם הערכת משקלו של העובר הצביעה על כך שמדובר בעובר מקרוסומי, כלומר שהוא צפוי להיוולד במשקל העולה על 4.5 קילוגרם ובהתאם להנחיות עדיף ליילד את האם בניתוח קיסרי.	In cases where the weight assessment of the fetus indicated that it is a macrosomic fetus, meaning that it is expected to be born weighing more than 4.5 kilograms and according to the guidelines, it is better to deliver the mother by cesarean section.	no
כאשר המשקל של היילוד הינו מעל 4 קילוגרם יש לשקול ניתוח קיסרי לאור גורמי הסיכון ובהם סכרת הריון והתארכות השלב השני של הלידה.	When the weight of the newborn is over 4 kilograms, a cesarean section should be considered in light of risk factors, including gestational diabetes and prolongation of the second stage of birth.	no
במקרה שהצוות הרפואי מתעלם מהערכת משקל חריגה של העובר או מגורמי סיכון נוספים ובוחר להמשיך בלידה וגינלית ומתממש הסיכון לפרע כתפיים ושיתוק ע"ש ERB, קיימת אפשרות סבירה כי מדובר ברשלנות רפואית.	If the medical staff ignores an abnormal weight assessment of the fetus or other risk factors and chooses to continue with a vaginal birth and the risk of shoulder rupture and ERB paralysis is realized, there is a reasonable possibility that this is medical malpractice.	no
ואכן, ב-ע"א 2694/90, קבע בית המשפט העליון כי "הסיכון שבמהלך לידה תתרחש היצרות כתפיים ניתן לחיזוי מראש במידה כזו או אחרת של דיוק, והדרך למניעתה של היצרות כתפיים, מקום בו קיים חשש להתרחשותה היא עריכת ניתוח קיסרי".	Indeed, in Civil Appeal 2694/90, the Supreme Court ruled that "the risk that shoulder stenosis will occur during childbirth can be predicted in advance with some degree of accuracy, and the way to prevent shoulder stenosis, where there is a concern that it will occur, is to perform a cesarean section."	no
שלב יציאת השליה	Placental exit phase	no
הפרדת השלייה מהרחם ויציאתה מתרחשת בשל התכווצות הרחם לאחר יציאת היילוד והיא מלווה בדימום.	The separation of the placenta from the uterus and its exit occurs due to the contraction of the uterus after the exit of the newborn and is accompanied by bleeding.	no
התהליך נמשך במרבית המקרים עד חצי שעה מרגע יציאתו של התינוק ועל פי רב מתרחש באופן ספונטני, ללא מעורבות הצוות הרפואי.	In most cases, the process lasts up to half an hour from the moment the baby leaves and usually takes place spontaneously, without the involvement of the medical staff.	no
לאחר יציאת השלייה, יבדוק הצוות הרפואי האם היא יצאה בשלמותה או שמא נותרו חלקי שליה ברחם.	After the placenta exits, the medical staff will check whether it has come out intact or whether parts of the placenta remain in the uterus.	no
במסגרת שלב זה, עשויים להתרחש סיבוכים שעלולים לגרום נזקים חמורים ליולדת.	During this stage, complications may occur that can cause serious damage to the mother.	no
אחד הסיבוכים המוכרים כתוצאה מהיוותרות שאריות שלייה ברחם קרוי "תסמונת אשרמן", הצטלקות דופן הרחם תוצאת דלקת הנגרמת בשל היוותרות שאריות שלייה ברחם, תופעה הפוגעת ברירית הרחם באופן שלא מאפשר השרשת היריון.	One of the well-known complications as a result of placental residues remaining in the uterus is called Asherman syndrome, scarring of the uterine wall as a result of inflammation caused by placental residues remaining in the uterus, a phenomenon that damages the uterine lining in a way that makes it impossible to implant a pregnancy.	no
לכן במקרים בהם לא זיהה הצוות הרפואי כי נותרו שאריות שליה או לא נקט בכל האמצעים למנוע פגיעה ברירית הרחם למרות החשד לשאריות שליה ברחם יתכן ומדובר ברשלנות רפואית והמקרה ראוי לבדיקה מעמיקה ע"י עורך דין מנוסה בתחום.	Therefore, in cases where the medical staff did not identify placental residues or did not take all measures to prevent damage to the uterine lining despite the suspicion of placental residues in the uterus, this may be medical malpractice and the case deserves a thorough examination by an experienced lawyer in the field.	no
פטירת היולדת	Death of the mother	no
פטירת יולדת במהלך הלידה הינו אירו נדיר למדי.	The death of a mother during childbirth is quite rare.	no
במקרים אלו, האירוע שהיה אמור להביא אושר ושמחת חיים לכל המשפחה הופך, למרבה הצער, לאירוע הטראגי ביותר עבורה.	In these cases, the event that was supposed to bring happiness and joy to the whole family becomes, unfortunately, the most tragic event for her.	no
במקרים מסוימים לא מאתר הצוות הרפואי דימום אצל היולדת במועד או מגיב באיחור לדימום כאמור.	In some cases, the medical staff does not detect bleeding in the mother in a timely manner or responds late to the bleeding as stated.	no
"לדוגמה...", מסרה לנו עו"ד רייף-ליגנזה, "משרדנו הגיש תביעה שעניינה מות יולדת, כאשר באותו מקרה הצוות הרפואי התעלם ולא הגיב לסימניה החיוניים המדאיגים של היולדת, משך שעות ארוכות, ואיחר באבחון דימום מאסיבי ובלתי נשלט שהתרחש כסיבוך ידוע של מחלת הרקע שממנה סבלה".	"For example...", Adv. Reif-Ligneza told us, "our firm filed a lawsuit regarding the death of a mother, when in that case the medical staff ignored and did not respond to the mother's worrisome vital signs for many hours, and was late in diagnosing massive and uncontrollable bleeding that occurred as a known complication of the background disease from which she suffered."	no
"במקרה אחר...", מסרה עו"ד רייף-ליגנזה, "ייצג משרדנו את קרוביה של יולדת שנפטרה לאחר לידת תאומים עקב דימום שמקורו היה בחתך הניתוח הקיסרי שלא נתפר כראוי.	"In another case...", said Adv. Reif-Ligneza, "our firm represented the relatives of a woman who died after the birth of twins due to bleeding originating in the cesarean section incision that was not properly sewn.	no
באותו מקרה היולדת התלוננה על כאבים קשים וחולשה לאחר הניתוח אולם הצוות הרפואי לא התייחס כיאות לתלונותיה ומצבה הקליני, הגיב באיחור רק לאחר שמערכות גופה החלו לקרוס, דבר שהביא לפטירתה".	In that case, the mother complained of severe pain and weakness after the operation, but the medical staff did not properly address her complaints and her clinical condition, reacted late only after her body systems began to collapse, which led to her death."	no
אובדן רחם	Loss of uterus	no
במקרים חמורים עלולה רשלנות רפואית בלידה להוביל לכריתת רחם מספרת עו"ד רייף לינגזה: "משרדנו ניהל תביעה כנגד בית חולים שבבסיסה כריתת רחם עקב רשלנות רפואית לאחר הלידה.	In severe cases, medical malpractice in childbirth may lead to hysterectomy, says Adv. Reif Lingze: "Our firm conducted a lawsuit against a hospital based on hysterectomy due to medical malpractice after birth.	no
באותו מקרה היולדת, צעירה בת 31, איבדה את רחמה בשל חוסר טיפול נאות בדימום מסיבי שנצפה על ידי הצוות הרפואי לאחר הלידה ולמרות זאת לא ננקטו בזמן הפעולות שיכלו למנוע את הנזק".	In that case, the mother, a 31-year-old woman, lost her uterus due to the lack of proper treatment for massive bleeding observed by the medical staff after the birth, yet no timely actions were taken that could have prevented the damage."	no
מהם הפיצויים הנפסקים בתביעות בגין רשלנות רפואית בלידה?	What are the damages awarded in claims for medical malpractice in childbirth?	no
פיצוי יילוד בגין פגיעה עקב רשלנות רפואית בלידה כולל רכיבי נזק רבים, כאשר הסכומים המשמעותיים ביותר ניתנים עבור כאב וסבל, סיעוד וטיפול בשכר, הפסדי שכר ופנסיה לנפגע ואף להוריו ורכיבי נזק נוספים.	Neonatal compensation for injury due to medical malpractice in childbirth includes many components of damage, with the most significant amounts being given for pain and suffering, nursing and wage care, wage and pension losses to the victim and even to his parents, and other components of damage.	no
הפיצוי שנפסק לקטין פגוע עבור הפסדי שכר ופנסיה מחושב במרבית המקרים על בסיס השכר הממוצע במשק.	The compensation awarded to an injured minor for wage and pension losses is calculated in most cases on the basis of the average wage in the economy.	no
כמו כן, כולל הפיצוי גם הוצאות רפואיות, עלות אביזרים רפואיים ושיקומיים, עלות התאמת דיור לצרכי התינוק, ניידות ועוד.	In addition, the compensation also includes medical expenses, the cost of medical and rehabilitation devices, the cost of adjusting housing to the baby's needs, mobility and more.	no
"סכום הפיצוי נקבע בכל מקרה לגופו ועל פי נסיבותיו" מספרת עו"ד רייף-ליגנזה והיא מוסיפה ומציינת כי "כיום מרבית התביעות בעילה של רשלנות רפואית מסתימות בפשרה המשקללת את הסיכוי והסיכון שיש לכל צד בניהול ההליך", ואולם הוסיפה עוה"ד וסיפרה כי "ישנם מקרים בהם מסתיים ההליך רק בפסק דין, שאז אם התביעה לא נדחית יקבלו התובעים פיצוי מלא על כל נזקיהם ולדוגמה, במסגרת תביעה שניהל משרדנו, פסק בית המשפט המחוזי לקטין שנגרם לו שיתוק מוחין עקב איחור בזיהוי מצוקה עוברית פיצוי העולה על עשרה מיליון שקלים".	"The amount of compensation is determined on a case-by-case basis and according to its circumstances," says Adv. Reif-Liganza, and she adds that "today most claims on the grounds of medical malpractice end in a compromise that weighs the chance and risk that each party has in conducting the proceeding," but the lawyer added that "there are cases in which the proceeding ends only with a judgment, in which case if the claim is not rejected, the plaintiffs will receive full compensation for all their damages, and for example,  As part of a lawsuit conducted by our firm, the District Court awarded a minor who suffered cerebral palsy due to a delay in identifying fetal distress compensation exceeding ten million shekels."	no
לסיכום	Finally	no
רשלנות רפואית בלידה היא ללא ספק חלום הבלהות של כל משפחה.	Medical malpractice at birth is undoubtedly every family's nightmare.	no
במקרים אלו בחינה משפטית נכונה של השתלשלות האירועים שגרמו לתוצאה הטראגית, ע"י עו"ד מיומן בניהול תביעות בעילה של רשלנות רפואית, יוכלה לסייע לכם לזכות בפיצויים שאתם ראויים להם.	In these cases, a proper legal examination of the sequence of events that caused the tragic outcome, by an attorney skilled in managing claims on the grounds of medical malpractice, can help you win the compensation you deserve.	no
זאת הסיבה לשכיחות של מחלת העיניים קרטוקונוס בדרום	This is the reason for the prevalence of keratoconus eye disease in the south	yes
מחקר העלה כי קיים קשר בין התפתחות המחלה לנישואי קרובים •	A study found that there is a link between the development of the disease and the marriage of relatives •	yes
השכיחות הגבוהה ביותר נמצאה במגזר הבדואי •	The highest prevalence was found in the Bedouin sector •	yes
מומחה: "ייתכן שבכל מגזר עם הרבה חתונות בין בני דודים, נמצא שכיחות גבוהה למחלה".	Expert: "It is possible that in any sector with many weddings between cousins, a high incidence of the disease was found."	yes
קרטוקונוס היא מחלת עיניים תורשתית שגורמת לכמה ליקויי ראייה.	Keratoconus is an inherited eye disease that causes several visual impairments.	yes
חשוב מאוד לאבחן אותה בהקדם, ולמצוא פתרונות נכונים למניעת החמרת המצב.	It is very important to diagnose it as soon as possible, and to find correct solutions to prevent the condition from worsening.	yes
בשנים האחרונות, נערכו כמה מחקרים שעוזרים להבין כיצד מתפתחת המחלה, ופותחו טיפולים חדשניים.	In recent years, several studies have been conducted to help understand how the disease develops, and innovative treatments have been developed.	yes
המחקרים החדשים נותנים ביסוס מחקרי לחשד בדבר היותה של מחלת העיניים קרטוקונוס מחלה גנטית.	The new studies provide research support for the suspicion that keratoconus is a genetic disease.	yes
