בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three endangered cheetah cubs were born in Iran	yes
מהאש נהרגו שלושה אנשי חמאס, ולמרבה הצער גם סא"ל ח'יר א-דין.	Three Hamas members were killed in the fire, and unfortunately, so was Lt. Col. Hir ad-Din.	no
עשרה חודשים לאחר האירוע הקשה החליט הרמטכ"ל, רא"ל אביב כוכבי, לקבל את המלצת ועדת הצל"שים ולהעניק צל"ש רמטכ"ל לשלושה מהלוחמים בתקרית בעומק הרצועה - ביניהם גם סא"ל ח'יר א-דין ז"ל.	Ten months after the difficult incident, the Chief of Staff, Lt. Col. Aviv Kochavi, decided to accept the recommendation of the Tzalim Committee and to award the Chief of Staff a medal to three of the fighters in the incident deep in the Gaza Strip - among them Lt. Col. Hir ad-Din.	no
מפקד כוח הלוחמים ולוחם נוסף בצוות קיבלו אף הם צל"ש.	The commander of the fighting force and another member of the crew also received a medal.	no
בהודעת הצבא נמסר אז כי סא"ל מ' קיבל את הצל"ש על "פעילותו במבצע עם צוותו, בשטח אויב, בנחישות, קור רוח ואומץ, להגנה על חבריו.	In a statement, the army said that Lt. Col. M. received the commendation for "his activity in the operation with his team, in enemy territory, with determination, composure and courage, to protect his comrades.	no
בהמשך פעל מתוך יוזמה וחתירה למגע, נטל תפקיד קדמי בהשתלטות על האויב ופעל בתושייה לקידום ההשתלטות.	Later, he acted out of initiative and striving for contact, took a forward role in taking control of the enemy and acted resourcefully to promote the takeover.	no
לשקול מעבר ממבצעי פינצטה למבצע נרחב	Consider switching from tweezers operations to an extensive operation	no
ישראל צריכה לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין •	Israel must ask itself, again, if it is wrong to change its policy vis-a-vis the Jenin sector.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and set fire to the West Bank, but the Jenin militants may leave it no choice.	no
סוף השבוע הסוער שעברנו מלמד שאף על פי שחודש הרמדאן מאחורינו, השטח עדיין נפיץ מתמיד.	The stormy weekend we went through shows that although Ramadan is behind us, the area is still more volatile than ever.	no
יידרשו מאמצים רבים ושכל ישר כדי לחצות בשלום את שני מועדי האזכור הקרובים: יום ה"נכבה" שחל היום (ראשון), ויום ירושלים שיצוין בעוד שבועיים.	It will take great efforts and common sense to cross the next two commemorative days in peace: Nakba Day on Sunday and Jerusalem Day in two weeks.	no
לא מעט גורמים יתייצבו מנגד בניסיון לטרפד חזרה לשפיות.	Quite a few elements will stand by in an attempt to torpedo a return to sanity.	no
בראשם, כתמיד, גורמי הטרור, שמרכזים מאמץ מיוחד בניסיון לשמר את האווירה האלימה של השבועות האחרונים.	They are headed, as always, by the terrorist elements, who are concentrating a special effort in an attempt to preserve the violent atmosphere of recent weeks.	no
עדות לכך ניתנה במהלך מבצע המעצרים שבו נהרג שלשום לוחם הימ"מ, רס"ב נעם רז ז"ל.	This was evidenced during the arrest operation in which a SWAT fighter, the late Sergeant Major Noam Raz, was killed yesterday.	no
לוחמים שהשתתפו בקרב בג'נין העידו כי הם אינם זוכרים היקף כזה של ירי ואלימות - עדות לא רק לכמות האדירה של אמל"ח שיש בשטח, אלא גם לנכונות להשתמש בו.	Fighters who took part in the battle in Jenin testified that they did not remember such a scale of shooting and violence - evidence not only of the huge amount of weapons in the field, but also of the willingness to use them.	no
זה מחייב את ישראל לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין, ולעבור ממבצעי פינצטה קטנים ומבוססי מודיעין למבצע נרחב ומבוסס מסה.	This requires Israel to ask itself, again, if it is wrong to change its policy vis-a-vis the Jenin sector, and to move from small, intelligence-based tweezer operations to a broad, mass-based operation.	no
במהלך הרמדאן נמנעה ישראל מלעשות זאת, מחשש שג'נין תידלק ותצית בעקבותיה את הגדה ואת הזירה כולה; גם כעת, מעדיפה מערכת הביטחון לפעול סלקטיבית, כשנדרש, כדי להימנע מתבערה, אבל ייתכן שחמושי ג'נין לא יותירו לה ברירה.	During Ramadan, Israel refrained from doing so, fearing that Jenin would ignite and set fire to the West Bank and the entire arena; even now, the defense establishment prefers to act selectively, when necessary, to avoid fire, but the Jenin militants may leave it no choice.	no
להפיק את הלקחים לאירועי העתיד.	To draw the lessons for future events.	no
מותו של רז בקרב הוא התשובה הטובה ביותר שיכולה ישראל לתת לכל מי שטוען כי הרגה במתכוון את עיתונאית אל־ג'זירה, שירין אבו עאקלה.	Raz's death in battle is the best answer Israel can give to anyone who claims to have deliberately killed Al Jazeera journalist Shirin Abu Aqla.	no
פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.	Operational activity is a dangerous matter for those who participate in it and for those present at the scene.	no
צה"ל לוקח סיכונים אדירים לכוחותיו כדי להימנע ככל הניתן מפגיעה בחפים מפשע, ולעיתים משלם על כך בחיי לוחמים.	The IDF takes enormous risks to its forces in order to avoid harming innocent people as much as possible, and sometimes pays for it with the lives of combatants.	no
זה מעיד על מוסריות גבוהה, אבל יש בכך גם ערך מבצעי־מודיעיני: מחבל שנתפס חי - כפי שקרה שלשום בג'נין - הוא מקור מצוין למידע על אמל"ח, פיגועים ומחבלים נוספים; זה מידע שלרוב לא ניתן להשיגו בדרך אחרת, ובאמצעותו אפשר לסכל את הפיגועים הבאים.	This attests to high morality, but it also has an operational-intelligence value: a terrorist who was captured alive - as happened the day before yesterday in Jenin - is an excellent source of information about weapons, terror attacks and other terrorists; it is information that usually cannot be obtained in any other way, and through it it is possible to thwart the next attacks.	no
צה"ל נהג נכון כאשר פרסם שלשום את תחקיר הביניים שערך בפרשת מותה של אבו עאקלה, והבהיר כי לא ניתן לקבוע בשלב הזה מי גרם למותה.	The IDF acted correctly when it published the interim investigation it conducted into Abu Aqla's death, and clarified that it was not possible to determine at this stage who caused her death.	no
בהיעדר שיתוף פעולה פלשתיני, ספק אם ניתן יהיה להגיע לשורה תחתונה חד־משמעית בפרשה.	In the absence of Palestinian cooperation, it is doubtful whether it will be possible to reach an unequivocal bottom line in the affair.	no
ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה"ל פועל ללא הרף בג'נין.	In any case, it seems that nothing will convince the convinced: the world has already rushed to condemn Israel without bothering to balance it with a word of empathy for the victims of Palestinian terror - the original cause for which the IDF is constantly operating in Jenin.	no
כתמיד, טבעם של סיפורים כאלה לגווע.	As always, the nature of such stories perish.	no
דעת הקהל העולמית עסוקה בשלה וממשיכה הלאה, ודאי כשבאוקראינה ממשיכה להשתולל מלחמה אינטנסיבית פי כמה.	World public opinion is preoccupied and is moving on, certainly as the war in Ukraine continues to rage much more intensely.	no
לכן, חבל שישראל התעקשה לתת לפרשת מותה של אבו עאקלה עוד רגעים מיותרים של חשיפה, עם הטיפול הלא מוצלח של המשטרה בהלווייתה.	Therefore, it is a shame that Israel insisted on giving Abu Aqleh's death another unnecessary moment of exposure, with the police's unsuccessful treatment of her funeral.	no
גם אם משפחתה של אבו־עאקלה לא עמדה בסיכומים המוקדמים, צריך היה לצפות לקצת יותר יכולת הבלגה מהשוטרים שליוו את מסע ההלוויה, ובוודאי להתרגש פחות מדגלי פלשתין שהונפו בה.	Even if Abu "Aqleh's family did not meet the preliminary summaries, we should have expected a little more restraint from the policemen who accompanied the funeral procession, and certainly less to be moved by the Palestinian flags that were raised there.	no
האחריות מחייבת: לפעול להרגעת המצב.	The responsibility is to calm the situation.	no
טוב עשו השר לביטחון הפנים ומפכ"ל המשטרה שהורו על חקירת האירוע.	The Minister of Public Security and the Police Commissioner ordered an investigation into the incident.	no
דומה שחסרו בו הכנה מספקת והנחיות ברורות, אבל מטרידה העובדה שזאת הפעם השנייה שזה קורה למשטרה בתוך זמן קצר, ובשני מחוזות שונים.	It seems to lack sufficient preparation and clear guidelines, but it is disturbing that this is the second time this has happened to the police in a short time, and in two different districts.	no
גם בפיגוע בדיזנגוף כשלה המשטרה בניהול האירוע, בבידוד הזירה ובטיפול בתקשורת.	In the attack in Dizengoff, too, the police failed in managing the incident, isolating the scene and handling the media.	no
טוב תעשה ועדת החקירה אם לא תסתפק רק בניתוח התנהלות השוטרים בהלוויה עצמה, אלא גם בהפקת לקחים ומסקנות שיאפשרו טיפול מוצלח יותר באירועים דומים בעתיד.	The commission of inquiry will do well not only to analyze the conduct of the policemen at the funeral itself, but also to draw lessons and conclusions that will enable better treatment of similar incidents in the future.	no
לצד הטיפול הפנימי במשטרה, מתחייב גם לתת את הדעת על התנהלותם של נבחרי ציבור שאיבדו דרך וכיוון.	Alongside the internal treatment of the police, it is also obligated to pay attention to the conduct of elected officials who have lost their way and direction.	no
בכנסת ישראל מכהנים כיום כמה וכמה חברים שמסתמנים כסכנה לדמוקרטיה.	The Israeli Knesset currently has several members who appear to be a danger to democracy.	no
הם מצויים משמאל ומימין, ומנצלים את חסינותם לא כדי לאתגר את המדינה, אלא כדי לפגוע בה.	They are on the left and the right, and exploit their immunity not to challenge the state, but to harm it.	no
ח"כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.	MK Ofer Kasif is the latest example of this; if no action is taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next elected official to further radicalize his actions.	no
מהלכים כאלה, שהם בבחינת דמוקרטיה מתגוננת, חיוניים בנפיצות של התקופה הזו, כשברקע גורמים שמבקשים לנצל את המצב לצרכים פוליטיים.	Such moves, which are a defensive democracy, are essential in the explosiveness of this period, with elements seeking to exploit the situation for political purposes in the background.	no
מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.	Anyone with common sense in his head is expected to rise above all these and act to calm the situation; otherwise, Israel may quickly escalate against external enemies, and worse - against domestic enemies.	no
בכיר במשטרה: "נדרשות פה מדיניות ממשלתית והצבת מטרות"	Police official: "We need government policy and goals"	yes
משטרת ישראל אמנם פתחה במבצע למיגור תופעת השוהים הבלתי חוקיים, אך הדרך עוד ארוכה •	The Israeli police have launched an operation to eradicate the phenomenon of illegal aliens, but the road is still long.	yes
אין היום במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה"."	There is not a single entity in the State of Israel that incorporates this entire issue. "	yes
"אם רוצים לטפל בתופעת השוהים הבלתי חוקיים, נדרשת מדיניות ממשלתית, וממנה יש לגזור מטרות, משימות ואחריות.	"If we want to deal with the phenomenon of illegal aliens, government policy is required, and from it we must derive goals, missions and responsibilities.	yes
כיום אין במדינת ישראל גורם אחד שמתכלל את כל הנושא הזה", כך אומר ל"ישראל היום" בכיר במשטרה.	Today, there is no single entity in the State of Israel that integrates this entire issue, "a senior police official told Israel Hayom.	yes
עד לפני חודש וחצי, טרם ההסלמה במצב הביטחוני, התופעה התבטאה בכ-20 עד 30 אלף שב"חים שנכנסים מדי יום דרך הפרצות בגדר.	Until a month and a half ago, prior to the escalation in the security situation, the phenomenon was expressed in some 20,000 to 30,000 illegal aliens who enter the fence every day through breaches.	yes
נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.	In addition, between 100,000 and 110,000 Palestinians with work permits enter Israel every day through 34 supervised crossings.	yes
יצוין כי פלשתינים מועסקים בישראל מאז תום מלחמת ששת הימים, ומספר ההיתרים בכל ענף מוגבל במכסה שקובע הדרג המדיני בהתאם למצב הביטחוני, הכלכלי והמדיני במדינת ישראל.	It should be noted that Palestinians have been employed in Israel since the end of the Six-Day War, and the number of permits in each sector is limited by the quota set by the political echelon in accordance with the security, economic and political situation in the State of Israel.	yes
ההיתרים מונפקים על ידי צה"ל באמצעות מינהלת התיאום והקישור.	The permits are issued by the IDF through the Coordination and Liaison Administration.	yes
לאור זאת, שב"ח אינו בהכרח פלשתיני שכניסתו אסורה בעקבות מעורבות פלילית או קשר לפיגועים, אלא במקרים רבים מדובר בפלשתינים שכניסתם נאסרה משום שאינם עומדים במכסת ההיתרים המותרת.	In light of this, the ISA is not necessarily a Palestinian whose entry is prohibited as a result of criminal involvement or connection to terrorist attacks, but rather in many cases Palestinians whose entry is prohibited because they do not meet the permissible permit quota.	yes
יודגש כי מי שביצעו את הפיגועים באריאל, בדיזנגוף ובאלעד נחשבו אמנם לשב"חים, אך לא היו מפוקחים, משום שלא עברו קודם לכן עבירה פלילית כלשהי שחייבה את גורמי הביטחון לפקח על תנועותיהם.	It should be emphasized that those who carried out the attacks in Ariel, Dizengoff and Elad were considered illegal aliens, but were not supervised, because they had not previously committed any criminal offense that required security officials to monitor their movements.	no
"לכן אין משמעות לכניסה שלהם דרך הפרצות בגדר", אומר גורם ביטחוני בכיר, "מי שרוצה לעשות פיגוע יכול להיכנס לארץ גם דרך המעברים המפוקחים, והיו כבר מקרים כאלה בעבר.	"Therefore, there is no significance to their entry through the breaches in the fence," a senior security source said, "Anyone who wants to carry out a terrorist attack can enter the country through the supervised crossings, and there have been such cases in the past.	no
אלפי מעצרים	Thousands of arrests	no
בעקבות הפיגוע באלעד ולאור ריבוי התרעות לפיגועים, פתחה המשטרה במבצע רחב היקף לאיתור שוהים בלתי חוקיים.	Following the attack in Elad and in light of numerous warnings of attacks, the police launched a large-scale operation to locate illegal aliens.	no
עד סוף השבוע נעצרו כ-16,000 שב"חים.	By the end of the week, 16,000 illegals had been arrested.	no
מתוכם כ-600 נחקרו ונפתחו להם תיקים פליליים, ונכלאו כ-200.	Of these, about 600 were interrogated and criminal cases were opened, and about 200 were imprisoned.	no
על פי מדיניות התביעה המשטרתית, הליכים נגד שוהה בלתי חוקי מתבצעים רק כלפי פושעים מועדים או אנשים החוזרים על המעשה שוב ושוב (רצידיביסטים).	According to the policy of the police prosecution, proceedings against illegal aliens are carried out only against habitual criminals or people who repeat the act over and over again (recidivism).	no
שוהה בלתי חוקי שנעצר בפעם הראשונה נחקר, מתועד ומוחזר לשטחים.	Illegal detainees detained for the first time are interrogated, documented and returned to the territories.	no
לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.	Sometimes this is repeated a second time, but only the third time he is arrested, imprisoned and indicted for unlawful stay.	no
על פי החוק, אם שוהה בלתי חוקי נתפס בטווח של כ-50 עד 100 מטר מכל צד מגדר ההפרדה, הטיפול בו מתבצע על ידי התביעה הצבאית.	According to the law, if an illegal alien is caught within a range of 50 to 100 meters on either side of the separation fence, his treatment is carried out by the military prosecution.	no
מנתונים שהגיעו ל"ישראל היום" עולה כי בשנת 2021 טופלו על ידי המשטרה 40,010 שוהים בלתי חוקיים, מסיעים ומלינים.	According to data obtained by Israel Hayom, in 2021 the police treated 40,010 illegal aliens, transporters and accomplices.	no
7,405 שוהים בלתי חוקיים נעצרו ול-19,533 נפתח תיק פלילי.	7,405 illegal aliens were arrested and 19,533 criminal cases were opened.	no
מספר המעסיקים, מסיעים ומלינים שטופלו על ידי המשטרה בשנת 2021 היה 6,537.	The number of employers, transporters and melons treated by the police in 2021 was 6,537.	no
469 נעצרו, ול-5,640 נפתחו תיקים פליליים.	469 were arrested, and 5,640 criminal cases were opened.	no
"היסודות של תופעת השב"חים לא תלויים במשטרה, לא בצה"ל, לא בחברה הישראלית ולא בחברה הפלשתינית.	"The foundations of the Shin Bet phenomenon do not depend on the police, the IDF, Israeli society or Palestinian society.	no
הם תלויים בגורמים אחרים", אומר בכיר במערכת אכיפת החוק.	They depend on other factors, "says a senior law enforcement official.	no
"כדי לטפל בתופעה יש לעקר את המוטיבציה שלהם לצאת לעבוד בישראל, ובצד הישראלי צריך לגבות מהם מחיר שימנע מהם לחצות את הגדר.	"In order to deal with the phenomenon, their motivation to work in Israel must be sterilized, and on the Israeli side they must be charged a price that will prevent them from crossing the fence.	no
גורמים המעורבים בנושא טוענים כי אי גביית המחיר נובעת בין היתר מחוסר במקומות כליאה ובעובדה שהמעצרים מתבצעים רק כשיש עבירות נלוות או שמדובר ברצידיביסט.	Sources involved in the matter claim that the failure to charge the price stems, among other things, from a lack of places of detention and from the fact that the arrests are carried out only when there are incidental offenses or that the detainee is a recidivist.	no
גורמים משפטיים טוענים כי ההחלטה לגבות מחיר משב"ח רק החל ממעצרו השלישי התקבלה בין היתר גם משום שבתי המשפט אינם יכולים להתמודד עם מספר המעצרים המתבצעים מדי יום.	Legal sources claim that the decision to charge a price from the IPS only began with his third arrest, partly because the courts cannot cope with the number of arrests carried out every day.	no
מי שיבדוק גם את הענישה, יגלה שהיא לא מרתיעה"."	Anyone who examines the punishment will find that it is not deterring. "	no
ישנה מורכבות גדולה	There is great complexity	no
שב"ח", אומר גורם משטרתי, "הוא אדם מורכב".	A police official said, "He's a complicated man."	no
הוא יכול להיות אב למשפחה שנכנס לארץ לעבוד כדי להרוויח כמה שקלים ולחזור.	He can be a father of a family who came to Israel to work to earn a few shekels and come back.	no
זו הפלטפורמה הבסיסית, ועליה מתלבשים המון סוגים של שב"חים שנכנסים לתוך הארץ כדי לבצע עבירות פליליות או פיגועים".	This is the basic platform, and on it are dressed many types of illegals who enter the country to commit criminal offenses or terrorist attacks. "	no
שב"ח יכול להיות בגיר או קטין.	It can be an adult or a minor.	no
בעבר נתפסו על ידי המשטרה שוהים בלתי חוקיים בני 16 ואפילו ילדים בני 8 ו-10 נשלחים על ידי הוריהם לצמתים בכבישים, כדי להרוויח כמה שקלים מדי יום מנהגים.	In the past, 16-year-old illegal aliens have been caught by the police, and even 8- and 10-year-old children are sent by their parents to intersections to earn a few shekels a day from drivers.	no
"זה גם הופך את העניין למורכב, כי במקרים כאלה אנחנו צריכים להביא את ההורים ולהגיש נגדם כתב אישום על הזנחה", אומר קצין משטרה בכיר.	"It also makes it complicated, because in such cases we have to bring the parents and charge them with negligence," says a senior police officer.	no
מרבית הפלשתינים מועסקים בישראל בעבודות כפיים.	Most Palestinians are employed in Israel.	no
החריג ביותר אלו עבודות חשמל או עבודות בניין מתקדמות.	The most unusual are electrical work or advanced construction work.	no
בעבר היו גם רשויות מקומיות שהעסיקו שב"חים בפינוי אשפה, בעיקר בצפון.	In the past, there were also local authorities that employed illegals in garbage disposal, mainly in the north.	no
מתוך 34 מעברים, ישנם כ-18 מעברים מרכזיים.	Out of 34 passes, there are about 18 major ones.	no
ישנם מעברים של כלי רכב וסחורות, יש מעברים שעוברים דרכם רק אנשים ויש מעברים שהם גם וגם.	There are crossings of vehicles and goods, there are crossings through which only people pass, and there are crossings that are both.	no
כל המעברים מפוקחים על ידי צה"ל ורשות המעברים.	All the crossings are supervised by the IDF and the Crossings Authority.	no
את השב"חים מסיעים לתוך הארץ בדרך כלל נהגים פרטיים, שכן מדובר בכסף קל.	The illegal immigrants are usually transported into the country by private drivers, as this is easy money.	no
"יש כאלה שעושים זאת לפרנסתם ויש כנופיות שהעיסוק המרכזי שלהן זה הסעת שב"חים" אומר בכיר במשטרה, "בדרך כלל מרביתם הם ערבים ישראלים, שמדברים את אותה שפה ומתכתבים איתם.	"There are those who do this for a living and there are gangs whose main occupation is transporting illegals," says a senior police official, "Most of them are Israeli Arabs, who speak the same language and correspond with them.	no
זה יכול להגיע ל-100 שקלים עד 300 שקלים לאדם.	It can cost up to $300 per person.	no
חברות רשומות לא עוסקות בזה, מכיוון שאם החברה תיתפס, דינה להיסגר".	Registered companies do not deal with this, because if the company is caught, it will be closed. "	no
במשטרה מדגישים שבתנאים מסוימים, הסעת שב"ח יכולה להיחשב לעבירה.	The police emphasize that under certain conditions, transporting illegals can be considered a crime.	no
"נהג מונית שעובד עם רישיונות בהתאם לרישוי וביטוחים, שאוסף פלשתינים בנקודות מסודרות ובשעות קבועות, כולל הזמנה מסודרת, לא עובר על החוק" אומר בכיר במשטרה, "מי שיודע שהוא מסיע שב"ח, בדרך כלל אוסף אותם באישון לילה בנקודות מסתור, כולל הורדה בנקודות נסתרות.	"A taxi driver who works with licenses and insurance, who picks up Palestinians at regular points and at regular times, including an order, does not break the law," says a senior police official, "Anyone who knows he is driving an illegal alien, usually collects them in the dead of night at hiding spots, including downloading at hidden spots.	no
לרוב החבר'ה האלה מסיעים עם רכב מצ'וקמק כי הם יודעים שנחרים להם את הרכב אז הם מעדיפים לנסוע ברכב ישן".	Most of these guys drive a half-assed car because they know we'll confiscate their car, so they prefer to drive an old car. "	no
תיעוד: הצתת שדות במושב ציפורי	Documentation: Igniting fields in Moshav Zippori	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים •	The territories suffer from many arson attacks, with damage amounting to tens of thousands of shekels	yes
במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה	The "New Guardian" was established in an attempt to eradicate this difficult phenomenon.	yes
.	" cHFFFFFF <unk>	no
בתיעוד שהגיע לידי "ישראל היום" ניתן לראות שטחי מרעה במושב ציפורי העולים באש.	In the documentation obtained by Israel Hayom, we can see grazing areas in the Moshav Tzipori, which is on fire.	yes
שטחי המרעה הם של חיים זילברמן.	The grazing areas are those of Haim Zilberman.	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים.	The territories suffer from many arson attacks, with damage amounting to tens of thousands of shekels.	yes
נציין כי במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה.	It should be noted that the "New Guardian" was established at this center in an attempt to eradicate this difficult phenomenon.	yes
תרגיל פיקוד העורף: אלו הזמנים בהם תופעל התרעה ביישוב שלכם	Home Front Command Exercise: These are the times when an alert will be activated in your locality	yes
במסגרת התרגיל המטכ"לי "מרכבות אש", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •	As part of the "Chariots of Fire" exercise, a sirens alert will be heard on Sunday, Monday and Wednesday at several locations in Israel.	yes
במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In the event of a real-life scenario, an additional alert will be activated and a real-life incident will be reported in the Home Front Command app.	yes
פיקוד העורף יקיים היום (ראשון) ובהמשך השבוע תרגילים לתרחישים שונים, ביניהם ירי רקטות ודליפת חומרים מסוכנים.	The Home Front Command will hold exercises today (Sunday) and later this week for various scenarios, including rocket fire and leakage of hazardous materials.	yes
ההיערכות מתבצעת במסגרת התרגיל המטכ"לי "מרכבות אש".	"" " " " <unk>."	yes
אלו המועדים בהם תופעל התרעה בצופרים וביישומון פיקוד העורף:	These are the times when alarm will be activated in the horns and the Home Front Command app:	yes
יום ראשון (15/05):	Sunday (15/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.	At 10: 05 a warning will be activated about rocket and missile fire in Ganei Tikva.	yes
יום שני (16/05):	Monday (16/05):	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים בתל אביב - מרכז העיר.	At 10: 05 a warning will be activated about rocket and missile fire in Tel Aviv - the city center.	yes
יום רביעי (18/05):	Wednesday (18/05):	no
• בשעה 10:05 תופעל התרעה על "אירוע חומרים מסוכנים" בטירת הכרמל.	At 10: 05, an alert will be activated about a "hazardous materials incident" at the Carmel Castle.	no
כמו כן, במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In addition, in the event of a real-life scenario, an additional alert will be activated and a real-life incident will be reported in the Home Front Command app.	no
מחבלים יידו מטענים לעבר חיילי צה"ל, שהשיבו באש והרגו אחד מהם	Terrorists threw IEDs at IDF soldiers, who returned fire and killed one of them	yes
כוחות הביטחון עצרו הלילה 13 מבוקשים ברחבי יהודה ושומרון •	Security forces arrested 13 wanted men in Judea and Samaria.	yes
במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, זוהתה פגיעה •	During the operation, an IDF force fired at a number of suspects who had thrown explosives at them.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 מג'נין, מדווח כי נורה מאש צה"ל.	The director of the hospital in Jenin, Maher Meri, 25, from Jenin, reports that he was shot by IDF fire.	yes
כוחות צה"ל, שב"כ ומג"ב עצרו הלילה (רביעי) 13 מבוקשים ברחבי יהודה ושומרון.	IDF forces, Shin Bet and Border Police arrested 13 wanted men in Judea and Samaria on Wednesday night.	yes
הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.	The forces operated in several locations throughout the Judea and Samaria Division to arrest wanted persons, including in the village of Rashida and in the city of Nablus.	yes
בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.	In the activity of the fighters in the city of Jenin, in the area of the Menashe Regional Brigade, two wanted men suspected of terrorist activity were arrested.	yes
בנוסף, במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, נשמעו קולות ירי במרחב.	In addition, during the operation, an IDF force fired at a number of suspects who were throwing IEDs at them, sounds of gunfire were heard in the area.	yes
זוהתה פגיעה.	Injury detected.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 ממחנה הפליטים ג'נין, מדווח כי נורה מאש צה"ל, מה שהוביל למותו.	The director of the hospital in Jenin, Maher Meri, 25, from the Jenin refugee camp, reports that he was shot by IDF fire, leading to his death.	yes
במהלך פעילות לוחמי צה"ל במחנה הפליטים אלעזה שבמרחב החטיבה המרחבית עציון למעצר מבוקש החשוד בפעילות טרור ותפיסת אמצעי לחימה, זוהו מספר חשודים שיידו אבנים לעבר הכוח, שהגיב באמצעים לפיזור הפגנות וירי רוגר.	During the activity of IDF soldiers in the Al-Azah refugee camp in the area of the Etzion Regional Brigade to arrest a suspect in terrorist activity and the seizure of weapons, a number of suspects were identified who threw stones at the force, which responded with riot dispersal and Ruger fire.	no
זוהתה פגיעה.	Injury detected.	no
בנוסף, בוצעו מעצרים גם בכפר סילוואד ממזרח לרמאללה, וכן נעצרו בבתיהם שלושה סטודנטים מ"הכותלה אלאסלאמיה", הרשימה שמזוהה עם חמאס באוניברסיטת אנג'אח בשכם, ושבאחרונה נרשמו בה עימותים אלימים עם סטודנטים של פת"ח ואנשי כוחות הביטחון בקמפוס.	In addition, arrests have also been made in the village of Silwad east of Ramallah, and three students from the Western Wall al-Islamiyya, the list affiliated with Hamas at Anjah University in Nablus, were detained in their homes, and there have been recent violent clashes with Fatah students and members of the security forces on campus.	no
"צריך לפתוח בחקירה פלילית נגדה": מבקר העיר חיפה בהאשמות חמורות נגד עינת קליש רותם	"We need to open a criminal investigation against it": Haifa City Comptroller in serious charges against Einat Kalish Rotem	yes
דו"ח מבקר העיר מציג חשש לכאורה להתנהלות פלילית של ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה ויריבים פוליטים: מעקבים אחרי עובדים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות •	The city comptroller's report presents an alleged fear of criminal conduct by Dr. Einat Kalish Rotem against former city officials and political opponents: surveillance of employees and inflated payment to an accountant's office for conducting investigations	yes
"הממצאים הקשים העולים מן הדו"ח מחייבים פתיחת חקירה פלילית" •	"The report's findings call for a criminal investigation."	yes
מעיריית חיפה לא נמסרה תגובה.	City Hall did not respond.	yes
