Police arrest 15 after violent protest outside UK refugee hotel	Die Polizei verhaftet 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
...And that's how I found myself having to sort out a raid group roster.	... Und so musste ich eine Raid-Gruppenliste zusammenstellen.	yes
I was a voracious reader in my youth. Then, life crushed my soul and I lost all my passion for fiction and great storytelling.	In meiner Jugend war ich ein unersättlicher Leser. Dann zerstörte das Leben meine Seele und ich verlor all meine Leidenschaft für Fiktion und großartiges Geschichtenerzählen.	yes
But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023.	Aber nach ~Jahrzehnten~, in denen ich so gut wie nichts gelesen habe (mit Ausnahme funktionaler Sachbücher zum Thema Arbeit und gelegentlich eines Selbsthilfebuches), habe ich mir zum Ziel gesetzt, 2023 23 Bücher zu lesen.	yes
I'm now on book # 31 and it's only May.	Ich bin jetzt bei Buch Nr. 31 und es ist erst Mai.	yes
I'm BACK baby!	Ich bin ZURÜCK Baby!	yes
I haven't really achieved anything. I'm happy that a few people have come to me in private and said "look, because of all your work, I'm gonna grant you this amount of money".	Ich habe nicht wirklich etwas erreicht. Ich freue mich, dass ein paar Leute privat zu mir gekommen sind und gesagt haben: „Schau, wegen all deiner Arbeit werde ich dir diesen Geldbetrag gewähren“.	yes
I wanna see these companies that intermediate transactions explain to their customers how they set their percentages. They're not gonna talk about this on Bloomberg! But if Spotify has a good quarter, they will.	Ich möchte, dass diese Unternehmen, die Zwischentransaktionen durchführen, ihren Kunden erklären, wie sie ihre Prozentsätze festlegen. Sie werden nicht auf Bloomberg darüber sprechen! Aber wenn Spotify ein gutes Quartal hat, werden sie es tun.	yes
Is it a danger to let migrants in at the southern border? I dunno. Let them rehabilitate the hollowed out and decaying cities across the country. Again. These people want to improve their lives.	Ist es gefährlich, Migranten an der Südgrenze hereinzulassen? Ich weiß nicht. Lassen Sie sie die ausgehöhlten und verfallenen Städte im ganzen Land rehabilitieren. Nochmals. Diese Menschen wollen ihr Leben verbessern.	yes
White nationalists, gun fetishists, pro-dictator right wing.. there's the danger. Deport the white supremacists.	Weiße Nationalisten, Waffenfetischisten, diktatorischer rechter Flügel... da ist die Gefahr. Deportiert die weißen Supremacisten.	yes
I am so tired of the headlines claiming that "Remote work is dead." or that "Remote work was a failed experiment."	Ich habe es so satt, dass in den Schlagzeilen behauptet wird, dass „Telearbeit tot ist“ oder dass „Telearbeit ein gescheitertes Experiment war“.	yes
These headlines and articles usually reference one CEO at one large company. It's all clickbait but it does worry me about the executives and managers who read these articles.	Diese Schlagzeilen und Artikel beziehen sich normalerweise auf einen CEO eines großen Unternehmens. Es ist alles Clickbait, aber ich mache mir Sorgen um die Führungskräfte und Manager, die diese Artikel lesen.	yes
There was remote work prior to 2020. There are still going to be jobs that can be accomplished remotely for the foreseeable future.	Vor 2020 gab es Fernarbeit. Auf absehbare Zeit wird es immer noch Jobs geben, die aus der Ferne erledigt werden können.	yes
Remote work is enabling. It enables people to work in comfortable spaces and not stuffy, noisy offices. It enables accessibility for anyone with an internet connection and a good working space. It enables people to avoid lengthy commutes that take time away from their day and their families.	Telearbeit wird ermöglicht. Es ermöglicht Menschen, in komfortablen Räumen und nicht in stickigen, lauten Büros zu arbeiten. Es ermöglicht die Erreichbarkeit für jeden mit einer Internetverbindung und einem guten Arbeitsbereich. Es ermöglicht den Menschen, lange Arbeitswege zu vermeiden, die Zeit für ihren Alltag und ihre Familie beanspruchen.	yes
To just ignore these facts is wrong. Stop generalizing and try to understand how your employees actually get work done.	Diese Fakten einfach zu ignorieren ist falsch. Hören Sie auf zu verallgemeinern und versuchen Sie zu verstehen, wie Ihre Mitarbeiter ihre Arbeit tatsächlich erledigen.	yes
#WFH #business #neurodiversity	#WFH #business #neurodiversity	no
It's not just conservatives versus progressives, he told a seminar of more than 100 adherents in Grande Prairie.	Es geht nicht nur um Konservative gegen Progressive, sagte er auf einem Seminar mit mehr als 100 Anhängern in Grande Prairie.	yes
"This is a war between the pro-humans and anti-humans," he said. Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.	„Dies ist ein Krieg zwischen menschenfreundlichen und antimenschlichen Menschen“, sagte er. Parker verwies auf Abtreibung und den Impuls moderner urbaner Frauen, die Geburt von Kindern um ihrer Karriere willen hinauszuzögern.	yes
He also argues that NDP and progressives want to depopulate society for the sake of the environment. "You are the carbon they are trying to reduce."	Er argumentiert auch, dass die NDP und die Progressiven die Gesellschaft der Umwelt zuliebe entvölkern wollen. „Sie sind der Kohlenstoff, den sie zu reduzieren versuchen.“	yes
So like from the beginning for all my birthdays in the past, I always had rough ones. Whenever May would pop up I dreaded trying to celebrate my bday. Something would always happen, go wrong, or just end up stressful and depressing. I fought over the years to get out of that mindset and to have better bdays. It took years of changing my life and working hard but finally... I'm starting to smile and enjoy my bday with no worries. And today is already becoming a great day!	Also wie von Anfang an, an all meinen Geburtstagen in der Vergangenheit, hatte ich immer schlimme. Wann immer Mai auftauchte, fürchtete ich mich davor, meinen Geburtstag zu feiern. Es würde immer etwas passieren, schief gehen oder einfach stressig und deprimierend werden. Ich habe im Laufe der Jahre dafür gekämpft, aus dieser Denkweise herauszukommen und bessere Geburtstage zu haben. Es hat Jahre gedauert, mein Leben zu verändern und hart zu arbeiten, aber schließlich... Ich fange an zu lächeln und genieße meinen Geburtstag ohne Sorgen. Und heute wird schon ein großartiger Tag!	yes
Winter is 30 days away in this little part of the Great Southern World. But I can't be deceived! This is the beginning. The rain is falling and whilst/while it is not frozen, you ain't going dancing in it! It's a fine day to order ice cream delivery. It was a one dog night and that doggo was not getting off the bed not even for "Dog's Breakfast - Breakfast for Dog's!"	In diesem kleinen Teil der Großen Südlichen Welt ist der Winter 30 Tage entfernt. Aber ich kann mich nicht täuschen lassen! Das ist der Anfang. Der Regen fällt und solange es nicht gefroren ist, wirst du nicht darin tanzen gehen! Es ist ein guter Tag, um die Lieferung von Eiscreme zu bestellen. Es war eine Nacht mit einem Hund und dieser Hund stieg nicht einmal für „Dog's Breakfast - Breakfast for Dog's!“	yes
I will zip the lining into my cycle jacket - just in case I need it inside.	Ich werde das Futter mit Reißverschluss in meine Fahrradjacke stecken - nur für den Fall, dass ich es drinnen brauche.	yes
Does you know of a performant way for a web component to respond to being added/removed from a document?	Kennen Sie eine performante Methode für eine Webkomponente, um auf das Hinzufügen/Entfernen aus einem Dokument zu reagieren?	yes
This is for Wikipedia's component library (OOUI). It is mostly semantic HTML with CSS, and generally does not require custom elements (which offers connectedCallback).	Dies ist für die Komponentenbibliothek (OOUI) von Wikipedia. Es handelt sich hauptsächlich um semantisches HTML mit CSS und benötigt im Allgemeinen keine benutzerdefinierten Elemente (was ConnectedCallback bietet).	yes
We currently use a MutationObserver hack. For performance, we don't observe the whole document. We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).	Wir verwenden derzeit einen MutationObserver Hack. Aus Gründen der Leistung betrachten wir nicht das gesamte Dokument. Wir erstellen ein getrenntes temporäres übergeordnetes Element, installieren MO dort und beobachten, wie es losgelöst wird (also an anderer Stelle angehängt wird).	yes
Casper the #rat is an absolute unit these days. I think my new job has been good for him - two free roams a day while I work, at fairly predictable times.	Casper der #rat ist heutzutage eine absolute Einheit. Ich denke, mein neuer Job war gut für ihn - zwei kostenlose Roams am Tag, während ich arbeite, zu ziemlich vorhersehbaren Zeiten.	yes
I finally got a good dangle photo so I can be sure he's not fat. (In #rats, too high body fat can be bad for their health.) He's not. He's just absolutely ripped from tearing around my office twice a day. I don't have a scale to weigh him, but he feels like he's well over a pound. It makes me so happy to see him thriving.	Ich habe endlich ein gutes Foto vom Baumeln bekommen, damit ich sicher sein kann, dass er nicht fett ist. (In #rats kann zu viel Körperfett gesundheitsschädlich sein.) Ist er nicht. Er ist einfach völlig fertig, weil er zweimal am Tag in meinem Büro herumläuft. Ich habe keine Waage, um ihn zu wiegen, aber er fühlt sich an, als ob er weit über ein Pfund wiegt. Es macht mich so glücklich, ihn gedeihen zu sehen.	yes
Today's Aerostrike progress report:	Der heutige Aerostrike-Fortschrittsbericht:	yes
1) Slight modifications to the Hel's Fighters map layout. Additionally, the map menu is fully functional! 2) The currency reward system has been connected. Tomorrow it will be tested with various battles.	1) Leichte Änderungen am Kartenlayout von Hel's Fighters. Außerdem ist das Kartenmenü voll funktionsfähig! 2) Das Währungsprämiensystem wurde angeschlossen. Morgen wird es mit verschiedenen Schlachten getestet.	yes
Rainy days! Last week got a ton done and feeling much better about field items.	Regentage! Letzte Woche habe ich eine Menge erledigt und fühle mich mit Feldgegenständen viel besser.	yes
All collards, kale, chard is transplanted.	Alle Kohlsorten, Grünkohl und Mangold werden umgepflanzt.	yes
Plans to set in salad at Penn on 6row pattern and see how that compares to broadcast seeded beds.	Plant, bei Penn Salat in einem 6-reihigen Muster einzulegen und zu sehen, wie das im Vergleich zu Beeten mit Rundsaat abschneidet.	yes
Spring peas at Gilpin are showing up so trellise needs to be set. Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items	In Gilpin tauchen Frühlingserbsen auf, also muss ein Spalier aufgestellt werden. Außerdem müssen Sie dort eine Salatreihe säen, um geschnittenes Gemüse in beide zu integrieren. Haben Sie geschultes Personal für Bewässerung, Beetvorbereitung und Umpflanzen, was 90% der Fähigkeiten außerhalb der Ernte ausmacht.	yes
It's 2023 and I still see people with iPhones actively avoid using Apple Maps.	Es ist 2023 und ich sehe immer noch, dass Leute mit iPhones die Nutzung von Apple Maps aktiv meiden.	yes
Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.	Apple Maps ist standardmäßig in iOS enthalten, und dennoch würden sich die Leute Mühe geben, Google Maps herunterzuladen und auf ihren iPhones zu installieren.	yes
No idea why.	Keine Ahnung warum.	yes
Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).	Neugierig, war ich offen dafür, die Vergleiche zwischen Google Maps und Apple Maps auf meinem iPhone-Testgerät zu vergleichen (mein täglicher Fahrer ist ein Android-Gerät, daher verwende ich selten ein iPhone).	yes
The experience having to follow directions was far superior on Apple Maps compared to Google Maps. Apple Maps wins.	Die Erfahrung, Anweisungen befolgen zu müssen, war bei Apple Maps im Vergleich zu Google Maps weitaus besser. Apple Maps gewinnt.	yes
So why is it that people jump through extra hoops to install Google Maps?	Warum müssen die Leute also zusätzliche Hürden überwinden, um Google Maps zu installieren?	yes
No idea.	Keine Ahnung.	yes
Could it be that Google Maps got to market first?	Könnte es sein, dass Google Maps zuerst auf den Markt kam?	yes
Was it the 2012 Apple Maps disaster?	War es die Apple Maps-Katastrophe 2012?	yes
Could it be that Google Search is integrated with Google Maps?	Könnte es sein, dass die Google-Suche in Google Maps integriert ist?	yes
No idea.	Keine Ahnung.	no
That said, I'm biased.	Nichtsdestotrotz bin ich voreingenommen.	no
I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.	Ich bin voreingenommen dafür, keinen Müll an Endbenutzer weiterzugeben, und Apple hat seine Apple Maps königlich vermasselt, als sie 2012 herauskamen.	no
Their bad reputation haunts them to this day.	Ihr schlechter Ruf verfolgt sie bis heute.	no
But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in. The house itself declines in value because it loses its condition and needs to be replaced. A lot of ppl think that they literally own the earth when they buy a piece. Not the case. In China you can only lease land. They're not stupid enough to sell the sell forever. The government can change these policies whenever it wants. The land is temporary.	Aber es ist das Land, das es zu einem guten Vermögensspeicher macht, solange Sie glauben, dass die Regierung das System, in dem wir leben, nicht ändern wird. Das Haus selbst verliert an Wert, weil es seinen Zustand verliert und ersetzt werden muss. Viele Leute denken, dass ihnen die Erde buchstäblich gehört, wenn sie ein Stück kaufen. Nicht der Fall. In China kann man nur Land pachten. Sie sind nicht dämlich genug, den Verkauf für immer zu verkaufen. Die Regierung kann diese Richtlinien ändern, wann immer sie will. Das Land ist vorübergehend.	yes
It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way. The land is very easily and quickly taken away by the government one day if they want to do that. And guess what? It never made sense how ppl can keep land at the expense of others. It has to be taken away one day. That's why the Chinese only allow leases. They already ran out of land.	Es scheint unvorstellbar, dass einem eines Tages Land weggenommen wird, wenn Sie australische und US-amerikanische Medienkanäle verfolgen, aber das liegt daran, dass die Reichen den ganzen Tag dort sind und sicherstellen, dass Ihr Verstand auf eine bestimmte Weise denkt. Das Land wird sehr einfach und schnell von der Regierung eines Tages weggenommen, wenn sie das will. Und ratet mal was? Es hat nie Sinn gemacht, wie Menschen Land auf Kosten anderer behalten können. Es muss eines Tages weggebracht werden. Deshalb erlauben die Chinesen nur Mietverträge. Ihnen ist bereits das Land ausgegangen.	yes
To success, the realization of dreams, friendship, to the simple but true!! To all the investors out there, I raise a toast to your success and the realization of your dreams. Let us continue to work together towards creating a brighter future for all. And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment. #Robecofirm#geologist #entrepreneurship #sustainability #success #friendship #toast #dreams	Zum Erfolg, zur Verwirklichung von Träumen, zur Freundschaft, zum Einfachen aber Wahren!! An alle Investoren da draußen stoße ich auf Ihren Erfolg und die Verwirklichung Ihrer Träume an. Lassen Sie uns weiterhin zusammenarbeiten, um eine bessere Zukunft für alle zu schaffen. Und all meinen Freunden, neuen und alten, lasst uns die einfachen, aber wahren Dinge im Leben schätzen, die uns Freude und Erfüllung bringen. #Robecofirm #geologist #entrepreneurship #sustainability #success #friendship #toast #dreams	yes
I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.	Ich wundere mich oft über die Fähigkeit des Menschen, *so* auf sich selbst niederzugehen, während man von so vielen Beweisen dafür überschwemmt wird, wie tatsächliche Grausamkeit aussieht.	yes
To agonize over personal failure & guilt in a world where "success" is so often bestowed on people responsible for the most reprehensible acts...	Sich über persönliches Versagen und Schuldgefühle zu quälen in einer Welt, in der „Erfolg“ so oft Menschen zuteil wird, die für die verwerflichsten Handlungen verantwortlich sind...	yes
We're all such messy critters.	Wir sind alle so unordentliche Lebewesen.	yes
But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.	Aber die sanfte Verzweiflung über unsere Unordnung ist entscheidend — denn sie gibt uns mehr Platz, um die Ruinen rundum zu bekämpfen.	yes
So try not to forget, eh?	Also versuch nicht zu vergessen, oder?	yes
Kindness with ourselves is activism, too.	Freundlichkeit mit uns selbst ist auch Aktivismus.	yes
Some programmers: "Typing speed does not matter!" or "Modal editors are useless today" :morty:	Einige Programmierer: „Tippgeschwindigkeit spielt keine Rolle!“ oder „Modale Editoren sind heute nutzlos“ :morty:	yes
Me extracting functionality of my #Axum projects into shared libraries: "Hold my keyboard" :partyparrot: :helix: :ferrisdance:	Ich extrahiere die Funktionalität meiner #Axum -Projekte in gemeinsam genutzte Bibliotheken: „Halte meine Tastatur gedrückt“ :partyparrot: :helix: :ferrisdance:	yes
Not sure if this is the best approach for sharing, but I like it for now: <URL>	Ich bin mir nicht sicher, ob das der beste Ansatz zum Teilen ist, aber ich mag ihn vorerst: <URL>	yes
Note: You can take inspiration, but the libraries are not intended for public usage.	Hinweis: Sie können sich inspirieren lassen, aber die Bibliotheken sind nicht für den öffentlichen Gebrauch bestimmt.	yes
How would you share personal libraries?	Wie würdest du persönliche Bibliotheken teilen?	yes
The prompt this week on Revelations is Stay up all night. I have been toying with this little piece on my head for a few days now. It is definitely more romance than filth. Maybe I have been reading to many romances with impossible 'meet cutes' and this is the result, but I like it. Also one day I am totally gonna do the mile high orgasm, maybe not with a str	Die Aufforderung dieser Woche bei Revelations lautet Bleib die ganze Nacht wach. Ich spiele jetzt seit ein paar Tagen mit diesem kleinen Stück auf meinem Kopf. Es ist definitiv mehr Romantik als Dreck. Vielleicht habe ich zu viele Romanzen mit unmöglichen „Meet Cuts“ gelesen und das ist das Ergebnis, aber ich mag es. Außerdem werde ich eines Tages auf jeden Fall den Mile High Orgasmus machen, vielleicht nicht mit einem Stern	yes
I don't agree that #Mastodon is difficult to setup. Common, it's really not that hard. But it's more difficult to find people to follow and build up your timeline. I wish there was a "who to follow" recommendation somehow.	Ich stimme nicht zu, dass #Mastodon schwierig einzurichten ist. Gewöhnlich, es ist wirklich nicht so schwer. Aber es ist schwieriger, Leute zu finden, denen du folgen und deine Timeline aufbauen kannst. Ich wünschte, es gäbe irgendwie eine Empfehlung, wem man folgen sollte.	yes
But apart from this, it is not difficult - if you use a 3rd party app like Elk and/or Ivory. If you stick to the default web interface it doesn't look and feel good (imho).	Aber abgesehen davon ist es nicht schwierig - wenn Sie eine Drittanbieter-App wie Elk und/oder Ivory verwenden. Wenn Sie sich an das Standard-Webinterface halten, sieht es nicht gut aus und fühlt sich nicht gut an (imho).	yes
So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.	Es erfordert also etwas mehr Aufwand, um sich darauf einzulassen, und Sie benötigen wahrscheinlich eine gute App, um #UX zu verbessern.	yes
I don't know if prevention is possible, but it's worth trying. The four steps I outline are up for debate, with some progress in each:	Ich weiß nicht, ob Prävention möglich ist, aber es lohnt sich, es zu versuchen. Die vier Schritte, die ich skizziert habe, stehen zur Debatte, wobei in jeder Hinsicht einige Fortschritte erzielt wurden:	yes
Description: names for incidents of human-algorithm behavior that account for algorithms & humans. Explanation: account for both sides of mutual influence	Beschreibung: Namen für Vorfälle von menschlichem Algorithmusverhalten, die Algorithmen und Menschen berücksichtigen. Erklärung: Berücksichtigen Sie beide Seiten der gegenseitigen Beeinflussung	yes
Forecasting: anticipating harms before they happen (even if by minutes) Interventions: knowledge about things we can do to create change, within some confidence bounds	Prognose: Schäden vorhersehen, bevor sie eintreten (wenn auch innerhalb von Minuten) Interventionen: Wissen darüber, was wir tun können, um innerhalb gewisser Vertrauensgrenzen Veränderungen herbeizuführen	yes
I didn't watch the CNN town hall, but it seems as if Trump said exactly the same things he says every time he opens his mouth or presses Send on his phone. Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.	Ich habe das CNN-Rathaus nicht gesehen, aber es scheint, als ob Trump genau die gleichen Dinge gesagt hat, die er jedes Mal sagt, wenn er den Mund öffnet oder auf seinem Telefon auf Senden drückt. Auch wenn er sie im Rathaus nicht sagen konnte, wird sie bis November 2024 sowieso jeder in Amerika wiederholt hören.	yes
That's still no reason to give him another venue, but the harm is being exaggerated. He'll win the primaries. We can't will him away. He's here and he's going to say this stuff no matter what.	Das ist immer noch kein Grund, ihm einen anderen Veranstaltungsort zu geben, aber der Schaden wird übertrieben. Er wird die Vorwahlen gewinnen. Wir können ihn nicht wegschicken. Er ist hier und er wird dieses Zeug sagen, egal was passiert.	yes
Signed up for Google's "AI Test Kitchen" waitlist and got in same day. It's very underwhelming at the moment.	Ich habe mich für Googles Warteliste „AI Test Kitchen“ angemeldet und bin am selben Tag reingekommen. Im Moment ist es sehr enttäuschend.	yes
The "MusicLM Demo" is mildly interesting. You can ask for a specific piece of music like "jazz with a trumpet solo in 5/4 tempo" and it will generate two tracks for you after a few seconds. It seems to understand tempo, but... the music's just... not good.	Die „MusicLM Demo“ ist leicht interessant. Sie können nach einem bestimmten Musikstück wie „Jazz mit einem Trompetensolo im 5/4-Tempo“ fragen und nach ein paar Sekunden werden zwei Titel für Sie generiert. Es scheint das Tempo zu verstehen, aber... die Musik ist einfach... nicht gut.	yes
Throwing everything you've got over the fence in response to GPT is not it. Try harder Google.	Alles, was du hast, als Reaktion auf GPT über den Zaun zu werfen, ist es nicht. Bemühen Sie sich mehr, Google.	yes
It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress. I work out alone in my bedroom without a spotter or even a weight rack. Just me and a barbell with a bunch of weights. I bench press on my bed. If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me. Anyway, load is going up today. Still feels good.	Es ist komisch, Gewichtheben zu machen, aber auch keine wirkliche Ahnung zu haben, was Ihre maximale Wiederholungszahl ist, denn das ist eine der wichtigsten Methoden, mit denen Menschen ihre Fortschritte verfolgen. Ich trainiere alleine in meinem Schlafzimmer ohne Spotter oder Hantelständer. Nur ich und eine Langhantel mit ein paar Gewichten. Ich drücke Bankdrücke auf meinem Bett. Wenn ich versuche herauszufinden, ob ich maximal eine Wiederholungszahl habe, besitze ich vielleicht nicht genug Gewichte, um das Maximum herauszuholen, oder umgekehrt könnte es mich ernsthaft verletzen/töten. Wie dem auch sei, die Ladung steigt heute. Fühlt sich immer noch gut an.	yes
I swear burrata didn't exist five years ago	Ich schwöre, Burrata gab es vor fünf Jahren nicht	yes
This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days	Das ist meine persönliche Sache mit dem Mandela-Effekt. Ich hatte es noch nie in einem Kochbuch gesehen. Ich hatte es noch nie im Feinkostladen oder in einem der italienischen Feinkostläden gesehen. Ich hatte noch nie gesehen, wie die Mutter von jemandem es gemacht hat oder es mir auf einer Party entgegengeschoben wurde oder dass es in Verbindung mit irgendjemandem in Verbindung mit Soßenzubereitungs-Eskapaden oder Backtagen auftauchte.	yes
It just appeared one day and suddenly it was available everywhere. I've entered the burrata dimension.	Es ist einfach eines Tages aufgetaucht und plötzlich war es überall verfügbar. Ich habe die Burrata-Dimension betreten.	yes
drake's aging iPad is giving out, so she's in the market for a new tablet. Having been radicalized here, we're reluctant to buy a new FAANG machine*. Does anyone have a Linux tablet they love?	Drakes in die Jahre gekommenes iPad gibt nach, also ist sie auf der Suche nach einem neuen Tablet. Da wir uns hier radikalisiert haben, zögern wir, eine neue FAANG-Maschine* zu kaufen. Hat jemand ein Linux-Tablet, das er liebt?	yes
This would be mainly for web browsing, occasional email, and some games.	Dies wäre hauptsächlich für das Surfen im Internet, gelegentliche E-Mails und einige Spiele gedacht.	yes
In 1998-06 Gamefan, in relation to the long development of the first Unreal game, Jason Schrieber commented,	1998-06 Gamefan kommentierte Jason Schrieber in Bezug auf die lange Entwicklung des ersten Unreal-Spiels:	yes
"A good game is only late until it ships. A bad game is bad forever."	„Ein gutes Spiel kommt erst spät, bis es veröffentlicht wird. Ein schlechtes Spiel ist für immer schlecht.“	yes
So was it Epic that originated this? We can keep going.	War es also Epic, der das hervorgebracht hat? Wir können weitermachen.	yes
An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,	Eine frühere Ausgabe von GamePro 1997-11 enthält ein weitaus zweideutigeres Zitat:	yes
"Or, as an industry catch phrase goes: A late game is only late until it ships. A bad game is bad for the rest of your life."	„Oder, wie ein Schlagwort der Branche sagt: Ein spätes Spiel ist erst spät, bis es veröffentlicht wird. Ein schlechtes Spiel ist schlecht für den Rest deines Lebens.“	yes
Is it so ephemeral then? Merely a "catchphrase" with no clear originator?	Ist es dann so vergänglich? Nur ein „Schlagwort“ ohne eindeutigen Urheber?	yes
Smoky, my 10 month old male Domestic Blue kitten, playing with a red rubber Apple Pencil comfort device bought from Amazon he absconded months ago. He carries it in his mouth proudly all over the house, and I just have to laugh inwardly. Every time I see him do it.	Smoky, mein 10 Monate altes männliches blaues Hauskätzchen, spielte mit einem roten Apple Pencil-Komfortgerät aus Gummi, das er bei Amazon gekauft hatte. Er ist vor Monaten geflohen. Er trägt es stolz im ganzen Haus im Mund, und ich muss einfach innerlich lachen. Jedes Mal, wenn ich ihn das tun sehe.	yes
Have now done a full round trip on the new ICNG train. I really like it. Esp the carriages with the bigger windows. There's areas that could use some polish. Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.	Habe jetzt eine komplette Hin- und Rückfahrt mit dem neuen ICNG-Zug gemacht. Ich mag es wirklich. Vor allem die Wagen mit den größeren Fenstern. Es gibt Bereiche, die etwas Politur gebrauchen könnten. Nämlich der Mangel an genügend Mülltonnen und das Fehlen von Schildern, um die Bedeutung der Lichtfarben zu erklären.	yes
Fix those minor issues, and then can we have more of these please? I won't be sad to see the end of the ICM or DDZ stock.	Beheben Sie diese kleineren Probleme, und können wir dann bitte mehr davon haben? Ich werde nicht traurig sein, das Ende der ICM- oder DDZ-Aktie zu sehen.	yes
One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board. You can buy ONE of the boards listed above, not one of each. There are no buying restrictions on Picos or other merchandise.	Eine Regel pro Kunde bleibt bestehen, da wir versuchen sicherzustellen, dass jeder, der in der Warteschlange steht, ein Board in die Hände bekommen kann. Du kannst EINES der oben aufgeführten Boards kaufen, nicht eines von jedem. Es gibt keine Kaufbeschränkungen für Picos oder andere Waren.	yes
Yesterday I had the best time with my friend and former rabbi colleague. We visited for a couple hours on my porch. Such friendships transcend differences. We all have stories to tell. The Lord bless you and keep you! And the marsh is greening up.	Gestern hatte ich die beste Zeit mit meinem Freund und ehemaligen Rabbinerkollegen. Wir waren für ein paar Stunden auf meiner Veranda. Solche Freundschaften überwinden Unterschiede. Wir alle haben Geschichten zu erzählen. Der Herr segne dich und behüte dich! Und der Sumpf wird grüner.	yes
I quite like akkoma the software and the domain name I got for my instance. But I feel somehow I started this instance on the wrong foot, so to speak. And I never got comfy there. Will still linger a bit longer on here and think about whether I should migrate at all.	Ich mag akkoma, die Software und den Domainnamen, den ich für meine Instanz bekommen habe, sehr. Aber ich habe das Gefühl, dass ich diese Instanz sozusagen auf dem falschen Fuß begonnen habe. Und ich habe es mir dort nie bequem gemacht. Werde hier noch etwas länger verweilen und darüber nachdenken, ob ich überhaupt migrieren sollte.	yes
#FalconGameBooks	#FalconGameBooks	yes
The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them. The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected. The rock beneath you gives way suddenly. Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below. The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs. Nobody will ever know that you were the first human future traveller.	Die achtäugigen Repniden scheinen zuzusehen, wie Sie den Flieger auf der roten Erde niederlassen, aber sie bewegen sich nicht auf Sie zu. Tatsächlich sind sie bewegungslos, wenn Sie aus dem Flyer steigen und langsam auf sie zugehen. Der Boden unter deinen Füßen beginnt zu zittern und dann zu beben, wie bei einem Erdbeben und du verlierst den Halt, obwohl die Repniden davon unberührt zu sein scheinen. Der Fels unter dir gibt plötzlich nach. Repniden haben sich unter der Oberfläche getunnelt und Sie fallen in einer Höhle darunter in eine kochende Masse von Hunderten von Repnidkörpern. Das Ende ist schnell, da mehrere Fangzähne ihr tödliches Gift injizieren und die Luft von Dyskra deine Lungen kontaminiert. Niemand wird jemals erfahren, dass Sie der erste menschliche zukünftige Reisende waren.	yes
