בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Bird Cubs Born in Iran	yes
.	I'm not going anywhere.	no
בתיעוד שהגיע לידי "ישראל היום" ניתן לראות שטחי מרעה במושב ציפורי העולים באש.	Documentation obtained by Israel Today shows grazing lands in the seat of the burning birds.	yes
שטחי המרעה הם של חיים זילברמן.	The pastures are Haim Silverman's.	yes
השטחים סובלים מהצתות רבות, כאשר הנזק עומד על עשרות אלפי שקלים.	The areas are suffering from numerous fires, with damage in the tens of thousands of shekels.	yes
נציין כי במוקד זה הוקם ה"שומר החדש" בניסיון למגר את התופעה הקשה.	It is in this area that the New Guardian was established in an attempt to eradicate the difficult phenomenon.	yes
תרגיל פיקוד העורף: אלו הזמנים בהם תופעל התרעה ביישוב שלכם	These are the times when the alarm will go off in your community.	yes
במסגרת התרגיל המטכ"לי "מרכבות אש", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •	As part of the General Exercise "Fire Chariots", a siren warning will be heard on Sunday, Monday and Wednesday in several locations in Israel.	yes
במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	In the event of a true scenario, an additional alert will be triggered and a true event will be reported to the rear command.	yes
פיקוד העורף יקיים היום (ראשון) ובהמשך השבוע תרגילים לתרחישים שונים, ביניהם ירי רקטות ודליפת חומרים מסוכנים.	The rear command will hold drills today and throughout the week for various scenarios, including rocket fire and leakage of hazardous materials.	yes
ההיערכות מתבצעת במסגרת התרגיל המטכ"לי "מרכבות אש".	The preparations are being made as part of the General Fire Chariot exercise.	yes
אלו המועדים בהם תופעל התרעה בצופרים וביישומון פיקוד העורף:	These are the times when the alarm is activated in the horns and the rear command signal:	yes
יום ראשון (15/05):	Sunday, May 15th:	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.	• At 10:05 a.m., a rocket and missile warning will be activated in Garden of Hope.	yes
יום שני (16/05):	Monday, 16th of May:	yes
• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים בתל אביב - מרכז העיר.	• At 10:05 a.m., a rocket and missile warning will be activated in Tel Aviv - downtown.	yes
יום רביעי (18/05):	Wednesday:	no
• בשעה 10:05 תופעל התרעה על "אירוע חומרים מסוכנים" בטירת הכרמל.	• At 10:05 a.m., a "hazardous materials incident" alert will be activated at Carmel Castle.	no
כמו כן, במקרה של תרחיש אמת, תופעל התרעה נוספת וידווח על אירוע אמת ביישומון פיקוד העורף.	Also, in the event of a true scenario, an additional alert will be triggered and a true event will be reported in application of the rear command.	no
מחבלים יידו מטענים לעבר חיילי צה"ל, שהשיבו באש והרגו אחד מהם	Terrorists pointed grenades at IDF soldiers, who returned fire, killing one of them.	yes
כוחות הביטחון עצרו הלילה 13 מבוקשים ברחבי יהודה ושומרון •	Security forces arrested 13 wanted throughout Judea and Samaria last night.	yes
במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, זוהתה פגיעה •	During the operation, IDF forces fired on several suspects who threw bombs at them.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 מג'נין, מדווח כי נורה מאש צה"ל.	The manager of a hospital in Jenin, addressed by the terrorist, Maher Marei, 25, from Jenin, reports that he was shot by IDF fire.	yes
כוחות צה"ל, שב"כ ומג"ב עצרו הלילה (רביעי) 13 מבוקשים ברחבי יהודה ושומרון.	The IDF, the PA and the Gestapo arrested 13 wanted throughout Judea and Samaria.	yes
הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.	Forces have operated at several locations throughout Judea and Samaria to arrest wanted persons, including in the village of Rashida and your town.	yes
בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.	In the city of Jenin, two wanted terror suspects have been arrested.	yes
בנוסף, במהלך הפעילות כוח צה"ל ירה לעבר מספר חשודים שהשליכו מטענים לעברם, נשמעו קולות ירי במרחב.	In addition, during the operation, IDF forces fired on several suspects who threw explosives at them. Shots were heard in the area.	yes
זוהתה פגיעה.	We've identified a vulnerability.	yes
מנהל ביה"ח בג'נין שאליו פונה המחבל, מאהר מרעי, בן 25 ממחנה הפליטים ג'נין, מדווח כי נורה מאש צה"ל, מה שהוביל למותו.	The director of a Jenin hospital that the terrorist is targeting, 25-year-old Maher Marei, from the Jenin refugee camp, reports that he was shot by IDF fire, which led to his death.	yes
במהלך פעילות לוחמי צה"ל במחנה הפליטים אלעזה שבמרחב החטיבה המרחבית עציון למעצר מבוקש החשוד בפעילות טרור ותפיסת אמצעי לחימה, זוהו מספר חשודים שיידו אבנים לעבר הכוח, שהגיב באמצעים לפיזור הפגנות וירי רוגר.	During an operation by IDF fighters in the Elaza refugee camp in the area of the Ezion Brigade to arrest a wanted suspect in terrorist activities and seizure of weapons, several suspects were identified throwing stones at the force, which responded with means to disperse the demonstrations and shooting Roger.	no
זוהתה פגיעה.	We've identified a vulnerability.	no
בנוסף, בוצעו מעצרים גם בכפר סילוואד ממזרח לרמאללה, וכן נעצרו בבתיהם שלושה סטודנטים מ"הכותלה אלאסלאמיה", הרשימה שמזוהה עם חמאס באוניברסיטת אנג'אח בשכם, ושבאחרונה נרשמו בה עימותים אלימים עם סטודנטים של פת"ח ואנשי כוחות הביטחון בקמפוס.	In addition, arrests were also made in the village of Silwad east of Ramallah, as well as the detention at home of three students from the Qatlah al-Islamiyah, the Hamas-linked list at Anjaah University in Sham, which recently recorded violent clashes with Fatah students and security forces on campus.	no
"צריך לפתוח בחקירה פלילית נגדה": מבקר העיר חיפה בהאשמות חמורות נגד עינת קליש רותם	"Criminal investigation must be initiated against her": city inspector of Haifa on serious charges of torturing Klish Rotham	yes
דו"ח מבקר העיר מציג חשש לכאורה להתנהלות פלילית של ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה ויריבים פוליטים: מעקבים אחרי עובדים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות •	The city inspector's report presents concerns about alleged criminal conduct by Dr. Anata Klish Rotherham against former city officials and political opponents: stalking employees and inflated payment to the accounting firm for conducting investigations.	yes
"הממצאים הקשים העולים מן הדו"ח מחייבים פתיחת חקירה פלילית" •	"The grave findings of the report warrant the opening of a criminal investigation".	yes
מעיריית חיפה לא נמסרה תגובה.	The city of Haifa has not responded.	yes
מעקבים אחרי עובדי עירייה ויריבים פוליטים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות, "על חשבון הקופה הציבורית".	Stalking of city employees and political opponents and a hefty fee to the accounting firm for conducting investigations, "at the expense of the public purse".	yes
דו"ח מבקר עיריית חיפה עופר טל שפורסם אתמול (שלישי), מציג חשש לכאורה לעבירות פליליות של ראש העיר ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה, עובדי עירייה, ויריבים פוליטים.	A report by the Haifa Municipal Inspector Ofer Tal published yesterday (Tuesday) raises fears of alleged criminal offences by the mayor, Dr. Taten Klish Rotherham, against former municipal officials, municipal employees, and political opponents.	yes
על פי החשד, קליש נפגשה עם משרד רואה החשבון ברלב ושות׳ וביקשה לבצע ביקורת חקירתית.	According to the suspect, Klish met with the accounting firm of Berlab & Co. and requested an investigative review.	yes
החקירות התנהלו תחת שמות וקודים שניתנו לגזבר העירייה לשעבר, ושם קוד שניתן לחברת המועצה סופי נקש, ונבדק האם המכרזים שיש בין העירייה ולבין חברה שבבעלות משפחתה של נקש, הם כשרים למהדרין.	The investigations were conducted under names and codes given to the former mayor, and a code name given to the council member, Sopi Neks, and we checked whether the tenders between the city and a company owned by Neks' family, are eligible for the hedrin.	yes
עוד עולה מדו"ח המבקר כי קיים אי סדר וחוסר בקרה מוחלט אחר עבודתו של רואה החשבון עימו נפגשה קליש.	The auditor's report also shows that there is a complete disorder and lack of control over the work of an accountant with whom she had a cliché encounter.	yes
גזבר העירייה הוא הגורם העירוני שתפקידו לרכז ולסנכרן בין עבודותיו של רואה החשבון ואגפי העירייה והנתונים שאסף רואה החשבון לא הועברו אליו.	The municipal treasurer is the municipal entity whose role is to centralize and synchronize the work of the accountant and the municipal departments and the data collected by the accountant has not been transmitted to him.	yes
הדבר גרם לכך שאיש בעירייה אינו מודע בדבר כל הפרויקטים המבוצעים על ידי רואה החשבון, ומהו היקף העבודה הנדרש בכל אחד מהם.	As a result, no one in the municipality was aware of all the projects being carried out by the accountant, and what the scope of work required for each of them was.	no
יתרה מכך, דיווחי השעות שהגיש רואה החשבון לא אושרו במקרים רבים כנדרש.	Moreover, the hourly reports submitted by the accountant were in many cases not duly certified.	no
נוצר מצב שבו היקף הנושאים שבהם רואה החשבון היה מעורב הלך וגדל באופן לא מידתי, תוך התערבות רבה בהתנהלות השגרתית של העירייה, ללא כל פיקוח ומעקב מצד העירייה.	A situation arose in which the scope of matters in which the accountant was involved grew disproportionately, with much interference in the ordinary conduct of the municipality, without any supervision and monitoring by the municipality.	no
לסיכומו של הדו"ח, הביקורת המליצה לעצור את התשלומים שטרם שולמו לרואה החשבון, עד אשר יתקבל חומר המפרט את עבודתו בכל אחד מהנושאים שבדק.	To sum up the report, the review recommended that the accountant's outstanding payments be suspended until material is received detailing his work on each of the issues examined.	no
נוסף על כך, חשבוניות שהוגשו לעיריית חיפה היו תחת קודים כמו "שומרי הסף", חנות מידע, חנות דגים, ביקורת חקירתית לראש העיר ודו"ח ביקורת חקירתית רכש.	In addition, accounts filed with the Haifa Municipality were under codes such as "threshold guards", information store, fish shop, investigative review of the mayor and an investigative review report on purchases.	no
זמן קצר לאחר מכן, היועמ"שית של העירייה, עורכת הדין ימית קליין, ציינה כי ראש העיר חתמה בעצמה על אישור התשלום במקומה.	Shortly thereafter, the deputy city attorney, attorney Ymit Klein, noted that the mayor herself had signed the payment authorization on her behalf.	no
"לא הוזמן על ידי דו"ח ביקורת כלשהו ולא ידוע לי על מה מדובר", כתבה.	"Not ordered by any review report and I don't know what it's about", she wrote.	no
עוד נודע כי עלות הביקורת החקירתית הינה כשני מיליון שקלים אשר שולמו מהם מיליון וחצי שקלים ונותרו כחצי מיליון שקלים לתשלום, מכספי המיסים של הציבור החיפאי.	It is also known that the cost of the investigative review is about two million shekels of which one and a half million shekels were paid and about half a million shekels remained to be paid, from the tax money of the public charity.	no
גזבר העירייה לשעבר, ג׳קי ואקים, הגיב: "פעולות נבזיות אלו שנעשו לצורך הכתמת שמי ושמם של נבחרי ציבור על חשבון הקופה הציבורית ומשלם המיסים החיפאי והינה עבירה פלילית."	Former Mayor Jackie Wakim responded: "These vile acts of defaming elected officials at the expense of the public purse and the taxpayer are a criminal offense".	no
סופי נקש חברת מועצת העיר בתגובתה: "דו"ח המבקר והמלצות הוועדה מדברים בעד עצמם."	Sofi lashed out at the city councilwoman in her response: "The inspector's report and the committee's recommendations speak for themselves".	no
תגובת עורכת דין שרית גולן חברת מועצת העיר חיפה: העדויות והממצאים הקשים העולים מן הדו"ח מחייבים פתיחת חקירה פלילית כנגד כל המעורבים בהפעלת היועץ לביקורת חקירתית לביצוע חקירות, אשר ספק לגבי חלקן אם הן מותרות על פי חוק באופן בו בוצעו ובפרט החקירות הנוגעות לחברת המועצה מהאופוזיציה לראש העיר ועובדים בכירים לשעבר".	Reaction of the lawyer of Hirat Gulen, a member of the Haifa City Council: "The evidence and the hard findings from the report require the opening of a criminal investigation against all those involved in the operation of the Counsellor for Investigative Review to conduct investigations, which raises doubts as to whether some of them are permitted by law in the way they were conducted and in particular the investigations concerning the opposition member of the council, the mayor and former senior officials".	no
תגובת ליאור דץ מעמותת "שומרי הסף": "נראה שנחצו כל הקווים האדומים שרשות ציבורית שולחת חוקרים פרטים על מנת לאסוף מידע כנגד עורכי דין המייצגים עמותה שחושפת שחיתות ובזמן שהעמותה מנהלת הליכים ציבוריים כנגד הנהלת עיריית חיפה".	Lior Detz of the Threshold Guards Association: "All the red lines seem to have been crossed that a public authority sends private investigators to gather information against lawyers representing an organization that exposes corruption and while its law firm is conducting public proceedings against the Haifa Municipality".	no
עיריית חיפה לא מסרה תגובה.	Haifa Municipality has not responded.	no
משרד רואה חשבון יהודה ברלב לא מעוניין להגיב.	The Judah Barrab accounting firm is not interested in commenting.	no
גנץ חשף: "איראן וחיזבאללה פעלו יחד כדי לפגוע בפעילות יוניפ"ל בלבנון"	"Iran and Hezbollah worked together to undermine UNICEF's activities in Lebanon".	yes
שר הביטחון השתתף בכנס הסייבר הבינלאומי באוניברסיטת תל אביב וטען כי "ישראל מכירה את מערכות הסייבר של יריביה ואת דרכי הפעולה שלהם" •	The Defense Minister attended the International Cyber Conference at Tel Aviv University and claimed that "Israel knows its adversaries' cyber systems and their methods of operation".	yes
גנץ התייחס בין היתר לתיעוד של אל-סייד בשבי החמאס: "סרטון שמטרתו סחטנות – על גבה של סוגייה הומניטארית" •	Gantz referred, among other things, to al-Sayed's recording of Hamas captivity: "A video aimed at blackmail  on the back of a humanitarian issue".	yes
סגן מפקד יחידת 8200 חשף: "סיכלנו את הניסיון להרעיל את מערכות המים"	The deputy commander of Unit 8200 revealed, "We foiled an attempt to poison the water systems".	yes
שר הביטחון, בני גנץ נאם הבוקר (רביעי) בכנס הסייבר הבינלאומי של מרכז הסייבר באוניברסיטת ת"א ושם חשף מתקפה משותפת של איראן וחיזבאללה בכדי לפגוע בכוחות יוניפ"יל בלבנון, "פגיעה נוספת של איראן וחיזבאללה באזרחי לבנון ויציבות המדינה", אמר גנץ.	Defense Minister Benny Gantz spoke at the International Cyber Conference of the Cyber Center at the University of Tehran this morning, where he revealed a joint attack by Iran and Hezbollah to hit UNIFIL forces in Lebanon, "another hit by Iran and Hezbollah on Lebanese civilians and the stability of the country", Gantz said.	yes
גנץ התייחס בין היתר לתיעוד של הישאם אל-סייד, השבוי בשבי החמאס בעזה, אותו שיחררה הזרוע הצבאית של ארגון הטרור: "אתמול פורסם סרטון שמטרתו סחטנות – על גבה של סוגייה הומניטארית.	Gantz referred, among other things, to the documentation of Hamas captive Hisham al-Sayed in Gaza, released by the terrorist group's military wing: "Yesterday a video was released aimed at extortion on the back of a humanitarian issue.	yes
חמאס מחזיק בשבי את ארבעת הבנים בניגוד לחוק הבינלאומי, בניגוד למוסר.	Hamas is holding the four boys captive in violation of international law, in violation of morality.	yes
חמאס אחראית לכך והציפייה שלנו מהקהילה הבינלאומית היא לפעול מול ההתנהלות הנפשעת הזו של חמאס".	Hamas is responsible for this and our expectation from the international community is to act against this criminal behavior of Hamas".	yes
עוד הוסיף כי "מדינת ישראל פועלת במגוון אמצעים, וממשיכה להפוך כל אבן על מנת להשיב את הבנים הביתה.	He added that "the State of Israel is acting by various means, and continues to turn every stone to bring the boys home.	yes
כפי שאמרנו בעבר – מדובר בסוגיה הומניטארית, כך אנו רואים אותה, ועל הבסיס הזה נמשיך לפעול.	As we have said before, this is a humanitarian issue, that's how we see it, and on that basis we will continue to act.	yes
ניסיונות סחטנות ותרגילי תודעה לא ישפיעו על עמדתנו והתנהלותנו״.	Extortion attempts and mind exercises will not affect our attitude and behavior".	no
בהמשך חשף פעילות משותפת של איראן וחיזבאללה: "איראן מפעילה את שלוחיה גם במימד הסייבר: אני יכול לחשוף היום, שלאחרונה אותרה פעילות של גופי הביטחון האיראנים בשיתוף עם חיזבאללה, בכדי לפגוע בפעילות כוחות יוניפי"ל בלבנון.	He further revealed a joint activity of Iran and Hezbollah: "Iran is also activating its disruption in the cyber dimension: I can reveal today, that recently activity of Iranian security forces in cooperation with Hezbollah has been detected, to undermine the activities of the UNIFIL forces in Lebanon.	no
זאת על ידי מימוש מבצע בסייבר שמטרתו הייתה לגנוב חומרים על היערכות יוניפ"ל במרחב, ושימוש בהם על ידי חיזבאללה.	This was done by conducting a cyber operation that was intended to steal materials on UNIFIL's preparations in space, and use them by Hezbollah.	no
זוהי פגיעה נוספת של איראן וחיזבאללה באזרחי לבנון, וביציבותה של לבנון".	This is another blow by Iran and Hezbollah to the Lebanese people, and to the stability of Lebanon".	no
"ישראל מכירה את מערכות הסייבר של יריביה ואת דרכי הפעולה שלהם.	"Israel knows its adversary's cyber systems and their methods of operation.	no
אנו רואים בשנים האחרונות תופעה של קבוצות האקרים מטעם איראן, שפועלות מול ישראל ומדינות נוספות", המשיך גנץ וסיפר.	We have seen in recent years a phenomenon of Iranian hacking groups operating against Israel and other countries", Gantz continued.	no
"'השלוחים החדשים', הם טרוריסטים עם מקלדת שדינם כמו לוחמי ארגוני טרור אחרים.	"The new shipments are terrorists with a keyboard who are judged like other terrorist fighters.	no
אנחנו יודעים מי הם, אנחנו פוגעים בהם ובשולחיהם, וגם היום הם על הכוונת שלנו – ולא רק במימד הקיברנטי.	We know who they are, we're hitting them and their desktops, and even today they're on our radar -- and not just in the cyber dimension.	no
שום מתקפה מול אזרחי ישראל לא תעבור לסדר היום.	No attack on Israeli civilians will be on the agenda today.	no
והאחריות היא של התוקפים ושל המדינה שמממנת ושולחת אותם.	And the responsibility lies with the aggressors and the state that funds and sends them.	no
תקיפת סייבר יכולה להיענות במגוון דרכים במרחב הסייבר ובמרחבים נוספים".	A cyber attack can be responded to in a variety of ways in cyberspace and beyond".	no
גנץ המשיך במתקפה על מעצמת הגרעין: "איראן מובילה את טרור הסייבר – ועושה מהלכים שמטרתם להשפיע על תהליכים דמוקרטיים ועל ממשלים, כפי שקרה בבחירות לנשיאות ארצות הברית ובניסיונות נוספים שישראל מודעת אליהם.	Gantz continued in his attack on the nuclear power: "Iran is leading cyber terrorism and making moves aimed at influencing democratic processes and governments, as happened in the US presidential election and other attempts that Israel is aware of.	no
פעולות כמו זו של יחידת 'שאהיד כאווה' שאספה מידע על ספינות, תחנות דלק ומפעלי תעשייה במספר מדינות, נעשו תחת דירקטיבה ישירה של ההנהגה האיראנית ומשמרות המהפכה כפי שנחשף בתחקירים".	Operations such as that of the Shahid Awaah unit, which collected information on ships, gas stations and industrial plants in several countries, were carried out under the direct directive of the Iranian leadership and the Revolutionary Guards as revealed in the investigations".	no
עוד הוסיף כי "בשנים האחרונות בלמנו ניסיונות רבים לפרוץ לחברות פרטיות וציבוריות, בארץ ובחו"ל.	He added that "in recent years we have made many attempts to break into private and public companies, in Israel and abroad.	no
אני קורא גם לציבור לדרוש 'אחריות קיברנטית', ולהעניש חברות וגופים שלא פועלים בהתאם להנחיות".	I also call on the public to demand 'cyber responsibility' and punish companies and bodies that do not act according to guidelines".	no
גנץ המשיך וסימן את היעדים הבאים של ישראל מול האיומים: "המשימה העליונה שלנו, בצבא, בתעשיות ובארגוני הביטחון השונים היא לבנות את האנשים, להכשיר אותם, ולהשאיר אותם.	Gantz went on to outline Israel's next goals in the face of threats: "Our top mission, in the military, in the industries and in the various security organizations is to build the people, train them, and keep them.	no
אני והרמטכ"ל הצבנו את הנושא הזה כאחת המשימות המרכזיות ביחידות הרלבנטיות.	The chief and I have made this issue one of the key tasks in the relevant units.	no
אנחנו בוחנים את בניין הכוח כל העת – גם בהיקפי כוח האדם, גם בנושא ההכשרות וגם בנושא המשימות.	We're looking at power building all the time, both in terms of manpower, both in terms of training and also in terms of assignments.	no
בשנים הקרובות נצטרך גם לבחון את צורת ההתארגנות, הניהול והתפעול של לוחמת הסייבר, על מאפייניה ההתקפיים וההגנתיים בצה"ל ובמערכת הביטחון כולה".	In the coming years, we will also have to examine the form of organization, management and operation of cyber warfare, its offensive and defensive characteristics in the IDF and the entire security system.	no
לבסוף סיכם שר הביטחון וקרא לשיתופי פעולה עם העולם: "יש חשיבות גדולה לשיתופי הפעולה שלנו עם העולם מול איראן גם במימד הסייבר.	Finally, the Minister of Defense concluded by calling for cooperation with the world: "Our cooperation with the world against Iran is also of great importance in the cyber dimension.	no
את אותם שיתופי פעולה שאנו בונים באזור מול איראן בהיבטים של הגנה מול איומים שונים – אנחנו מרחיבים גם במימד הסייבר".	The same partnerships that we are building in the region with Iran in terms of defense against various threats, we are also expanding in the cyber dimension".	no
סגן מפקד יחידת 8200 חשף: "סיכלנו את הניסיון להרעיל את מערכות המים".	The deputy commander of Unit 8200 revealed, "We foiled an attempt to poison the water systems".	no
אורי, סגן מפקד יחידת 8200, אמר בהופעה הפומבית הראשונה של היחידה בכנסים מסוג זה, חשף כי ישראל סיכלה התקפה על מערכות המים.	Uri, the deputy commander of Unit 8200, said in the unit's first public appearance at such conferences, that Israel had foiled an attack on the water systems.	no
"סיכול איומי סייבר הוא חלק מרכזי בפעילות שלנו.	"The deterrence of cyber threats is a central part of our operations.	no
מטרתנו להשיג עליונות על התוקף, להצליח לזהות אותו ולפעול כדי לשלול את יכולותיו", אמר סגן מפקד 8200 והוסיף "כך לעיתים אנו גם מוצאים קורבנות מחוץ לישראל ואז אנו יוצרים קשר עם סוכניות אחרות אם צריך.	Our goal is to gain superiority over the attacker, to be able to identify him and act to eliminate his capabilities", said Deputy Commander 8200, adding, "So sometimes we also find victims outside Israel and then we contact other agencies if necessary.	no
אנו עושים זאת גם באופן עצמאי וגם על ידי שיתוף פעולה עם התעשייה וסוכנויות אחרות, באמצעות יישום ושימוש בכלים שפיתחנו.	We do this both independently and in collaboration with industry and other agencies, through the implementation and use of tools that we've developed.	no
8200 לא תנוח עד שהאיום יוסר".	8200 will not rest until the threat is removed".	no
כאמור, כך נחשף איום על מערכות המים של ישראל והניסיונות להרעיל את אזרחי ישראל: "סיכלנו את הניסיון להשתלט על מערכות המים הקריטיות של ישראל ולהרעיל אותן לפני מספר שנים.	The threat to Israel's water systems and attempts to poison Israel's citizens was revealed: "We foiled an attempt to seize Israel's critical water systems and poison them several years ago.	no
במקרה אחר זיהינו גם כי יריב מסוים תקף את ישראל ותוך כדי זיהינו שאותו תוקף ניסה גם לכוון לתחנות כוח בארה"ב.	In another case, we also identified that an adversary had attacked Israel, and in the process we identified that the same attacker was also trying to target power plants in the United States.	no
זו הייתה האינדיקציה הראשונה להתקפה זו.	That was the first indication of this attack.	no
את האיום הזה הצלחנו למנוע באמצעות שיתוף פעולה הדוק עם השותפים האמריקאים שלנו".	This threat has been prevented by working closely with our American partners".	no
צפו: כך המשטרה נערכת לחיסול מחבלים באוכלוסייה אזרחית	Watch: This is how police are trained to eliminate terrorists from the civilian population	yes
מג"ב ירושלים חונכת מתקן חדש "אסף" המדמה ירי בקהל צפוף בתגובה לרצף הפיגועים שהתרחשו בחודשים האחרונים •	The Jerusalem Police Department is setting up a new "Assaf" facility to simulate shooting in a crowded crowd in response to a series of attacks in recent months.	yes
מדריך לחימה בטרור של מג"ב עוטף ירושלים: "הפיתוח, נותן מענה רלוונטי לאיומי הייחוס ומדמה את המציאות בשטח" •	The MGB's Counter-Terrorism Guide Surrounds Jerusalem: "Development, providing a relevant response to the threats and simulating the reality on the ground"	yes
הצצה למתקן "אסף"	A look at the Assaf facility.	yes
מתכוננים לפיגוע הבא: רצף פיגועי טרור שבוצעו באביב בידי פלשתינים וערבים ישראלים, במהלכם נרצחו 19 בני אדם ונפצעו כ-70 אזרחים, הובילו את משמר הגבול לפתח טכניקה ייחודית שמאמנת לוחמים להסתער על מחבלים בתוך אוכלוסייה אזרחית ולבצע ירי בתנועה.	Preparing for the next attack: A series of terrorist attacks carried out this spring by Palestinians and Israeli Arabs, killing 19 people and wounding about 70 civilians, led the Border Guard to develop a unique technique that trains fighters to storm terrorists within the civilian population and fire on the move.	yes
חשיפת "ישראל היום": הצצה למתקן "אסף"	"Israel Today" exposes: A look at the Assaf facility	yes
הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.	Popular terrorism focuses on targeting civilians and aims to undermine the sense of security necessary to lead a normal civilian life.	yes
גל הפיגועים הקשה שהתרחש השנה, עם פיגועים בבאר שבע, בחדרה, בני ברק, אריאל, אלעד, ובמיוחד זה שהתרחש בתחילת אפריל ברחוב דיזינגוף הסואן בלב תל אביב, על ידי מחבל שנטמע בתוך המון, הובילו את המשטרה לחשיבה יצירתית לצורך פיתוח כלי שיהיה ניתן באמצעותו לאמן לוחמים להסתער על מחבלים בתוך אוכלוסייה אזרחית.	The severe wave of attacks this year, with attacks in Bar Sheba, Badra, Bani Barak, Ariel, Elad, and especially the one that occurred in early April on Dizinghoff Avenue in the heart of Tel Aviv, by a terrorist who was embedded in a crowd, led the police to think creatively about developing a tool that would allow a trained fighter to attack terrorists within a civilian population.	yes
את מלאכת החשיבה הוביל אגף ההדרכה של המשטרה ומשמר הגבול.	The thinking was led by the police training wing and the Border Patrol.	yes
הללו יצאו בתחרות במחוזות המשטרה השונים תחת הכותרת "מפקדים מובילים למידה", בה נדרש כל מחוז לפתח אמצעים שיסייעו בשיפור מיומנויות השיטור והלחימה של הלוחמים, השוטרים והמפקדים.	These competed in different police districts under the title of "Leading Learning Commanders", in which each district was required to develop means to help improve the policing and combat skills of its warriors, officers and commanders.	yes
במסגרת התחרות, וכמענה לצורך בתרגול לוחמי מג"ב ללחימה באימון ירי בתנועה ובמתארים מסוג זה, אסף בן דויד, מדריך לחימה בטרור של מג"ב עוטף ירושלים פיתח את "מתקן אסף", המורכב ממטרה דינאמית, שמחוברת למוט טלסקופי עליו מורכב מנשא שניתן לרתום למדריך.	As part of the competition, and in response to the need to train MGB fighters to fight in shooting training in motion and in this kind of situations, Asaf Ben David, a counter-terrorism instructor for the MGB surrounding Jerusalem, developed the "Asaf device", which consists of a dynamic target, connected to a telescopic mount on which is a lever that can be leveraged by the instructor.	no
משרתם המדריך את המנשא למותנו, הוא יכול לתרגל את הלוחם שעומד לפניו על ידי שליטה והזזת המטרה לצדדים וטווחים שונים.	Their job is to guide the bearer to our death, he can practice the warrior in front of him by controlling and moving the target to different sides and ranges.	no
יודגש כי בשנים האחרונות, לוחמי ולוחמות משמר הגבול התמודדו עם פיגועים רבים בהם המפגע, מבצע ירי ומהווה איום תוך כדי תנועה בזירות רוויות באזרחים חפים מפשע.	It should be emphasized that in recent years, Border Guard fighters have faced many attacks in which the attacker, shooting and posing a threat, moves through areas saturated with innocent civilians.	no
"מתקן אסף", בגרסתו הנוכחית מתבסס על מרכיבים וחלקים שנעשים בהם שימוש בתחומים שונים.	"Asset device", in its current version, is based on components and parts that are used in various fields.	no
לדוגמא, המוט הטלסקופי ששודרג ושולב במתקן, נלקח מתחום האחזקה והניקיון.	For example, the telescopic rod that's upgraded and integrated into the device is taken out of maintenance and cleaning.	no
באמצעות המתקן ניתן לדמה ירי בתנועה בתוך אוכלוסייה אזרחית לעבר מטרה דינמית תוך שמירה על קשר עין עם האובייקט, טיפול במעצור בתנועה, בחירת נתיב התקדמות ביצוע ירי סלקטיבי כולל תרגול של מניעת פגיעה בבלתי מעורבים.	The device can simulate shooting in motion within a civilian population towards a dynamic target while maintaining eye contact with the object, handling a traffic stop, selecting a path of progress, selective firing including practice of preventing harm to non-involved personnel.	no
רס"ב אסף בן דויד, שהמתקן נקרא על שמו אומר: "המתקן שפיתחנו, הוא בגדר פריצת דרך בלמידה והכשרת לוחמים ושוטרים.	Sergeant Asaf Ben David, whose facility is named after him, says, "The facility we've developed is a breakthrough in the education and training of soldiers and police.	no
הפיתוח, נותן מענה רלוונטי לאיומי הייחוס ומדמה את המציאות בשטח.	Development, providing a relevant response to the threats of the relationship and simulating the reality on the ground.	no
התועלת בפיתוח אל מול עלות הייצור הזולה יחסית מהווה לנו יתרון משמעותי בתחרות".	The development benefit versus the relatively low production cost gives us a significant competitive advantage".	no
מבקר המדינה מזהיר: "ועדת הבחירות המרכזית לא ערוכה לאיומי הסייבר"	State comptroller warns: "Central Election Commission is unprepared for cyber threats"	yes
