בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs born in Iran	yes
מעקבים אחרי עובדי עירייה ויריבים פוליטים ותשלום מנופח למשרד רואה חשבון עבור ביצוע החקירות, "על חשבון הקופה הציבורית".	Surveillance of municipal employees and political opponents and an inflated payment to an accounting firm for conducting investigations, "at the expense of the public purse."	yes
דו"ח מבקר עיריית חיפה עופר טל שפורסם אתמול (שלישי), מציג חשש לכאורה לעבירות פליליות של ראש העיר ד"ר עינת קליש רותם נגד בכירים לשעבר בעירייה, עובדי עירייה, ויריבים פוליטים.	The report of Haifa City Comptroller Ofer Tal, published on Tuesday, presents an alleged concern about criminal offenses by Mayor Dr. Einat Kalish Rotem against former senior officials in the municipality, municipal employees, and political rivals.	yes
על פי החשד, קליש נפגשה עם משרד רואה החשבון ברלב ושות׳ וביקשה לבצע ביקורת חקירתית.	Allegedly, Kalish met with the accounting firm Barlev & Co. and asked to conduct an investigative audit.	yes
החקירות התנהלו תחת שמות וקודים שניתנו לגזבר העירייה לשעבר, ושם קוד שניתן לחברת המועצה סופי נקש, ונבדק האם המכרזים שיש בין העירייה ולבין חברה שבבעלות משפחתה של נקש, הם כשרים למהדרין.	The investigations were conducted under the names and codes given to the former municipal treasurer, and a code name given to Councilwoman Sophie Nakash, and it was examined whether the tenders between the municipality and a company owned by Nakash's family are kosher for mehadrin.	yes
עוד עולה מדו"ח המבקר כי קיים אי סדר וחוסר בקרה מוחלט אחר עבודתו של רואה החשבון עימו נפגשה קליש.	The auditor's report also shows that there is disorder and a complete lack of control over the work of the accountant with whom Kalish met.	yes
גזבר העירייה הוא הגורם העירוני שתפקידו לרכז ולסנכרן בין עבודותיו של רואה החשבון ואגפי העירייה והנתונים שאסף רואה החשבון לא הועברו אליו.	The municipal treasurer is the municipal entity whose role is to coordinate and synchronize the work of the accountant and the municipal departments, and the data collected by the accountant were not transferred to him.	yes
הדבר גרם לכך שאיש בעירייה אינו מודע בדבר כל הפרויקטים המבוצעים על ידי רואה החשבון, ומהו היקף העבודה הנדרש בכל אחד מהם.	This has meant that no one in the municipality is aware of all the projects carried out by the accountant, and what the scope of work required in each of them is.	no
יתרה מכך, דיווחי השעות שהגיש רואה החשבון לא אושרו במקרים רבים כנדרש.	Moreover, the hours reports submitted by the accountant were not confirmed in many cases as required.	no
נוצר מצב שבו היקף הנושאים שבהם רואה החשבון היה מעורב הלך וגדל באופן לא מידתי, תוך התערבות רבה בהתנהלות השגרתית של העירייה, ללא כל פיקוח ומעקב מצד העירייה.	A situation was created in which the scope of the issues in which the accountant was involved grew disproportionately, with great interference in the routine conduct of the municipality, without any supervision and monitoring by the municipality.	no
לסיכומו של הדו"ח, הביקורת המליצה לעצור את התשלומים שטרם שולמו לרואה החשבון, עד אשר יתקבל חומר המפרט את עבודתו בכל אחד מהנושאים שבדק.	In its summary of the report, the audit recommended stopping the unpaid payments to the accountant, until material detailing his work on each of the issues it examined is received.	no
נוסף על כך, חשבוניות שהוגשו לעיריית חיפה היו תחת קודים כמו "שומרי הסף", חנות מידע, חנות דגים, ביקורת חקירתית לראש העיר ודו"ח ביקורת חקירתית רכש.	On top of that, invoices submitted to the Haifa municipality were under codes such as "gatekeepers," information shop, fish shop, investigative audit to the mayor and procurement investigative audit report.	no
זמן קצר לאחר מכן, היועמ"שית של העירייה, עורכת הדין ימית קליין, ציינה כי ראש העיר חתמה בעצמה על אישור התשלום במקומה.	Shortly after, the city's attorney, Yamit Klein, noted that the mayor herself signed the payment approval in her place.	no
"לא הוזמן על ידי דו"ח ביקורת כלשהו ולא ידוע לי על מה מדובר", כתבה.	"It was not commissioned by any audit report and I am not aware of what it was about," she wrote.	no
עוד נודע כי עלות הביקורת החקירתית הינה כשני מיליון שקלים אשר שולמו מהם מיליון וחצי שקלים ונותרו כחצי מיליון שקלים לתשלום, מכספי המיסים של הציבור החיפאי.	It was also learned that the cost of the investigative audit is about two million shekels, of which one and a half million shekels were paid and about half a million shekels remained to be paid, from the tax funds of the Haifa public.	no
גזבר העירייה לשעבר, ג׳קי ואקים, הגיב: "פעולות נבזיות אלו שנעשו לצורך הכתמת שמי ושמם של נבחרי ציבור על חשבון הקופה הציבורית ומשלם המיסים החיפאי והינה עבירה פלילית."	The city's former treasurer, Jackie Vakim, responded: "These vile actions were done to tarnish my name and the names of elected officials at the expense of the public coffers and the Haifa tax payer, and this is a criminal offense."	no
סופי נקש חברת מועצת העיר בתגובתה: "דו"ח המבקר והמלצות הוועדה מדברים בעד עצמם."	City Councilwoman Sophie Nakash in her response: "The auditor's report and the committee's recommendations speak for themselves."	no
תגובת עורכת דין שרית גולן חברת מועצת העיר חיפה: העדויות והממצאים הקשים העולים מן הדו"ח מחייבים פתיחת חקירה פלילית כנגד כל המעורבים בהפעלת היועץ לביקורת חקירתית לביצוע חקירות, אשר ספק לגבי חלקן אם הן מותרות על פי חוק באופן בו בוצעו ובפרט החקירות הנוגעות לחברת המועצה מהאופוזיציה לראש העיר ועובדים בכירים לשעבר".	Lawyer Sarit Golan, a member of the Haifa City Council, responded: "The evidence and the difficult findings emerging from the report require the opening of a criminal investigation against all those involved in the use of the investigative audit consultant to conduct investigations, some of which are doubtful as to whether they are permitted by law in the manner in which they were carried out, and in particular the investigations concerning the council member from the opposition to the mayor and former senior employees."	no
תגובת ליאור דץ מעמותת "שומרי הסף": "נראה שנחצו כל הקווים האדומים שרשות ציבורית שולחת חוקרים פרטים על מנת לאסוף מידע כנגד עורכי דין המייצגים עמותה שחושפת שחיתות ובזמן שהעמותה מנהלת הליכים ציבוריים כנגד הנהלת עיריית חיפה".	Lior Datz's response: "It seems that all the red lines have been crossed that a public authority sends investigators to gather information against lawyers representing an association that exposes corruption and while the association conducts public proceedings against the administration of the Haifa municipality."	no
עיריית חיפה לא מסרה תגובה.	The Haifa municipality did not provide a comment.	no
משרד רואה חשבון יהודה ברלב לא מעוניין להגיב.	The firm of accountant Yehuda Barlev does not wish to comment.	no
גנץ חשף: "איראן וחיזבאללה פעלו יחד כדי לפגוע בפעילות יוניפ"ל בלבנון"	Gantz revealed: "Iran and Hezbollah worked together to harm the activities of UNIFIL in Lebanon"	yes
שר הביטחון השתתף בכנס הסייבר הבינלאומי באוניברסיטת תל אביב וטען כי "ישראל מכירה את מערכות הסייבר של יריביה ואת דרכי הפעולה שלהם" •	The defense minister attended the international cyber conference at Tel Aviv University and claimed that "Israel knows the cyber systems of its adversaries and their methods of operation."	yes
גנץ התייחס בין היתר לתיעוד של אל-סייד בשבי החמאס: "סרטון שמטרתו סחטנות – על גבה של סוגייה הומניטארית" •	Gantz referred, among other things, to the documentation of al-Sayed in Hamas captivity: "A video aimed at extortion - on the back of a humanitarian issue."	yes
סגן מפקד יחידת 8200 חשף: "סיכלנו את הניסיון להרעיל את מערכות המים"	The deputy commander of Unit 8200 revealed: "We thwarted the attempt to poison the water systems"	yes
שר הביטחון, בני גנץ נאם הבוקר (רביעי) בכנס הסייבר הבינלאומי של מרכז הסייבר באוניברסיטת ת"א ושם חשף מתקפה משותפת של איראן וחיזבאללה בכדי לפגוע בכוחות יוניפ"יל בלבנון, "פגיעה נוספת של איראן וחיזבאללה באזרחי לבנון ויציבות המדינה", אמר גנץ.	Defense Minister Benny Gantz spoke Wednesday morning at the International Cyber Conference of the Cyber Center at Tel Aviv University, where he revealed a joint attack by Iran and Hezbollah to hit UNIFIL forces in Lebanon, "another attack by Iran and Hezbollah on the citizens of Lebanon and the stability of the country," Gantz said.	yes
גנץ התייחס בין היתר לתיעוד של הישאם אל-סייד, השבוי בשבי החמאס בעזה, אותו שיחררה הזרוע הצבאית של ארגון הטרור: "אתמול פורסם סרטון שמטרתו סחטנות – על גבה של סוגייה הומניטארית.	Gantz referred, among other things, to the documentation of Hisham al-Sayed, the prisoner of Hamas in Gaza, who was released by the military wing of the terrorist organization: "Yesterday, a video was published aimed at extortion - on the back of a humanitarian issue.	yes
חמאס מחזיק בשבי את ארבעת הבנים בניגוד לחוק הבינלאומי, בניגוד למוסר.	Hamas is holding the four boys captive in violation of international law, in violation of morality.	yes
חמאס אחראית לכך והציפייה שלנו מהקהילה הבינלאומית היא לפעול מול ההתנהלות הנפשעת הזו של חמאס".	Hamas is responsible for this and our expectation from the international community is to act against this criminal conduct of Hamas. "	yes
עוד הוסיף כי "מדינת ישראל פועלת במגוון אמצעים, וממשיכה להפוך כל אבן על מנת להשיב את הבנים הביתה.	"The State of Israel is acting in a variety of ways, and continues to turn over every stone in order to bring the boys home.	yes
כפי שאמרנו בעבר – מדובר בסוגיה הומניטארית, כך אנו רואים אותה, ועל הבסיס הזה נמשיך לפעול.	As we have said before - this is a humanitarian issue, this is how we see it, and on this basis we will continue to act.	yes
ניסיונות סחטנות ותרגילי תודעה לא ישפיעו על עמדתנו והתנהלותנו״.	Attempts at blackmail and mind exercises will not affect our position and conduct. "	no
בהמשך חשף פעילות משותפת של איראן וחיזבאללה: "איראן מפעילה את שלוחיה גם במימד הסייבר: אני יכול לחשוף היום, שלאחרונה אותרה פעילות של גופי הביטחון האיראנים בשיתוף עם חיזבאללה, בכדי לפגוע בפעילות כוחות יוניפי"ל בלבנון.	He later revealed joint activity by Iran and Hezbollah: "Iran also operates its affiliates in the cyber dimension: I can reveal today that recently activity was detected by Iranian security agencies in cooperation with Hezbollah, in order to harm the activities of UNIFIL forces in Lebanon.	no
זאת על ידי מימוש מבצע בסייבר שמטרתו הייתה לגנוב חומרים על היערכות יוניפ"ל במרחב, ושימוש בהם על ידי חיזבאללה.	This was done by carrying out a cyber operation whose purpose was to steal materials on UNIFIL's deployment in the area, and use them by Hezbollah.	no
זוהי פגיעה נוספת של איראן וחיזבאללה באזרחי לבנון, וביציבותה של לבנון".	This is another attack by Iran and Hezbollah on the citizens of Lebanon, and on the stability of Lebanon. "	no
"ישראל מכירה את מערכות הסייבר של יריביה ואת דרכי הפעולה שלהם.	"Israel knows the cyber systems of its adversaries and their methods of operation.	no
אנו רואים בשנים האחרונות תופעה של קבוצות האקרים מטעם איראן, שפועלות מול ישראל ומדינות נוספות", המשיך גנץ וסיפר.	In recent years, we have seen a phenomenon of hacker groups on behalf of Iran, which operate against Israel and other countries, "Gantz said.	no
"'השלוחים החדשים', הם טרוריסטים עם מקלדת שדינם כמו לוחמי ארגוני טרור אחרים.	"The'new couriers' are terrorists with a keyboard who are sentenced like the fighters of other terrorist organizations.	no
אנחנו יודעים מי הם, אנחנו פוגעים בהם ובשולחיהם, וגם היום הם על הכוונת שלנו – ולא רק במימד הקיברנטי.	We know who they are, we harm them and their senders, and even today they are in our sights - and not only in the cyber dimension.	no
שום מתקפה מול אזרחי ישראל לא תעבור לסדר היום.	No attack against the citizens of Israel will be on the agenda.	no
והאחריות היא של התוקפים ושל המדינה שמממנת ושולחת אותם.	And the responsibility is on the attackers and the state that funds and sends them.	no
תקיפת סייבר יכולה להיענות במגוון דרכים במרחב הסייבר ובמרחבים נוספים".	A cyber attack can be responded to in a variety of ways in cyberspace and other spaces. "	no
גנץ המשיך במתקפה על מעצמת הגרעין: "איראן מובילה את טרור הסייבר – ועושה מהלכים שמטרתם להשפיע על תהליכים דמוקרטיים ועל ממשלים, כפי שקרה בבחירות לנשיאות ארצות הברית ובניסיונות נוספים שישראל מודעת אליהם.	Gantz continued his attack on the nuclear power: "Iran leads cyber terrorism - and makes moves aimed at influencing democratic processes and governments, as happened in the United States presidential election and in other attempts that Israel is aware of.	no
פעולות כמו זו של יחידת 'שאהיד כאווה' שאספה מידע על ספינות, תחנות דלק ומפעלי תעשייה במספר מדינות, נעשו תחת דירקטיבה ישירה של ההנהגה האיראנית ומשמרות המהפכה כפי שנחשף בתחקירים".	"Actions such as that of the Shahid Kawah unit, which collected information on ships, gas stations and industrial plants in several countries, were carried out under the direct directive of the Iranian leadership and the Revolutionary Guards, as revealed in the investigations."	no
עוד הוסיף כי "בשנים האחרונות בלמנו ניסיונות רבים לפרוץ לחברות פרטיות וציבוריות, בארץ ובחו"ל.	"In recent years, we have thwarted many attempts to break into private and public companies, in Israel and abroad.	no
אני קורא גם לציבור לדרוש 'אחריות קיברנטית', ולהעניש חברות וגופים שלא פועלים בהתאם להנחיות".	I also call on the public to demand'cyber responsibility 'and to punish companies and entities that do not act in accordance with the guidelines. "	no
גנץ המשיך וסימן את היעדים הבאים של ישראל מול האיומים: "המשימה העליונה שלנו, בצבא, בתעשיות ובארגוני הביטחון השונים היא לבנות את האנשים, להכשיר אותם, ולהשאיר אותם.	Gantz went on to outline Israel's next goals in the face of the threats: "Our supreme task, in the army, in the industries and in the various security organizations, is to build the people, train them, and keep them.	no
אני והרמטכ"ל הצבנו את הנושא הזה כאחת המשימות המרכזיות ביחידות הרלבנטיות.	The Chief of Staff and I have placed this issue as one of the central tasks in the relevant units.	no
אנחנו בוחנים את בניין הכוח כל העת – גם בהיקפי כוח האדם, גם בנושא ההכשרות וגם בנושא המשימות.	We are constantly examining the building of the force - both in terms of personnel, both in terms of training and in terms of tasks.	no
בשנים הקרובות נצטרך גם לבחון את צורת ההתארגנות, הניהול והתפעול של לוחמת הסייבר, על מאפייניה ההתקפיים וההגנתיים בצה"ל ובמערכת הביטחון כולה".	In the coming years, we will also have to examine the form of organization, management and operation of cyber warfare, its offensive and defensive characteristics in the IDF and the entire security system. "	no
לבסוף סיכם שר הביטחון וקרא לשיתופי פעולה עם העולם: "יש חשיבות גדולה לשיתופי הפעולה שלנו עם העולם מול איראן גם במימד הסייבר.	Finally, the Minister of Defense concluded and called for cooperation with the world: "There is great importance to our cooperation with the world against Iran also in the cyber dimension.	no
את אותם שיתופי פעולה שאנו בונים באזור מול איראן בהיבטים של הגנה מול איומים שונים – אנחנו מרחיבים גם במימד הסייבר".	The same cooperation that we are building in the region against Iran in aspects of defense against various threats - we are also expanding in the cyber dimension. "	no
סגן מפקד יחידת 8200 חשף: "סיכלנו את הניסיון להרעיל את מערכות המים".	The deputy commander of Unit 8200 revealed: "We thwarted the attempt to poison the water systems."	no
אורי, סגן מפקד יחידת 8200, אמר בהופעה הפומבית הראשונה של היחידה בכנסים מסוג זה, חשף כי ישראל סיכלה התקפה על מערכות המים.	Uri, deputy commander of Unit 8200, said in the unit's first public appearance at such conferences, revealed that Israel had thwarted an attack on the water systems.	no
"סיכול איומי סייבר הוא חלק מרכזי בפעילות שלנו.	"Cyber security is a core part of our business.	no
מטרתנו להשיג עליונות על התוקף, להצליח לזהות אותו ולפעול כדי לשלול את יכולותיו", אמר סגן מפקד 8200 והוסיף "כך לעיתים אנו גם מוצאים קורבנות מחוץ לישראל ואז אנו יוצרים קשר עם סוכניות אחרות אם צריך.	Our goal is to gain superiority over the attacker, to be able to identify him and act to negate his abilities, "said the deputy commander of 8200, adding," So sometimes we also find victims outside of Israel and then we contact other agencies if necessary.	no
אנו עושים זאת גם באופן עצמאי וגם על ידי שיתוף פעולה עם התעשייה וסוכנויות אחרות, באמצעות יישום ושימוש בכלים שפיתחנו.	We do this both independently and by collaborating with industry and other agencies, through the implementation and use of tools we have developed.	no
8200 לא תנוח עד שהאיום יוסר".	8200 will not rest until the threat is removed. "	no
כאמור, כך נחשף איום על מערכות המים של ישראל והניסיונות להרעיל את אזרחי ישראל: "סיכלנו את הניסיון להשתלט על מערכות המים הקריטיות של ישראל ולהרעיל אותן לפני מספר שנים.	"We thwarted the attempt to take over Israel's critical water systems and poison them several years ago.	no
במקרה אחר זיהינו גם כי יריב מסוים תקף את ישראל ותוך כדי זיהינו שאותו תוקף ניסה גם לכוון לתחנות כוח בארה"ב.	In another case, we also identified that a certain adversary attacked Israel and in the process we identified that the same attacker also tried to target power plants in the US.	no
זו הייתה האינדיקציה הראשונה להתקפה זו.	This was the first indication of this attack.	no
את האיום הזה הצלחנו למנוע באמצעות שיתוף פעולה הדוק עם השותפים האמריקאים שלנו".	We managed to prevent this threat through close cooperation with our American partners. "	no
צפו: כך המשטרה נערכת לחיסול מחבלים באוכלוסייה אזרחית	Watch: This is how the police prepare to eliminate terrorists in the civilian population	yes
מג"ב ירושלים חונכת מתקן חדש "אסף" המדמה ירי בקהל צפוף בתגובה לרצף הפיגועים שהתרחשו בחודשים האחרונים •	The Jerusalem Border Police inaugurates a new "Assaf" facility that simulates shooting in a crowded crowd in response to the series of attacks that have occurred in recent months •	yes
מדריך לחימה בטרור של מג"ב עוטף ירושלים: "הפיתוח, נותן מענה רלוונטי לאיומי הייחוס ומדמה את המציאות בשטח" •	The Border Police's counter-terrorism guide envelops Jerusalem: "The development provides a relevant response to the attribution threats and simulates the reality on the ground" •	yes
הצצה למתקן "אסף"	A glimpse of the "Assaf" facility	yes
מתכוננים לפיגוע הבא: רצף פיגועי טרור שבוצעו באביב בידי פלשתינים וערבים ישראלים, במהלכם נרצחו 19 בני אדם ונפצעו כ-70 אזרחים, הובילו את משמר הגבול לפתח טכניקה ייחודית שמאמנת לוחמים להסתער על מחבלים בתוך אוכלוסייה אזרחית ולבצע ירי בתנועה.	Preparing for the next attack: A series of terrorist attacks carried out in the spring by Palestinians and Israeli Arabs, during which 19 people were killed and about 70 civilians were injured, led the Border Guard to develop a unique technique that trains fighters to attack terrorists in a civilian population and shoot at traffic.	yes
חשיפת "ישראל היום": הצצה למתקן "אסף"	"Israel Hayom" unveiling: A glimpse of the "Assaf" installation	yes
הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.	Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary to lead a normal life of a civilian population.	yes
גל הפיגועים הקשה שהתרחש השנה, עם פיגועים בבאר שבע, בחדרה, בני ברק, אריאל, אלעד, ובמיוחד זה שהתרחש בתחילת אפריל ברחוב דיזינגוף הסואן בלב תל אביב, על ידי מחבל שנטמע בתוך המון, הובילו את המשטרה לחשיבה יצירתית לצורך פיתוח כלי שיהיה ניתן באמצעותו לאמן לוחמים להסתער על מחבלים בתוך אוכלוסייה אזרחית.	The severe wave of attacks that took place this year, with attacks in Be'er Sheva, Hadera, Bnei Brak, Ariel, Elad, and especially the one that took place in early April on the busy Dizengoff Street in the heart of Tel Aviv, by a terrorist who assimilated into the crowd, led the police to think creatively in order to develop a tool that could be used to train fighters to attack terrorists within a civilian population.	yes
את מלאכת החשיבה הוביל אגף ההדרכה של המשטרה ומשמר הגבול.	The thinking was led by the training division of the police and the border guard.	yes
הללו יצאו בתחרות במחוזות המשטרה השונים תחת הכותרת "מפקדים מובילים למידה", בה נדרש כל מחוז לפתח אמצעים שיסייעו בשיפור מיומנויות השיטור והלחימה של הלוחמים, השוטרים והמפקדים.	These came out in a competition in the various police districts under the title "Commanders Lead Learning," in which each district was required to develop measures that would help improve the policing and combat skills of the fighters, police officers and commanders.	yes
במסגרת התחרות, וכמענה לצורך בתרגול לוחמי מג"ב ללחימה באימון ירי בתנועה ובמתארים מסוג זה, אסף בן דויד, מדריך לחימה בטרור של מג"ב עוטף ירושלים פיתח את "מתקן אסף", המורכב ממטרה דינאמית, שמחוברת למוט טלסקופי עליו מורכב מנשא שניתן לרתום למדריך.	As part of the competition, and as a response to the need to train Border Police fighters for combat training in shooting in motion and in such descriptions, Assaf Ben David, a counter-terrorism instructor of the Jerusalem Border Police, developed the "Assaf facility," which consists of a dynamic target, which is connected to a telescopic pole on which a carrier can be harnessed to the instructor.	no
משרתם המדריך את המנשא למותנו, הוא יכול לתרגל את הלוחם שעומד לפניו על ידי שליטה והזזת המטרה לצדדים וטווחים שונים.	Their servant who guides the carrier to his death, he can practice the warrior standing in front of him by controlling and moving the target to different sides and ranges.	no
יודגש כי בשנים האחרונות, לוחמי ולוחמות משמר הגבול התמודדו עם פיגועים רבים בהם המפגע, מבצע ירי ומהווה איום תוך כדי תנועה בזירות רוויות באזרחים חפים מפשע.	It should be emphasized that in recent years, Border Guard fighters have faced many attacks in which the assailant, carries out gunfire and poses a threat while on the move in arenas saturated with innocent civilians.	no
"מתקן אסף", בגרסתו הנוכחית מתבסס על מרכיבים וחלקים שנעשים בהם שימוש בתחומים שונים.	The "Assaf facility," in its current version, is based on components and parts that are used in various fields.	no
לדוגמא, המוט הטלסקופי ששודרג ושולב במתקן, נלקח מתחום האחזקה והניקיון.	For example, the telescopic pole that was upgraded and integrated into the facility was taken from the maintenance and cleaning area.	no
באמצעות המתקן ניתן לדמה ירי בתנועה בתוך אוכלוסייה אזרחית לעבר מטרה דינמית תוך שמירה על קשר עין עם האובייקט, טיפול במעצור בתנועה, בחירת נתיב התקדמות ביצוע ירי סלקטיבי כולל תרגול של מניעת פגיעה בבלתי מעורבים.	Using the facility, it is possible to simulate shooting in motion within a civilian population towards a dynamic target while maintaining eye contact with the object, handling a traffic stop, choosing a path of progress and performing selective shooting, including the practice of preventing injury to the uninvolved.	no
רס"ב אסף בן דויד, שהמתקן נקרא על שמו אומר: "המתקן שפיתחנו, הוא בגדר פריצת דרך בלמידה והכשרת לוחמים ושוטרים.	Major Assaf Ben David, after whom the facility is named, says: "The facility we developed is a breakthrough in the learning and training of soldiers and police officers.	no
הפיתוח, נותן מענה רלוונטי לאיומי הייחוס ומדמה את המציאות בשטח.	The development provides a relevant response to the threats of attribution and simulates the reality on the ground.	no
התועלת בפיתוח אל מול עלות הייצור הזולה יחסית מהווה לנו יתרון משמעותי בתחרות".	The benefit of development compared to the relatively cheap cost of production gives us a significant competitive advantage. "	no
מבקר המדינה מזהיר: "ועדת הבחירות המרכזית לא ערוכה לאיומי הסייבר"	The State Comptroller warns: "The Central Election Commission is not prepared for cyber threats"	yes
מתניהו אנגלמן התריע בשבוע הסייבר הבינלאומי מפני חוסר המוכנות של ישראל לתקיפות פצחנים •	Netanyahu Engelman Warns of Israel's Lack of Preparedness for Cyber Attacks	yes
"מלחמת העולם השלישית תהיה מלחמת האקרים אך העולם לא ערוך אליה".	"World War III will be a hacker war, but the world is not prepared for it."	yes
מבקר המדינה מתניהו אנגלמן השתתף היום (רביעי) בכנס הסייבר השנתי של אוניברסיטת תל אביב והביע חשש מפני מתקפות סייבר על ישראל.	State Comptroller Netanyahu Engelman on Wednesday attended Tel Aviv University's annual cyber conference and expressed concern about cyber attacks on Israel.	yes
"אנחנו חשופים.	'we are being exposed.	yes
הנתונים שלנו גלויים ליותר מדי אנשים.	Our data is visible to too many people.	yes
הכסף שלנו חשוף, הילדים שלנו חשופים, הבריאות שלנו חשופה, הביטחון שלנו חשוף.	Our money is exposed, our kids are exposed, our health is exposed, our security is exposed.	yes
מלחמת העולם השלישית תהיה מלחמת סייבר, אבל העולם לא מוכן אליה".	World War III will be a cyber war, but the world is not ready for it. "	yes
אנגלמן סיפר כי במסגרת ביקורות הסייבר שמשרדו עורך, נמצאו ליקויים משמעותיים: "בשנה האחרונה ביצענו בדיקות חדירה במרכז ניהול התנועה בירושלים, בבתי חולים ובמערכות רשות המיסים.	Engelman said that as part of the cyber audits that his firm conducts, significant deficiencies were found: "Over the past year, we carried out penetration tests at the traffic management center in Jerusalem, in hospitals and in the systems of the Tax Authority.	yes
בביקורות מצאנו ליקויים משמעותיים, לרבות העובדה שמעט מאוד בדיקות חדירה בוצעו על ידי גופים ציבוריים וחלקם ערכו בדיקות חדירה רק במהלך הביקורת.	In the audits, we found significant deficiencies, including the fact that very few penetration tests were carried out by public bodies and some conducted penetration tests only during the audit.	yes
בנוסף עלו ליקויים במוכנות ועדת הבחירות המרכזית לאיומי הסייבר".	In addition, there were deficiencies in the Central Election Commission's preparedness for cyber threats. "	no
"אנו במשרד מבקר המדינה מתחייבים להמשיך ולהתייחס לנושא משמעותי זה ביתר שאת, לטובת אזרחי ישראל והעולם כולו", סיכם.	"We at the State Comptroller's Office undertake to continue to address this significant issue more forcefully, for the benefit of the citizens of Israel and the entire world," he concluded.	no
מכוון גבוה: "הגעתי להפועל ירושלים כדי לזכות בתארים"	Aiming high: "I came to Hapoel Jerusalem to win titles"	yes
הבחירה באדומים: "מהרגע הראשון הראו לי שרוצים אותי, אני בנוי להוביל קבוצה גדולה" •	The choice of the Reds: "From the first moment they showed me that they wanted me, I am built to lead a big team" •	yes
החזרה לנבחרת ישראל אחרי ארבע שנים: "הרגשתי שהיה לי מקום, רוצה להיות בסגל ליורובאסקט" •	Returning to the Israeli national team after four years: "I felt I had a place, I want to be in the squad for EuroBasket" •	yes
והתקופה במכבי ת"א: "למדתי להתרכז רק במה שבשליטתי" •	And the time at Maccabi Tel Aviv: "I learned to concentrate only on what I can control" •	yes
עוז בלייזר בראיון.	Oz blazers in an interview.	yes
עוז בלייזר ייצא היום עם שחקני נבחרת ישראל לפולין, שם יפגשו את הנבחרת המקומית במוקדמות אליפות העולם 2023 (חמישי, 21:30 שעון ישראל).	Oz Blazer will leave today with the players of the Israeli national team for Poland, where they will meet the local team in the 2023 World Championship qualifiers (Thursday, 21: 30 Israel time).	yes
שלושה ימים לאחר מכן תארח הנבחרת את אסטוניה בהיכל קבוצת שלמה.	Three days later, the national team will host Estonia at the Shlomo Group Hall.	yes
במקביל לאימונים האינטנסיביים עם הנבחרת, בלייזר עסק בשבוע האחרון גם בעתידו, עד שחתם לשנתיים בהפועל ירושלים.	In parallel with the intensive training with the national team, Blazer also dealt with his future last week, until he signed for two years at Hapoel Jerusalem.	yes
"יש לי ראש שקט עכשיו אחרי שמצאתי קבוצה", הוא אומר ל"ישראל היום" בראיון ראשון ומיוחד מאז החתימה.	"I have a quiet head now that I have found a team," he tells Israel Hayom in his first and special interview since signing.	yes
"יש לי עכשיו קצת לחץ כי אני צריך לעבור דירה עם המשפחה אחרי שהשתקענו באזור המרכז וזה לא קל, אבל אין כבר טלפונים ומבחינה מקצועית אני הרבה יותר רגוע".	"I have a bit of pressure now because I have to move with the family after we settled in the central area and it's not easy, but there are no phones anymore and from a professional point of view I'm much calmer."	yes
לא היית בנבחרת ארבע שנים, עד כמה אתה שמח לחזור, ועד כמה אתה רוצה לשחק בשני המשחקים הקרובים?	You haven't been in the national team for four years, how happy are you to be back, and how much do you want to play in the next two games?	no
"קודם כל, אני רוצה ליהנות בנבחרת ואני בא בגישה של לתרום בכל מה שאני יכול, אם זה מהניסיון שלי ואם זה על המגרש.	"First of all, I want to have fun in the national team and I come with the attitude of contributing everything I can, whether it's from my experience or on the pitch.	no
מובן שאשמח לשחק, אבל כשמגיעים לנבחרת כל אחד צריך לשים את האגו בצד ולעשות הכל כדי שהנבחרת תצליח.	Of course I would love to play, but when you get to the national team everyone has to put their ego aside and do everything for the national team to be successful.	no
אני פה בשביל מה שיצטרכו ממני".	I'm here for what you need from me. "	no
עכשיו אתם 14 שחקנים, ולאליפות אירופה יצטרף דני אבדיה, גבי צ'אצ'אשווילי יחזור, ואולי גם יהיו שינויים נוספים.	Now you are 14 players, and the European Championship will be joined by Dani Avdija, Gabi Chachashvili will return, and maybe there will be more changes.	no
שמת לך למטרה להיות בסגל לאליפות?	Did you set a goal to be on the roster for the championship?	no
"אשמח להיות על המגרש ולתרום".	"I would love to be on the pitch and contribute."	no
בלייזר בן ה־29 (1.99 מ') שיחק בשנתיים האחרונות במכבי ת"א.	The 29-year-old Blazer (1.99 m) has played for Maccabi Tel Aviv for the past two years.	no
כשהסתיימה העונה היה ברור שהוא לא ימשיך בצהוב ואחרי כמה שבועות עבר לבירה, כשהוא מעדיף את הירושלמים על פני הפועל חולון.	When the season ended, it was clear that he would not continue in yellow and after a few weeks he moved to the capital, preferring the Jerusalemites to Hapoel Holon.	no
היו לך עוד הצעות, למה בחרת דווקא בהפועל ירושלים?	You had other offers, why did you choose Hapoel Jerusalem?	no
