בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
זו הסיבה שד״ר טומי שינפלד מהווה עבורי הרבה יותר מדמות מעוררת השראה.	That's why Dr. Tommy Shinfeld is so much more than an inspirational figure to me.	no
הוא אדם שלימד אותי המון רפואה, אבל בעיקר לימד אותי לחשוב מהר ומדויק, להקשיב - ואז ליישם.	He's a man who taught me a lot of medicine, but mostly taught me to think fast and accurately, to listen - and then to apply.	no
הביא לאור: ירון דורון	♪ I'm gonna be the one ♪	no
הגל מתקרב לשיא: כ-38 אלף מאומתים אתמול, עוד עלייה במספר החולים במצב קשה	Wave approaching peak: about 38,000 confirmed yesterday, further increase in critical patients	yes
נתון גבוה במיוחד של נדבקים •	• high rate of infection	yes
שיעור החיוביים - 11.3% •	The positive rate is 11.3 percent.	yes
מקדם ההדבקה גבוה מ-2 •	• If the infection is caused by a virus, the infection may be fatal.	yes
בעקבות ריבוי המאושפזים: בהדסה נערכים לפתיחת מחלקת קורונה שלישית	Following the increase in the number of patients, Hadassah is preparing to open a third Corona ward.	yes
מגפת האומיקרון משתוללת והעומס כבר מורגש בבתי החולים: 37,847 אלף נדבקים אובחנו אתמול (שני) עם קורונה.	The Omicron epidemic is raging and the overload is already felt in hospitals: 37,847 thousand infected were diagnosed yesterday (Monday) with corona.	yes
כך עולה מנתונים שפורסמו הבוקר באתר משרד הבריאות, הנכונים לשעה 10:00 בבוקר.	That's according to data posted this morning on the Health Department's website, which is correct as of 10:00 a.m.	yes
מדובר בשיא מאז פרוץ המגפה.	That's the highest since the outbreak.	yes
מקדם ההדבקה עומד כעת על 2.05.	The infection rate is now at 2.05.	yes
מתוך 359,628 בדיקות אתמול - 11.38 אחוז נמצאו חיוביים.	Of the 359,628 tests yesterday, 11.38 percent were found positive.	yes
כיום יש בישראל 185,753 נשאים פעילים.	There are currently 185,753 active carriers in Israel.	no
מבחינת נתוני האשפוז, 247 חולים נמצאים במצב קשה ו-59 מהם מונשמים.	As for the hospital records, 247 patients are in critical condition and 59 of them are breathing.	no
סך הכול מאושפזים בישראל 1,445 בני אדם.	A total of 1,445 people are hospitalized in Israel.	no
כזכור, אתמול שונתה הצגת הנתונים, והמאומתים כוללים את אלו שעברו בדיקות PCR בתוספת הנדבקים שעברו בדיקת אנטיגן מוסדית.	As a reminder, yesterday the data presentation was changed, and the validated include those who underwent PCR tests in addition to those infected who underwent institutional antigen testing.	no
מהמרכז הרפואי הדסה נמסר הבוקר כי 63 חולים מאושפזים בשתי מחלקות הקורונה בהדסה עין כרם.	Hadassah Medical Center reported this morning that 63 patients are hospitalized in two corona wards in Hadassah, Ein Karem.	no
בין החולים שישה במצב קריטי (מונשמים) ו-18 במצב קשה.	Among the patients, six are in critical condition and 18 are in critical condition.	no
בהדסה ציינו כי "שתי מחלקות הקורונה בהדסה מלאות, והצוותים שלנו כבר עוסקים בהכנתה של מחלקת קורונה שלישית".	The Hadassah stated that "two corona wards in the Hadassah are full, and our teams are already engaged in preparing a third corona ward".	no
148,503	148,503 - What is the number?	no
איש נמצאים בבידוד (36,817 נוספו אתמול). 3,743	One is in isolation (36,817 were added yesterday).	no
אנשי צוות רפואי מבודדים, מתוכם 542 רופאים.	Isolated medical staff, including 542 doctors.	no
עוד 1,008 מבודדים הם אחים ואחיות, ו-2,193 ממקצועות אחרים.	Another 1,008 are brothers and sisters, and 2,193 are from other professions.	no
השתתף בהכנת הידיעה: יורי ילון	Contributed by Yuri Yalon	no
רשלנות רפואית בשלבי הלידה השונים	Medical negligence in the various stages of childbirth	yes
על מנת לזכות בפיצויים,על התובעים להוכיח, נוסף על ההתרשלות, כי הנזק נגרם עקב אותה התרשלות	In order to win compensation, the plaintiffs must prove, in addition to the negligence, that the damage was caused by the same negligence.	yes
לידה היא אחד מהאירועים המשמחים והמרגשים ביותר בחייה של משפחה.	Birth is one of the most joyful and exciting events in a family's life.	yes
ואולם, למרבה הצער, לעתים מסתיימות לידות בנזקים חמורים הנגרמים ליולדת או ליילוד כתוצאה מהתרשלות הצוות הרפואי.	But unfortunately, sometimes births end with severe birth or newborn injuries due to the negligence of the medical staff.	yes
במקרים שבהם הסתיימה הלידה בפגיעה גופנית, ליילוד או לאם, יש מקום לבחון את השתלשלות האירועים אשר הובילו לפגיעה ואף לשקול פנייה לקבלת ייעוץ משפטי.	In cases where birth has resulted in physical harm to the infant or the mother, there is scope to examine the chain of events that led to the injury and even to consider seeking legal advice.	yes
עורך דין המתמחה בתחום הרשלנות הרפואית יבחן האם נפלו פגמים בהתנהלות הצוות הרפואי בשלבי הלידה השונים אשר גרמו לנזק וככל שימצא לנכון יפנה להיוועץ במומחה רפואי בתחום הרלונטי.	A medical malpractice lawyer will examine whether there were defects in the conduct of the medical staff at the various stages of birth that caused the damage and, as appropriate, will consult a medical expert in the relevant field.	yes
יש להדגיש, כי לא כל טעות בטיפול מצד הצוות הרפואי עולה כדי רשלנות (במובן המשפטי של מונח זה) וכי סיבוכים שונים במהלך הלידה אינם מלמדים בהכרח שניהולה היה רשלני.	It should be emphasized that not every error in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily teach that the handling was negligent.	yes
מתי אם כן מדובר ברשלנות?	When is it negligence?	yes
כאשר טעותו של הרופא נבעה מחוסר מיומנות או סטתה מרמת הזהירות הסבירה, וחוסר המיומנות והסטייה מרמת הזהירות המקובלת גרמו נזק למטופל שלא היה נגרם אלמלא נהג כך הרופא.	When the doctor's error was due to incompetence or deviation from reasonable care, and the incompetence and deviation from accepted care caused harm to the patient that would not have been caused if the doctor had not acted in this way.	yes
בכתבה זו נבחן את שלבי הלידה השונים, נסביר מהם הסיבוכים העלולים להתרחש בכל אחד מהשלבים ומתי הם עולים כדי רשלנות רפואית.	In this article, we will examine the different stages of childbirth, explain what complications may occur at each stage, and when they amount to medical negligence.	yes
שלב הצירים	The junction phase	no
שלב הצירים נמשך בממוצע בין 8 ל-14 שעות.	The fusion phase lasts on average between 8 and 14 hours.	no
בשלב זה נפתח צוואר הרחם בהדרגה (על מנת לאפשר את מעבר העובר בעת הלידה) ובסוף התהליך אמור להגיע לקוטר של כעשרה סנטימטרים.	At this stage, the cervix gradually opens (to allow the fetus to pass through at birth) and should eventually reach a diameter of about four inches [10 cm].	no
מרבית מקרי הרשלנות הרפואית בשלב הצירים עוסקים באי זיהוי מצוקה עוברית לקראת הלידה, אשר גרמה נזק ליילוד המתבטא לעתים אף בשיתוק מוחין.	Most cases of medical malpractice at the placenta involve the failure to identify fetal distress prior to birth, which has caused damage to the newborn that sometimes manifests itself in cerebral palsy.	no
שיתוק מוחין (CP):	Cerebral palsy (CP) is a condition that affects the brain and spinal cord.	no
שיתוק מוחין עלול להיגרם כתוצאה מאי זיהוי או איחור בזיהוי תשניק סב-לידתי, אשר בא לידי ביטוי בכשל באספקת חמצן לרקמת מוחו של העובר.	Cerebral palsy can be caused by misidentification or delayed identification of congenital breastfeeding, which is manifested by failure to supply oxygen to the fetal brain tissue.	no
ככלל, מעקב אחר מצבה של היולדת ופיענוח נכון של המוניטור העוקב אחר פעילות לב העובר אמורים להוביל לזיהוי מוקדם של התפתחות מצוקה עוברית, המאפשר לצוות הרפואי לפעול במהירות ולחלץ את היילוד לפני שנפגע באופן בלתי הפיך.	In general, monitoring the newborn's condition and correctly unfolding the monitor that monitors fetal heart activity should lead to early identification of developing fetal distress, allowing the medical team to quickly intervene and rescue the newborn before irreversible damage is done.	no
מקרים שבהם מתעלם הצוות הרפואי מסימנים המעידים על כך שהעובר סובל ממחסור בחמצן או שהצוות אינו מפרש נכון את נתונים שבפניו ובפרט המוניטור העוברי או מגיב באיחור למצוקה המתבטאת במוניטור – עלולים להוות התרשלות.	Failure to respond to signs of oxygen deprivation, or to interpret data correctly, especially on the fetal monitor, or to respond to distress on the  monitor, may be a sign of negligence.	no
שיתוק מוחין עלול להיגרם גם כתוצאה מצניחת חבל הטבור וכן כתוצאה מקרע ברחם שלא זוהה במועד.	Cerebral palsy can also be caused by a cord-slip and an undetected uterine rupture.	no
גם באירועים קשים אלו ראוי לברר האם הצוות הרפואי פעל כראוי.	Even in these extreme events, it's worth checking whether the medical staff acted appropriately.	no
כך למשל, מספרת עו"ד אנה רייף ליגנזה, ממשרד כספי סרור ושות' המתמחה בייצוג נפגעי רשלנות רפואית, כי משרדה טיפל בתביעה של ילד שנפגע במהלך לידתו לאחר שהמיילדת פקעה את שק מי השפיר כאשר ראש העובר היה גבוה מדי, ובכך הביאה לצניחת חבל הטבור (כאשר חבל הטבור מקדים את ראש העובר) ולפגיעה באספקת החמצן למוח העובר (כתוצאה מלחץ של ראש העובר על חבל הטבור) ולהיוולדו עם פגיעה נוירולוגית חמורה.	For example, attorney Anna Reif Ligenza, of the law firm of Sarrur & Co., specializing in representing medical malpractice victims, says that her office handled a lawsuit from a child who was injured during birth after the midwife punctured the amniotic sac when the fetal head was too high, causing the umbilical cord to fall (when the umbilical cord precedes the fetal head) and impaired oxygen supply to the fetal brain (due to pressure from the fetal head on the umbilical cord) and resulting in a child being born with severe neurological damage.	no
במקרה אחר סיפרה עוה"ד, כי משרדה הגיש תובענה בשל רשלנות רפואית חמורה של צוות מחלקת יולדות בבי"ח גדול אשר במהלך הלידה לא זיהה במועד סימנים ברורים שחייבו חשד ממשי שהיולדת סובלת מקרע של הרחם באזור הצלקת הניתוחית של הריונה הקודם.	In another case, a lawyer said that her office had filed a lawsuit for gross medical negligence by a staff member in the maternity ward of a large hospital who, during the birth, failed to identify at the time clear signs that would have led to the suspicion that the child was suffering from a rupture of the uterus in the area of the surgical scar of the previous pregnancy.	no
העובר אשר נפלט דרך הקרע ברחם אמו לחלל הבטן סבל ממצוקה עוברית קשה עד לחילוצו בשלב מאוחר כשהוא על סף המוות.	The fetus that escaped through the rift in its mother's uterus into the womb space suffered severe fetal distress until its late release when it was on the verge of death.	no
בשל הסבל העוברי הקשה במהלך לידתו נגרמה לילד נכות נוירולוגית מורכבת.	Due to severe fetal distress during his birth the child was left with a complex neurological disability.	no
נדגיש, כי על מנת לזכות בפיצויים, על התובעים להוכיח, בנוסף להתרשלות, כי מתקיים קשר סיבתי בין התרשלות הצוות הרפואי שהביאה לאי זיהוי התשניק לבין הנזק שנגרם ליילוד, כלומר שהנזק נגרם עקב הרשלנות כאמור ולא מאף סיבה או גורם אחרים.	We emphasize that in order to win compensation, the plaintiffs must prove, in addition to negligence, that there is a causal relationship between the negligence of the medical staff that led to the failure to identify the lactating mother and the damage caused to the newborn, that is, that the damage was caused by such negligence and not by any other cause or factor.	no
בחינת הקשר הסיבתי תתבצע באמצעות בחינת מדדים רפואיים שעל פי הספרות הרפואית רק בהתקיימותם מתקיים קשר סיבתי בין התשניק לבין הפגיעה המוחית.	The causal relationship will be examined using medical criteria that the medical literature has found to be the only causal relationship between the stroke and the brain injury.	no
בין היתר נבחנים המדדים של רמת החומציות בדמו של העובר, ציוני האפגר שלו, קיומה של פגיעה נוירולוגית ומערכתית ועוד.	Among other things, the fetus' blood acidity index, its appendix scores, the presence of neurological and systemic damage, and more are tested.	no
פטירת העובר	Death of the fetus	no
שלב הלידה האקטיבית	The active birth stage	no
שלב הלידה האקטיבית מתחיל כשפתיחת צוואר הרחם מגיעה לקוטר של 10 סנטימטר ומסתיים בלידתו של התינוק.	The active stage of labor begins when the cervix opening reaches a diameter of 10 centimeters and ends with the birth of the baby.	no
למרבה הצער, מרבית הסיבוכים הרפואיים מתרחשים במהלך שלב קריטי זה.	Unfortunately, most medical complications occur during this critical phase.	no
שיהוי בלידה והימנעות מביצוע ניתוח קיסרי	Having a baby and avoiding a C-section	no
במקרים מסוימים, מתפתחת לידה דיספונקציונלית, קרי, חוסר התקדמות של תהליך הלידה האקטיבית.	In some cases, dysfunctional birth develops, i.e., the lack of progress of the active birth process.	no
במצבים כאלה נהוג לבצע ניתוח קיסרי, על מנת למנוע נזקים שונים העלולים להיגרם לעובר עקב העיכוב בלידה.	In such cases, a caesarean section is performed to prevent various possible fetal injuries due to delayed delivery.	no
"ישנם מקרים בהם אי ביצוע ניתוח קיסרי במועד עלול לגרום נזק בלתי הפיך לעובר", הסבירה לנו עו"ד רייף-ליגנזה.	"There are cases where failure to perform a C-section on time could cause irreversible harm to the fetus", explained lawyer Rafe-Ligonza.	no
"לדוגמה, ניהלנו תביעת רשלנות רפואית של מות ילודה שנגרם בשל איחור משמעותי בביצוע ניתוח קיסרי.	"For example, we have filed a medical malpractice claim of a child's death caused by a significant delay in performing a cesarean section.	no
בניגוד לכל פרקטיקה רפואית מוכרת, לא השכילו אנשי הצוות הרפואי לזהות את המצוקה העוברית ולבצע ניתוח קיסרי למרות התקדמות איטית במיוחד של הלידה.	Contrary to any accepted medical practice, the medical staff had not been trained to recognize fetal distress and perform a cesarean section despite the extremely slow progress of the birth.	no
האיחור בביצוע הניתוח גרם לנזק רב מערכתי לילודה אשר הוביל לבסוף למותה בסמוך לאחר לידתה".	The delay in performing the operation caused extensive systemic damage to Lilouda which eventually led to her death shortly after birth".	no
רשלנות בלידת ואקום	Negligence in the birth of a vacuum	no
במצבים בהם נשקפת לאם או לעובר סכנה משמעותית המחייבת סיום מהיר במיוחד של הלידה, מתבצעת לעתים לידת ואקום (שולפן ריק).	In situations where the mother is pregnant or the fetus is in significant danger requiring a particularly rapid termination of the birth, a vacuum birth is sometimes performed.	no
בתהליך זה מצמידים באמצעות ואקום "כיפה" לראשו של העובר ומושכים החוצה בכח את העובר.	In this process, a vacuum dome is attached to the fetus' head and the fetus is forcibly pulled out.	no
מטבע הדברים פעולה זו כרוכה בסכנות ועלולה לגרום לנזקים הן לעובר והן ליולדת ועל כן מחייבת זהירות, דיוק ומיומנות רבה.	This is inherently dangerous and can cause harm to both the fetus and the child, and it requires great care, precision, and skill.	no
באירועים אלו רשלנות רפואית עלולה להתבטא בכך שהרופא אינו מקפיד על ההנחיות המחייבות ומבצע את הפעולה למרות קיומה של התוויית נגד, כגון כאשר ראש העובר גבוה מדי באגן, או מבצע אותה במשך זמן ארוך מהמותר או כאשר למרות כישלון מספר ניסיונות רב ממשיך הרופא וחוזר על הפעולה יותר ממספר הניסיונות המותר.	In these cases, medical malpractice may be manifested by the physician not following the mandatory instructions and performing the operation despite the existence of contraindications, such as when the fetal head is too high in the pelvis, or performing it for too long or when despite the failure of several attempts the physician continues and repeats the operation more than the number of attempts allowed.	no
במקרים אלו אם פעולת הוואקום הרשלנית גרמה ליילוד נזק – בין היתר היא עלולה לגרום לנזק גולגלתי ודימומים העלולים לגרום להתפתחות נזק מוחי – יש מקום להגשת תביעה נזיקית.	In these cases if the negligent vacuum operation caused birth defects  among others it could cause cranial damage and bleeding that could cause the development of brain damage  there is room for a damages claim.	no
שיתוק על שם ERB	Paralysis on the name of ERB	no
שיתוק על שם ארב, הנה פגיעה עצבית מולדת במקלעת הברכיאלית (צומת עצבים המחבר את עמוד השדרה לחלק העליון של הכתף) וכאשר היא מתרחשת במהלך הלידה ראוי לבדוק האם הנזק ארע כתוצאה מרשלנות הצוות המיילד.	Paralysis of the spine, here's congenital nerve damage in the cervical spine and when it occurs during childbirth it's worth checking to see if the damage was caused by the negligence of the delivery team.	no
הפגיעה מתבטאת בחולשת שרירי היד ויכולה להגיע עד שיתוק מלא של כל הזרוע.	The injury manifests in weakness of the hand muscles and can reach a complete paralysis of the entire arm.	no
שיתוק זה נגרם לא פעם בשל קושי בהוצאתו של היילוד בשל התרחשות 'פרע כתפיים' - מצב חירום מיילדותי המרחש כאשר כתפיו של העובר נכלאות בפנים תעלת הלידה לאחר שראשו יצא.	This paralysis is often caused by difficulty in delivering the newborn due to the occurrence of shoulder fleas - a maternity emergency that whispers when the fetus' shoulders are trapped inside the birth canal after its head has come out.	no
מתי עליכם לחשוד שהשיתוק נגרם כתוצאה מרשלנות רפואית?	When should you suspect that the paralysis was caused by medical negligence?	no
במקרים שבהם הערכת משקלו של העובר הצביעה על כך שמדובר בעובר מקרוסומי, כלומר שהוא צפוי להיוולד במשקל העולה על 4.5 קילוגרם ובהתאם להנחיות עדיף ליילד את האם בניתוח קיסרי.	In cases where the fetal weight estimate indicated that the fetus was macrosomal, meaning that it was expected to be born weighing more than 10 pounds (4.5 kg) and according to guidelines it is preferable to deliver the mother by cesarean section.	no
כאשר המשקל של היילוד הינו מעל 4 קילוגרם יש לשקול ניתוח קיסרי לאור גורמי הסיכון ובהם סכרת הריון והתארכות השלב השני של הלידה.	When the newborn weighs more than 10 pounds, a cesarean section should be considered in light of risk factors including gestational diabetes and prolonged second stage labor.	no
במקרה שהצוות הרפואי מתעלם מהערכת משקל חריגה של העובר או מגורמי סיכון נוספים ובוחר להמשיך בלידה וגינלית ומתממש הסיכון לפרע כתפיים ושיתוק ע"ש ERB, קיימת אפשרות סבירה כי מדובר ברשלנות רפואית.	In the event that the medical team ignores the fetal weight abnormality or other risk factors and chooses to proceed with a vaginal birth and the risk of shoulder dislocation and ERB paralysis is realized, there is a reasonable possibility that medical negligence is involved.	no
ואכן, ב-ע"א 2694/90, קבע בית המשפט העליון כי "הסיכון שבמהלך לידה תתרחש היצרות כתפיים ניתן לחיזוי מראש במידה כזו או אחרת של דיוק, והדרך למניעתה של היצרות כתפיים, מקום בו קיים חשש להתרחשותה היא עריכת ניתוח קיסרי".	Indeed, in U.S.C. 2694/90 the Supreme Court ruled that "the risk of shoulder deformity during childbirth can be predicted with varying degrees of accuracy, and the way to prevent shoulder deformity where it is suspected is by cesarean section".	no
שלב יציאת השליה	The placenta is released	no
הפרדת השלייה מהרחם ויציאתה מתרחשת בשל התכווצות הרחם לאחר יציאת היילוד והיא מלווה בדימום.	The separation of the placenta from the uterus and its exit occurs due to uterine contractions after the baby's exit and is accompanied by bleeding.	no
התהליך נמשך במרבית המקרים עד חצי שעה מרגע יציאתו של התינוק ועל פי רב מתרחש באופן ספונטני, ללא מעורבות הצוות הרפואי.	The process usually lasts up to a half hour from the time the baby is delivered and is often spontaneous, without the involvement of the medical staff.	no
לאחר יציאת השלייה, יבדוק הצוות הרפואי האם היא יצאה בשלמותה או שמא נותרו חלקי שליה ברחם.	After the discharge, the medical team will check to see if she's completely discharged or if there are any parts of her uterus left.	no
במסגרת שלב זה, עשויים להתרחש סיבוכים שעלולים לגרום נזקים חמורים ליולדת.	At this stage, complications can occur that can cause serious damage to the fetus.	no
אחד הסיבוכים המוכרים כתוצאה מהיוותרות שאריות שלייה ברחם קרוי "תסמונת אשרמן", הצטלקות דופן הרחם תוצאת דלקת הנגרמת בשל היוותרות שאריות שלייה ברחם, תופעה הפוגעת ברירית הרחם באופן שלא מאפשר השרשת היריון.	One of the most common complications of uterine prolapse is called Ashman's syndrome, a uterine scar caused by inflammation caused by uterine prolapse, a condition that affects the lining of the uterus in a way that prevents pregnancy.	no
לכן במקרים בהם לא זיהה הצוות הרפואי כי נותרו שאריות שליה או לא נקט בכל האמצעים למנוע פגיעה ברירית הרחם למרות החשד לשאריות שליה ברחם יתכן ומדובר ברשלנות רפואית והמקרה ראוי לבדיקה מעמיקה ע"י עורך דין מנוסה בתחום.	So in cases where the medical team did not identify that she had residual uterine fibroids or did not take all the necessary measures to prevent uterine fibroids from being damaged despite the suspicion of uterine residual uterine fibroids, it may be a case of medical negligence and the case deserves a thorough examination by an experienced lawyer.	no
פטירת היולדת	Death in childbirth	no
פטירת יולדת במהלך הלידה הינו אירו נדיר למדי.	Maternal death during childbirth is a rather rare occurrence.	no
במקרים אלו, האירוע שהיה אמור להביא אושר ושמחת חיים לכל המשפחה הופך, למרבה הצער, לאירוע הטראגי ביותר עבורה.	In these cases, the event that should have brought happiness and joy to the whole family turns, unfortunately, into the most tragic event for her.	no
במקרים מסוימים לא מאתר הצוות הרפואי דימום אצל היולדת במועד או מגיב באיחור לדימום כאמור.	In some cases, the medical team does not detect bleeding in the mother on time or responds late to such bleeding.	no
"לדוגמה...", מסרה לנו עו"ד רייף-ליגנזה, "משרדנו הגיש תביעה שעניינה מות יולדת, כאשר באותו מקרה הצוות הרפואי התעלם ולא הגיב לסימניה החיוניים המדאיגים של היולדת, משך שעות ארוכות, ואיחר באבחון דימום מאסיבי ובלתי נשלט שהתרחש כסיבוך ידוע של מחלת הרקע שממנה סבלה".	"For example", explained Attorney Reif-Ligenza, "our office filed a lawsuit concerning the death of a newborn, in which the medical staff ignored and failed to respond to the worrying vital signs of the newborn for long hours, and later diagnosed massive and uncontrollable bleeding that occurred as a known complication of the underlying disease she suffered from".	no
"במקרה אחר...", מסרה עו"ד רייף-ליגנזה, "ייצג משרדנו את קרוביה של יולדת שנפטרה לאחר לידת תאומים עקב דימום שמקורו היה בחתך הניתוח הקיסרי שלא נתפר כראוי.	"In another case", said Attorney Reif-Ligenza, "our firm represented the relatives of a woman who died after giving birth to twins due to bleeding from an improperly sutured caesarean section.	no
באותו מקרה היולדת התלוננה על כאבים קשים וחולשה לאחר הניתוח אולם הצוות הרפואי לא התייחס כיאות לתלונותיה ומצבה הקליני, הגיב באיחור רק לאחר שמערכות גופה החלו לקרוס, דבר שהביא לפטירתה".	In the same case, the woman complained of severe pain and weakness after the operation, but the medical staff did not properly address her complaints and her clinical condition, responding only after her body systems began to collapse, which led to her death".	no
אובדן רחם	Loss of uterus	no
במקרים חמורים עלולה רשלנות רפואית בלידה להוביל לכריתת רחם מספרת עו"ד רייף לינגזה: "משרדנו ניהל תביעה כנגד בית חולים שבבסיסה כריתת רחם עקב רשלנות רפואית לאחר הלידה.	In severe cases, medical negligence at birth can lead to a hysterectomy, says lawyer Rafe Lingza: "Our office has filed a lawsuit against a hospital that performed a hysterectomy because of medical negligence after birth.	no
באותו מקרה היולדת, צעירה בת 31, איבדה את רחמה בשל חוסר טיפול נאות בדימום מסיבי שנצפה על ידי הצוות הרפואי לאחר הלידה ולמרות זאת לא ננקטו בזמן הפעולות שיכלו למנוע את הנזק".	In that case the mother, a young woman of 31, lost her uterus due to inadequate treatment of massive bleeding observed by the medical staff after birth and yet no timely action was taken that could have prevented the damage".	no
מהם הפיצויים הנפסקים בתביעות בגין רשלנות רפואית בלידה?	What are the damages awarded in medical malpractice at birth?	no
פיצוי יילוד בגין פגיעה עקב רשלנות רפואית בלידה כולל רכיבי נזק רבים, כאשר הסכומים המשמעותיים ביותר ניתנים עבור כאב וסבל, סיעוד וטיפול בשכר, הפסדי שכר ופנסיה לנפגע ואף להוריו ורכיבי נזק נוספים.	Maternity compensation for injury due to medical negligence at birth includes many damage components, with the most significant amounts being for pain and suffering, nursing and paid care, loss of wages and pension to the injured and even to his parents and other damage components.	no
הפיצוי שנפסק לקטין פגוע עבור הפסדי שכר ופנסיה מחושב במרבית המקרים על בסיס השכר הממוצע במשק.	Compensation paid to an injured minor for lost wages and pensions is calculated in most cases on the basis of the average wage in the economy.	no
כמו כן, כולל הפיצוי גם הוצאות רפואיות, עלות אביזרים רפואיים ושיקומיים, עלות התאמת דיור לצרכי התינוק, ניידות ועוד.	Also, the compensation includes medical expenses, the cost of medical and rehabilitation equipment, the cost of adapting the home to the needs of the baby, mobility and more.	no
"סכום הפיצוי נקבע בכל מקרה לגופו ועל פי נסיבותיו" מספרת עו"ד רייף-ליגנזה והיא מוסיפה ומציינת כי "כיום מרבית התביעות בעילה של רשלנות רפואית מסתימות בפשרה המשקללת את הסיכוי והסיכון שיש לכל צד בניהול ההליך", ואולם הוסיפה עוה"ד וסיפרה כי "ישנם מקרים בהם מסתיים ההליך רק בפסק דין, שאז אם התביעה לא נדחית יקבלו התובעים פיצוי מלא על כל נזקיהם ולדוגמה, במסגרת תביעה שניהל משרדנו, פסק בית המשפט המחוזי לקטין שנגרם לו שיתוק מוחין עקב איחור בזיהוי מצוקה עוברית פיצוי העולה על עשרה מיליון שקלים".	"The amount of compensation was determined in each case for his body and according to his circumstances", says lawyer Reif-Ligenza. She adds that "today most medical malpractice claims end in a settlement that weighs the chance and risk that each party has in the management of the procedure", but she added that "there are cases where the procedure ends only in a judgment, which then if the claim is not rejected, the claimants will receive full compensation for all their damages and for example, in a lawsuit conducted by our office, the district court ruled for a minor who suffered a cerebral palsy due to a delay in seeing a distress settlement. The compensation exceeds ten million shekels".	no
לסיכום	In conclusion	no
רשלנות רפואית בלידה היא ללא ספק חלום הבלהות של כל משפחה.	Medical malpractice at birth is undoubtedly every family's nightmare.	no
במקרים אלו בחינה משפטית נכונה של השתלשלות האירועים שגרמו לתוצאה הטראגית, ע"י עו"ד מיומן בניהול תביעות בעילה של רשלנות רפואית, יוכלה לסייע לכם לזכות בפיצויים שאתם ראויים להם.	In these cases, a proper judicial review of the chain of events that led to the tragic outcome, by a lawyer trained in handling medical malpractice claims, can help you get the compensation you deserve.	no
זאת הסיבה לשכיחות של מחלת העיניים קרטוקונוס בדרום	That's why the prevalence of Keratoconus eye disease in the South	yes
מחקר העלה כי קיים קשר בין התפתחות המחלה לנישואי קרובים •	• A study has suggested that there is a link between the development of the disease and consanguineous marriage	yes
השכיחות הגבוהה ביותר נמצאה במגזר הבדואי •	The highest prevalence was found in the Bedouin sector	yes
מומחה: "ייתכן שבכל מגזר עם הרבה חתונות בין בני דודים, נמצא שכיחות גבוהה למחלה".	Expert: "It may be that in any sector with a lot of cousin marriages, there is a high incidence of the disease".	yes
קרטוקונוס היא מחלת עיניים תורשתית שגורמת לכמה ליקויי ראייה.	Keratoconus is an inherited eye disease that causes some visual impairment.	yes
חשוב מאוד לאבחן אותה בהקדם, ולמצוא פתרונות נכונים למניעת החמרת המצב.	It's very important to diagnose it early, and find the right solutions to prevent it from getting worse.	yes
בשנים האחרונות, נערכו כמה מחקרים שעוזרים להבין כיצד מתפתחת המחלה, ופותחו טיפולים חדשניים.	In recent years, some studies have been conducted to help understand how the disease develops, and new treatments have been developed.	yes
המחקרים החדשים נותנים ביסוס מחקרי לחשד בדבר היותה של מחלת העיניים קרטוקונוס מחלה גנטית.	The new studies provide a scientific basis for suspecting that Keratoconus eye disease is a genetic disease.	yes
מחקר מהתקופה האחרונה, שעסק בהפיכת צורת הקרנית מכיפה לחרוט, גילה שהסיבה למחלה ולחולשה של הקרנית ולהתעוותות הצורה שלה קשורה לחוסר איזון אנזימי, שבעקבותיו הרדיקלים החופשיים עלולים לפגוע בחלבונים שבקרנית - והמבנה שלה ישתנה.	A recent study that looked at the shape of the cornea from dome to cone found that the cause of corneal disease and weakness and deformation is related to an enzyme imbalance, where free radicals can damage proteins in the cornea - and its structure changes.	yes
המקור לאותו חוסר באנזימים הוא גנטי, עובדה המחזקת את ההשערה שקרטוקנוס היא מחלה תורשתית.	The source of that enzyme deficiency is genetic, a fact that supports the hypothesis that keratoconus is an inherited disease.	yes
לדברי פרופ' אריאלה גורדון-שאג, ראש החוג למדעי האופטומטריה במכללה האקדמית הדסה, "במחקר שפורסם בתחום בקרב סטודנטים ערבים בחיפה, נמצאה שכיחות של קרטוקונוס של 3.2%.	According to Prof. Ariella Gordon-Shag, head of the Department of Optometry Sciences at Hadassah Academic College, "In a study published in the field among Arab students in Haifa, the prevalence of keratoconus was found to be 3.2%.	no
השכיחות הכי גבוהה הייתה אצל סטודנטים מהמגזר הבדואי - 20% היו עם קרטוקונוס, אבל היה מדגם יחסי קטן".	The highest prevalence was among students from the Bedouin sect - 20% had karatokonos, but there was a relatively small sample".	no
החוקרת הוסיפה שמדובר בממצא לא מפתיע: "יש שכיחות גדולה של קרטוקונוס במגזר הבדואי.	The researcher added that this is not a surprising finding: "Cartoconus is very common in the Bedouin sector.	no
במחקרים שלנו מצאנו שנישואי קרובים הם גורם סיכון למחלת קרטוקונוס.	In our studies, we found that consanguineous marriages are a risk factor for cartoconus.	no
