Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel fest	yes
You land the flyer nose upward on the side of the slag heap and climb out. The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them. You halt while still on the mound of crumbled rock and soil and speak to them, saying, 'I come in peace, as a friend.' It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer. You decide to use your Psychic Awareness to contact them mentally. It is difficult to make sense of their thoughts; they are terrifyingly alien and your mind recoils from the contact. You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future. Once back in Falcon's Wing you find it quite easy to plot a course for Earth in 3034 AD. Note that you have used up another polybdenum rod as you jump.	Du landest den Flieger mit der Nase nach oben an der Seite der Halde und kletterst hinaus. Die achtäugigen Repniden scheinen dich zu beobachten, aber sie bewegen sich nicht auf dich zu, sondern stehen still, während du langsam auf sie zugehst. Du bleibst auf dem Hügel aus zerbröckeltem Gestein und Erde stehen, sprichst zu ihnen und sagst: "Ich komme in Frieden, als Freund". Es scheint, dass sie dich nicht hören, geschweige denn verstehen können, denn dein Universalübersetzer empfängt keine Antwort. Sie beschließen, Ihr übersinnliches Bewusstsein einzusetzen, um geistig mit ihnen Kontakt aufzunehmen. Es ist schwierig, ihre Gedanken zu verstehen; sie sind erschreckend fremd, und dein Geist schreckt vor dem Kontakt zurück. Du beschließt, dass eine erneute Kontaktaufnahme gefährlich wäre, und kehrst zu deinem Fluggerät zurück, aber die Erfahrung hat deinen Geist geklärt, der seit deinem Sprung in die Zukunft verwirrt war. Zurück in der Falcon's Wing fällt es Ihnen leicht, einen Kurs zur Erde im Jahr 3034 n. Chr. zu setzen. Beachten Sie, dass Sie beim Sprung einen weiteren Polybdän-Stab verbraucht haben.	yes
[cont'd]	[Forts.]	no
#today I have coffee, sunshine and quiet time! I started a new shawl. I am unsure of it at this time. I found a unevenly spun silver gray yarn that is mostly finely spun with lumps. I plan on mixing it with a fine purple/lilac variegated cotton. But am not sure I have enough of the purple. I am using a H hook with a similar double crochet pattern as I have done before. I made the first join last night so we shall see. Wishing everyone a happy Thursday!	#Heute habe ich Kaffee, Sonnenschein und Zeit für Ruhe! Ich habe ein neues Tuch angefangen. Ich bin mir im Moment noch nicht sicher. Ich habe ein ungleichmäßig gesponnenes silbergraues Garn gefunden, das meist fein gesponnen ist und Klumpen hat. Ich habe vor, es mit einem feinen lila/fliederfarbenen Baumwollgarn zu mischen. Ich bin mir aber nicht sicher, ob ich genug von dem Lila habe. Ich verwende eine H-Nadel mit einem ähnlichen Doppelhäkelmuster, wie ich es schon einmal gemacht habe. Ich habe gestern Abend die erste Masche gemacht, also werden wir sehen. Ich wünsche allen einen schönen Donnerstag!	yes
However, I hate classes on fine arts and literature, and my school history bears it out.	Allerdings hasse ich den Unterricht in Kunst und Literatur, und meine Schulgeschichte bestätigt das.	yes
I have literally tried and dropped EVERY SINGLE ONE. And up until like two years ago, I had no idea until I checked my transcripts.	Ich habe buchstäblich JEDEN EINZELNEN versucht und fallen gelassen. Und bis vor etwa zwei Jahren hatte ich keine Ahnung, bis ich meine Zeugnisse überprüft habe.	yes
The literature class hatred is even worse: I love to read. I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.	Der Hass auf den Literaturunterricht ist noch schlimmer: Ich liebe es, zu lesen. Ich habe die meisten Klassiker gelesen, bevor ich achtzehn war - obwohl das eher darauf zurückzuführen ist, dass ich in einem beschissenen Nirgendwo lebe, habe ich auch die Encyclopedia Brittanica von 1979 aus Verzweiflung gelesen.	yes
My home is comfortable and wonderful and I am happy there, but I have to be somewhere else in order to chill enough to read fiction during the day without feeling guilty. It's like I'm on holidays and therefore am doing what one does on holidays.	Mein Zuhause ist gemütlich und wunderschön, und ich bin dort glücklich, aber ich muss woanders sein, um mich genug zu entspannen, um tagsüber Belletristik zu lesen, ohne mich schuldig zu fühlen. Es ist, als ob ich im Urlaub wäre und deshalb das tue, was man im Urlaub tut.	yes
And that's also even though I haven't slept as well here for the last two nights as I do at home, and get a little #MECFS ed out from simply being in a strange environment where I'm less able to pace myself and have to remember where things are.	Und das, obwohl ich hier in den letzten beiden Nächten nicht so gut geschlafen habe wie zu Hause und ein wenig #MECFS-erregt bin, einfach weil ich mich in einer fremden Umgebung befinde, in der ich mich nicht so gut einteilen kann und mir merken muss, wo etwas ist.	yes
And that's also even though I do still have my to-do list and am organising my life as well.	Und das, obwohl ich immer noch meine To-Do-Liste habe und auch mein Leben organisiere.	yes
Humanity is out in 5 days. It's exciting, nerve-wracking, stressful, and all the good things that I love about working in games. What will people think of it? I like it but will it be able to attract an audience of the right players? Will a community blossom around the user-generated content piece of the game? (I am really hoping so.) The game's story, ideas and questions it inspires feel timely. Hoping things go well.	Humanity wird in 5 Tagen veröffentlicht. Es ist aufregend, nervenaufreibend, stressig und all die guten Dinge, die ich an der Arbeit in der Spielebranche liebe. Was werden die Leute davon halten? Mir gefällt es, aber wird es auch die richtigen Spieler anziehen können? Wird sich eine Community rund um die benutzergenerierten Inhalte des Spiels entwickeln? (Ich hoffe es wirklich.) Die Geschichte des Spiels, die Ideen und die Fragen, zu denen es anregt, wirken zeitgemäß. Ich hoffe, dass die Dinge gut laufen.	yes
It's ThinkPad day!! Came home on my lunch break to see this sitting outside uwu. Wish I could take it back to work with me to setup more. But that will have to wait till tonight.	Es ist ThinkPad Tag!! Als ich in meiner Mittagspause nach Hause kam, sah ich dieses Gerät vor der uwu stehen. Ich wünschte, ich könnte es mit zur Arbeit nehmen, um mehr einzurichten. Aber das wird bis heute Abend warten müssen.	yes
So I finally watched #Heartstopper	Also habe ich endlich #Heartstopper gesehen	yes
Was it overly cute to the point of being twee? Most definitely	War es zu niedlich, um nicht zu kitschig zu sein? Auf jeden Fall	yes
Do any of these characters talk human beings? Not even remotely	Spricht eine dieser Figuren wie ein Mensch? Nicht einmal im Entferntesten	yes
But did I love it? Absolutely!	Aber hat es mir gefallen? Auf jeden Fall!	yes
what was Olivia Coleman doing here? Did she owe someone money?	Was hat Olivia Coleman hier gemacht? Schuldete sie jemandem Geld?	yes
Had a recent graduate artist take some critique badly tonight. In part, because they'd be taught badly. But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes. Especially with the competition.	Ein Künstler, der gerade seinen Abschluss gemacht hat, hat heute Abend einige Kritiken schlecht aufgenommen. Zum Teil, weil sie schlecht unterrichtet wurden. Aber es ist wichtig, sich nicht für Probleme zu entschuldigen und sie einfach zu beheben, vor allem in der Produktion, wenn sich die Führung ändern muss. Vor allem bei der Konkurrenz.	yes
Every artist has been there, made the same mistakes. Good critique is there to correct the problem quickly, and isn't directed at your ability. It's assuming you have the ability to fix the problem, or find a solution.	Jeder Künstler hat schon einmal dieselben Fehler gemacht. Gute Kritik ist dazu da, das Problem schnell zu beheben, und richtet sich nicht gegen Ihre Fähigkeiten. Sie geht davon aus, dass Sie die Fähigkeit haben, das Problem zu beheben oder eine Lösung zu finden.	yes
So while composting and bloom scrolling are a wonderful reminder to look up, and be aware of life beyond the screen. It is as important to explore servers and IP addresses. Watch seeds being sown & cultivated (and not randomly scattered) by good peeps. These roots are hidden. Work is not visible. But for strong and firm future growth.	Während des Kompostierens und des Blühens sind sie eine wunderbare Erinnerung daran, nach oben zu schauen und sich des Lebens jenseits des Bildschirms bewusst zu sein. Es ist ebenso wichtig, Server und IP-Adressen zu erkunden. Beobachten Sie die Samen, die von guten Menschen gesät und kultiviert (und nicht wahllos verstreut) werden. Diese Wurzeln sind versteckt. Die Arbeit ist nicht sichtbar. Aber für ein starkes und festes zukünftiges Wachstum.	yes
Jami slipped the note to him when they passed each other on the path, just before the dog watch. She was on her way to the wall, he was coming off duty. He glanced behind him to watch her go, and to make sure they hadn't been seen. She did not look back. He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains. One block-printed word. He spent a long time staring at it, trying to stay calm:	Jami steckte ihm den Zettel zu, als sie auf dem Weg aneinander vorbeigingen, kurz vor der Hundewache. Sie war auf dem Weg zur Mauer, er hatte gerade Dienstschluss. Er warf einen Blick hinter sich, um zu sehen, wie sie ging, und um sicherzugehen, dass sie nicht gesehen worden waren. Sie blickte nicht zurück. Er wartete, bis er in der Dunkelheit des Schlafzimmers war, bevor er den Zettel herauszog und ihn in einem Lichtstrahl las, der durch die Verdunkelungsvorhänge fiel. Ein einziges in Blockschrift gedrucktes Wort. Er starrte es lange an und versuchte, ruhig zu bleiben:	yes
I've met some marvelous new #Mastodon mates lately and want to maintain the trend. Calling into the #Fediverse makes me feel like a whale singing through the vast ocean! Want to join my "pod"? I'd particularly like to connect with more.	Ich habe in letzter Zeit einige wunderbare neue #Mastodon-Kollegen kennengelernt und möchte diesen Trend fortsetzen. Wenn ich das #Fediversum anrufe, fühle ich mich wie ein Wal, der durch den weiten Ozean singt! Möchten Sie sich meiner "Schote" anschließen? Ich würde mich besonders gerne mit mehr Menschen verbinden.	yes
Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn. He helped make Chris Licht a national problem.	Alle, die sich über CNN aufregen, können Stephen Colbert für die harte Rechtskurve danken. Er hat dazu beigetragen, Chris Licht zu einem nationalen Problem zu machen.	yes
Much as we might like some folks, if they are just providing a minor league career to fascists, they probably should wear it.	So sehr wir manche Leute auch mögen mögen, wenn sie Faschisten nur eine Nebenkarriere bieten, sollten sie es vielleicht tragen.	yes
This was the first time (but won't be the last) that Kaveesha Dilhari has both scored 20+ runs & taken 2+ wickets in the same T20I. She joins a select group of Sri Lankan women to have achieved the all-round feat in the format.	Es war das erste Mal (aber nicht das letzte Mal), dass Kaveesha Dilhari mehr als 20 Runs erzielte und mehr als 2 Wickets in einem T20I erzielte. Sie gehört damit zu den wenigen Frauen aus Sri Lanka, die dieses Kunststück in diesem Format vollbracht haben.	yes
(PERSON11) But for some folders, for some reason, the audio format is wrong, so, something is wrongly – Basically, the big trade, or something is wrong. So, some files are still – still have weird output. But – but for most folders, it should be already fine.	(PERSON11) Aber bei einigen Ordnern ist aus irgendeinem Grund das Audioformat falsch, also ist irgendetwas falsch - im Grunde genommen der große Handel oder irgendetwas ist falsch. Also, einige Dateien sind immer noch - immer noch haben seltsame Ausgabe. Aber - aber für die meisten Ordner, sollte es schon in Ordnung sein.	yes
(PERSON1) Okay, thanks.	(PERSON1) Okay, danke.	yes
(PERSON6) Yeah, that's great. I support this, it's great that, [PERSON7], you have thought of [PERSON11]. And [PERSON11] now has the time. There are other things where I was thinking of [PERSON11] and that would be training of, empty systems, so that they do the shortening. So, if you, [PERSON11], had the time. Obviously, there is no way we could do it for next week. But we should really have the system – ready for – I looked at the tutorial from the NLP – was it?	(PERSON6) Ja, das ist großartig. Ich unterstütze das, es ist toll, dass Sie, [PERSON7], an [PERSON11] gedacht haben. Und [PERSON11] hat jetzt die Zeit. Es gibt noch andere Dinge, bei denen ich an [PERSON11] gedacht habe, und das wäre die Schulung von leeren Systemen, damit sie die Verkürzung vornehmen. Also, wenn Sie, [PERSON11], die Zeit hätten. Natürlich ist es unmöglich, dass wir das nächste Woche machen können. Aber wir sollten das System wirklich fertig haben für - ich habe mir das Tutorial vom NLP angeschaut - war es das?	yes
(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.	(PERSON6) Für die kommenden Sitzungen und ich habe mich nach der Nachfrage erkundigt, weil ich die (meme) Projektdemo gesehen habe. Sie machen Offline-Untertitelung. Das ist also etwas einfacher als das, was wir machen. Sie haben immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihr Übersetzungsauftrag wird immer kürzer, einfach weil die Daten immer kürzer werden. Und das liegt daran, dass die Zielgröße die Untertitel sind, die für Hörgeschädigte erstellt werden. Es gibt also eine natürliche Verkürzung der Daten. Es wäre großartig, wenn wir eine solche Art von Daten finden könnten, bei denen eine natürliche Verkürzung stattfindet. Wir würden sie in die Architektur einbauen.	no
(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.	(PERSON8) Das braucht ein bisschen Zeit, weil ich herausfinden muss, welche diejenige ist, die weitergegeben wird. Sobald ich das weiß, kann ich es also für die Zukunft nachverfolgen - oder eigentlich bräuchte ich es für die Zukunft nicht, denn wenn ich erst einmal die Webdatei habe, muss ich wahrscheinlich keine Konvertierung mehr vornehmen.	no
(PERSON6) Well, this, this should actually be – Can you still hear me? The sound quality is a little worse. So, this should really be done, all the time. So, every time we run this evaluation, it should be run from scratch. So, every time, there should be a fresh download of a fresh conversion and a fresh evaluation.	(PERSON6) Nun, das, das sollte eigentlich - Können Sie mich noch hören? Die Tonqualität ist ein bisschen schlechter. Also, das sollte wirklich gemacht werden, immer wieder. Jedes Mal, wenn wir diese Bewertung durchführen, sollte sie von Grund auf neu gemacht werden. Es sollte also jedes Mal ein neuer Download, eine neue Konvertierung und eine neue Bewertung erfolgen.	no
(PERSON8) But still, if I am keeping track of the files that need to be manually converted, so that I can write a script, and it could take care of the known ones at least, and of course, if we add some new files, I can see for that later.	(PERSON8) Aber trotzdem, wenn ich die Dateien, die manuell konvertiert werden müssen, im Auge behalte, kann ich ein Skript schreiben, das sich zumindest um die bekannten Dateien kümmert, und wenn neue Dateien hinzukommen, kann ich das natürlich später nachholen.	no
(PERSON6) So this is an important thing that we should have come across months ago. Remember, it is since August that I've been telling you that we want to evaluate on a later test set. And every time, you all... It is not just you personally, [PERSON8]. There were other things, obviously. But every time you thought about that, you thought "this will be easy, we will just run it". And only when you actually do it, do you see all the problems. So, this is known, common. It is always like that. So that's a message for everybody. Before you try, you never know what the problem will be. So, for example, the call that I had, in which someone was interviewing me, so they wanted to record the video. Zoom never worked as badly for me as it did today for the recording. So, before you do it, you cannot say whether it will work or not. And here we are running into the problems of conversion of the file formats. So, hopefully, we will be able to quickly get the numbers. So, do you have any word error rates so far?	(PERSON6) Das ist also eine wichtige Sache, auf die wir schon vor Monaten hätten kommen müssen. Erinnern Sie sich daran, dass ich Ihnen schon seit August sage, dass wir mit einer späteren Testreihe evaluieren wollen. Und jedes Mal, wenn Sie alle... Es geht nicht nur um Sie persönlich, [PERSON8]. Es gab natürlich noch andere Dinge. Aber jedes Mal, wenn Sie darüber nachdachten, dachten Sie: "Das wird einfach sein, wir machen es einfach". Und erst wenn man es tatsächlich macht, sieht man die ganzen Probleme. Also, das ist bekannt, üblich. Das ist immer so. Das ist also eine Botschaft für alle. Bevor man es versucht, weiß man nie, was das Problem sein wird. Ich hatte zum Beispiel einen Anruf, bei dem mich jemand interviewt hat und das Video aufnehmen wollte. Zoom hat bei mir noch nie so schlecht funktioniert wie heute bei der Aufnahme. Bevor man es also tut, kann man nicht sagen, ob es funktioniert oder nicht. Und hier stoßen wir auf das Problem der Konvertierung der Dateiformate. Wir hoffen also, dass wir die Zahlen schnell bekommen. Haben Sie bisher irgendwelche Wortfehlerquoten?	no
(PERSON8) No, I have not processed it. So [PERSON1] said that, once, they get the transcript, we will do it together.	(PERSON8) Nein, ich habe es nicht bearbeitet. Also hat [PERSON1] gesagt, dass wir das zusammen machen werden, sobald sie die Abschrift bekommen.	no
And then, I agree that there is a lot of noise in this dictionary. So, I asked that you would have various versions of this dictionary by taking only the words that were observed, five times. And only the pronunciations that were observed three times or more, or something like that. So, that way, these random errors, such as the example with this four IBM instead of IBM. This will not be so frequent. But still, you will have the variants in pronunciation, because if the person, says this "alzo", if you remember, if he says this "alzo" with a "Z" 20 times in the in the talk, then you will see that in the data with the "Z". And if he sometimes manages to say also correctly, then yeah, again, you will see that in the data. So, I would like, [PERSON4] to be in touch with [PERSON2]. Maybe you continue on the call, right? I will have to leave now, because I need to give the kids lunch and so on. But please stay on this call and figure out jointly how to use that dictionary. So [PERSON4], please show [PERSON2] what the dictionary is that the system is accepting. Share your screen and show it. And [PERSON2], please, have a look at that and help with converting the dictionary that you emitted to that file. One thing that will still be needed is the language model substitute. But all these words should be known words. So [PERSON4], you need to figure out what words are in the language model. And the words which are in the language model should be simply copied. So, the dictionary will have three col ns. The grapheme, as it is output. One recognized. The phonemes, as [PERSON2] proposed. And there will be multiple lines with different phoneme variations. And the third col n will be also the same again for all of those, and again there will be the same grapheme form. So that is when the language model sees. And I think that this way, these systems should be able to load it. And you will also possibly run into one more problem: that it is not ready for two big custom dictionaries. So, this is also something that has to be tested, but please test it, the two of you together. So [PERSON2] knows what he created in the dictionary. And you know what the dictionary looks like when you are creating it manually, and you need to put these two pieces of knowledge together. Ah, so that it works with the, with the generated dictionary.	Und dann stimme ich zu, dass es in diesem Wörterbuch viel Rauschen gibt. Deshalb habe ich darum gebeten, dass Sie verschiedene Versionen dieses Wörterbuchs erstellen, indem Sie nur die Wörter nehmen, die fünfmal beobachtet wurden. Und nur die Aussprachen, die drei Mal oder öfter beobachtet wurden, oder so etwas in der Art. Auf diese Weise werden diese zufälligen Fehler, wie z.B. das Beispiel mit den vier IBM anstelle von IBM. Das wird nicht so häufig vorkommen. Aber trotzdem werden Sie die Varianten in der Aussprache haben, denn wenn die Person dieses "alzo" sagt, wenn Sie sich erinnern, wenn sie dieses "alzo" mit einem "Z" 20 Mal im Gespräch sagt, dann werden Sie das in den Daten mit dem "Z" sehen. Und wenn er es manchmal schafft, es auch richtig zu sagen, dann ja, auch das wird man in den Daten sehen. Also, ich möchte, dass [PERSON4] mit [PERSON2] in Kontakt bleibt. Vielleicht telefonieren Sie weiter, ja? Ich muss jetzt gehen, weil ich den Kindern das Mittagessen geben muss und so weiter. Aber bitte bleiben Sie in diesem Gespräch und finden Sie gemeinsam heraus, wie Sie das Wörterbuch benutzen können. Also [PERSON4], bitte zeigen Sie [PERSON2], was das Wörterbuch ist, das das System akzeptiert. Teilen Sie Ihren Bildschirm und zeigen Sie es. Und [PERSON2], bitte, sehen Sie sich das an und helfen Sie bei der Konvertierung des Wörterbuchs, das Sie in diese Datei ausgegeben haben. Eine Sache, die noch benötigt wird, ist der Sprachmodell-Ersatz. Aber alle diese Wörter sollten bekannt sein. Also [PERSON4], müssen Sie herausfinden, welche Wörter im Sprachmodell enthalten sind. Und die Wörter, die im Sprachmodell enthalten sind, sollten einfach kopiert werden. Das Wörterbuch wird also drei Spalten haben. Das Graphem, wie es ausgegeben wird. Ein erkanntes. Die Phoneme, wie [PERSON2] vorgeschlagen hat. Und es wird mehrere Zeilen mit verschiedenen Phonemvarianten geben. Und die dritte Spalte wird für alle gleich sein, und wieder wird es die gleiche Graphemform sein. Das ist es also, was das Sprachmodell sieht. Und ich denke, dass diese Systeme auf diese Weise in der Lage sein sollten, es zu laden. Und man wird möglicherweise auf ein weiteres Problem stoßen: Es ist nicht bereit für zwei große benutzerdefinierte Wörterbücher. Das ist also auch etwas, das getestet werden muss, aber bitte testen Sie es, Sie beide zusammen. So weiß [PERSON2], was er im Wörterbuch erstellt hat. Und Sie wissen, wie das Wörterbuch aussieht, wenn Sie es manuell erstellen, und Sie müssen diese beiden Kenntnisse zusammenbringen. Ah, so dass es mit dem, mit dem generierten Wörterbuch funktioniert.	no
(PERSON4) Okay.	(PERSON4) Okay.	no
(PERSON6) So [PERSON2], does this make sense?	(PERSON6) Also [PERSON2], macht das Sinn?	no
(PERSON2) Yeah, sure, we'll discuss it.	(PERSON2) Ja, sicher, wir werden darüber reden.	no
(PERSON6) Yeah, so is there anything else, [PERSON2], that you have?	(PERSON6) Ja, gibt es noch etwas anderes, [PERSON2], das Sie haben?	no
(PERSON2) Well, maybe interesting information for Dominik. I'm finishing training of a German ASR that may be used for time stamping. I'm not sure how good it will be because I'm trying to do it on (Libry) Speech. And, though, when I was downloading it, they claimed it had more than 600 hours. But then the training said that the actual training set contained only around 300 hours. And I'm still not sure whether these 300 hours do not contain similar sentences. Or actually the same sentences but spoken by different speakers. For example, in English or Czech I used to observe steeper conversions. And now it won't convert so fast. So, if we take some samples during the training. Then there are still some serious errors in the ASR output. So, I'm hopeful that for the time stamping, it is good enough. Or at least we might try it.	(PERSON2) Nun, vielleicht eine interessante Information für Dominik. Ich beende gerade die Ausbildung eines deutschen ASR, das für Zeitstempel verwendet werden kann. Ich bin nicht sicher, wie gut es sein wird, weil ich versuche, es mit (Libry) Speech zu machen. Als ich das Programm heruntergeladen habe, hieß es, es habe mehr als 600 Stunden. Aber dann hieß es, dass das eigentliche Trainingsset nur etwa 300 Stunden enthält. Und ich bin mir immer noch nicht sicher, ob diese 300 Stunden nicht ähnliche Sätze enthalten. Oder tatsächlich die gleichen Sätze, aber von verschiedenen Sprechern gesprochen. Im Englischen oder Tschechischen zum Beispiel habe ich früher steilere Konvertierungen beobachtet. Und jetzt werden sie nicht mehr so schnell umgewandelt. Wenn wir also während des Trainings einige Proben nehmen. Dann gibt es immer noch einige gravierende Fehler in der ASR-Ausgabe. Ich bin also zuversichtlich, dass es für die Zeitstempelung gut genug ist. Oder wir können es zumindest versuchen.	no
(PERSON17) Okay, that's good, yeah. So, I started, but I think I never finished an email to you, because you reminded me, [PERSON8], that your profanity filtering is not yet integrated. And I think this is also an important message for [PERSON5], who has disappeared again from the call. So, the important message is that yes, it's very good that you are actively pushing so that your results are integrated, and everybody should do so. And at the same time, we need to have the setup, so that you can actually integrate and test it yourself. So, I call it "do-it-yourself integration". So, [PERSON8], when working with [PERSON5] and when documenting what the setups are, make sure it is tested well enough by colleagues, such as [PERSON4] or even [PERSON9] for the language model checks and everybody else. So, whenever someone develops a new useful component, the full pipeline should be accessible to him reasonably easily, so he can test it himself. So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded. So, you want to provide these people with inputs and outputs as the first testing approach, which has already been done. [PERSON4], right? The profanity filtering, has it been tested on logs? I think it was.	(PERSON17) Okay, das ist gut, ja. Also, ich habe angefangen, aber ich glaube, ich habe nie eine E-Mail an Sie beendet, weil Sie mich daran erinnert haben, [PERSON8], dass Ihr Profanitätsfilter noch nicht integriert ist. Und ich denke, das ist auch eine wichtige Nachricht für [PERSON5], die wieder aus dem Gespräch verschwunden ist. Die wichtige Botschaft ist also: Ja, es ist sehr gut, dass Sie sich aktiv dafür einsetzen, dass Ihre Ergebnisse integriert werden, und jeder sollte das tun. Gleichzeitig müssen wir aber auch die Voraussetzungen schaffen, damit Sie die Ergebnisse selbst integrieren und testen können. Ich nenne es also "Do-it-yourself-Integration". Wenn [PERSON8] also mit [PERSON5] zusammenarbeitet und dokumentiert, wie die Setups aussehen, sollte sie sicherstellen, dass sie von Kollegen wie [PERSON4] oder sogar [PERSON9] für die Sprachmodellprüfungen und allen anderen gut genug getestet wird. Wenn also jemand eine neue nützliche Komponente entwickelt, sollte die gesamte Pipeline für ihn einigermaßen leicht zugänglich sein, damit er sie selbst testen kann. Diese Do-it-yourself-Integration ist also wichtig, denn sonst bleibt alles an Ihnen, [PERSON8], hängen, und Sie wollen nicht überlastet werden. Sie wollen also diesen Leuten Inputs und Outputs als ersten Testansatz zur Verfügung stellen, was bereits geschehen ist. [PERSON4], richtig? Wurde die Profanitätsfilterung an Protokollen getestet? Ich glaube schon.	yes
(PERSON8) Yeah, it was tested on logs, I think. So, now it's time to test it on the live pipelines. And again, I think it's better if [PERSON8] explains to [PERSON4] how to do it, so that [PERSON4] runs it for himself some of the workers and live playing some of the problematic file like using [PROJECT8] or whatever. Simply play them. Follow the sound output on your machine and see how that works. Because only when doing the real setup will the true errors appear. It is important to first debug it, using the log files, and then it's important to debug it in the pipeline. And if this debugging can be done by the author of that component, here, in this case [PERSON4], it would be most efficient for all of us. So, [PERSON8], please confirm that you agree with this idea of like do-it-yourself integration.	(PERSON8) Ja, ich glaube, es wurde an Protokollen getestet. Jetzt ist es also an der Zeit, es an den Live-Pipelines zu testen. Und wieder denke ich, dass es besser ist, wenn [PERSON8] [PERSON4] erklärt, wie man es macht, so dass [PERSON4] es für sich selbst einige der Arbeiter laufen lässt und einige der problematischen Dateien live abspielt, wie mit [PROJECT8] oder was auch immer. Spielen Sie sie einfach ab. Verfolgen Sie die Soundausgabe auf Ihrem Rechner und sehen Sie, wie das funktioniert. Denn erst bei der wirklichen Einrichtung werden die wahren Fehler auftauchen. Es ist wichtig, zuerst die Fehler zu beheben, indem man die Protokolldateien verwendet, und dann ist es wichtig, sie in der Pipeline zu beheben. Und wenn dieses Debugging durch den Autor der Komponente, in diesem Fall [PERSON4], durchgeführt werden kann, wäre das für uns alle am effizientesten. Also, [PERSON8], bitte bestätigen Sie, dass Sie mit dieser Idee der Do-it-yourself-Integration einverstanden sind.	no
(PERSON17) Yeah, so for the multi-accent English. So, we are now [PERSON14] putting that together to just one technical solution. The current idea that [PERSON14] is working on is that he will create new sentences with words that were spoken in other sentences, and he will do this across different speakers. So, it will be really multi-speaker sentences, and therefore the robustness to the different accents of these speakers could be also improved. Ah, so that's one particle experiment. And later on, we may do something more about the multi-accent thing. So, these new sentences will actually try to solve two problems with one experiment. One problem is the implicit language model. So, the ASR system has to see the largest possible set of sentences. And we are going to create new sentences from the text-only language model by adding the sound part to that, so that the language model will be better for the ASR, and the robustness to different speakers would be also better. And in a talk yesterday, I heard another idea. It was during the training. They were dropping out time bands and frequency bands from the sound. So, they were training on disrupted inputs, and that also greatly improved the robustness of the system.	(PERSON17) Ja, also für das Englisch mit mehreren Akzenten. Also, wir sind jetzt [PERSON14] dabei, das zu einer einzigen technischen Lösung zusammenzufügen. Die aktuelle Idee, an der [PERSON14] arbeitet, ist, dass er neue Sätze mit Wörtern erstellt, die in anderen Sätzen gesprochen wurden, und er wird dies über verschiedene Sprecher hinweg tun. Es wird sich also um Sätze handeln, die von mehreren Sprechern gesprochen werden, und somit könnte auch die Robustheit gegenüber den unterschiedlichen Akzenten dieser Sprecher verbessert werden. Ah, das ist also ein Teilchenexperiment. Und später werden wir vielleicht noch etwas mehr über die Sache mit den verschiedenen Akzenten machen. Mit diesen neuen Sätzen wird also versucht, zwei Probleme mit einem einzigen Experiment zu lösen. Das eine Problem ist das implizite Sprachmodell. Das ASR-System muss also die größtmögliche Menge an Sätzen sehen. Und wir werden neue Sätze aus dem reinen Text-Sprachmodell erstellen, indem wir den Tonteil hinzufügen, so dass das Sprachmodell für die ASR besser wird und auch die Robustheit gegenüber verschiedenen Sprechern besser ist. Und gestern habe ich in einem Vortrag eine weitere Idee gehört. Es war während des Trainings. Sie haben Zeit- und Frequenzbänder aus dem Ton herausgenommen. Sie haben also mit unterbrochenen Eingaben trainiert, und das hat die Robustheit des Systems ebenfalls erheblich verbessert.	yes
