Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 nach gewalttätigen Protesten vor britischem Flüchtlingshotel fest	yes
It's ThinkPad day!! Came home on my lunch break to see this sitting outside uwu. Wish I could take it back to work with me to setup more. But that will have to wait till tonight.	Es ist ThinkPad-Tag!! Ich kam in meiner Mittagspause nach Hause, um zu sehen, wie dies außerhalb von uwu saß. Ich wünschte, ich könnte es wieder mit zur Arbeit nehmen, um mehr einzurichten. Aber das muss bis heute Abend warten.	yes
So I finally watched #Heartstopper	Also habe ich mir endlich #Heartstopper	yes
Was it overly cute to the point of being twee? Most definitely	War es übermäßig süß bis zu dem Punkt, an dem es Twee war? Auf jeden Fall	yes
Do any of these characters talk human beings? Not even remotely	Spricht einer dieser Charaktere über Menschen? Nicht einmal im Entferntesten	yes
But did I love it? Absolutely!	Aber habe ich es geliebt? Absolut!	yes
what was Olivia Coleman doing here? Did she owe someone money?	was hat Olivia Coleman hier gemacht? Schuldete sie jemandem Geld?	yes
Had a recent graduate artist take some critique badly tonight. In part, because they'd be taught badly. But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes. Especially with the competition.	Hatte einen frisch graduierten Künstler heute Abend einige Kritik schlecht aufgenommen. Zum Teil, weil sie schlecht unterrichtet würden. Aber es ist wichtig, keine Ausreden für Probleme zu finden und sie einfach zu beheben, insbesondere in der Produktion, wenn Ihr Lead Änderungen benötigt. Vor allem bei der Konkurrenz.	yes
Every artist has been there, made the same mistakes. Good critique is there to correct the problem quickly, and isn't directed at your ability. It's assuming you have the ability to fix the problem, or find a solution.	Jeder Künstler war dort, hat die gleichen Fehler gemacht. Gute Kritik ist dazu da, das Problem schnell zu beheben, und richtet sich nicht an Ihre Fähigkeiten. Es wird davon ausgegangen, dass Sie in der Lage sind, das Problem zu beheben oder eine Lösung zu finden.	yes
So while composting and bloom scrolling are a wonderful reminder to look up, and be aware of life beyond the screen. It is as important to explore servers and IP addresses. Watch seeds being sown & cultivated (and not randomly scattered) by good peeps. These roots are hidden. Work is not visible. But for strong and firm future growth.	Kompostierung und Bloom Scrolling sind also eine wunderbare Erinnerung daran, nach oben zu schauen und sich des Lebens jenseits des Bildschirms bewusst zu sein. Ebenso wichtig ist es, Server und IP-Adressen zu untersuchen. Beobachten Sie, wie Samen von guten Leuten gesät und kultiviert (und nicht zufällig verstreut) werden. Diese Wurzeln sind verborgen. Die Arbeit ist nicht sichtbar. Sondern für ein starkes und festes zukünftiges Wachstum.	yes
Jami slipped the note to him when they passed each other on the path, just before the dog watch. She was on her way to the wall, he was coming off duty. He glanced behind him to watch her go, and to make sure they hadn't been seen. She did not look back. He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains. One block-printed word. He spent a long time staring at it, trying to stay calm:	Jami steckte ihm den Zettel zu, als sie auf dem Weg aneinander vorbeigingen, kurz vor der Hundewache. Sie war auf dem Weg zur Wand, er kam vom Dienst. Er warf einen Blick hinter sich, um sie gehen zu sehen und sich zu vergewissern, dass sie nicht gesehen worden waren. Sie blickte nicht zurück. Er wartete, bis er in der Dunkelheit des Schlafraums war, bevor er den Zettel herauszog und ihn in einem Lichtstrahl las, der durch die Verdunkelungsvorhänge fiel. Ein blockgedrucktes Wort. Er verbrachte lange Zeit damit, es anzustarren und versuchte, ruhig zu bleiben:	yes
I've met some marvelous new #Mastodon mates lately and want to maintain the trend. Calling into the #Fediverse makes me feel like a whale singing through the vast ocean! Want to join my "pod"? I'd particularly like to connect with more.	Ich habe in letzter Zeit einige wunderbare neue #Mastodon Freunde kennengelernt und möchte den Trend beibehalten. Wenn ich in die #Fediverse rufe, fühle ich mich wie ein Wal, der durch den weiten Ozean singt! Möchtest du meinem "Pod" beitreten? Ich würde mich besonders gerne mit mehr verbinden.	yes
Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn. He helped make Chris Licht a national problem.	Jeder, der CNN die Haare in den Segeln hat, kann Stephen Colbert für die harte Rechtskurve danken. Er trug dazu bei, Chris Licht zu einem nationalen Problem zu machen.	yes
Much as we might like some folks, if they are just providing a minor league career to fascists, they probably should wear it.	So sehr wir auch einige Leute mögen mögen, wenn sie Faschisten nur eine Karriere in der Minor League ermöglichen, sollten sie es wahrscheinlich tragen.	yes
This was the first time (but won't be the last) that Kaveesha Dilhari has both scored 20+ runs & taken 2+ wickets in the same T20I. She joins a select group of Sri Lankan women to have achieved the all-round feat in the format.	Dies war das erste Mal (aber es wird nicht das letzte Mal sein), dass Kaveesha Dilhari sowohl 20+ Runs erzielt als auch 2+ Wickets im selben T20I genommen hat. Sie reiht sich in eine ausgewählte Gruppe sri-lankischer Frauen ein, die das Allround-Kunststück in diesem Format vollbracht haben.	yes
(PERSON11) But for some folders, for some reason, the audio format is wrong, so, something is wrongly – Basically, the big trade, or something is wrong. So, some files are still – still have weird output. But – but for most folders, it should be already fine.	(PERSON11) Aber für einige Ordner ist aus irgendeinem Grund das Audioformat falsch, also stimmt etwas nicht – im Grunde genommen der große Handel, oder etwas stimmt nicht. Einige Dateien haben also immer noch eine seltsame Ausgabe. Aber – aber für die meisten Ordner sollte es schon in Ordnung sein.	yes
(PERSON1) Okay, thanks.	(PERSON1) Okay, danke.	yes
(PERSON6) Yeah, that's great. I support this, it's great that, [PERSON7], you have thought of [PERSON11]. And [PERSON11] now has the time. There are other things where I was thinking of [PERSON11] and that would be training of, empty systems, so that they do the shortening. So, if you, [PERSON11], had the time. Obviously, there is no way we could do it for next week. But we should really have the system – ready for – I looked at the tutorial from the NLP – was it?	(PERSON6) Ja, das ist großartig. Ich unterstütze das, es ist großartig, dass du [PERSON7] an [PERSON11] gedacht hast. Und [PERSON11] hat jetzt die Zeit. Es gibt andere Dinge, bei denen ich an [PERSON11] gedacht habe, und das wäre das Training von leeren Systemen, damit sie die Verkürzung übernehmen. Also, wenn du, [PERSON11], die Zeit hättest. Offensichtlich gibt es keine Möglichkeit, dies für nächste Woche zu tun. Aber wir sollten das System wirklich haben – bereit für – ich habe mir das Tutorial aus dem NLP angeschaut – oder?	yes
(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.	(PERSON6) Für die kommenden Sitzungen habe ich nach der Nachfrage gefragt, weil ich die (Meme-)Projektdemo gesehen habe. Sie führen Offline-Untertitel durch. Das ist also etwas einfacher als das, was wir tun. Sie haben immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihre Mission in der Übersetzung verkürzt sich, einfach weil die Daten kürzer werden. Und das liegt daran, dass ihre Zielgröße die Untertitel sind, die für Hörgeschädigte erstellt werden. Es gibt also eine natürliche Verkürzung in den Daten. Es wäre großartig, wenn wir eine solche Art von Daten auch dort lokalisieren könnten, wo eine natürliche Verkürzung stattfindet. Wir würden es in die Architektur einbauen.	no
(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.	(PERSON8) Das dauert ein bisschen, weil ich herausfinden muss, welcher derjenige ist, der Pässe bekommt. Sobald ich das weiß, kann ich es also für die Zukunft im Auge behalten – oder eigentlich würde ich es für die Zukunft nicht mehr brauchen, denn sobald ich die Webdatei habe, muss ich wahrscheinlich keine Konvertierung mehr durchführen.	no
(PERSON6) Well, this, this should actually be – Can you still hear me? The sound quality is a little worse. So, this should really be done, all the time. So, every time we run this evaluation, it should be run from scratch. So, every time, there should be a fresh download of a fresh conversion and a fresh evaluation.	(PERSON6) Nun, das, das müsste eigentlich sein – Kannst du mich noch hören? Die Klangqualität ist etwas schlechter. Das sollte also wirklich die ganze Zeit gemacht werden. Jedes Mal, wenn wir diese Auswertung durchführen, sollte sie von Grund auf neu ausgeführt werden. Daher sollte es jedes Mal einen neuen Download einer neuen Konvertierung und einer neuen Bewertung geben.	no
(PERSON8) But still, if I am keeping track of the files that need to be manually converted, so that I can write a script, and it could take care of the known ones at least, and of course, if we add some new files, I can see for that later.	(PERSON8) Aber trotzdem, wenn ich den Überblick über die Dateien behalte, die manuell konvertiert werden müssen, damit ich ein Skript schreiben kann, und es könnte sich zumindest um die bekannten kümmern, und natürlich, wenn wir einige neue Dateien hinzufügen, kann ich das später sehen.	no
(PERSON6) So this is an important thing that we should have come across months ago. Remember, it is since August that I've been telling you that we want to evaluate on a later test set. And every time, you all... It is not just you personally, [PERSON8]. There were other things, obviously. But every time you thought about that, you thought "this will be easy, we will just run it". And only when you actually do it, do you see all the problems. So, this is known, common. It is always like that. So that's a message for everybody. Before you try, you never know what the problem will be. So, for example, the call that I had, in which someone was interviewing me, so they wanted to record the video. Zoom never worked as badly for me as it did today for the recording. So, before you do it, you cannot say whether it will work or not. And here we are running into the problems of conversion of the file formats. So, hopefully, we will be able to quickly get the numbers. So, do you have any word error rates so far?	(PERSON6) Das ist also eine wichtige Sache, auf die wir schon vor Monaten hätten stoßen müssen. Denken Sie daran, dass ich Ihnen seit August sage, dass wir es in einem späteren Testsatz evaluieren wollen. Und jedes Mal, ihr alle... Es geht nicht nur dir persönlich so, [PERSON8]. Es gab natürlich noch andere Dinge. Aber jedes Mal, wenn man darüber nachgedacht hat, dachte man: "Das wird einfach, wir werden es einfach ausführen". Und erst wenn man es tatsächlich tut, sieht man alle Probleme. Das ist also bekannt, üblich. Das ist immer so. Das ist also eine Botschaft für alle. Bevor Sie es versuchen, wissen Sie nie, was das Problem sein wird. Also zum Beispiel der Anruf, den ich hatte, in dem mich jemand interviewte und das Video aufnehmen wollte. Zoom hat bei mir noch nie so schlecht funktioniert wie heute bei der Aufnahme. Bevor Sie es tun, können Sie also nicht sagen, ob es funktioniert oder nicht. Und hier stoßen wir auf die Probleme der Konvertierung der Dateiformate. Hoffentlich werden wir in der Lage sein, die Zahlen schnell zu erhalten. Also, haben Sie bisher irgendwelche Wortfehlerraten?	no
(PERSON8) No, I have not processed it. So [PERSON1] said that, once, they get the transcript, we will do it together.	(PERSON8) Nein, ich habe es nicht verarbeitet. Also sagte [PERSON1], dass wir es zusammen machen werden, sobald sie das Transkript bekommen.	no
And then, I agree that there is a lot of noise in this dictionary. So, I asked that you would have various versions of this dictionary by taking only the words that were observed, five times. And only the pronunciations that were observed three times or more, or something like that. So, that way, these random errors, such as the example with this four IBM instead of IBM. This will not be so frequent. But still, you will have the variants in pronunciation, because if the person, says this "alzo", if you remember, if he says this "alzo" with a "Z" 20 times in the in the talk, then you will see that in the data with the "Z". And if he sometimes manages to say also correctly, then yeah, again, you will see that in the data. So, I would like, [PERSON4] to be in touch with [PERSON2]. Maybe you continue on the call, right? I will have to leave now, because I need to give the kids lunch and so on. But please stay on this call and figure out jointly how to use that dictionary. So [PERSON4], please show [PERSON2] what the dictionary is that the system is accepting. Share your screen and show it. And [PERSON2], please, have a look at that and help with converting the dictionary that you emitted to that file. One thing that will still be needed is the language model substitute. But all these words should be known words. So [PERSON4], you need to figure out what words are in the language model. And the words which are in the language model should be simply copied. So, the dictionary will have three col ns. The grapheme, as it is output. One recognized. The phonemes, as [PERSON2] proposed. And there will be multiple lines with different phoneme variations. And the third col n will be also the same again for all of those, and again there will be the same grapheme form. So that is when the language model sees. And I think that this way, these systems should be able to load it. And you will also possibly run into one more problem: that it is not ready for two big custom dictionaries. So, this is also something that has to be tested, but please test it, the two of you together. So [PERSON2] knows what he created in the dictionary. And you know what the dictionary looks like when you are creating it manually, and you need to put these two pieces of knowledge together. Ah, so that it works with the, with the generated dictionary.	Und dann stimme ich zu, dass es in diesem Wörterbuch viel Rauschen gibt. Also bat ich Sie, verschiedene Versionen dieses Wörterbuchs zu haben, indem Sie fünfmal nur die Wörter nehmen, die beobachtet wurden. Und nur die Aussprachen, die dreimal oder öfter beobachtet wurden, oder so ähnlich. Auf diese Weise werden diese zufälligen Fehler, wie das Beispiel mit diesen vier IBM anstelle von IBM. Dies wird nicht so häufig der Fall sein. Trotzdem werden Sie die Varianten in der Aussprache haben, denn wenn die Person dieses "alzo" sagt, wenn Sie sich erinnern, wenn sie dieses "alzo" mit einem "Z" 20 Mal im Gespräch sagt, dann werden Sie das in den Daten mit dem "Z" sehen. Und wenn er es manchmal schafft, auch richtig zu sagen, dann ja, wieder, das werden Sie in den Daten sehen. Ich möchte also, dass [PERSON4] mit [PERSON2] in Kontakt steht. Vielleicht setzen Sie den Anruf fort, oder? Ich werde jetzt gehen müssen, weil ich den Kindern Mittagessen geben muss und so weiter. Aber bitte bleiben Sie dran und finden Sie gemeinsam heraus, wie Sie dieses Wörterbuch verwenden können. Also [PERSON4], bitte zeigen Sie [PERSON2], was das Wörterbuch ist, das das System akzeptiert. Geben Sie Ihren Bildschirm frei und zeigen Sie ihn. Und [PERSON2], bitte schauen Sie sich das an und helfen Sie bei der Konvertierung des Wörterbuchs, das Sie in diese Datei ausgegeben haben. Eine Sache, die noch benötigt wird, ist der Ersatz für das Sprachmodell. Aber all diese Wörter sollten bekannte Wörter sein. Sie müssen also [PERSON4] herausfinden, welche Wörter im Sprachmodell enthalten sind. Und die Wörter, die im Sprachmodell enthalten sind, sollten einfach kopiert werden. Das Wörterbuch wird also drei Spalten haben. Das Graphem, wie es ausgegeben wird. Man erkannte. Die Phoneme, wie [PERSON2] vorgeschlagen hat. Und es wird mehrere Zeilen mit unterschiedlichen Phonemvariationen geben. Und die dritte Spalte wird auch für alle wieder dieselbe sein, und wieder wird es die gleiche Graphemform geben. Das ist also der Zeitpunkt, an dem das Sprachmodell sieht. Und ich denke, dass diese Systeme auf diese Weise in der Lage sein sollten, es zu laden. Und Sie werden möglicherweise auch auf ein weiteres Problem stoßen: dass es nicht bereit für zwei große benutzerdefinierte Wörterbücher ist. Das ist also auch etwas, das getestet werden muss, aber bitte testet es, ihr beide zusammen. [PERSON2] weiß also, was er im Wörterbuch erstellt hat. Und Sie wissen, wie das Wörterbuch aussieht, wenn Sie es manuell erstellen, und Sie müssen diese beiden Wissensteile zusammenführen. Ah, damit es mit dem funktioniert, mit dem generierten Wörterbuch.	no
(PERSON4) Okay.	(PERSON4) Okay.	no
(PERSON6) So [PERSON2], does this make sense?	(PERSON6) Also [PERSON2], macht das Sinn?	no
(PERSON2) Yeah, sure, we'll discuss it.	(PERSON2) Ja, sicher, wir werden darüber diskutieren.	no
(PERSON6) Yeah, so is there anything else, [PERSON2], that you have?	(PERSON6) Ja, also gibt es noch etwas, [PERSON2], das du hast?	no
(PERSON2) Well, maybe interesting information for Dominik. I'm finishing training of a German ASR that may be used for time stamping. I'm not sure how good it will be because I'm trying to do it on (Libry) Speech. And, though, when I was downloading it, they claimed it had more than 600 hours. But then the training said that the actual training set contained only around 300 hours. And I'm still not sure whether these 300 hours do not contain similar sentences. Or actually the same sentences but spoken by different speakers. For example, in English or Czech I used to observe steeper conversions. And now it won't convert so fast. So, if we take some samples during the training. Then there are still some serious errors in the ASR output. So, I'm hopeful that for the time stamping, it is good enough. Or at least we might try it.	(PERSON2) Nun, vielleicht interessante Informationen für Dominik. Ich beende die Ausbildung eines deutschen ASR, das für Zeitstempel verwendet werden kann. Ich bin mir nicht sicher, wie gut es sein wird, weil ich versuche, es auf (Libry) Speech zu tun. Und als ich es herunterlud, behaupteten sie, es hätte mehr als 600 Stunden. Aber dann hieß es in der Schulung, dass der eigentliche Trainingssatz nur etwa 300 Stunden umfasste. Und ich bin mir immer noch nicht sicher, ob diese 300 Stunden nicht ähnliche Sätze enthalten. Oder eigentlich die gleichen Sätze, aber von unterschiedlichen Sprechern gesprochen. Zum Beispiel habe ich im Englischen oder Tschechischen steilere Umrechnungen beobachtet. Und jetzt wird es nicht mehr so schnell konvertiert. Also, wenn wir während des Trainings einige Proben nehmen. Dann gibt es noch einige schwerwiegende Fehler in der ASR-Ausgabe. Ich hoffe also, dass es für den Zeitstempel gut genug ist. Oder zumindest versuchen wir es.	no
(PERSON17) Okay, that's good, yeah. So, I started, but I think I never finished an email to you, because you reminded me, [PERSON8], that your profanity filtering is not yet integrated. And I think this is also an important message for [PERSON5], who has disappeared again from the call. So, the important message is that yes, it's very good that you are actively pushing so that your results are integrated, and everybody should do so. And at the same time, we need to have the setup, so that you can actually integrate and test it yourself. So, I call it "do-it-yourself integration". So, [PERSON8], when working with [PERSON5] and when documenting what the setups are, make sure it is tested well enough by colleagues, such as [PERSON4] or even [PERSON9] for the language model checks and everybody else. So, whenever someone develops a new useful component, the full pipeline should be accessible to him reasonably easily, so he can test it himself. So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded. So, you want to provide these people with inputs and outputs as the first testing approach, which has already been done. [PERSON4], right? The profanity filtering, has it been tested on logs? I think it was.	(PERSON17) Okay, das ist gut, ja. Also habe ich angefangen, aber ich glaube, ich habe nie eine E-Mail an Sie beendet, weil Sie mich daran erinnert haben, [PERSON8], dass Ihre Obszönitätsfilterung noch nicht integriert ist. Und ich denke, das ist auch eine wichtige Botschaft für [PERSON5], die wieder aus dem Anruf verschwunden ist. Die wichtige Botschaft ist also: Ja, es ist sehr gut, dass Sie aktiv darauf drängen, dass Ihre Ergebnisse integriert werden, und jeder sollte dies tun. Und gleichzeitig müssen wir das Setup haben, damit Sie es tatsächlich selbst integrieren und testen können. Also nenne ich es "Do-it-yourself-Integration". Wenn Sie also mit [PERSON5] arbeiten und dokumentieren, was die Setups sind, stellen Sie sicher, dass es von Kollegen wie [PERSON4] oder sogar [PERSON9] für die Sprachmodellprüfungen und allen anderen gut genug getestet wird. Wenn also jemand eine neue nützliche Komponente entwickelt, sollte ihm die gesamte Pipeline einigermaßen leicht zugänglich sein, damit er sie selbst testen kann. Diese Do-it-yourself-Integration ist also wichtig, denn sonst bleibt alles bei Ihnen, [PERSON8], und Sie wollen nicht überlastet werden. Sie möchten diesen Personen also als ersten Testansatz Inputs und Outputs zur Verfügung stellen, was bereits geschehen ist. [PERSON4], oder? Die Obszönitätsfilterung, wurde sie auf Protokollen getestet? Ich denke, das war es.	yes
(PERSON8) Yeah, it was tested on logs, I think. So, now it's time to test it on the live pipelines. And again, I think it's better if [PERSON8] explains to [PERSON4] how to do it, so that [PERSON4] runs it for himself some of the workers and live playing some of the problematic file like using [PROJECT8] or whatever. Simply play them. Follow the sound output on your machine and see how that works. Because only when doing the real setup will the true errors appear. It is important to first debug it, using the log files, and then it's important to debug it in the pipeline. And if this debugging can be done by the author of that component, here, in this case [PERSON4], it would be most efficient for all of us. So, [PERSON8], please confirm that you agree with this idea of like do-it-yourself integration.	(PERSON8) Ja, es wurde auf Protokollen getestet, glaube ich. Jetzt ist es an der Zeit, es in den Live-Pipelines zu testen. Und wieder denke ich, dass es besser ist, wenn [PERSON8] [PERSON4] erklärt, wie es geht, so dass [PERSON4] es für einige der Arbeiter selbst ausführt und einige der problematischen Dateien wie die Verwendung von [PROJECT8] oder was auch immer live abspielt. Spielen Sie sie einfach. Folgen Sie der Tonausgabe auf Ihrem Computer und sehen Sie, wie das funktioniert. Denn erst bei der eigentlichen Einrichtung treten die wahren Fehler auf. Es ist wichtig, es zuerst mithilfe der Protokolldateien zu debuggen, und dann ist es wichtig, es in der Pipeline zu debuggen. Und wenn dieses Debuggen vom Autor dieser Komponente durchgeführt werden kann, hier, in diesem Fall [PERSON4], wäre es für uns alle am effizientesten. Also, [PERSON8], bitte bestätige, dass du mit dieser Idee der Do-it-yourself-Integration einverstanden bist.	no
(PERSON17) Yeah, so for the multi-accent English. So, we are now [PERSON14] putting that together to just one technical solution. The current idea that [PERSON14] is working on is that he will create new sentences with words that were spoken in other sentences, and he will do this across different speakers. So, it will be really multi-speaker sentences, and therefore the robustness to the different accents of these speakers could be also improved. Ah, so that's one particle experiment. And later on, we may do something more about the multi-accent thing. So, these new sentences will actually try to solve two problems with one experiment. One problem is the implicit language model. So, the ASR system has to see the largest possible set of sentences. And we are going to create new sentences from the text-only language model by adding the sound part to that, so that the language model will be better for the ASR, and the robustness to different speakers would be also better. And in a talk yesterday, I heard another idea. It was during the training. They were dropping out time bands and frequency bands from the sound. So, they were training on disrupted inputs, and that also greatly improved the robustness of the system.	(PERSON17) Ja, also für das Englisch mit mehreren Akzenten. Also fassen wir [PERSON14] das jetzt zu einer einzigen technischen Lösung zusammen. Die aktuelle Idee, an der [PERSON14] arbeitet, ist, dass er neue Sätze mit Wörtern erstellt, die in anderen Sätzen gesprochen wurden, und er wird dies über verschiedene Sprecher hinweg tun. Es wird sich also wirklich um Sätze mit mehreren Sprechern handeln, und daher könnte auch die Robustheit gegenüber den verschiedenen Akzenten dieser Sprecher verbessert werden. Ah, das ist also ein Teilchenexperiment. Und später werden wir vielleicht etwas mehr gegen die Sache mit dem Multiakzent tun. Diese neuen Sätze werden also tatsächlich versuchen, zwei Probleme mit einem Experiment zu lösen. Ein Problem ist das implizite Sprachmodell. Das ASR-System muss also die größtmögliche Anzahl von Sätzen sehen. Und wir werden neue Sätze aus dem reinen Textsprachmodell erstellen, indem wir den Lautteil hinzufügen, so dass das Sprachmodell für die ASR besser ist und die Robustheit gegenüber verschiedenen Sprechern auch besser ist. Und in einem Vortrag gestern hörte ich eine andere Idee. Es war während des Trainings. Sie ließen Zeitbänder und Frequenzbänder aus dem Klang fallen. Sie trainierten also mit gestörten Eingaben, was auch die Robustheit des Systems erheblich verbesserte.	yes
(PERSON17) Anyone else can work on the non-native accent thing. Ok, then another thing that I spotted is - this is in the Monday test document. It is highlighted four times. So, when some session is happening, we need the names and terminology for that session. And we need to collect it, prepare it manually, create it somewhat. And this manual creation should be supported with automatic tools as much as possible. So, there is a certain skill b in that, which needs to be practiced. So, I'm quite skilled at shuffling text files. And whenever I see any of any of you doing that, then I like always have tips in my head of what could be done faster. Maybe it is not faster for your end, but at least you should consider it. So there this skill is something that that we need people to have. And we need someone to be responsible for that. And I'm afraid that the only person for this could be [PERSON8]. If you find anyone else who would be ready to help with the immediate domain adaptation, the data crunching, please say so. And then we need - So, once we have secured the dictionary of terms and whatever the word pronunciations, we need techniques to put these dictionaries to use in the systems. So, my impression from the domain adaptation that [PERSON9] has been carefully doing for all the sessions was that it was not really visible in the hybrid ASR. So, one such session is again going to happen this Monday. [PERSON9] is already starting the data collection, but I would like to see the benefit of that domain adaptation in in in the [PROJECT5] set up. So, maybe [PERSON9] and [PERSON8], because he's learning how to do domain adaptation and [PERSON14], because he is doing how to work with [PROJECT5]. If you three could meet and double check what is [PROJECT5] doing with the - It's not [PROJECT5], actually, the domain adaptation is for the [PERSON18] toolkit, right.	(PERSON17) Jeder andere kann an der Sache mit dem nicht-muttersprachlichen Akzent arbeiten. Ok, dann ist eine andere Sache, die ich entdeckt habe - das ist im Montagstestdokument. Er wird viermal hervorgehoben. Wenn also eine Sitzung stattfindet, benötigen wir die Namen und die Terminologie für diese Sitzung. Und wir müssen es sammeln, manuell vorbereiten, etwas erstellen. Und diese manuelle Erstellung sollte so weit wie möglich mit automatischen Tools unterstützt werden. Darin steckt also eine gewisse Fähigkeit, die geübt werden muss. Ich bin also ziemlich geschickt darin, Textdateien zu mischen. Und wenn ich sehe, dass jemand von euch das tut, dann habe ich immer Tipps im Kopf, was schneller erledigt werden könnte. Vielleicht ist es für Ihr Ende nicht schneller, aber zumindest sollten Sie es in Betracht ziehen. Diese Fähigkeit ist also etwas, das die Leute haben müssen. Und wir brauchen jemanden, der dafür verantwortlich ist. Und ich fürchte, dass die einzige Person dafür [PERSON8] sein könnte. Wenn Sie jemanden finden, der bereit wäre, bei der sofortigen Domain-Anpassung, der Datenverarbeitung, zu helfen, sagen Sie dies bitte. Und dann brauchen wir - Sobald wir also das Wörterbuch der Begriffe und die Aussprache der Wörter gesichert haben, brauchen wir Techniken, um diese Wörterbücher in den Systemen zu verwenden. Mein Eindruck von der Domänenanpassung, die [PERSON9] für alle Sitzungen sorgfältig durchgeführt hat, war also, dass sie in der hybriden ASR nicht wirklich sichtbar war. Eine solche Sitzung wird also diesen Montag wieder stattfinden. [PERSON9] beginnt bereits mit der Datenerfassung, aber ich würde gerne den Nutzen dieser Domänenanpassung in der Einrichtung von [PROJECT5] sehen. Also vielleicht [PERSON9] und [PERSON8], weil er lernt, wie man Domänenanpassung betreibt, und [PERSON14], weil er macht, wie man mit [PROJECT5] arbeitet. Wenn ihr drei euch treffen und überprüfen könntet, was [PROJECT5] mit dem macht - Es ist nicht [PROJECT5], eigentlich ist die Domain-Anpassung für das [PERSON18]-Toolkit, richtig.	yes
So, this is kind of backward-looking, making sure that the old approach works. At the moment it is absolutely impossible to do any domain adaptation for the fully neural ASR. So, what I'm considering is to have an independent keyword spotting from sound and some merging procedure. So, we could have two ASRs running at the same time. End-to-end ASR, which is better in general. And then domain-adapted [PROJECT5] setup, which is used only to spot the keywords. And when we see a keyword in the domain-adapted version then we would then we would use that sentence from [PROJECT5], which is in general worse, but contains the right terms. So that's my suggestion of what we could do. And another suggestion is that we really should have our own fully neural ASR and do various experiments on finetuning and all that. So, we have discussed this with [PERSON14]. And, [PERSON14], is there any update from the potential colleague or friend of yours?	Das ist also eine Art Rückwärtsgewandtheit, um sicherzustellen, dass der alte Ansatz funktioniert. Im Moment ist es absolut unmöglich, eine Domänenanpassung für die vollständig neuronale ASR durchzuführen. Was ich also in Betracht ziehe, ist ein unabhängiges Keyword-Spotting aus dem Sound und ein Zusammenführungsverfahren. Wir könnten also zwei ASRs gleichzeitig laufen lassen. End-to-End-ASR, was im Allgemeinen besser ist. Und dann ein domainangepasstes [PROJECT5]-Setup, das nur dazu dient, die Keywords zu erkennen. Und wenn wir ein Schlüsselwort in der domainangepassten Version sehen, dann würden wir diesen Satz aus [PROJECT5] verwenden, der im Allgemeinen schlechter ist, aber die richtigen Begriffe enthält. Das ist also mein Vorschlag, was wir tun könnten. Und ein weiterer Vorschlag ist, dass wir wirklich unsere eigene vollständig neuronale ASR haben und verschiedene Experimente zur Feinabstimmung und all dem durchführen sollten. Also haben wir das mit [PERSON14] besprochen. Und, [PERSON14], gibt es ein Update von Ihrem potenziellen Kollegen oder Freund?	yes
(PERSON17) Yeah, so if there is anyone else who'd be curious about this please let me know or get in touch. So, it's this is something which is which would really be accepted well in generally as a as a paper, because people don't do that yet. And that's the most urgent problem these days. So, we really could make an impact there.	(PERSON17) Ja, wenn es also noch jemanden gibt, der neugierig darauf wäre, lassen Sie es mich bitte wissen oder kontaktieren Sie mich. Es ist also etwas, das im Allgemeinen als Papier wirklich gut angenommen werden würde, weil die Leute das noch nicht tun. Und das ist das drängendste Problem in diesen Tagen. Wir konnten dort also wirklich etwas bewirken.	no
(PERSON6) Yeah, I was maybe just thinking about like what kinds of data we currently use for this, because, for example, like if you check like [ORGANIZATION4]'s models on [ORGANIZATION5] that they are like already pretty good at these things -	(PERSON6) Ja, ich habe vielleicht nur darüber nachgedacht, welche Arten von Daten wir derzeit dafür verwenden, denn zum Beispiel, wenn Sie die Modelle von [ORGANIZATION4] auf [ORGANIZATION5] überprüfen, dass sie in diesen Dingen bereits ziemlich gut sind -	no
